category,datetime,headline,id,image,related,source,summary,url
company,1629132660,"Equity Residential stock falls Monday, underperforms market",69687861,https://images.mktw.net/im-220105/social,EQR,MarketWatch,"Shares of Equity Residential slipped 0.04% to $82.63 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=b0687fe1bbbdeb50e042c0d7848ffaf782648c4c34c82482ed846912380b626b
company,1629097200,"My Oh My, 3 Strong Buys (Back-To-School Edition)",69678213,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1256524224/medium_image_1256524224.jpg,EQR,SeekingAlpha,"Analysts who can understand a REIT's balance sheet, liquidity, and cash flow can easily screen for the best ideas. See our 3 Strong Buys in the equity REIT sector.",https://finnhub.io/api/news?id=4aaf64601f98589cd3a1397e00b9c5f3399a4072a966ec4b397d103fe290baa6
company,1628873460,Equity Residential stock underperforms Friday when compared to competitors despite daily gains,69687862,https://images.mktw.net/im-220105/social,EQR,MarketWatch,"Shares of Equity Residential inched 0.82% higher to $82.66 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=35cdd54d10813bfe4c914a5a104fc3d8d2c292514979951d4c658798aeb9c8b4
company,1628852490,Whale Watching - Sam Zell's Equity Commonwealth And Monmouth Make A Good Combination,69653898,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1253249159/medium_image_1253249159.jpg,EQR,SeekingAlpha,Legendary real estate investor Sam Zell's Equity Commonwealth wants to acquire Monmouth Real Estate. The merger could make good use of Equity's cash and Monmouth's asset base.,https://finnhub.io/api/news?id=7b3329ed3fd8c8202d8c63c21b115b1f731865b4228fb2f945f7d22a5eadc0b4
company,1628787060,"Equity Residential stock rises Thursday, still underperforms market",69643509,https://images.mktw.net/im-220105/social,EQR,MarketWatch,"Shares of Equity Residential inched 0.06% higher to $81.99 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=8f1f87663446e193cf21b48abf507b599752f8bd78200dfd9e2c5d855917eed0
company,1628766000,Apartment REITs: Rents Are Soaring,69634350,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/960624848/medium_image_960624848.jpg,EQR,SeekingAlpha,Apartment REITs have surged nearly 40% this year. Click here to see the Apartment REIT sector overview and the industry dynamics.,https://finnhub.io/api/news?id=0159253a7c79ad9762cf4cfdef1aebe4b93df9481934be06e69801e5d0ceb506
company,1628700660,Equity Residential stock outperforms competitors despite losses on the day,69643510,https://images.mktw.net/im-220105/social,EQR,MarketWatch,"Shares of Equity Residential slumped 0.19% to $81.94 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=b605d2f9e6e698b70382374c6a086aa5ed4b5c1722f4c461e922725d31ce9706
company,1628614260,"Equity Residential stock falls Tuesday, underperforms market",69609804,https://images.mktw.net/im-220105/social,EQR,MarketWatch,"Shares of Equity Residential shed 1.83% to $82.10 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=53fa6f34599acadf2aa94ac67f272eb9af7eeea99200f94493cb6ea56bcbf908
company,1628527860,"Equity Residential stock falls Monday, underperforms market",69609805,https://images.mktw.net/im-220105/social,EQR,MarketWatch,"Shares of Equity Residential slid 1.24% to $83.63 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=19312f7de4b2c6efc61793dd1c304180bb924aead471984bdbb8e1aea8117e75
company,1628524804,Are You Looking for a Top Momentum Pick? Why Equity Residential (EQR) is a Great Choice,69582420,,EQR,Yahoo,Does Equity Residential (EQR) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://finnhub.io/api/news?id=8a4c97f68cb83f5f479012c7e8f3bd4dc004c1c5289dfd2d2978dce7deb40918
