category,datetime,headline,id,image,related,source,summary,url
company,1628787060,Eversource Energy stock underperforms Thursday when compared to competitors,69644733,https://images.mktw.net/im-220105/social,ES,MarketWatch,"Shares of Eversource Energy dropped 0.36% to $89.60 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=26ceeec6424455eb8054aeaab252c178f3187cec839db6f7074c8755f24983b2
company,1628700660,"Eversource Energy stock rises Wednesday, outperforms market",69644734,https://images.mktw.net/im-220105/social,ES,MarketWatch,"Shares of Eversource Energy rallied 1.12% to $89.92 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=871669d18f54724e97feaf2e8bb846d35bb518b572dcffd92ba09c9fdba0fa2a
company,1628668582,Are Eversource Energy (NYSE:ES) Investors Paying Above The Intrinsic Value?,69614250,https://s.yimg.com/uu/api/res/1.2/vufsA66WUrIdn1cTA_PBdw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/8825248dd2026431674a1820f2d9889e,ES,Yahoo,"Does the August share price for Eversource Energy ( NYSE:ES ) reflect what it's really worth? Today, we will estimate...",https://finnhub.io/api/news?id=620c3429c3adac69a1d157634c55d9dd2511e1897d6f3cc513af29d6a8ef090a
company,1628614260,Eversource Energy stock underperforms Tuesday when compared to competitors,69644735,https://images.mktw.net/im-220105/social,ES,MarketWatch,"Shares of Eversource Energy dropped 0.03% to $88.92 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=83baec7dd23f9a0a9a8106f52d392a337a1aa04b183a4058525593c094c2a012
company,1628527860,Eversource Energy stock outperforms market despite losses on the day,69644737,https://images.mktw.net/im-220105/social,ES,MarketWatch,"Shares of Eversource Energy slipped 0.01% to $88.95 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8ad628207d614bd83c20cf219f57a2cebaefe40b8ec25ebbdd4afb22e5b88c6c
company,1628481300,Eversource management to meet virtually with Wolfe Research,69580161,,ES,Thefly.com,Virtual Meeting to be hel... ES,https://finnhub.io/api/news?id=fd869c3f8e7e285549069988d7ef72fdb8fe233911d85a26b8af73f6bd2cd24e
company,1628268660,"Eversource Energy stock falls Friday, underperforms market",69566350,https://images.mktw.net/im-220105/social,ES,MarketWatch,"Shares of Eversource Energy dropped 0.08% to $88.96 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7eac33b57e914ea5faf71dca99a5aecd4fb06eb4fe3fccb9a52109eb8d4a9b3d
company,1628226669,Why I Bought Quanta Services,69538326,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1212563353/medium_image_1212563353.jpg,ES,SeekingAlpha,Quanta Services has and will benefit from grid hardening and modernization. Read more to see why PWR is a worthy addition to ESG and energy/utility infrastructure investors.,https://finnhub.io/api/news?id=908885694c3cca10f47e2bf5f7c366260b356bc4c991cc2556c5424f90a39135
company,1628182260,Eversource Energy stock outperforms market on strong trading day,69530941,https://images.mktw.net/im-220105/social,ES,MarketWatch,"Shares of Eversource Energy inched 0.98% higher to $89.03 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=7459903c72c6cecfbffb3a35c2d56bf8b70e8ff44aa388aa8244128383cc8447
company,1628095860,Eversource Energy stock outperforms competitors on strong trading day,69530942,https://images.mktw.net/im-220105/social,ES,MarketWatch,"Shares of Eversource Energy inched 0.42% higher to $88.17 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=f3af2c56d68776020644a4a4ef260e5fc12051b9ce7e81f71259ab619f8b746f
