category,datetime,headline,id,image,related,source,summary,url
company,1629132720,"Essex Property Trust Inc. stock falls Monday, underperforms market",69687865,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. dropped 0.21% to $316.27 Monday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=848b17340ea9dc71f3f6fd540a55051c250d8bdee65e1720bad5dcc0247d9ba6
company,1629097200,"My Oh My, 3 Strong Buys (Back-To-School Edition)",69678213,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1256524224/medium_image_1256524224.jpg,ESS,SeekingAlpha,"Analysts who can understand a REIT's balance sheet, liquidity, and cash flow can easily screen for the best ideas. See our 3 Strong Buys in the equity REIT sector.",https://finnhub.io/api/news?id=4aaf64601f98589cd3a1397e00b9c5f3399a4072a966ec4b397d103fe290baa6
company,1629095940,"Cbre Clarion Securities Llc Buys Welltower Inc, Sunstone Hotel Investors Inc, Essex Property Trust Inc, Sells VEREIT Inc, Life Storage Inc, Hilton Worldwide Holdings Inc",69694323,,ESS,GuruFocus,,https://finnhub.io/api/news?id=7cf49b56abcbd2fad2c5bd717a18c93a3b5da8544b2835f9ad80bc67b3d124f5
company,1628873520,"Essex Property Trust Inc. stock rises Friday, outperforms market",69687866,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. inched 0.65% higher to $316.95 Friday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=9a962b4d87a1495335d631602e9b263f2c1b612ac9ad002fd4fabc2939382c2d
company,1628787120,"Essex Property Trust Inc. stock falls Thursday, underperforms market",69646009,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. slid 0.09% to $314.89 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=8dfa414b5141f0a69344d501619b25ca11512211b1a721166626f1a00ada5243
company,1628766000,Apartment REITs: Rents Are Soaring,69634350,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/960624848/medium_image_960624848.jpg,ESS,SeekingAlpha,Apartment REITs have surged nearly 40% this year. Click here to see the Apartment REIT sector overview and the industry dynamics.,https://finnhub.io/api/news?id=0159253a7c79ad9762cf4cfdef1aebe4b93df9481934be06e69801e5d0ceb506
company,1628700720,Essex Property Trust Inc. stock underperforms Wednesday when compared to competitors,69626911,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. dropped 0.85% to $315.16 Wednesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=fab8f7ed19fdc69ae099c1d547bd5487d281eda43d6a4ae5552e748467589899
company,1628679176,Bidding wars erupt for renters as the economy recovers in a hot housing market,69644887,https://image.cnbcfm.com/api/v1/image/106904697-16250619532021-06-30t140322z_1246506293_rc2lwn9ot3ok_rtrmadp_0_usa-court-eviction.jpeg?v=1625061987,ESS,CNBC,"They are usually reserved for homebuyers, but bidding wars are becoming more common in the rental home market.",https://finnhub.io/api/news?id=c5ec900a70e8e86575c382952612e417fc76a847def2855995b5381a2b884d60
company,1628670300,"Washington REIT Is Becoming An Apartment REIT: Buy, Hold Or Sell?",69613219,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1225009218/medium_image_1225009218.jpg,ESS,SeekingAlpha,"Washington REIT announced that it was selling its office and retail portfolio to become a pure-play apartment REIT. Find out if WRE is a buy, sell, or hold.",https://finnhub.io/api/news?id=06d2a935f9178baae6f2fc4329d81bdff11a00a6f5612c23ba2c54a969d92fc8
company,1628634427,Nicholas Ward's Dividend Growth Portfolio: July 2021 Update,69608093,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1272890161/medium_image_1272890161.jpg,ESS,SeekingAlpha,My passive income was up 3.76% y/y in July. My portfolio's total returns were 3.74% in July.,https://finnhub.io/api/news?id=9292b486622e65aef54e6a42c2b3cb2115792462875bba67450d0553822ae847
company,1628614320,"Essex Property Trust Inc. stock falls Tuesday, underperforms market",69609795,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. shed 1.13% to $317.85 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=972dc4c0b6af9ff83328aa4ba8f2d770ce5c4164be53aa6c38b9e8f9490876f7
company,1628527920,Essex Property Trust Inc. stock underperforms Monday when compared to competitors,69609796,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. shed 1.65% to $321.48 Monday, on what proved to be an all-around dismal trading session for the stock market, with the...",https://finnhub.io/api/news?id=8c0988b44b5709c3b36764e3e300ddb89f550df5680ca70e8a56ae4dd0c83c73
company,1628492400,4 Up-And-Coming REIT Dividend Kings,69576870,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/814271432/medium_image_814271432.jpg,ESS,SeekingAlpha,"These 4 REITs have successfully properly evaluated themselves, their surroundings, and their futures for two to three decades. I consider them the upcoming dividend kings.",https://finnhub.io/api/news?id=a5a3404948550dedf104a8d3448345153c469333d3b9ce303961980d49ea52ff
company,1628420400,"Rents Paid, Dividends Raised",69570916,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/614972576/medium_image_614972576.jpg,ESS,SeekingAlpha,Real estate equities continued their strong performance; 9 more REITs announced dividend increases this week. Click here to read our Real Estate Weekly Outlook.,https://finnhub.io/api/news?id=5bd64a26e8db948088bb32df2ee90e211c4b4d89428b89f1b319d43a190d733a
company,1628344825,Surging Rents Are Benefiting Multifamily REITs,69564713,,ESS,Yahoo,"Leading residential REIT Equity Residential (NYSE: EQR), which currently focuses on major coastal gateway markets, commented on the strong market conditions it experienced during the second quarter.  Overall, Equity Residential noted that pricing has improved 29% since December and is now above the peak of July 2019.  AvalonBay Communities (NYSE: AVB), which also focuses on major coastal gateway cities, saw a significant improvement in rental rates during the period.",https://finnhub.io/api/news?id=7d4bcfa93e3c628b99b0daa6f0b790078153567a7c906116fe0b761919458a28
company,1628268720,"Essex Property Trust Inc. stock rises Friday, outperforms market",69575257,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. inched 0.38% higher to $326.86 Friday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=8d1146e2358b716b50f5739fb7b7e63bbd52428e0466a80b6da9b6b0d9ba0dcd
company,1628244000,REIT Earnings Recap: Mega-Mergers And Roaring Rents,69542053,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1149958306/medium_image_1149958306.jpg,ESS,SeekingAlpha,REIT earnings season has provided critical information on the state of the real estate industry. Read more to see how the REITs have performed in 2Q.,https://finnhub.io/api/news?id=2e6f53833aad9ecff9c36fe5a765d5cdfc8f68121a17c4456734c143bc7edacc
company,1628182320,"Essex Property Trust Inc. stock rises Thursday, still underperforms market",69575258,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. inched 0.50% higher to $325.61 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=7d40c3d8eb3dee53ff30bc673fce619ada51a922a0bd34224c760f6249af6bec
company,1628095920,Essex Property Trust Inc. stock underperforms Wednesday when compared to competitors,69506093,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. shed 1.13% to $323.99 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the...",https://finnhub.io/api/news?id=370b9eb46ee5afbca0db99fe98f31e30041e2b07b4879bb6772ea04ad43e5257
company,1628090133,"Eviction moratorium extended, USA’s McLaughlin breaks record, CVC’s investment in La Liga",69495591,https://s.yimg.com/ny/api/res/1.2/iQy_1.IIUUovknSmC5SpWg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/04/610aaf1605530c20471b929f/610aaf1605530c20471b92a0_o_U_v2.jpg,ESS,Yahoo,"Myles Udland breaks down Wednesday’s business headlines, including: the CDC announcing an extension of a new eviction moratorium until early October, Sydney McLaughlin breaking the women’s world record in the 400-meter hurdles, and one of Spain’s top soccer clubs — La Liga — receiving a $3.2 billion investment from CVC in exchange for a 10% stake.",https://finnhub.io/api/news?id=993448b036d62f7370db4bc848c5fd4d275b4fc8b4a85f6569aa86876c5794e0
company,1628087569,10 Best Dividend Paying Stocks to Buy Now,69492162,https://s.yimg.com/uu/api/res/1.2/1SOaerr9aOo_enaCpmpLYg--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/799a5a3b34d6939076c88377eb7174cb,ESS,Yahoo,"In this article, we will be looking at the 10 best dividend paying stocks to buy now. If you want to skip our detailed analysis of dividend investing, you can go directly to the 5 Best Dividend Paying Stocks to Buy Now. There is no denying that the pandemic-led recession exacerbated the stock market volatility last […]",https://finnhub.io/api/news?id=12894605215e2b418b00005a91b459cd4fe96a5f0927d580930db1fb5f6a79c0
company,1628009520,Essex Property Trust Inc. stock underperforms Tuesday when compared to competitors,69480016,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. slipped 0.19% to $327.68 Tuesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=9520f2598fa17c8a8f03dd2075e1313b100dc709aad0a0fbc190f9e47b2a01c6
company,1627923120,Essex Property Trust Inc. stock outperforms competitors on strong trading day,69462711,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. inched 0.06% higher to $328.30 Monday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=1107b769887a42e119c390d913f73a8fb06a0d0de019813a9370c97ba54aff66
company,1627812000,"Mandates, Inflation, And Earnings",69431314,,ESS,SeekingAlpha,,https://finnhub.io/api/news?id=ca4cad8fa68094cd16e53eca92eb601e02b528defb145fc199de27a9b073fe47
company,1627687870,Essex Property Trust Reit Inc (ESS) Q2 2021 Earnings Call Transcript,69421744,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,ESS,Yahoo,"ESS earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=f62f0582b97364351e7961acd0d9b4d2b23215c3d0e6fa84ff52635ff5bfc7c7
company,1627679045,"Essex Property Trust, Inc. (ESS) CEO Michael Schall on Q2 2021 Results - Earnings Call Transcript",69417327,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ESS,SeekingAlpha,"Essex Property Trust, Inc. (NYSE:ESS) Q2 2021 Earnings Conference Call July 30, 2021 13:00 ET Corporate Participants Michael Schall - President and Chief Executive Officer Angela Kleiman -...",https://finnhub.io/api/news?id=7a910ffa36811cb7c80938f726773256a416f77e7bc54314bc71f0736781c22e
company,1627663920,Essex Property Trust Inc. stock underperforms Friday when compared to competitors,69462712,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. slid 0.76% to $328.10 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=3cf789f268449af358a79d0e804f4b3f76589e791deee50aa3060cde51d33c9b
company,1627653001,"Essex Property (ESS) Beats on Q2 FFO, Raises '21 Guidance",69421745,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,ESS,Yahoo,"Essex Property's (ESS) Q2 results reflect the recovery in its markets with relaxations in the pandemic-related restrictions, prompting the REIT to raise the 2021 guidance.",https://finnhub.io/api/news?id=29519ac30ab742282e2620f537924c4112431d030d856eb1e19b44d4f01cdb77
company,1627638300,Beat And Boost: REIT Earnings Halftime Report,69404605,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1225158464/medium_image_1225158464.jpg,ESS,SeekingAlpha,We're now at the halfway point of another newsworthy real estate earnings season. Results have so far been as impressive as any REIT earnings season in recent memory.,https://finnhub.io/api/news?id=943f7253a5d730aa79c1957e7c8aff72fc073506c85b547daa0f2fd052c79d87
company,1627632411,"Essex Property Trust, Inc.'s (NYSE:ESS) Stock On An Uptrend: Could Fundamentals Be Driving The Momentum?",69421746,https://s.yimg.com/uu/api/res/1.2/8nPupTnfi_PFsHau9K_Vuw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/91195ebf683f6ee8e2eddde93e23dfa0,ESS,Yahoo,Essex Property Trust's (NYSE:ESS) stock is up by a considerable 14% over the past three months. As most would know...,https://finnhub.io/api/news?id=8fbcd3593a03bf4f542f34d7464ee057fb63bbe5884b4df3971e65a6c84849a3
company,1627595109,Essex Property Trust (ESS) Tops Q2 FFO and Revenue Estimates,69396292,https://s.yimg.com/uu/api/res/1.2/HIalcDlt7JZPKSITVlxPuw--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c2fdcaac033e049c74f38d188afcc9f9,ESS,Yahoo,"Essex Property Trust (ESS) delivered FFO and revenue surprises of 1.67% and 0.66%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=4354ee501ebaa2a4887e5c464224d4f6eac654ae60fe000385586f35643d4fd8
company,1627589700,Essex Announces Second Quarter 2021 Results and Increases Full-Year 2021 Guidance,69396294,https://s.yimg.com/uu/api/res/1.2/jb9a9OvIgtb2XkTa6pU_Ew--~B/aD0xNjk7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/2a0587ad5e863b7113fa4c1c6136da27,ESS,Yahoo,"SAN MATEO, Calif., July 29, 2021--Essex Property Trust, Inc. (NYSE: ESS) (the ""Company"") announced today its second quarter 2021 earnings results and related business activities.",https://finnhub.io/api/news?id=035e1583e40fe2f49227572992f4ee38c7a98d1f92a8c743cbaa5d5a1093d376
company,1627577520,Essex Property Trust Inc. stock underperforms Thursday when compared to competitors,69398678,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. shed 0.16% to $330.60 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=a84620ddf8e7bd1b812a3ee455aa37f77007bad49224945b10d9f4e54c310fec
company,1627576620,Essex Property Trust: Q2 Earnings Snapshot,69408457,,ESS,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=90b3222fea73d643f093b339ec4627aa532bd15adf0a4182b25a260a412b34ec
company,1627575300,Essex Announces Second Quarter 2021 Results and Increases Full-Year 2021 Guidance,69408458,,ESS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3b8ea22838f865be06e2a987703e0a00be6be6285f9a285176c5526bcccb2b80
company,1627542000,The Most Important Thing For REIT Investors,69376063,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273331529/medium_image_1273331529.jpg,ESS,SeekingAlpha,"By waiting on the right REIT to buy at the right time and price, I’ve been able to generate substantial wealth. Click here to read about 2 quality healthcare REITs.",https://finnhub.io/api/news?id=7d06eb33ccb23ad7e9a20fa193079334b13eb8250d2a4d3bd94b8bd0addbecef
company,1627530180,"Essex Property Trust sees Q3 FFO $2.98-$3.10, consensus $3.06",69408460,,ESS,Thefly.com, ESS,https://finnhub.io/api/news?id=ed5bcfa0d04fb1ebce18c3940a488b596820ea46196cef9a2ca5c6ed48c9f558
company,1627530180,Essex Property Trust raises FY21 FFO view to $12.21-$12.45 from $12.02-$12.46,69408459,,ESS,Thefly.com,Consensus $12.26... ESS,https://finnhub.io/api/news?id=472282063ea3a5a7bedaf46160a025d05c02577e94fe6a8b47171c545fc5ba9c
company,1627530120,"Essex Property Trust reports Q2 FFO $3.04, consensus $3.07",69408461,,ESS,Thefly.com,Q2 same-property revenues... ESS,https://finnhub.io/api/news?id=83c543a17a34832c6dc3ae22852db978501cc944208653eabe62e20cf8e945c0
company,1627491120,"Essex Property Trust Inc. stock falls Wednesday, underperforms market",69398680,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. slipped 0.20% to $331.14 Wednesday, on what proved to be an all-around rough trading session for the stock market, with...",https://finnhub.io/api/news?id=7a41b8ef47db80ed89466f3d25e10b9d0cc969edfbb07abb7d513d8d0c11a7bf
company,1627404720,Essex Property Trust Inc. stock outperforms market on strong trading day,69398684,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. inched 0.21% higher to $331.80 Tuesday, on what proved to be an all-around rough trading session for the stock market,...",https://finnhub.io/api/news?id=4fff433dd07be87ff0caa1a5d40ade2fe360071663036ec5fa58ffe26166110a
company,1627318320,Essex Property Trust Inc. stock outperforms competitors despite losses on the day,69398688,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. slumped 0.24% to $331.12 Monday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=f305316b084ddf7f1f1a3eeea68746691a8f42c5140faaa1347aad70b99533ca
company,1627305361,Key Factors to Impact Essex Property's (ESS) Q2 Earnings,69326129,https://s.yimg.com/uu/api/res/1.2/m7h8AcPROMromz5UJ5.5yQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/76de46512b6b2ed03cb613b33bb84828,ESS,Yahoo,Essex Property's (ESS) Q2 performance likely to reflect improving market conditions and declining concession usage.,https://finnhub.io/api/news?id=63d0f3b0a143dc83a2164e6a3a77b7290552eece5c720c9f3d7c0fde7addbd0f
company,1627126200,No Place Like Home,69308455,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1266401360/medium_image_1266401360.jpg,ESS,SeekingAlpha,U.S. equity markets rebounded from an early-week dive. Click here to read about the latest Real Estate Weekly Outlook.,https://finnhub.io/api/news?id=5010a13e418a54c82cfb5ee3c5552d18a715071ff63c6ed0abaca8a66ef270e3
company,1627060500,"Rent Prices Are About to Run Up, and Inflation Is About to Get Stickier",69319419,https://images.barrons.com/im-373510/social,ESS,MarketWatch,"When the federal eviction moratorium expires at the end of July, it is likely to stoke rent inflation—which had been running hot before the pandemic.",https://finnhub.io/api/news?id=66be21cb4c0ad15896ebc98cd71c9ffd6d38e9229c0e4fbb4be6d985dec299d7
company,1627059120,Essex Property Trust Inc. stock outperforms market on strong trading day,69398694,https://images.mktw.net/im-220105/social,ESS,MarketWatch,"Shares of Essex Property Trust Inc. rallied 1.34% to $331.91 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=f2ad5221d9d31c2672301a8565a21fcd7b60a3c9e2d6980dae63bcc040e6fc88
