category,datetime,headline,id,image,related,source,summary,url
company,1629211142,Reasons to Add Eaton (ETN) to Your Portfolio at the Moment,69702434,https://s.yimg.com/uu/api/res/1.2/7hBFEWQLcyWjWnaSa5EcIg--~B/aD0zNjQ7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2b1a3153f140c0e1b0f6c5ceabcb802e,ETN,Yahoo,"Eaton (ETN) makes a strong case for investment, given its positive estimate revision, wide market reach and regular investments in R&D.",https://finnhub.io/api/news?id=f6576259e7b6f9b58dadf594578d6032f7f4bc649f3f34732508eefbb6202416
company,1629132720,Eaton Corp. PLC stock outperforms competitors on strong trading day,69692440,https://images.mktw.net/im-220105/social,ETN,MarketWatch,"Shares of Eaton Corp. PLC inched 0.53% higher to $168.51 Monday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=373759d9084a296374ca196e4466b74d888034aaa3c8fb9e1715790ad24c60a7
company,1629095940,"Proquility Private Wealth Partners, LLC Buys iShares Core MSCI Emerging Markets ETF, Seagate Technology Holdings PLC, The Energy Select Sector SPDR Fund, Sells Exxon Mobil Corp, Communication Services Select Sector SPDR Fund, General Electric Co",69695435,,ETN,GuruFocus,,https://finnhub.io/api/news?id=d6ecd3245d782e62782b5e47be219a535d4b6e7848095a60f576c5776b762cba
company,1629077160,"Fly Insider: Surgalign, Aurinia among week's notable insider trades",69694620,https://image.thefly.com/catalog/201904/img_471.jpg,ETN,Thefly.com,"Surgalign's Terry Rich purchased $1,006,644 in company shares, while Aurinia Pharmaceuticals' Neil Solomons sold $721,350 in company shares BE, AUPH, KOD, SRGA, ETN, HLF, ABNB, ALB",https://finnhub.io/api/news?id=3b6607ac625221180e67e5d47596801721a2ddd61407e303f6db87c4400e00a3
company,1628885460,Nevada Jury Awards Electrician $15.6 Million in Mesothelioma Case,69664311,https://s.yimg.com/uu/api/res/1.2/DO2IK6En8bWxuIDEYQoedg--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/040aee7a4702d55cc8b1c4d63212d9ad,ETN,Yahoo,"The attorneys of Dean Omar Branham Shirley LLP secured a $15.6 million verdict on behalf of a Fernley, Nevada, an electrician who contracted mesothelioma after working with asbestos-containing components manufactured by Eaton Corp. (NYSE: ETN).",https://finnhub.io/api/news?id=1aa0fb0e2d6c216777e7991588fcaafd9c3bbf79278ab23283367b5baf3066b0
company,1628873520,"Eaton Corp. PLC stock rises Friday, outperforms market",69670322,https://images.mktw.net/im-220105/social,ETN,MarketWatch,"Shares of Eaton Corp. PLC inched 0.27% higher to $167.62 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=a34ed89af2e163f81ae69f7f6caa54b5f02fe34f8fa0e0954345bca8433c05ab
company,1628871060,Nevada Jury Awards Electrician $15.6 Million in Mesothelioma Case,69668187,,ETN,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b91014c38fb12a4290cdfb39e25d81b966af16e929798479be81e292a15782b9
company,1628857812,Here's How Much You'd Have If You Invested $1000 in Eaton a Decade Ago,69654500,https://s.yimg.com/uu/api/res/1.2/OL7xfT5pzuzwP2wxb1pcSw--~B/aD02MjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7ea641b46fe75c0a913349e5e610d6a2,ETN,Yahoo,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.",https://finnhub.io/api/news?id=7395914107ecff1e28b066f6b6357de7f83850f7a89887bb1576186ec317b6a9
company,1628855280,Eaton and Rockwell Have Exploded Higher. These Industrial Stocks Could Be Next.,69670323,https://images.barrons.com/im-385097/social,ETN,MarketWatch,"Industrial stocks as a whole are near record highs, but only a few are boosting the entire sector. Now a few others look ready to rise if the Delta wave...",https://finnhub.io/api/news?id=5c322189d05341a460dab7c7440bd6bf0b229069af95e023031c30267ebea2e5
company,1628787120,"Eaton Corp. PLC stock rises Thursday, outperforms market",69670324,https://images.mktw.net/im-220105/social,ETN,MarketWatch,"Shares of Eaton Corp. PLC inched 0.61% higher to $167.17 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=609087f4d0da6282a3b23c9d198f92f5e4bab2a333e105aef9555bcf0670fe3f
