category,datetime,headline,id,image,related,source,summary,url
company,1628873520,Edwards Lifesciences Corp. stock outperforms competitors on strong trading day,69679307,https://images.mktw.net/im-220105/social,EW,MarketWatch,"Shares of Edwards Lifesciences Corp. advanced 1.23% to $113.15 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=9085e4e5156e4622b59dab75442871e5f25f7dabf51a761f610cb0993f1d6440
company,1628787120,Edwards Lifesciences Corp. stock underperforms Thursday when compared to competitors despite daily gains,69649750,https://images.mktw.net/im-220105/social,EW,MarketWatch,"Shares of Edwards Lifesciences Corp. inched 0.57% higher to $111.77 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=d435e82fb96cdb3020f0a5e6ecdf08639a435683ac50abeeac21378b8881d4bd
company,1628740500,UBS to hold a virtual summit,69632705,,EW,Thefly.com,"Genomics 2.0 and MedTech ... ANIK, EW, EXAS, FLDM, GH, ICUI, ISRG, MASI, NSTG, NVTA, OCX, PACB, RHHBY, STAA, TWST",https://finnhub.io/api/news?id=a56d3f849f856b6897368b7850f855ed040920c1a2398061c8788186a817544c
company,1628700720,Edwards Lifesciences Corp. stock underperforms Wednesday when compared to competitors,69649751,https://images.mktw.net/im-220105/social,EW,MarketWatch,"Shares of Edwards Lifesciences Corp. slipped 0.72% to $111.14 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=c63701bc5bd8a794d32369ac1ce2bbd821a1ac3d89289363b96ae53a27e4a856
company,1628654100,UBS to hold a virtual summit,69614423,,EW,Thefly.com,"Genomics 2.0 and MedTech ... ANIK, EW, EXAS, FLDM, GH, ICUI, ISRG, MASI, NSTG, NVTA, OCX, PACB, RHHBY, STAA, TWST",https://finnhub.io/api/news?id=706a71a2778e72674949fcfee6e3000cd9d3c06ef61793311937364e89aec65e
company,1628614320,Edwards Lifesciences Corp. stock underperforms Tuesday when compared to competitors,69622345,https://images.mktw.net/im-220105/social,EW,MarketWatch,"Shares of Edwards Lifesciences Corp. slipped 2.08% to $111.95 Tuesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=21698d9dd7b76171a7814c63f5895cef460ba289e12e06a42c0dafc622de2411
company,1628582100,"The Daily Biotech Pulse: Arcturus Soars On COVID-19 Vaccine Updates, Merck's Keytruda On Track For More Label Expansions, Eliem Debuts",69596355,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/medicine-1309148_1920_362.jpg,EW,Benzinga,"Here's a roundup of top developments in the biotech space over the last 24 hours.
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 9)

Adagio Therapeutics, Inc. (...",https://finnhub.io/api/news?id=1500e4f7719bbc2cd185e66596509a7c138aaea75b05227e61a05f28597e2510
company,1628567700,UBS to hold a virtual summit,69594300,,EW,Thefly.com,"Genomics 2.0 and MedTech ... ANIK, EW, EXAS, FLDM, GH, ICUI, ISRG, MASI, NSTG, NVTA, OCX, PACB, RHHBY, STAA, TWST",https://finnhub.io/api/news?id=bf5103d6f2848a91add3889e176722765ce025cc96bded29d0c7a1a4123c5018
company,1628527920,"Edwards Lifesciences Corp. stock falls Monday, underperforms market",69622347,https://images.mktw.net/im-220105/social,EW,MarketWatch,"Shares of Edwards Lifesciences Corp. slumped 0.76% to $114.33 Monday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=d6550d9f602f07399a5ea70c936d102f738d9bd2511258fceaaf9ac1355cd76c
company,1628484540,UBS to hold a virtual summit,69594301,,EW,Thefly.com,"Genomics 2.0 and MedTech ... ANIK, EW, EXAS, FLDM, GH, ICUI, ISRG, MASI, NSTG, NVTA, OCX, PACB, RHHBY, STAA, TWST",https://finnhub.io/api/news?id=3bbaa924715cd434ba723e065dfe65467725761b86861c605835763f6d4ede4b
