category,datetime,headline,id,image,related,source,summary,url
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,EXC,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1629099929,Atlantica Sustainable Infrastructure: The Highest-Yielding Green Stock Is Rock Solid,69678362,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1308942742/medium_image_1308942742.jpg,EXC,SeekingAlpha,Atlantica Sustainable Infrastructure is the highest-yielding green stock. See why I say income-oriented investors should consider buying AY stock.,https://finnhub.io/api/news?id=4247fdbc2b7b88bec7cf28c847e93fb6ab2bb39ebacdd58e3ae2f16a810a0b8c
company,1629092340,"Virginia Retirement Systems Et Al Buys Northern Trust Corp, Allstate Corp, Ameren Corp, Sells Eli Lilly and Co, NextEra Energy Inc, Alibaba Group Holding",69694143,,EXC,GuruFocus,,https://finnhub.io/api/news?id=7823093e9cc10088d0bfa99e1ac08b163a982b908ab9e0856ca0e42e34b614bd
company,1628928550,XLU: Utilities Dashboard For August,69666474,,EXC,SeekingAlpha,,https://finnhub.io/api/news?id=1392bd005dadb1dc9ffebe1acb546581d4f0848126adc219492b7ae7b6581148
company,1628928227,Wall Street Breakfast: What Moved Markets,69666433,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,EXC,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=330cdb63f8b3340df7ac0e508c5120f2addab238ffab56260a736ffd7ec54f5a
company,1628758380,Fly Intel: Top five analyst upgrades,69634969,,EXC,Thefly.com,"Catch up on today's ... WEN, SINO, MHO, LYFT, EXC",https://finnhub.io/api/news?id=f6375ff0066d65e9489bd7fac84c584c3669397bdff67fa2e93fdd6ec78cfe99
company,1628755860,"Thursday’s Top Analyst Upgrades and Downgrades: Canopy Growth, Carrier, Lyft, Mastercard, Micron, Pinterest, Virgin Galactic, Wendy’s and More",69634970,https://247wallst.com/wp-content/uploads/2021/03/imageForEntry1-nmL.jpg,EXC,247WallSt,"Thursday's top analyst upgrades and downgrades included Canopy Growth, Carrier Global, Fastly, HCA Healthcare, Lyft, Mastercard, Micron Technology, Pinterest, Seagate Technology, Virgin Galactic and Wendy's.",https://finnhub.io/api/news?id=0984be53c997dc3925e5bc92dda3f1eaad27d009e42721125973d1deb82a3c58
company,1628746620,Exelon upgraded to Neutral at Mizuho on better outlook for generation unit,69634971,,EXC,Thefly.com,"As previously reported, M... EXC",https://finnhub.io/api/news?id=15b2914093f0cd78d55f616d6a52c0fbc546b50273e1e9bbae1e0bf209769f63
company,1628743920,Exelon upgraded to Neutral from Underperform at Mizuho,69634972,,EXC,Thefly.com,Mizuho analyst Paul Fremo... EXC,https://finnhub.io/api/news?id=5620322da2624dd5ffc8723098893956862a2f69768aab5570b6b5878f63fc37
company,1628608140,"20 Northern Illinois Communities Awarded Public Safety Grants from ComEd, Metropolitan Mayors Caucus",69600285,https://s.yimg.com/uu/api/res/1.2/E8u8CZeWx7t7X8YrPvUlYA--~B/aD0xMjU7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/1aaeb22a7db9a9a5e5d96596f86fab36,EXC,Yahoo,"CHICAGO, August 10, 2021--To support crucial public safety initiatives and enhance the quality of life in communities across northern Illinois, ComEd and the Metropolitan Mayors Caucus today announced a total of $170,000 in grants to 20 public agencies through the annual ComEd Powering Safe Communities Program. This year, the program had a special focus on clean transportation projects, which can reduce carbon emissions, improve public health outcomes and advance community resiliency.",https://finnhub.io/api/news?id=69d2a90ba9fc39efd95931e2a33565ebebf20f8faf44dab5b50156f118065a5e
company,1628596800,Constellation Accepting Applications for 2021 Energy to Educate Grant Program,69600286,https://s.yimg.com/uu/api/res/1.2/u.mJ8xEaAqiB36z3TNbLWA--~B/aD0yMjQ7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/2c871c2c3058e1f83cda9fa8830ce577,EXC,Yahoo,"BALTIMORE, August 10, 2021--Constellation is accepting applications for its Energy to Educate program, which provides funding for student projects focusing on energy innovation.",https://finnhub.io/api/news?id=1f03dbe026521291f5263aaa69630862b15755031bce8bc3ee63da08ba892e97
company,1628593740,"20 Northern Illinois Communities Awarded Public Safety Grants from ComEd, Metropolitan Mayors Caucus",69599741,,EXC,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1862a305b3637e6d38f30e459596ef7cd2cf74235148e7ee779ec46f6c96bbf4
company,1628583146,Wall Street Breakfast: UN Calls Climate Code Red (Podcast),69593528,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,EXC,SeekingAlpha,"Our top stories today: UN Calls Climate Code Red, AMC rallies after beating quarterly estimates, and Moderna jumps as the FDA evaluates COVID-19 booster shots .",https://finnhub.io/api/news?id=cf0dbce9c836bfbb85eae2e664ed87e0bc3c752c4a6f9a307589cb2834ee462f
company,1628582400,Constellation Accepting Applications for 2021 Energy to Educate Grant Program,69599742,,EXC,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2e71a0e9bf57be1c8082c8c9d453b8b10d7c8b5d14530f097283f57260896f38
company,1628576786,Wall Street Breakfast: Climate Code Red,69592799,,EXC,SeekingAlpha,,https://finnhub.io/api/news?id=0e3f4e886f2d7761b3040eb350b801005490f971c24d2223959416f657ec98f3
