category,datetime,headline,id,image,related,source,summary,url
company,1629213749,Why Lightning eMotors Stock Is Slumping Today,69699902,https://s.yimg.com/uu/api/res/1.2/l3zYnk2FG1YRX82eZqhT3g--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/2793fd0c517d19b5ad0941db7a6b2883,F,Yahoo,Earnings results weren't what Wall Street had expected.,https://finnhub.io/api/news?id=a52ecba821385b505bbaa5227ef4176f20a344973905acb1c98e3c324abfc938
company,1629208621,Ford (F) Spin's E-Bikes Levels Game With Appearance on Google Maps,69699903,https://s.yimg.com/uu/api/res/1.2/TYvfq5RYMYTbCJ.l4NVR2g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f9fd5d81a15fcc24562a2f18e90107c,F,Yahoo,The latest collaboration with Google marks Ford (F)-owned Spin's biggest platform integration till date.,https://finnhub.io/api/news?id=abcb9062e3ded4f586d8d4b7d156a3edbee5ec39ab9a0d2c694838461d8af9b1
company,1629183900,The Fed Feels The Inflation 'Heat' But Likely Won't Taper Before Year's End,69692206,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/851555622/medium_image_851555622.jpg,F,SeekingAlpha,"I believe the Fed will not address tapering until its December FOMC meeting, as Chairman Powell is up for renewal in early 2022 and the Biden Administration is still proposing more spending.",https://finnhub.io/api/news?id=71a3710a1294b4e4b25366936dc296fae0fd640887fb8be4fbf031e8747fe861
company,1629176760,WKHS Stock Isn't Worth Your Investment With Better EV Plays Out There,69695591,https://investorplace.com/wp-content/uploads/2020/07/workhorse_wkhs1600.jpg,F,InvestorPlace,"How cheap is too cheap? With Workhorse, it's hard to say. Business is too slow and competition is too high for WKHS stock to be attractive.",https://finnhub.io/api/news?id=9ca3c7febe920d2e42b581a6f173c4869cd676839aa4d348db68e9579b711aa6
company,1629124337,20 Most Reliable Cars of 2021,69681578,https://s.yimg.com/uu/api/res/1.2/Fn0D9Ccd2x2Z_XtBHnbz.A--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/058b02c56ecf81b1a86e0965498c8127,F,Yahoo,"In this article, we will take a look at the 20 most reliable cars of 2021. You can skip our detailed analysis of these cars, and go directly to the 5 Most Reliable Cars of 2021. Buying a new car can often seem to be a daunting task, especially if you are focusing on more […]",https://finnhub.io/api/news?id=f51b668adc9ff51648d9e6c4e59d5ffa73cf7982ad3399e7ba68d82047f648a4
company,1629120541,"Auto Stock Roundup: NIO's Narrower Q2 Loss, LEA's Payout Hike & More",69680731,https://s.yimg.com/uu/api/res/1.2/ytii.CnyQ5GiJQANokCr3Q--~B/aD0zNDk7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/aa2972299a991d3f3756715981e5bff9,F,Yahoo,"While NIO's Q2 loss narrows on higher revenues amid robust deliveries, Lear (LEA) cheers investors by raising quarterly payout from 25 cents a share to 50 cents.",https://finnhub.io/api/news?id=2325828902431e03d9cd9b3403a978e64df98d08138415becf5e6fc0ad4796be
company,1629115860,Charged: NHTSA opens investigation into Tesla autopilot,69694210,https://image.thefly.com/catalog/202012/img_969.jpg,F,Thefly.com,"Senate puts $40,000 cap on price of EV qualifying for tax credit TSLA, F, GM, NKLA, LCID, FSR, WKHS, RIDE, ELMS, ZEV, SHYF, BLNK, EVGO",https://finnhub.io/api/news?id=1c508b94b3130da7eb30955851a782e4b3f39179cef85e934826f2850dd85645
company,1629112032,"Detroit sticks with trucks, SUVs despite lofty 2030 goals for EVs",69679734,https://s.yimg.com/uu/api/res/1.2/vPZXug7tuI00HD7HN8dt8w--~B/aD01MTQ7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/941f7f209413d5231608a470fa7f0fef,F,Yahoo,"The future may belong to electric cars, but for U.S. automakers, trucks will rule for years to come.  Automakers in North America plan to build more big pickups and sport utility vehicles than electric vehicles well into the late 2020s, chasing sales trends that run counter to the Biden administration's goal of boosting EVs to half the market by 2030, according to internal production forecasts viewed by Reuters.  The popularity of Detroit's big trucks is a challenge both to the industry and efforts by lawmakers and regulators to reduce emissions of carbon dioxide and other exhaust gas pollutants from combustion engines.",https://finnhub.io/api/news?id=2d3d04c1479965392eeec3f60c01c17b6e13ebe608576623bba0c362054d4dfe
company,1629111600,"INSIGHT-Detroit sticks with trucks, SUVs despite lofty 2030 goals for EVs",69679735,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,F,Yahoo,"The future may belong to electric cars, but for U.S. automakers, trucks will rule for years to come.  Automakers in North America plan to build more big pickups and sport utility vehicles than electric vehicles well into the late 2020s, chasing sales trends that run counter to the Biden administration's goal of boosting EVs to half the market by 2030, according to internal production forecasts viewed by Reuters.  The popularity of Detroit's big trucks is a challenge both to the industry and efforts by lawmakers and regulators to reduce emissions of carbon dioxide and other exhaust gas pollutants from combustion engines.",https://finnhub.io/api/news?id=f08952b8f45cad8718139a4641139ca01f2f33ba09df1dd5886f028dc07f72fb
company,1629108360,Endurance Electric Pickup Is Coming,69684912,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/electric-mobility-4158594_1920_4.jpg,F,Benzinga,"On Wednesday, Lordstown Motors Corporation (NASDAQ: RIDE) reported a second-quarter loss, confirming it will begin limited production of its Endurance pickup truck by the end of...",https://finnhub.io/api/news?id=9f972cf9917ce8aba76da7c3717e653b716ed7c1dd2d9aa56986cd0e29ec9f97
