category,datetime,headline,id,image,related,source,summary,url
company,1628872200,"Fortune Brands Home & Security Inc. stock rises Friday, still underperforms market",69674561,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. inched 0.15% higher to $102.51 Friday, on what proved to be an all-around favorable trading session for the...",https://finnhub.io/api/news?id=7500fdc2ddf735fffeadced88485ecf853941a7a4d26c0eca7657f5e94b7b75e
company,1628785800,Fortune Brands Home & Security Inc. stock underperforms Thursday when compared to competitors,69674562,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. dropped 0.07% to $102.36 Thursday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=4bd89648e342dd36697f3aa7829fb12b3cd13bfa30e418fe9e7cf34c742c63a8
company,1628699400,"Fortune Brands Home & Security Inc. stock rises Wednesday, outperforms market",69674563,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. rallied 2.97% to $102.43 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=377fd7fee2a44baf38cf2c4f56c567ed1f4e6a2a7ea6865755f1c4cc56cbb6b2
company,1628613000,Fortune Brands Home & Security Inc. stock outperforms market on strong trading day,69606617,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. rallied 1.30% to $99.48 Tuesday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=d5645e43ede9975169806aa0444b00652a75bc43a73734c5d3413ba70b404388
company,1628600352,Fortune Brands (FBHS) Displays Bright Prospects Despite Risks,69600644,https://s.yimg.com/uu/api/res/1.2/lHOYeVX49E8r2SGmVlrLzw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/8a40ffb59ab80cc25dceb60bb68959ca,FBHS,Yahoo,"Fortune Brands (FBHS) benefits from strength in its businesses, acquired assets and shareholder-friendly policies. Escalating costs and operating expenses and high debt level remain concerns.",https://finnhub.io/api/news?id=37103729304acf2824d3cc95264565a45a53ca0b4af91fbff1dae63cf18c11e2
company,1628526600,Fortune Brands Home & Security Inc. stock outperforms competitors despite losses on the day,69587612,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. shed 1.53% to $98.20 Monday, on what proved to be an all-around rough trading session for the stock market,...",https://finnhub.io/api/news?id=2fadf8bf06bbf7b300be3df9f4ec49f7446e5428ce7aae6a8ae13a7dc8039421
company,1628416754,If You Like EPS Growth Then Check Out Fortune Brands Home & Security (NYSE:FBHS) Before It's Too Late,69571201,https://s.yimg.com/uu/api/res/1.2/5r5oXpDak0g1f46DKo6pQA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/20440850d85a0a24534edc176f6e5c4b,FBHS,Yahoo,"It's only natural that many investors, especially those who are new to the game, prefer to buy shares in 'sexy' stocks...",https://finnhub.io/api/news?id=99684d4522f7756d90f42c43c7a9d7972907361732833ea01af959eeb9b6a8b5
company,1628271300,"George Foreman Grills, Kwikset Locks—Spectrum Brands’ Sales Are Growing. And the Stock Is Inexpensive.",69557683,https://images.barrons.com/im-380879/social,FBHS,MarketWatch,"Spectrum Brands—which sells George Foreman grills, Kwikset locks, some Black & Decker products, and more—is in the midst of a pandemic growth spurt. Get its...",https://finnhub.io/api/news?id=382da75049fed4a48ee87c5bd7b542eed5cbc20e347a9633820e4058c4ba456a
company,1628267400,Fortune Brands Home & Security Inc. stock outperforms competitors on strong trading day,69567088,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. inched 0.46% higher to $99.73 Friday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=b9660c2e5a2c6617c1d91dc3e12659a109c520315256bab0db96d46003d1f4eb
company,1628181000,"Fortune Brands Home & Security Inc. stock rises Thursday, still underperforms market",69536561,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. inched 0.20% higher to $99.27 Thursday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=5a2c21f8575a85c54a524f5e044aacb7455ede6eed413f35a07dc9da08fb6bc4
company,1628094600,Fortune Brands Home & Security Inc. stock underperforms Wednesday when compared to competitors,69536562,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. shed 1.12% to $99.07 Wednesday, on what proved to be an all-around poor trading session for the stock market,...",https://finnhub.io/api/news?id=24cad6efe300ccf8b859e21f58581b4252777b703a40227929ee1b6a0dab31bb
company,1628008200,Fortune Brands Home & Security Inc. stock outperforms market on strong trading day,69483467,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. rallied 2.31% to $100.19 Tuesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=e9dd02f98741cebe17326c8ccf611cee8fb16a567136b543269f8f102d5458e2
company,1627921800,Fortune Brands Home & Security Inc. stock outperforms competitors on strong trading day,69483468,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. inched 0.47% higher to $97.93 Monday, on what proved to be an all-around poor trading session for the stock...",https://finnhub.io/api/news?id=f618e66e9357be834dff5d756c4ab2814f23a2a9aa5e0f076ad8d098ac4225fe
company,1627662600,Fortune Brands Home & Security Inc. stock underperforms Friday when compared to competitors despite daily gains,69428556,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. inched 0.68% higher to $97.47 Friday, on what proved to be an all-around grim trading session for the stock...",https://finnhub.io/api/news?id=d90b9fa504630a50b74d7db2b96d354c320942afc9b59fe09e70ff92f7b7d283
company,1627576200,"Fortune Brands Home & Security Inc. stock rises Thursday, still underperforms market",69405294,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. inched 0.27% higher to $96.81 Thursday, on what proved to be an all-around favorable trading session for the...",https://finnhub.io/api/news?id=afdc2974c96078dd4086438c00785b5a902a5775098f72f1276e7e670fee9f51
company,1627564981,Fortune Brands (FBHS) Q2 Earnings & Revenues Beat Estimates,69391589,https://s.yimg.com/uu/api/res/1.2/hW4eVEqvD1PC9.jVQAoI_g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a3fb7a04f19defa80465e7d44efab77c,FBHS,Yahoo,Fortune Brands' (FBHS) second-quarter 2021 revenues increase 41% year over year on account of impressive performance across its segments.,https://finnhub.io/api/news?id=cfaf65b081417ea15af1095dd7534d83ba3ea78cc9c1bf2c6f3b9bdbf9906501
company,1627525973,Fortune Brands Home & Security Inc (FBHS) Q2 2021 Earnings Call Transcript,69374902,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,FBHS,Yahoo,"FBHS earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=57380b42c38d700a5a542a759c316e2a9102b076270580b513d2e322063ef5a5
company,1627515942,"Fortune Brands Home & Security, Inc. (FBHS) CEO Nick Fink on Q2 2021 Results - Earnings Call Transcript",69375145,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,FBHS,SeekingAlpha,"Fortune Brands Home &amp; Security, Inc. (NYSE:FBHS) Q2 2021 Earnings Conference Call July 28, 2021 16:30 ET Company Participants Dave Barry - Senior Vice President of Finance &amp;...",https://finnhub.io/api/news?id=eeb5dd9b43f95718d50783bced882e446de0242398a8dd822e0b6620efe32e13
company,1627507509,Fortune Brands Home & Security (FBHS) Tops Q2 Earnings and Revenue Estimates,69372160,https://s.yimg.com/uu/api/res/1.2/eeFsK50..hTdRBoBNDEyoA--~B/aD03MTE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d2f7ed3d1940141716bfd200f5c94c6b,FBHS,Yahoo,"Fortune Brands Home & Security (FBHS) delivered earnings and revenue surprises of 13.87% and 2.70%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=42126c350dedc3d1630f58af65c653f865826b9023b929f5e1880e7015ccd59c
company,1627502700,Fortune Brands Delivers Strong Sales and Profit Growth in 2Q 2021; Company Further Increases 2021 Annual Outlook Based on Continued Expected Outperformance in a Strong Housing Market,69370750,https://s.yimg.com/uu/api/res/1.2/5Zx8Mrz1n7dF3CmFfD3ZBg--~B/aD0xNDc7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/0e07c1ca7d3362bdbcfc4453c294c2ae,FBHS,Yahoo,"DEERFIELD, Ill., July 28, 2021--Fortune Brands increases 2021 full year financial outlook on continued share gains in a strong demand environment.",https://finnhub.io/api/news?id=c3d86f1b9051887302c3cf840e11fd39e3839f909fc2fd4c0834ef399f5a73fd
company,1627489800,"Fortune Brands Home & Security Inc. stock falls Wednesday, underperforms market",69405295,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. slumped 0.67% to $96.55 Wednesday, on what proved to be an all-around dismal trading session for the stock...",https://finnhub.io/api/news?id=02f57e149332dd1ad9d8647a0be9aa85fa2225d830e4cc964c3a49d2349b4b2a
company,1627488960,Fortune Brands Home & Security: Q2 Earnings Snapshot,69377967,,FBHS,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ddf93b8c7a00cfc4bf223d5f7254469f24b45d81780712809130f1fcb82c28b3
company,1627488300,Fortune Brands Delivers Strong Sales and Profit Growth in 2Q 2021; Company Further Increases 2021 Annual Outlook Based on Continued Expected Outperformance in a Strong Housing Market,69377968,,FBHS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6a04dffaabab6950700723d5fb959ea82f12e71bffd4d680752875e2fd28b144
company,1627441800,Fortune Brands raises FY21 EPS ex-items view $5.65-$5.85 from $5.45-$5.65,69377969,,FBHS,Thefly.com,FY21 EPS consensus $5.64.... FBHS,https://finnhub.io/api/news?id=5887ece54a934049ace38359158e768a475509923103ffc4a91049cada40ba16
company,1627441680,"Fortune Brands reports Q2 EPS ex-charges $1.56, consensus $1.39",69377970,,FBHS,Thefly.com,Reports Q2 revenue $1.936... FBHS,https://finnhub.io/api/news?id=5e9da493a95e9613a51776317bb59fa1bcb437fa077def5607dc87d3d7f225c6
company,1627403400,Fortune Brands Home & Security Inc. stock outperforms market despite losses on the day,69353475,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. dropped 0.18% to $97.20 Tuesday, on what proved to be an all-around dismal trading session for the stock...",https://finnhub.io/api/news?id=248759e8031f4ed4331905d4d569a9d149ee9fcd5871126ff6bccab2ffbaacb5
company,1627317000,Fortune Brands Home & Security Inc. stock underperforms Monday when compared to competitors,69353476,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. shed 0.80% to $97.38 Monday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=b0fd725ea449557a8409a3c98f6787b44766ce683ac1b6e433bcb0f94ec87aa1
company,1627312020,"Fortune Brands Plans Additional $400M Stock Buyback, Declares Dividend",69324653,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/aaconsumerv3_313.png,FBHS,Benzinga,"Fortune Brands Home & Security Inc (NYSE: FBHS), a home and security products company, said its Board of Directors authorized the repurchase of up to $400 million...",https://finnhub.io/api/news?id=0a8ff6454e1a6bb7d765b9d091fa709a7754a07ffb891270d24387da04de20ad
company,1627310402,Fortune Brands (FBHS) to Post Q2 Earnings: What's in the Cards?,69325793,https://s.yimg.com/uu/api/res/1.2/zUz4J0twoEngVDDq2.8Yxg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d1aa21e7f6aae9026b3da3c20c2cfea4,FBHS,Yahoo,Fortune Brands' (FBHS) Q2 earnings are likely to have benefited from strength across its businesses and acquired assets. High operating costs and expenses might have been a spoilsport.,https://finnhub.io/api/news?id=fa2144fb0679148ea066cca1ca7d1accbe8d894608534f6eae62eec32f4c551e
company,1627304400,Fortune Brands Announces Additional $400 Million Share Repurchase Authorization and Declares Quarterly Dividend,69325794,https://s.yimg.com/uu/api/res/1.2/8OeI70KYuEAQr5bGiUUTVQ--~B/aD0xNDc7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/4aa3cb8c37923f32a3b645c8612f7325,FBHS,Yahoo,"DEERFIELD, Ill., July 26, 2021--Fortune Brands announces additional $400 million share repurchase authorization and declares quarterly dividend of $0.26 per common share.",https://finnhub.io/api/news?id=12e8bf7d8b329359a188b31790391c55eb7ecb4449d5fd26e58dc0293e7cf806
company,1627290000,Fortune Brands Announces Additional $400 Million Share Repurchase Authorization and Declares Quarterly Dividend,69322827,,FBHS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e116eb1d00ac00b12b23ba79c7479a566b6798859445a19aa24c6f096826b096
company,1627287180,Fortune Brands announces additional $400M share repurchase pact,69322828,,FBHS,Thefly.com,Fortune Brands Home &... FBHS,https://finnhub.io/api/news?id=1b44edd0eac39ceda01c7900da823330ce78b6b715be267036769efa2aacf98e
company,1627061146,Earnings and the Federal Reserve are next big catalysts as stocks enter week ahead on an upswing,69298661,https://image.cnbcfm.com/api/v1/image/106913638-16267950530351-STVN-OB-Photo-210720-PRESS-15-jpg?v=1626795213,FBHS,CNBC,Here comes one of the biggest market weeks of the summer.,https://finnhub.io/api/news?id=7874e03466528d1e4ac0285c1a2d32185bb465a602b18f8b42c8f6e5e2843b05
company,1627057800,Fortune Brands Home & Security Inc. stock outperforms competitors on strong trading day,69306908,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. rallied 1.88% to $98.17 Friday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=9ab858ce2b42442558403b5eb8bfb3f043d5decf4bb7cfa314d7e0b0796c9021
company,1626971400,"Fortune Brands Home & Security Inc. stock falls Thursday, underperforms market",69306909,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. slid 1.39% to $96.36 Thursday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=5f6ebcc17ee40131b5a33f2e97f8cdbb4da53a1821b096ced9e629a528bd3e4c
company,1626894127,Fortune Brands Home & Security (FBHS) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,69263820,,FBHS,Yahoo,Fortune Brands Home & Security (FBHS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=38ab41b725b8876a89cea2b7c0bd3681707bf80ebcbd0006d78dce1bea042f3a
company,1626885000,"Fortune Brands Home & Security Inc. stock rises Wednesday, outperforms market",69306910,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. advanced 1.88% to $97.72 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=dbafd3925a6293967ea610ec6af94dd2ed4b966a14c9ee4da7d2f359eeeadfd1
company,1626798600,Fortune Brands Home & Security Inc. stock outperforms competitors on strong trading day,69238053,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. advanced 1.62% to $95.92 Tuesday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=89c2a079756e17229d148565a26b65e3c8e041735d4f409749f306b15b15db49
company,1626787616,Hedge Funds Are Dumping Fortune Brands Home & Security Inc (FBHS),69231681,https://s.yimg.com/uu/api/res/1.2/WzbANBBnl9CPNsziplmAqA--~B/aD02MDA7dz00NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/6706be892d03c7aab9c39350c4e62e17,FBHS,Yahoo,"Hedge Funds and other institutional investors have just completed filing their 13Fs with the Securities and Exchange Commission, revealing their equity portfolios as of the end of September. At Insider Monkey, we follow nearly 900 active hedge funds and notable investors and by analyzing their 13F filings, we can determine the stocks that they are […]",https://finnhub.io/api/news?id=2bc7aa149788f15deea5c339d51da3f5606fc8fc93743502e414c8be5321ac0b
company,1626768620,Sum Up The Parts: S&P 500 Has 10% Upside,69221463,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?101029620,FBHS,Nasdaq,"The financial media loves to get predictions from experts about where they think the S&P 500 index is headed. Some experts look at technical analysis patterns, others look at valuation metrics, others apply a broad macro view of the economy. In this article, we present anot",https://finnhub.io/api/news?id=1b11773d9395fc798e624ea63a5e61e039e4401045566968894352704b4bd74b
company,1626712200,Fortune Brands Home & Security Inc. stock outperforms market despite losses on the day,69238055,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. slipped 1.07% to $94.39 Monday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=e8d2b25629ac4e2bf5dd79787f80e9139ae6b36ce6e2f4120325d4f4565dc39a
company,1626453000,Fortune Brands Home & Security Inc. stock underperforms Friday when compared to competitors,69195272,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. slipped 1.11% to $95.41 Friday, on what proved to be an all-around grim trading session for the stock market,...",https://finnhub.io/api/news?id=99a9a732eaca579a531fcd417a25b9cba17c29ec73794af25e90dc702d01cb79
company,1626366600,Fortune Brands Home & Security Inc. stock underperforms Thursday when compared to competitors despite daily gains,69195273,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. inched 0.22% higher to $96.48 Thursday, on what proved to be an all-around mixed trading session for the stock...",https://finnhub.io/api/news?id=6cba1a7af176324edf03755f516136f4b5f2c3823cd0805e771bbcb9924d0a48
company,1626319080,Fortune Brands initiated with an Equal Weight at Wells Fargo,69145913,,FBHS,Thefly.com,Fortune Brands initiated with an Equal Weight at Wells Fargo Wells Fargo FBHS,https://finnhub.io/api/news?id=ac79c70f22e77bb7c31b08ad08d5a279f507b07a5dd10d3fe89852cd40be8e06
company,1626280200,"Fortune Brands Home & Security Inc. stock rises Wednesday, still underperforms market",69195274,https://images.mktw.net/im-220105/social,FBHS,MarketWatch,"Shares of Fortune Brands Home & Security Inc. inched 0.07% higher to $96.27 Wednesday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=e6f7a7dd154eb9bf9e6cfe1034202bcc36b74477f75c10ed2eea7e7152e75e1c
