category,datetime,headline,id,image,related,source,summary,url
company,1629208450,15 Best Momentum Stocks To Invest In,69694494,,FCX,Yahoo,"In this article, we discuss the 15 best momentum stocks to invest in. If you want to skip our detailed analysis of these stocks, go directly to the 5 Best Momentum Stocks To Invest In. The influx of retail investors on the market in the past few months has led to an increase in stock […]",https://finnhub.io/api/news?id=c71550c3aca28cd4b99b5cbef6d6bccd1f5f40ee8ea751ea1f1154d0328e98f5
company,1629144082,10 Russell 2000 Basic Materials Dividend Stocks to Buy,69684616,https://s.yimg.com/uu/api/res/1.2/zPLf0NWMISttFfhs5IO9Og--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/7bcf25b1d8b2e9395cd9c6067f61e66d,FCX,Yahoo,"In this article, we will be looking at 10 Russell 2000 basic materials dividend stocks to buy. To skip our detailed analysis of the basic materials sector, you can go directly to see the 5 Russell 2000 Basic Materials Dividend Stocks to Buy. The basic materials sector is one that is typically considered to be […]",https://finnhub.io/api/news?id=0ca4aa0214ed181cc5e08e8178d6f6538948e40267c737135e520bae31dcb6af
company,1629113940,"Goelzer Investment Management, Inc. Buys iShares Barclays GNMA Bond Fund, Pioneer Natural Resources Co, Vanguard Russell 1000 Growth Index Fund, Sells Compass Minerals International Inc, Bristol-Myers Squibb Company, AT&T Inc",69696761,,FCX,GuruFocus,,https://finnhub.io/api/news?id=c0e7ffbad07dd01cf47f3b35d3c2dcdd31e9f2253bfb1066ce4016577bc01e4a
company,1629110340,"D L Carlson Investment Group Inc Buys Raytheon Technologies Corp, Coinbase Global Inc, CVS Health Corp, Sells Boeing Co, AT&T Inc, Penn National Gaming Inc",69695868,,FCX,GuruFocus,,https://finnhub.io/api/news?id=db01a6a277ce8491f62a40f524a4fdbfc377bc555f281c88892eba9958c2cb25
company,1629095940,"180 Wealth Advisors, Llc Buys NVIDIA Corp, Tortoise Energy Infrastructure, TE Connectivity, Sells General Electric Co, AT&T Inc, Direxion Daily Financial Bull 3x Shares",69696601,,FCX,GuruFocus,,https://finnhub.io/api/news?id=7c33bb94968da6ede56f4abb5bf648f508eb5ac4d7b6bb6f4fbbbe7fc7fd6cb2
company,1629090360,3 Copper Stocks to Buy to Cash in on the Coming Boom,69679763,https://investorplace.com/wp-content/uploads/2019/07/copper1600-1.jpg,FCX,InvestorPlace,"As the EV and infrastructure economies kick into full gear, copper stocks are well positioned to ride the wave higher.",https://finnhub.io/api/news?id=8a99e7ff80243a5959a1df272309306b720a8382f43bb27b65b52277f383883f
company,1629085140,"Morse Asset Management, Inc Buys Shopify Inc, Newmont Corp, Horizon Therapeutics PLC, Sells DraftKings Inc, D.R. Horton Inc, BorgWarner Inc",69696110,,FCX,GuruFocus,,https://finnhub.io/api/news?id=f0d813d316c9cc96875ef1305211ab005ba77cf998f7753a81cbc3a6c7b44d01
company,1629083940,"Appaloosa adds Uber, cuts T-Mobile in Q2",69694163,,FCX,Thefly.com,"David Tepper's Appal... UBER, PHM, BODY, TCVA, CRM, ADBE, DIS, PYPL, IQ, MOS, PCG, MU, TMUS, AMZN, CHK, FB, GOOG, FCX",https://finnhub.io/api/news?id=306b0cb996f10fdc9f12ced142ee222fe620b3b2e68f37a09fc621d372e1a7ce
company,1629081540,"Moore Capital Management, LP Buys The Energy Select Sector SPDR Fund, Luminar Technologies Inc, SPDR Oil & Gas Exploration and Production ETF, Sells Cerence Inc, VANECK VECTORS ETF, Norfolk Southern Corp",69696666,,FCX,GuruFocus,,https://finnhub.io/api/news?id=3093bb86b1c4311f77d9c914711ba2f3fb63e1693bb706d1061d6886f4d8118c
company,1628913838,Jervois Global Limited: Another Bold Move,69665199,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1214722796/medium_image_1214722796.jpg,FCX,SeekingAlpha,Jervois Global Limited took another large step towards its goal of becoming a premier battery metals company. Click here to see our bull and base case for the stock.,https://finnhub.io/api/news?id=9f21251f81c0f8d53ea62285e7e31abde32e3efa5be4bd6e4100ab5793d59ee6
