category,datetime,headline,id,image,related,source,summary,url
company,1628928550,XLU: Utilities Dashboard For August,69666474,,FE,SeekingAlpha,,https://finnhub.io/api/news?id=1392bd005dadb1dc9ffebe1acb546581d4f0848126adc219492b7ae7b6581148
company,1628879346,FirstEnergy (FE) Gains From Investments & Clean Energy Goals,69663329,https://s.yimg.com/uu/api/res/1.2/Ubiv7rFVd_DjCSbkkgz16w--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3923621f08ea71af5625e3b27511ee03,FE,Yahoo,FirstEnergy's (FE) strong residential customer base and capital activities to develop infrastructure along with its focus on reducing emissions are likely to drive earnings.,https://finnhub.io/api/news?id=3be4bc6c3eb81691be84f2c1e41115d59341d254c6607eb6540abb9b8a91e87f
company,1628873580,FirstEnergy Corp. stock outperforms competitors on strong trading day,69670202,https://images.mktw.net/im-220105/social,FE,MarketWatch,"Shares of FirstEnergy Corp. inched 0.86% higher to $38.64 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=f1b4c50bf4001139329fe124a30b50df5cddcd633496bf6b8cfe5556bf53de04
company,1628856600,Judge orders $8M asset freeze for ex-Ohio utility regulator,69669478,,FE,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c1591a6fa9cd5157a1a03945e7a064fc753c69e56fe5fa29df396131032ab0a3
company,1628787180,FirstEnergy Corp. stock outperforms market on strong trading day,69670203,https://images.mktw.net/im-220105/social,FE,MarketWatch,"Shares of FirstEnergy Corp. inched 0.39% higher to $38.31 Thursday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=816171b889a8ebe447630bac1414f917c37d284bcbab3e610a9e31fcef70cdd2
company,1628700780,FirstEnergy Corp. stock outperforms market on strong trading day,69628019,https://images.mktw.net/im-220105/social,FE,MarketWatch,"Shares of FirstEnergy Corp. inched 0.82% higher to $38.16 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=1de6bd8e40346605bd75339a78509207827e9433a1c65b2676fa04527dfede03
company,1628666700,FirstEnergy Reportedly Looks to Sell Transmission Stake for $2.5 Billion,69613938,,FE,Yahoo,FirstEnergy reportedly is working with advisers to sell a near 20% stake in its transmission business with an eye to raising some $2.5 billion from the potential sale.,https://finnhub.io/api/news?id=d6a304b7ea8196f5a5c9844e73d675edbc2e0cffc20a2fed247fc8c04f2c3a9b
company,1628632650,FirstEnergy Seeks Stake Sale in Transmission Business,69607401,https://s.yimg.com/uu/api/res/1.2/qd4H_yIXhTKak0LGBY_brw--~B/aD0xMzMzO3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_markets_842/d9f2e787cb69ae34ede94c317df8a41b,FE,Yahoo,"(Bloomberg) -- FirstEnergy Corp. is working with advisers to sell a nearly 20% stake in its transmission business, according to people familiar with the matter.The utility is seeking to raise about $2.5 billion from the potential stake sale, according to the people, who weren’t authorized to discuss the matter publicly. Infrastructure funds and sovereign wealth funds are among potential buyers, they said.No final decision has been made and FirstEnergy could elect to not sell a stake.A FirstEnerg",https://finnhub.io/api/news?id=5b2065fcf94f34b488843c4f7c8fb4af070b0dd0c61849bf99f0c0a420048ba7
company,1628614380,"FirstEnergy Corp. stock falls Tuesday, underperforms market",69628020,https://images.mktw.net/im-220105/social,FE,MarketWatch,"Shares of FirstEnergy Corp. dropped 0.03% to $37.85 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=2524d826aac258619c9722694f05100f1dfe739849d2760835814ce19439d6f6
company,1628527980,"FirstEnergy Corp. stock rises Monday, outperforms market",69628021,https://images.mktw.net/im-220105/social,FE,MarketWatch,"Shares of FirstEnergy Corp. inched 0.08% higher to $37.86 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=5962690280579478e5b0d502683078a5117bc3ab2d8ff2338a3329d3bc510586
