category,datetime,headline,id,image,related,source,summary,url
company,1629217868,Fifth Third Receives Energy Opportunist Award in Michigan for Environmental Sustainability Initiatives,69704778,https://s.yimg.com/uu/api/res/1.2/IfZ.YZKrVPUebNtq2RezSw--~B/aD0zODg7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/9b86475b51c27c6843701f02ba3ff833,FITB,Yahoo,The Michigan Battle of the Buildings presented Fifth Third Bank with the Energy Opportunist Award at the Seventh-Annual Michigan Energy Summit on Aug. 12. The award recognized the results achieved ...,https://finnhub.io/api/news?id=310eda111216cb5c846fd03424ed9f77f864df3bc636532bfd427309ba6e3daf
company,1629132780,Fifth Third Bancorp stock outperforms competitors despite losses on the day,69687244,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp sank 0.70% to $38.21 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=a776532ca926019fb765939e62c719f48e7e537fe220637cdacd8a3ed16614a8
company,1629110340,"Wealth Dimensions Group, Ltd. Buys Vanguard Russell 1000 Growth Index Fund, Vanguard Russell 1000 Value Index Fund, Fifth Third Bancorp, Sells General Electric Co, Target Corp, DocuSign Inc",69697809,,FITB,GuruFocus,,https://finnhub.io/api/news?id=bcaf24e4463bb3bea1deab0ee08b90fd8addf4d865d5a4d096b355185602f30c
company,1628873580,"Fifth Third Bancorp stock falls Friday, underperforms market",69662718,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp slid 1.03% to $38.48 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8b6b525ceba737d95d8d64151c188475aa89595b5d9dd1d9808df1cd18642c19
company,1628788200,Fifth Third Bank Named Official Bank of the Tampa Bay Buccaneers,69640048,,FITB,Yahoo,"TAMPA, Fla., August 12, 2021--The Tampa Bay Buccaneers and Fifth Third Bank, National Association, announced today a multiyear partnership that names Fifth Third as the Official Bank of the Buccaneers. The partnership launches with the 2021 season and includes Fifth Third branding on an entry gate, a new lounge with an unmatched view of players as they prepare to hit the field, the Buccaneers mobile application, digital franchise content and a regular-season game takeover, as well as in-stadium",https://finnhub.io/api/news?id=3f8b4172e302a6865977dbb49ee1b8c83fff4590f3148f174d89c20af19b8e8f
company,1628787240,"Fifth Third Bancorp stock rises Thursday, outperforms market",69662719,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp inched 0.49% higher to $38.88 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=05a7061e28f912dbbf5cd42764b3736390e0fd2500e56a1e2c1f45944a76c0a5
company,1628773800,Fifth Third Bank Named Official Bank of the Tampa Bay Buccaneers,69652801,,FITB,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b8ed5cfef3fb05b4e0ff31dd79cdd07688c5f26a75bc740c8f98773750bdd7be
company,1628710267,From the Fifth Third 2020 ESG Report: Enterprise Risk Management,69621996,https://s.yimg.com/uu/api/res/1.2/f8rjG9gjLTodvxF_p4vAjA--~B/aD00OTE7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/636aa205e7c7783ea8b8a35180170ba5,FITB,Yahoo,Fifth Third Bank has been in business since 1858 and has been successful over this span of years by effectively balancing risk and return.,https://finnhub.io/api/news?id=8932d529e3779c025ca04276be7a2f51f81ae699fd83e10b8161f5a56c0447bc
company,1628700840,Fifth Third Bancorp stock outperforms market on strong trading day,69641703,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp rallied 1.39% to $38.69 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=299026b3c3ed4c656e2f6e8b1d2ac700dc5663d3682933586ab2ad10ebd951c3
company,1628614380,Fifth Third Bancorp stock underperforms Tuesday when compared to competitors despite daily gains,69622371,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp rallied 1.60% to $38.16 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=93b442b15a4cbc5e075becb43f6637042042b4cbb131ec91d1deb562c7731c1a
company,1628604426,From the Fifth Third Bancorp 2020 ESG Report: Public Policy and Government Relations,69596268,https://s.yimg.com/uu/api/res/1.2/SPCYdfZlsdM7fNFNFi3oBA--~B/aD01MDk7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/cc0cb8e6b72c2041e3ba80398e3c5d5f,FITB,Yahoo,"Fifth Third is subject to government regulation and risks generated by new, complex and evolving legislative and regulatory requirements that impact nearly every aspect of our operations.",https://finnhub.io/api/news?id=ec1c9fcf59d91e61e74a190d6c5753cead1bb1f52a03a0d17b1951741b0141b0
company,1628542866,Fifth Third Bank to Present at Sustainable Pittsburgh Carbon Reduction Conference,69586024,https://s.yimg.com/uu/api/res/1.2/ZwQgmiGVi5H3NpXljXJmxQ--~B/aD0zNjA7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/81c3589da1ab18bc3460e7e1f68e2621,FITB,Yahoo,"Fifth Third Bank Environmental Sustainability Leader Jeremy Faust will be presenting at Sustainable Pittsburgh’s “Advancing Your Organization’s Carbon-Reduction Goals” webinar on Thursday, August 1...",https://finnhub.io/api/news?id=63c078ec3ed401956ec06e29fa8cf6b6b6012820b781ab2107f633fcd7beb8b7
company,1628527980,"Fifth Third Bancorp stock falls Monday, underperforms market",69599288,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp sank 0.45% to $37.56 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=49da1843a88cb4edc8087bf20004bcaded533baf29e87bf0bdca234945dce4f2
company,1628523966,From the Fifth Third Bank 2020 ESG Report: Corporate Governance,69582676,https://s.yimg.com/uu/api/res/1.2/N.9uabf9zyJ923TcKjmBag--~B/aD01MDU7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/a01d1631f1567b3ecc46882e9726b0f5,FITB,Yahoo,"One of our most valuable assets at Fifth Third is our reputation for integrity. We are judged by our conduct, and we must act in a manner that merits public trust and confidence.",https://finnhub.io/api/news?id=010c78a74bf82ed0abbdca0d92d018d61dc42483bfdde6b953ad726435930b10
company,1628268780,"Fifth Third Bancorp stock rises Friday, outperforms market",69553481,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp rose 2.03% to $37.73 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=8dde433138e8546f0f24a0e5b4d29be5664bbcc547585c0b5cb8ca1c6acf0937
company,1628253899,"Fifth Third Ready To Flip The Switch On Growth, When The Yield Curve Cooperates",69548278,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458955825/medium_image_458955825.jpg,FITB,SeekingAlpha,"Fifth Third had a good second quarter, with a strong core pre-provision beat driven by better than expected spread income performance as well as positive operating leverage.",https://finnhub.io/api/news?id=70d60c8bc4b11dd504879fda79b1b00f052519fbe0edac5dcd418085a020bfbe
company,1628182380,Fifth Third Bancorp stock underperforms Thursday when compared to competitors despite daily gains,69553483,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp rallied 1.68% to $36.98 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=37a32df91b988c4ad3241f64350d0554eb8deb83c44f84e5974245d339dfb5b9
company,1628173322,Fifth Third (FITB) Winds Up Buyout of Fintech Company Provide,69521033,https://s.yimg.com/uu/api/res/1.2/mRshTrYzrEtjYVFb3P_fMQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/713d9cfa93e8c27087589121df5b1975,FITB,Yahoo,Fifth Third's (FITB) acquisition of Provide underlines its continued digital innovation efforts and focus on the healthcare sector.,https://finnhub.io/api/news?id=e5bb387f5a7c6f4dac5bff6af287b51b5e34b000cfca2d1b498eb2d8a6fd1cd4
company,1628095980,Fifth Third Bancorp stock underperforms Wednesday when compared to competitors,69527988,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp shed 1.28% to $36.37 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=b973a685136248f53a705e4b542c8cdaf76d879f9700e09a056bef14083b170d
company,1628073540,"Ritter Daniher Financial Advisory, Llc Buys VanEck Merk Gold Trust, Global X CleanTech ETF, Fifth Third Bancorp, Sells S&P MidCap 400 ETF, iShares S&P Mid-Cap 400 Growth ETF, Hormel Foods Corp",69495809,,FITB,GuruFocus,,https://finnhub.io/api/news?id=7523a781c6b68097a3b2e5a513b10f1498c5a86d81d872a1a5056fecd9b695cc
company,1628009580,"Fifth Third Bancorp stock rises Tuesday, outperforms market",69477733,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp advanced 2.11% to $36.84 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=a826565fa34b57af2c5f17b0a5898911d6c508cab5372a0c618c4a6002e4e514
company,1627992000,"Fifth Third Completes Acquisition of Provide, a Fintech Company Serving Healthcare Practices Nationally",69464037,https://s.yimg.com/uu/api/res/1.2/k2LQCbdr3Mg.4bF2Vi39WQ--~B/aD0xOTU7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/3e39640dd77ca734b3a017dad9169509,FITB,Yahoo,"CINCINNATI, August 03, 2021--Fifth Third Bancorp (NASDAQ: FITB) today announced it has closed on the acquisition of Provide, a digital platform for healthcare practices.",https://finnhub.io/api/news?id=455828e8795bc2f2df980f1f5efcb723075fcdf9354a86e969a5a2302e413abf
company,1627987140,"Cookson Peirce & Co Inc Buys Dick's Sporting Goods Inc, Pool Corp, First Republic Bank, Sells Amazon.com Inc, JD.com Inc, KLA Corp",69471854,,FITB,GuruFocus,,https://finnhub.io/api/news?id=9001e33be32798d3e7a0fe5d82cb9f7f573d17826624b6c894632717c8c43afb
company,1627977600,"Fifth Third Completes Acquisition of Provide, a Fintech Company Serving Healthcare Practices Nationally",69471855,,FITB,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d68a3289b1d0ff46c7f4664848b2d42ed176e3b192ca24446dacd4561db6f664
company,1627972260,5 Favorite Dividend-Paying Banks to Buy Now With Q2 Earnings Over,69465209,https://247wallst.com/wp-content/uploads/2021/07/imageForEntry9-6Xq.jpg,FITB,247WallSt,"These five top Jefferies bank stock picks really are value plays when compared to the very overbought and pricey stock market as a whole. With earnings out of the way, investors can feel good about adding positions in these dividend payers.",https://finnhub.io/api/news?id=ab380c203ccf9d81b922c8cc576a7fd8768e237f81ac4ca2095e0df17dafa48b
company,1627965540,"Mckinley Capital Management Llc  Buys Intuit Inc, HDFC Bank, Fifth Third Bancorp, Sells Netflix Inc, ServiceNow Inc, Paycom Software Inc",69489584,,FITB,GuruFocus,,https://finnhub.io/api/news?id=88c257fb982860199cced776830912a22bca6436f6095ab44a41e842678c6f98
company,1627923240,"Fifth Third Bancorp stock falls Monday, underperforms market",69462708,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp dropped 0.58% to $36.08 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e23c601b0e15c2e37db99dd20e42d8aa34bc1ef9ca1ce86a20b88ada9b29063e
company,1627683900,CORRECTING and REPLACING Fifth Third Foundation Invests $1 Million into National Urban League Workforce Development Program,69416042,https://s.yimg.com/uu/api/res/1.2/SqtZ8MOqlUjiqNZxTKHOLA--~B/aD00MTU7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/a3b0fe864c8dd42923d8955e0c582d02,FITB,Yahoo,"CINCINNATI, July 30, 2021--Fifth Third Bank and the National Urban League today announced a new workforce development program that will provide career advancement opportunities.",https://finnhub.io/api/news?id=f5fbaaba7a605aa6225e6483319d60ebf8deb4979ba48272271f2fec1c379151
company,1627669500,CORRECTING and REPLACING Fifth Third Foundation Invests $1 Million into National Urban League Workforce Development Program,69420846,,FITB,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5fb9dbd9c19948a5af3ce914eb4f1c5682e3b70da129925f10125c639f0feddc
company,1627663980,"Fifth Third Bancorp stock falls Friday, underperforms market",69430312,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp shed 0.96% to $36.29 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=3b1ce096f66efd12bd672a1979686c981c778c676a65aee66d2f0b425eae05e9
company,1627654697,From the Fifth Third Bank 2020 ESG Report: Empowering Customers,69406583,https://s.yimg.com/uu/api/res/1.2/dQpmp85V_4bdVcaOQZJIKQ--~B/aD00NDI7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/a4e6a3f6bad54202eb959bad94e08521,FITB,Yahoo,"The enduring truth about Fifth Third Bank is that our success is a product of our customers’ success. G. Carlton Hill, who was president of the Fifth Third Union Trust Company from 1955 to 1963, of...",https://finnhub.io/api/news?id=76808afc0a1d23ecdc6bd7e40d30e766ec3c90c14c38902b4cf7b683aadc1dfb
company,1627577640,"Fifth Third Bancorp stock rises Thursday, outperforms market",69402908,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp inched 0.52% higher to $36.64 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=17ee0444dce1107be0bc2852783fe23d5fe9bad8b6a09f4b6b6b512a78fea775
company,1627567702,Fifth Third Bank Announces Participation in Office of the Comptroller's Project REACh,69381364,https://s.yimg.com/uu/api/res/1.2/PpjQqQfSs5a8x5NfH56D6w--~B/aD05NzU7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/1773bc9c76a1383a03f9a4e50316243b,FITB,Yahoo,Joining initiative to promote greater access to capital and credit for underserved populations,https://finnhub.io/api/news?id=e0d7150d493610f0c491e43cd79bb6c5d44aefbdf62ecd544e7659cc07efe70f
company,1627491180,Fifth Third Bancorp stock underperforms Wednesday when compared to competitors despite daily gains,69402909,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp inched 0.19% higher to $36.45 Wednesday, on what proved to be an all-around rough trading session for the stock market, with...",https://finnhub.io/api/news?id=c1305c86a4dc0d50506cf346eaa95ae72777177c08f8f70e5bebfff195b6b7cf
company,1627482966,Fifth Third Bank eBus Returns to the Road; Financial Empowerment Tours to Boost Local Communities,69368341,https://s.yimg.com/uu/api/res/1.2/27kSuRA.hJtch9sNnDRrXQ--~B/aD0zNzU7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/f0ff560fcfb1ebd225de82ff61acc46d,FITB,Yahoo,"CINCINNATI, July 28, 2021 /3BL Media/ – Fifth Third Bank today announced that its Financial Empowerment Mobile, commonly known as the eBus, is returning to the road after a COVID-19 pandemic hiatus...",https://finnhub.io/api/news?id=5a287027f6dcfcb63c014fbe43c38d3d5835b220fc455faf0665051258803d55
company,1627477740,Fifth Third Bank eBus Returns to the Road,69368342,https://s.yimg.com/uu/api/res/1.2/FXI.RVXSMoPH7DegFqB30w--~B/aD0yNzc7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/25ade6380a91c2729a1009a773b1a016,FITB,Yahoo,"CINCINNATI, July 28, 2021--Fifth Third Bank's Financial Empowerment Mobile, or eBus, returns to the road to deliver financial access and capability services to the community.",https://finnhub.io/api/news?id=080c32a5b6685b5648098488c237c6f1db1768d111d8f3fdfc556f2bb0b449c9
company,1627470060,Excess Capital and Reserves Should Boost Earnings at Fifth Third,69368343,https://s.yimg.com/uu/api/res/1.2/xkrv_JxwZN6RC31HSHM7Pw--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/ae646493848b237ea51bf5c70010e505,FITB,Yahoo,"The bank has significant excess capital it plans to burn through over the next year, as well as a conservative allowance for credit losses.",https://finnhub.io/api/news?id=b119dce6c30b5c1ff73e86f92c8e9f46fefae86fc5a2984907979e0eb0bc3ef7
company,1627463340,Fifth Third Bank eBus Returns to the Road,69366903,,FITB,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=8370a495b594b59aab1584e5f0c56454642c4555976b409f074c4f102e354f12
company,1627404780,Fifth Third Bancorp stock outperforms competitors on strong trading day,69402911,https://images.mktw.net/im-220105/social,FITB,MarketWatch,"Shares of Fifth Third Bancorp inched 0.17% higher to $36.38 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the...",https://finnhub.io/api/news?id=809cdf610059d7b1bf8499e212e6d16ecad68deba627b0d54d1b84ec035874b9
company,1627394595,From the Fifth Third 2020 ESG Report: Responsible Products,69340667,https://s.yimg.com/uu/api/res/1.2/9a.Po8_iKx37YT9kg8sG0A--~B/aD02OTY7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/86a0d06224130c0182b4d5f842b03422,FITB,Yahoo,"All products offered by Fifth Third are reviewed for compliance to align with UDAAP and any applicable consumer protection laws. In addition, the Bank undergoes a rigorous process with focus groups...",https://finnhub.io/api/news?id=70a651296d2ecefd34f6c3df7ef536584b81a7cb77c8c6693774ece7fd55017b
