category,datetime,headline,id,image,related,source,summary,url
company,1628873640,FMC Corp. stock underperforms Friday when compared to competitors,69665284,https://images.mktw.net/im-220105/social,FMC,MarketWatch,"Shares of FMC Corp. slumped 0.68% to $94.32 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=2e9472fbaa51b9689da03ce160d7e1f3a79ea6dcc96cf498d69bd1da1a9a1523
company,1628787240,FMC Corp. stock underperforms Thursday when compared to competitors,69665285,https://images.mktw.net/im-220105/social,FMC,MarketWatch,"Shares of FMC Corp. slipped 1.27% to $94.97 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=73ab795f0736025513ee47c471bf800b6da5d450ebc6459eeceff404ebf6da83
company,1628700840,"FMC Corp. stock rises Wednesday, outperforms market",69665286,https://images.mktw.net/im-220105/social,FMC,MarketWatch,"Shares of FMC Corp. inched 0.72% higher to $96.19 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=04509dd4427c0cc5ae4605eb813b640a946ae6c50a18f867e580601215876c2a
company,1628696403,ARKAY vs. FMC: Which Stock Is the Better Value Option?,69620280,https://s.yimg.com/uu/api/res/1.2/T44Iwg7RbRrkaTIYz_liyQ--~B/aD00Njk7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/737ffb82e07dc8bffb77e72d153c91f2,FMC,Yahoo,ARKAY vs. FMC: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=ffd2bae13de86fd4980b1a0962ea7287f20fb4f9afa4d2b2e0865fd8966054a0
company,1628614500,"FMC Corp. stock falls Tuesday, underperforms market",69665287,https://images.mktw.net/im-220105/social,FMC,MarketWatch,"Shares of FMC Corp. slid 0.47% to $95.50 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=62df26e025f39cae4c9aad2a88f3273ca94618a687b9c24fb1e4d917adef76e4
company,1628528040,"FMC Corp. stock rises Monday, outperforms market",69588711,https://images.mktw.net/im-220105/social,FMC,MarketWatch,"Shares of FMC Corp. inched 0.67% higher to $95.95 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=6e60a2a52fa0ff04061803eb8b9794ae2546344cb05364f9a961d6922d09cae9
company,1628512080,It's Not Quite Growing Season for FMC Corp,69582166,,FMC,Yahoo,"The daily On-Balance-Volume (OBV) line shows weakness from early May and is close to making a new low for the move down.  In this daily Point and Figure chart of FMC, below, we can see a potential downside price target in the $89 area.  In this weekly Point and Figure chart of FMC, below, we used close only price data.",https://finnhub.io/api/news?id=f63804a79f4f5c05df919b87b9ccbd7b7f4cab4cac876fb6c2784aeac6e00220
company,1628268840,"FMC Corp. stock rises Friday, outperforms market",69574264,https://images.mktw.net/im-220105/social,FMC,MarketWatch,"Shares of FMC Corp. advanced 2.23% to $95.31 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=6fc0002f0fe452c018543b8e2da9c472caa7a623ef0d524714aa2c99dad8eb4f
company,1628232660,Goldman Sachs Raises Price Targets on 4 Sizzling Stocks That Crushed Earnings,69542553,https://247wallst.com/wp-content/uploads/2019/08/imageforentry2-ecd.jpg,FMC,247WallSt,"These four top companies are hitting on all cylinders, have earnings out of the way for the quarter and their stocks look poised to head higher the rest of 2021. Plus, Goldman Sachs has just raised price targets on all of them.",https://finnhub.io/api/news?id=573ffd6bec4df6846ff9ee1a9a9b7b88e79e6f6ce633d3ec88c8b9f308e35a3d
company,1628182440,FMC Corp. stock underperforms Thursday when compared to competitors,69537994,https://images.mktw.net/im-220105/social,FMC,MarketWatch,"Shares of FMC Corp. shed 5.48% to $93.23 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=eea3877338b7a4c41a906cb58fea2afa212947a881ba0d306d53ec311c42f602
company,1628157900,Stocks That Hit 52-Week Lows On Thursday,69516739,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,FMC,Benzinga," 
 
During Thursday's morning session, 77 companies made new 52-week lows.
Areas of Interest:

The largest company in terms of market cap to set a new 52-week low...",https://finnhub.io/api/news?id=7fe328f249c3c896492227fc177596e020fafdf982005a263c97b5a0e437c397
company,1628148900,FMC Corporation price target lowered to $122 from $136 at KeyBanc,69520628,,FMC,Thefly.com,KeyBanc analyst Aleksey Y... FMC,https://finnhub.io/api/news?id=eda6c8b2b22b8cd4d9f03e2ff85bc523b029ea910c5a5da229bcba87b299233c
company,1628148060,FMC Corporation price target lowered to $115 from $133 at Wells Fargo,69520629,,FMC,Thefly.com,Wells Fargo analyst Micha... FMC,https://finnhub.io/api/news?id=7a9befc95f4b8934d72b4b835ccbb5d02de0a2a595b2ca6226e3a7d3b513cee0
company,1628145180,FMC Corporation price target lowered to $120 from $130 at BMO Capital,69520630,,FMC,Thefly.com,BMO Capital analyst Joel ... FMC,https://finnhub.io/api/news?id=86a37b77bc2786091069150b2b3e2b76b48aad0e1c0dd44c9111591d770c828a
company,1628141460,FMC Corporation price target lowered to $109 from $118 at Citi,69520631,,FMC,Thefly.com,Citi analyst P.J. Juvekar... FMC,https://finnhub.io/api/news?id=643cd2e57f7de8469ffa52efcf4cdd22231eac017f18709f80bf177f5594605e
company,1628129580,FMC Shares Cross 2% Yield Mark,69547918,,FMC,Dividend Channel,"dividend channel,FMC,",https://finnhub.io/api/news?id=05e2a278e4f9ac07f23477235232226ec77b2cf58d5ffdf5bc5fa7c7f2f66085
company,1628098242,FMC Corporation (FMC) Q2 2021 Earnings Call Transcript,69499174,,FMC,Yahoo,"Joining me today are Mark Douglas, President and Chief Executive Officer; Andrew Sandifer, Executive Vice President and Chief Financial Officer; and Zack Zaki, FMC's new Director of Investor Relations.  Mark will review our second quarter results, provide our outlook for the remainder of 2021 and discuss our diamides business.",https://finnhub.io/api/news?id=a40cf26a190423addd121609bf4d0a1f6f67582ce9fc2dc6d80153b4e3a6c63c
company,1628096040,FMC Corp. stock underperforms Wednesday when compared to competitors,69537995,https://images.mktw.net/im-220105/social,FMC,MarketWatch,"Shares of FMC Corp. slipped 7.63% to $98.63 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=e5ca3ebce62ce34e33da0bab5e559e3a2865b3b395f74d066a5db9faa33c6696
company,1628085360,FMC Corp. Sets Goal of Net Zero GHG Emissions by 2035,69500643,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,FMC,MarketWatch,By Stephen Nakrosis Agricultural sciences company FMC Corp. on Wednesday said it set a goal of net-zero greenhouse-gas emissions by 2035. The company said it...,https://finnhub.io/api/news?id=81c23a2c01f69b62b68e29ac339eac99e258c50d84ed53c0304ab097307aa78f
company,1628083212,FMC Corporation (FMC) CEO Mark Douglas on Q2 2021 Results - Earnings Call Transcript,69498070,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,FMC,SeekingAlpha,"FMC Corporation (NYSE:FMC) Q2 2021 Earnings Conference Call August 04, 2021, 09:00 AM ET Company Participants Michael Wherley - Director, IR Mark Douglas - President and CEO Andrew Sandifer...",https://finnhub.io/api/news?id=63bc3ca27e7a3bb8b014e40dd203b0b20a8e401bcc9754083254cfcbc24e6196
company,1628078100,"FMC Corporation sees Q4 adjusted EPS $1.96-$2.20, revenue $1.33B-$1.44B",69520635,,FMC,Thefly.com, FMC,https://finnhub.io/api/news?id=0a25f4a35eae8530085f4cc5ef212a169221d903df2dee43903b7b974690caf5
company,1628078100,"FMC Corporation sees Q3 adj. EBITDA $262M-$288M, Q4 adj. EBITDA $374M-$408M",69520634,,FMC,Thefly.com, FMC,https://finnhub.io/api/news?id=9547609555f6ca5691663d27e8695a59994f69e1f3e02c61b060b383b1372b8a
