category,datetime,headline,id,image,related,source,summary,url
company,1629109860,5 Value Stocks To Watch In The Communication Services Sector,69681222,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,FOX,Benzinga,"Understanding Value Stocks
A value stock traditionally has a lower price when compared to stock prices of companies in the same industry. This indicates that the company may be...",https://finnhub.io/api/news?id=754a462f4cc20d5f0f43d56b31a351e5cd5715d328ff0deb7cbd5850b583224e
company,1629076920,Seth Klarman Takes Profits as Markets Continue to Rise,69695860,https://static.gurufocus.com/photos/others/portfolio_profitable_investment_gains.jpg,FOX,GuruFocus,It seems as if the guru is struggling to find ideas as markets charge higher,https://finnhub.io/api/news?id=a63b353add73b97b515aeda04bf1fca792519f29546569b6f93f449a24ffdd3a
company,1629062226,Tracking Seth Klarman's Baupost Group Holdings - Q2 2021 Update,69677588,,FOX,SeekingAlpha,,https://finnhub.io/api/news?id=32dce44171842012e599cd0b7c0b00e004d629b50f846dc18719c4a8c32d99df
company,1628783460,"Yankees, White Sox Play At The 'Field Of Dreams': Here's How To Watch And Bet On The Game",69643216,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/e8nqaclxmaetya4.jpeg,FOX,Benzinga,"“If you build it, they will come.”
The quote from the 1989 movie “Field of Dreams” is one of the most well-known movie quotes of all time and will be...",https://finnhub.io/api/news?id=2107efcc7c368456a753cd86323396deab5147da61e13c154eafc6922927c22a
company,1628780645,"Fox nearing a deal for TMZ, Messi to be paid in crypto",69636346,https://s.yimg.com/ny/api/res/1.2/wC1MEPXWAQwN.AfioO1IRA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/12/611538662f6b907044ea732d/611538662f6b907044ea732e_o_U_v2.jpg,FOX,Yahoo,"Julie Hyman breaks down Thursday’s business headlines, including: Fox Corp. reportedly nearing a deal to purchase TMZ from AT&T at a value of $100-125 million and Lionel Messi’s contract with PSG including crypto fan token.",https://finnhub.io/api/news?id=b0eb207b907d83eab2311a3624b9f1ade906c01af1ac4d2076f9556652611143
company,1628703540,Fox Nearing Deal to Buy TMZ,69628012,https://images.wsj.net/im-383882/social,FOX,DowJones,Talks about the AT&T property have focused on mollifying TMZ co-founder Harvey Levin’s concerns about editorial control and independence from Fox News ,https://finnhub.io/api/news?id=d797c27f2efb92c8ad304dfb14f1df5c846078635a1ca83a5abbdf8a99f6bad1
company,1628680200,Wall Street in Fives - Must Read Lists at Midday,69632776,https://image.thefly.com/catalog/201810/img_66.png,FOX,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. NLOK, AVASF, LUV, WEN, FGEN, CHK, VEI, T, FOX, FOXA, UBER, AMZN, AAPL, VIAC, VIACA, CMCSA, CMCSK, U, CAN, PXLW, UPST, MOGO, HYZN, APPH, ONTF, WIX, COIN, POSH, FUBO, WW, SPCE, SPLK, BBWI, DOCS",https://finnhub.io/api/news?id=eed171b24a30f52a4301434198feecf7847638720da5ccde1aea7e844c8eca6a
company,1628669563,Wall Street Breakfast: Meme Stocks Stumble (Podcast),69613144,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,FOX,SeekingAlpha,"Our top stories today: Meme Stocks Stumble, ARK Investments Dumps China Holdings and ViacomCBS Halt Talks with Comcast.",https://finnhub.io/api/news?id=9d1dd252ef371785dabad5df84175a93b49561c45d0604699bf953b3dd73dddf
company,1628665040,Wall Street Breakfast: Meme Stock Stumble,69612687,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,FOX,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=b3d062f473fd83f661d834cff64a9b9ec1ad48b11c14d81cd3220d8c469d65e6
company,1628657520,"AT&T's Warner Media confirmed to be in talks to sell TMZ to Fox, Deadline says",69614906,,FOX,Thefly.com,"Deadline has confirmed th... T, FOX, FOXA, DISCA",https://finnhub.io/api/news?id=6390238e6de557268b2b20e541b831968552b24f9bb1cd4bc83c279bde525b57
company,1628657340,"AT&T's WarnerMedia in talks to sell TMZ to Fox Corp., The Information reports",69617117,,FOX,Thefly.com,"AT&T's (T) Warne... T, FOX, FOXA",https://finnhub.io/api/news?id=21e50adbeebb44e543e71cedd4fba429f481096a1ca4f27192bf78d19365fb14
company,1628652960,Wall Street in Fives - Must Read Lists for Wednesday,69632778,https://image.thefly.com/catalog/201904/img_457.jpg,FOX,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. NLOK, AVASF, LUV, WEN, CHK, TDG, MEGGF, SPCE, SPLK, BBWI, WIX, WW, T, FOX, FOXA, UBER, AMZN, VIAC, VIACA, CMCSA, CMCSK, U, CAN, PXLW, UPST, MOGO, FGEN, APPH, ONTF, COIN, POSH, FUBO, DOCS",https://finnhub.io/api/news?id=5fc57ba4b3e7930b9f0166e5e362f69fd9dcdd3fc5a84955049389ee0a99e4ba
company,1628648340,Wall Street in Fives - Must Read Lists at Midday,69632779,https://image.thefly.com/catalog/201810/img_66.png,FOX,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. NLOK, AVASF, LUV, WEN, FGEN, CHK, VEI, T, FOX, FOXA, UBER, AMZN, AAPL, VIAC, VIACA, CMCSA, CMCSK, U, CAN, PXLW, UPST, MOGO, HYZN, APPH, ONTF, WIX, COIN, POSH, FUBO, WW, SPCE, SPLK, BBWI, DOCS",https://finnhub.io/api/news?id=a94061078cddc553ca0fafd38853ee6fff2b30bda7a4aec477e4a89dfda3e1d9
company,1628633013,UPDATE 1-WarnerMedia in talks to sell its tabloid TMZ to Fox - The Information,69606650,,FOX,Yahoo,"AT&T's WarnerMedia is in talks to sell its tabloid TMZ to Fox Corp, the Information reported on Tuesday, citing people familiar with the situation.  The potential deal is aimed at slimming down WarnerMedia's collection of businesses, the report added.  Earlier on Monday, Sony Corp closed its acquisition of animation business Crunchyroll, part of AT&T's WarnerMedia segment.",https://finnhub.io/api/news?id=d42527b2dc75d0d2036042bdfe9f99f06da7293242b95c4adde13eb8a9414e0a
company,1628617080,Tucker Carlson’s Spying Allegations Being Investigated by National Security Agency Watchdog,69618239,https://images.wsj.net/im-383132/social,FOX,DowJones,The Fox News host says the spy agency had improperly targeted his communications for surveillance.,https://finnhub.io/api/news?id=fc116a77b7210c7c676d93494f4e96005b60db5799ed0acd37ac7704d60fe0c5
company,1628615635,UPDATE 1-U.S. intel watchdog launches inquiry amid spying allegations on news media,69601715,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,FOX,Yahoo,"The internal watchdog for the National Security Agency (NSA) said on Tuesday it was launching an inquiry into allegations that the agency had improperly spied on a member of the U.S. news media.  The inspector general's office did not identify the reporter or media outlet at the heart of its review, but the development comes a few months after Fox News conservative host Tucker Carlson claimed he had heard from a whistleblower who told him the NSA was monitoring his communications in a plot to leak them and force him off the air.  In late June, the NSA took the unusual step https://www.reuters.com/world/us/us-intelligence-agency-says-it-isnt-spying-foxs-tucker-carlson-2021-06-30 of publicly denying those allegations.",https://finnhub.io/api/news?id=01f6af34cbdce66bea8f4c047d925319a2b7fed8e62e658cfc59ac6b38020898
company,1628598240,National Security Agency Watchdog to Review Spying Allegations Concerning Tucker Carlson,69624725,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,FOX,MarketWatch,By Dustin Volz WASHINGTON--The National Security Agency's internal watchdog is conducting a review of recent allegations made by Fox News host Tucker Carlson...,https://finnhub.io/api/news?id=81ff58066cb0d4ac3182f9921163f1ec960d3eba5ace4ae38f89f7d5a5d437d5
company,1628597929,Flutter says Murdoch spat will not stop US domination,69593848,https://s.yimg.com/ny/api/res/1.2/QSCbhjQtUqR68lT83ykTjA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzM0/https://s.yimg.com/uu/api/res/1.2/zRUQOnc5g6k3mvSbKJN_Zg--~B/aD0xNTYzO3c9MjUwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/the_telegraph_818/ddd2bfd7e2b0c6783c92627c0a8c101b,FOX,Yahoo,The boss of Flutter has insisted that a protracted legal row with Rupert Murdoch will dent the gambling giant's plans to dominate America.,https://finnhub.io/api/news?id=27ec260cad7fd6a5ca74f75323888d293b79b27053ef3bd2e638239a8dae0a05
company,1628592840,National Security Agency Watchdog to Review Spying Allegations Concerning Tucker Carlson,69599279,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,FOX,MarketWatch,By Dustin Volz WASHINGTON--The National Security Agency's internal watchdog is conducting a review of recent allegations made by Fox News host Tucker Carlson...,https://finnhub.io/api/news?id=ca21778d8340875e989d3f86a5cdd105a7aa85e5d4532590ef0cedccc334a834
company,1628577900,Key Dividend Increases from Last Week Including Simon Property Group And Cardinal Health,69594648,,FOX,TalkMarkets,,https://finnhub.io/api/news?id=006f2158e666360318bda13735a96560055d32b8a780453ec0fa710a882afe08
