category,datetime,headline,id,image,related,source,summary,url
company,1629183600,Phillips Edison: A Secondary Market 'Sharpshooter' To Consider,69692217,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1223276834/medium_image_1223276834.jpg,FRT,SeekingAlpha,"Phillips Edison may be a new REIT to many, but I previously worked for the Cincinnati-based firm when they were private. Now, we’re initiating a Buy on PECO. Read why.",https://finnhub.io/api/news?id=1d39ad15a92fd3ef989b98a4b55a96a372956ccc25ac36c9d801cb0856d38c95
company,1629132840,Federal Realty Investment Trust stock underperforms Monday when compared to competitors,69687215,https://images.mktw.net/im-220105/social,FRT,MarketWatch,"Shares of Federal Realty Investment Trust slipped 1.40% to $118.32 Monday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=2c42e222f8b9492caa3eda37d766d309f706d95eb06abe9b803a55011cf27d66
company,1628915280,These 2 Dividend Aristocrats Are Raising Their Dividends,69675994,,FRT,TalkMarkets,,https://finnhub.io/api/news?id=443dcb286f3d42b0b432e092e025bbe747109340d1effb0cb438b562f824ab73
company,1628873640,Federal Realty Investment Trust stock underperforms Friday when compared to competitors,69670316,https://images.mktw.net/im-220105/social,FRT,MarketWatch,"Shares of Federal Realty Investment Trust slipped 0.07% to $120.00 Friday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=e03b304e8ee434f7b6a896ef89642ac41c51bfaf6703e59826aea051c30275e4
company,1628787300,Federal Realty Investment Trust stock outperforms competitors despite losses on the day,69670317,https://images.mktw.net/im-220105/social,FRT,MarketWatch,"Shares of Federal Realty Investment Trust slid 0.55% to $120.09 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=f0514da0d835e6f551eefd7cadda07d8b2692222d2d350c0941ebef76d3857b1
company,1628755020,Federal Realty Investment Trust Reaches Analyst Target Price,69634945,,FRT,ETF Channel,"Staff article entitled Federal Realty Investment Trust Reaches Analyst Target Price, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=ba1fde29c0896661a9a2561a9c637219c75216f6392e8ca67af7301cf4df541f
company,1628700840,Federal Realty Investment Trust stock underperforms Wednesday when compared to competitors despite daily gains,69636604,https://images.mktw.net/im-220105/social,FRT,MarketWatch,"Shares of Federal Realty Investment Trust inched 0.89% higher to $120.76 Wednesday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=1a306cd0a4f496dea2a5de0af31872adcf124fba953a33593b20e16d98335f15
company,1628672400,"Dividend Increases: July 31-August 6, 2021",69613583,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1132660268/medium_image_1132660268.jpg,FRT,SeekingAlpha,This weekly article series provides a summary of dividend changes. A summary table presents relevant data and key statistics of dividend increases.,https://finnhub.io/api/news?id=c6e6fce74fb8a0fc5b42f3e8acd4869bcf45c50334528eb0f2d9707a6fadb64c
company,1628634427,Nicholas Ward's Dividend Growth Portfolio: July 2021 Update,69608093,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1272890161/medium_image_1272890161.jpg,FRT,SeekingAlpha,My passive income was up 3.76% y/y in July. My portfolio's total returns were 3.74% in July.,https://finnhub.io/api/news?id=9292b486622e65aef54e6a42c2b3cb2115792462875bba67450d0553822ae847
company,1628614500,Federal Realty Investment Trust stock outperforms competitors on strong trading day,69636606,https://images.mktw.net/im-220105/social,FRT,MarketWatch,"Shares of Federal Realty Investment Trust inched 0.48% higher to $119.69 Tuesday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=501cf7276bad82f76451daabe17c9602697307b6d01aac25541fe03eca04171a
company,1628578800,Simon Property Group: Sandbagged Guidance Hides True Earnings Power,69592974,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/176722617/medium_image_176722617.jpg,FRT,SeekingAlpha,"Simon Property Group's (SPG) 2nd quarter guidance showed fantastic year over year growth, but I believe it was an absolute sandbag. Read this to find the true earnings power of SPG.",https://finnhub.io/api/news?id=44dad822fc7d8e4e25f6c912aba44a8510332d2866121281103899cc21353207
company,1628528040,"Federal Realty Investment Trust stock falls Monday, underperforms market",69587660,https://images.mktw.net/im-220105/social,FRT,MarketWatch,"Shares of Federal Realty Investment Trust slipped 1.81% to $119.12 Monday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=dafa826bfc28340da504d4dcca170738752244a05ae86b3d30db1879297e361a
company,1628492400,4 Up-And-Coming REIT Dividend Kings,69576870,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/814271432/medium_image_814271432.jpg,FRT,SeekingAlpha,"These 4 REITs have successfully properly evaluated themselves, their surroundings, and their futures for two to three decades. I consider them the upcoming dividend kings.",https://finnhub.io/api/news?id=a5a3404948550dedf104a8d3448345153c469333d3b9ce303961980d49ea52ff
company,1628420400,"Rents Paid, Dividends Raised",69570916,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/614972576/medium_image_614972576.jpg,FRT,SeekingAlpha,Real estate equities continued their strong performance; 9 more REITs announced dividend increases this week. Click here to read our Real Estate Weekly Outlook.,https://finnhub.io/api/news?id=5bd64a26e8db948088bb32df2ee90e211c4b4d89428b89f1b319d43a190d733a
company,1628388424,Dividend Champion And Contender Highlights: Week Of August 8,69568615,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,FRT,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=f26cffbb3af02ff855098aafb565db5f260e504cd2b34119cf37f99869e96bb4
company,1628268840,"Federal Realty Investment Trust stock rises Friday, still underperforms market",69587661,https://images.mktw.net/im-220105/social,FRT,MarketWatch,"Shares of Federal Realty Investment Trust inched 0.17% higher to $121.31 Friday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=35adb7552bae37c9ae68fbf62d0ce9380cd2d06d4d5dcb5fe15c4226b750950f
company,1628244000,REIT Earnings Recap: Mega-Mergers And Roaring Rents,69542053,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1149958306/medium_image_1149958306.jpg,FRT,SeekingAlpha,REIT earnings season has provided critical information on the state of the real estate industry. Read more to see how the REITs have performed in 2Q.,https://finnhub.io/api/news?id=2e6f53833aad9ecff9c36fe5a765d5cdfc8f68121a17c4456734c143bc7edacc
company,1628182440,Federal Realty Investment Trust stock outperforms competitors on strong trading day,69537879,https://images.mktw.net/im-220105/social,FRT,MarketWatch,"Shares of Federal Realty Investment Trust rose 5.98% to $121.11 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=432c702930ab73da4b5891b8a3e405b4443b37c18c325ef262275fb065689088
company,1628169601,"Federal Realty (FRT) Beats on Q2 FFO, Ups '21 View, Hikes Dividend",69523782,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,FRT,Yahoo,Federal Realty's (FRT) Q2 results reflect better-than-anticipated revenues. The retail REIT also raised the 2021 FFO per share outlook and dividend.,https://finnhub.io/api/news?id=8a791119f0dfc6c3b3df3e5df1a536d682efdbff7aa9fad9b7eff18d0ca13a41
