category,datetime,headline,id,image,related,source,summary,url
company,1629230071,10 Healthcare Dividend Stocks Hedge Funds are Buying,69705503,https://s.yimg.com/uu/api/res/1.2/LxWHLrkMz1IooIrAq5Reyg--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/9f14aa1cd5d6567072daec9ca3c3854e,GILD,Yahoo,"In this article, we will be looking at the 10 healthcare dividend stocks that hedge funds are buying. To skip our detailed analysis of the healthcare sector, you can go directly to see the 5 Healthcare Dividend Stocks Hedge Funds are Buying. While the pandemic has raged on and practically destroyed the foundations of every […]",https://finnhub.io/api/news?id=26555b90f20f2e146a11713754eef392a9b6f528ebc8f6fa5db19455277b44e7
company,1629136218,U.S. children covid hospitalizations hit ‘highest levels we’ve ever seen’: Doctor,69683032,https://s.yimg.com/ny/api/res/1.2/ZH2r17abQAIAt7vg5eJ67A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTI0/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/16/611aa55b8346ba45ba7524ca/611aa55b8346ba45ba7524cb_o_U_v2.jpg,GILD,Yahoo,"Dr. Cedric Dark, Assistant Professor at Baylor College of Medicine & Board Member with Doctors for America, joins Yahoo Finance to discuss the latest on the coronavirus pandemic.",https://finnhub.io/api/news?id=8714527206aab0a75e9bcaa0923edfe4dae4779a0ba8f4a860536dda76401c15
company,1629110340,"Trexquant Investment LP Buys Salesforce.com Inc, EOG Resources Inc, Nike Inc, Sells PayPal Holdings Inc, Apple Inc, Tesla Inc",69698898,,GILD,GuruFocus,,https://finnhub.io/api/news?id=3c27286feb1bcc3d55d7baf5243351de3eaf34697242cb1d472cd22dea75108c
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,GILD,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1629108180,Large Cap Biopharma Stocks provide Growth and Value,69681531,,GILD,TalkMarkets,,https://finnhub.io/api/news?id=3b7f5e8c01a281dc2bb9d1b59a8a0c160feccdd7d5e8e9aacee1d01c840c2f53
company,1629101594,Gilead Sciences: Undervaluation Meets Bullish Chart,69678481,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1221879711/medium_image_1221879711.jpg,GILD,SeekingAlpha,"Gilead Sciences could move higher in the coming months, from a technical point of view. Click here to read why I believe GILD stock is undervalued.",https://finnhub.io/api/news?id=139ad73f1e4f0a98d57339967487ae736f0e90bacfd791eb281ea9526e4b1585
company,1629090300,SAVA Stock Is a Buy on the Strength of a Promising Alzheimer's Drug,69679074,https://investorplace.com/wp-content/uploads/2020/09/biotech-stocks.jpg,GILD,InvestorPlace,"Skeptics are wrong about Cassava's Alzheimer's drug, as the drug's data is superb. Long-term investors should buy SAVA stock.",https://finnhub.io/api/news?id=3580712686936bbe46dc5a9b8c8a9589ffafdbcd6409bdc968b80cc906fba386
company,1629085020,Gilead Sciences Takes Over #91 Spot From Altria Group,69698900,,GILD,The Online Investor,"the online investor,GILD,MO,",https://finnhub.io/api/news?id=18ff1c7159a02bad305fc126c29ea4cca424e20493cbbf60e487eb4b1f16f60f
company,1629020116,"A Closer Look At Gilead Sciences, Inc.'s (NASDAQ:GILD) Impressive ROE",69676470,https://s.yimg.com/uu/api/res/1.2/toOHA4B9c_p415zczXd3bQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/81245609dd3c4b1e638094086514d4fb,GILD,Yahoo,"One of the best investments we can make is in our own knowledge and skill set. With that in mind, this article will...",https://finnhub.io/api/news?id=89c84d0f43e5106772caa4a0d4f146f3864e64120ddb2a2e9c456dc9808dd504
company,1628913784,Gilead Sciences: Bullish Long-Term Prospects,69665200,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1281481621/medium_image_1281481621.jpg,GILD,SeekingAlpha,"Gilead Sciences' current valuation is very attractive, especially when adjusted for ROCE. Here’s why I believe GILD has double-digit long-term return potential.",https://finnhub.io/api/news?id=1acdb491f90716fd54e78f677fd9038ca6817e91deb059f3765fdbd675a31063
