category,datetime,headline,id,image,related,source,summary,url
company,1628873760,"Globe Life Inc. stock falls Friday, underperforms market",69679284,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. slid 0.29% to $96.40 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d1f58d79d6e38ce4ad0953590b0fedcc547c996d2f8d1e0e528eedf5cc25ee03
company,1628787360,Globe Life Inc. stock outperforms competitors despite losses on the day,69651031,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. slipped 0.83% to $96.68 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=53b581a335afbdbeb05d00f3f16a616fbe3ac86b8962ef1e79f76e45c88a52e9
company,1628700960,"Globe Life Inc. stock rises Wednesday, outperforms market",69651032,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. rose 1.94% to $97.49 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e1df1de8ef8c0bd1d5eb3fa134092f63121abd630ca2e19fc7164a1360305cfa
company,1628675880,GL Makes Bullish Cross Above Critical Moving Average,69638881,,GL,Market News Video,"In trading on Wednesday, shares of Globe Life Inc (GL) crossed above their 200 day moving average of $96.48, changing hands as high as $96.55 per share - Globe Life Inc shares are currently trading up about 0.8% on the day. - GL.",https://finnhub.io/api/news?id=66c199dcab27b4816252032d4914c4679275233d50d8a63ebc62c93173847ba4
company,1628614560,Globe Life Inc. stock outperforms competitors on strong trading day,69608285,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. rose 1.43% to $95.63 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=409082c82d9a41d0a4d6d59f98c674d72e8ca1edfdd4d0dc7e4359b990a4dfe6
company,1628528160,"Globe Life Inc. stock rises Monday, outperforms market",69608286,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. inched 0.16% higher to $94.28 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=6351705baf08c42dab81d388121d4ad1b8eda7792c6c87949fcc2b4b5821bd79
company,1628268960,Globe Life Inc. stock outperforms competitors on strong trading day,69572000,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. rallied 1.63% to $94.13 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=4eb69c21e614717b05d8457d4368a496d64db04f48d58bbcca6f95aa55a38910
company,1628182560,Globe Life Inc. stock outperforms competitors on strong trading day,69538941,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. rose 1.11% to $92.62 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=97fc6c550d473e9382da7b68ecd6ec78db6ce9e62e91492c3ad9b2f92db9042b
company,1628096160,Globe Life Inc. stock outperforms competitors despite losses on the day,69538943,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. shed 0.81% to $91.60 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=14c2063faa0741343dd49c378d55f1055d1a28bfc6e90d90a684e146871cafa8
company,1628009760,"Globe Life Inc. stock falls Tuesday, underperforms market",69538944,https://images.mktw.net/im-220105/social,GL,MarketWatch,"Shares of Globe Life Inc. shed 0.38% to $92.35 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ca07d9778694f4de2f10245f3fe9a847047177f557837461592bbb775d47cddf
