category,datetime,headline,id,image,related,source,summary,url
company,1629194400,Corning (GLW) Shares Cross Below 200 DMA,69701025,,GLW,Dividend Channel,"dividend channel,GLW,",https://finnhub.io/api/news?id=01e46cad3b9d319bcc4e4e5361ad9c3bfb17999930604e9c2d1f97af15bb525d
company,1629085140,"Motley Fool Asset Management LLC Buys Atlassian Corporation PLC, Mastercard Inc, Medtronic PLC, Sells Marriott International Inc, IPG Photonics Corp, Johnson & Johnson",69695462,,GLW,GuruFocus,,https://finnhub.io/api/news?id=cb0a6b6f142d6fc7b59a74c5c3e9c77fe2b44bbf4b7782aebdcd5ffe03a5beba
company,1629081540,"Maryland Capital Management Buys Generac Holdings Inc, Truist Financial Corp, iShares Global Comm Services ETF, Sells The Trade Desk Inc, Edwards Lifesciences Corp, Verisk Analytics Inc",69695415,,GLW,GuruFocus,,https://finnhub.io/api/news?id=494ae5acc19cab6c1cc684a54aa07ffb575eb22eecb7e68f6db93333d6cb4407
company,1628787360,"Corning Inc. stock falls Thursday, underperforms market",69646830,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. slipped 1.42% to $40.36 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=b0a1262c9a40785ac9167fe3491965011a62230b5d8db2bcc2913f5b8d0d8e47
company,1628762700,GLW October 1st Options Begin Trading,69653355,,GLW,Stock Options Channel,"Staff article entitled GLW October 1st Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=72d201ae7ba5d27510d935968da1e34ccc1cac2cd1f4eab613c76c2641deee17
company,1628700960,"Corning Inc. stock rises Wednesday, still underperforms market",69646831,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. inched 0.05% higher to $40.94 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=9c5475dff8d1638813c0703c0088342d419670c685d0aaf942ea3b66daad2779
company,1628686860,IN BRIEF: Intel appoints former Pepsi HR director as executive VP,69633479,,GLW,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d2f8c631c4d3b88fc3b1f80f7b29b164099b7d669fabb37c404e607de1e533bc
company,1628685060,Intel Taps Verizon HR Executive Christy Pambianchi as Chief People Officer,69624675,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,GLW,MarketWatch,By Kimberly Chin Intel Corp. on Wednesday named Verizon Communications Inc. executive Christy Pambianchi as its executive vice president and chief people...,https://finnhub.io/api/news?id=7860803f561384a25508174bfcf17b13a11c3911deb81d3401f795dbbf952c3f
company,1628684112,Corning (GLW) Cellular Solutions to Power Indoor 5G Connectivity,69614245,https://s.yimg.com/uu/api/res/1.2/yc0JwKItPbtg3PHSPZaSAQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2fa32f6f85bab3cd107d814f324e71fc,GLW,Yahoo,Corning's (GLW) Everon mmWave indoor small-cell systems are likely to enable carriers address the exponential growth of 5G connectivity as people return to their work environment in the post-pandemic era.,https://finnhub.io/api/news?id=e5ad1daf82ef1647f3fec148bc918c080f4a88b07a1eb56c440f17e9db0ade67
company,1628676001,Samsung announces two new phones with folding screens,69625722,https://image.cnbcfm.com/api/v1/image/106924814-162861777321502_01_Q2_Product_06_galaxyzfold3_5g_spen_phantomblack_L.jpg?v=1628689376,GLW,CNBC,Samsung's Galaxy Z Fold 3 5G and Galaxy Z Flip 3 5G can be ordered today and launch Aug. 27.,https://finnhub.io/api/news?id=64690c1f5bfc67447a32c3dddb7a54f32c2c071f550a0b452d9bf6e0d715d1b8
company,1628614560,Corning Inc. stock outperforms market on strong trading day,69606676,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. inched 0.42% higher to $40.92 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=d5af7bc8d8d9f2f6e9b6ff35372f6accaa52299681fd245b37d9c3e7f9c89244
company,1628606522,Why This 1 Growth Stock Could Be a Great Addition to Your Portfolio,69603541,https://s.yimg.com/uu/api/res/1.2/S0ApYt_TwDBvvDY81qL6kQ--~B/aD05MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/aebccb3fd91046987ac147c582c53373,GLW,Yahoo,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",https://finnhub.io/api/news?id=6c10aa76261b67ee99567f6b6c703a36f09c1e5e824d9adacf2e9add68679d8b
company,1628598600,Corning’s High-Performance Cellular Solutions to Enable Reliable 5G Connection Indoors,69603542,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,GLW,Yahoo,"Next-generation Everon™ mmWave solutions simplify deployment in small- and mid-sized venues, including offices, schools, and hospitalsCORNING, N.Y., Aug. 10, 2021 (GLOBE NEWSWIRE) -- Corning Incorporated (NYSE:GLW) today introduced new high-performance cellular solutions designed to help network operators bring reliable 5G connection indoors with small-cell radio nodes that are easy to install and cost-effective to operate. 5G capabilities are at the forefront of enabling the world’s most advanc",https://finnhub.io/api/news?id=16a8364acfb4e0d5206d62f9178eb26688c6a589e1361b790014c4add7655bbb
company,1628584200,Corning’s High-Performance Cellular Solutions to Enable Reliable 5G Connection Indoors,69598530,,GLW,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=376c9c002ee6f7a25b406efe4e86e897419e5dd9314cfc71e1a0c3c95cdea7a5
company,1628582160,Corning introduces cellular solutions to enable 5G connection indoors,69598531,,GLW,Thefly.com,Corning Incorporated intr... GLW,https://finnhub.io/api/news?id=3fc79aca724d8d130243af4f73ca05a5010db94411a1616d0751547ee340c423
company,1628528160,Corning Inc. stock underperforms Monday when compared to competitors,69589437,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. slipped 0.42% to $40.75 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=8fe9ecee8b48c06c6bce1f6b5587c25b2e4ac8ebc4ed4304e110822ba5b5cd58
company,1628481360,Jeff Auxier Comments on Corning,69598532,,GLW,GuruFocus,Guru stock highlight,https://finnhub.io/api/news?id=577c8c1e9c4e7d3c7e778de4358b7a7e57241814746bdb3c9ca84665aeeb285c
company,1628268960,"Corning Inc. stock rises Friday, still underperforms market",69554727,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. inched 0.07% higher to $40.92 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=b3ab8e1e019987c06ea4efd56c821221fc7b6c8bfd26136c0065f1208fb44b0d
company,1628182560,"Corning Inc. stock falls Thursday, underperforms market",69554728,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. slid 1.68% to $40.89 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=40a4fa55864b852a87bfce3460f06daaab6f7cfe564aec8db5a6811c45e9b5dc
company,1628158620,September 24th Options Now Available For Corning (GLW),69541937,,GLW,Stock Options Channel,"Staff article entitled September 24th Options Now Available For Corning (GLW), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=e696263e134bf7e18b09b9251898b57ba61aee6d76f547fc5c6e00f8f4c16a62
company,1628154101,Tracking Yacktman Asset Management Portfolio - Q2 2021 Update,69513679,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/186805810/medium_image_186805810.jpg,GLW,SeekingAlpha,Yacktman's 13F equity portfolio value increased from $9.57B to $10.31B this quarter.,https://finnhub.io/api/news?id=07e28c9e6ba9093deb5099d03c344a5c75a82b4ca4c64098605e67848bf5e7e0
company,1628125270,"My Dividend Growth Portfolio July Update: $500K Across 32 Holdings, 3 Buys, And 2 Sells",69508571,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1294495205/medium_image_1294495205.jpg,GLW,SeekingAlpha,"The portfolio provided $967 in dividends in July, up 25% YoY. YTD I've received $8,128, up 7.8% over 2020.",https://finnhub.io/api/news?id=8aa3cc9de34907d60147aa726bc07d71d27d6d1d03209ee34d52a484b310a224
company,1628096160,Corning Inc. stock outperforms market despite losses on the day,69554730,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. sank 0.26% to $41.59 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=6ee22df61e2c89d011250a28a7912c2f1d2b672ee5b22a3828828153848ef17f
company,1628009760,"Corning Inc. stock rises Tuesday, outperforms market",69554731,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. rose 1.46% to $41.70 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4ff2d3e4124605a1edee9d6e27a56b921c71d35755a152c97c26b7ae589a2405
company,1627994340,"Hosking Partners LLP Buys Applied Materials Inc, Visa Inc, Corning Inc, Sells CoreLogic Inc, Walmart Inc, Baidu Inc",69489493,,GLW,GuruFocus,,https://finnhub.io/api/news?id=50f2941f9f7a0ba10e057d6bc4f60c848007ad70ecc2f853b4d881951cbeccf4
company,1627923360,Corning Inc. stock underperforms Monday when compared to competitors,69554732,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. slipped 1.82% to $41.10 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=9988d6bd260aadaa376efa7d67e8c46b87b3eee1f94f9398445ee3704b769d5c
company,1627664160,"Corning Inc. stock rises Friday, outperforms market",69554733,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. inched 0.10% higher to $41.86 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=155024d8453f83955a0ecf589e8a4ad65162e2abcb66b6ca7b053dcb83b98816
company,1627577760,Corning Inc. stock outperforms competitors on strong trading day,69554734,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. rose 2.40% to $41.82 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=481b5e7e1d01eedf89d89eed671abbe57b761415ac68976527b356b6ba81b485
company,1627553280,GLW September 10th Options Begin Trading,69408496,,GLW,Stock Options Channel,"Staff article entitled GLW September 10th Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=f686eda863c21fd075b71487f02fb216ab51333cddc8f5a1f5b12b6ee368ca5b
company,1627491360,"Corning Inc. stock rises Wednesday, outperforms market",69554735,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. inched 0.79% higher to $40.84 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=2743581ebe6bba3565820dc74879d53ff9c361085ac509e02d241e1463796e3a
company,1627466429,"A record profit margin reading shows companies are winning inflation battle, for now at least",69367080,https://image.cnbcfm.com/api/v1/image/106895753-1623414234049-gettyimages-1322906438-dsc03667_2021061020939421.jpeg?v=1623414301,GLW,CNBC,"Corporations are reporting record profitability, showing that while input costs are rising, inflation is being passed on to customers through higher prices.",https://finnhub.io/api/news?id=cef258b5c13cb434ac7046fdb90f82d03bd41ae0ba3be0d013da3ea0a66f0f56
company,1627432270,Corning (GLW) Q2 2021 Earnings Call Transcript,69351973,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,GLW,Yahoo,"GLW earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=91bb354024802ccb07e401018f87bb80e02839bd1f4668a56ff90dd8c12bd6a4
company,1627404960,Corning Inc. stock underperforms Tuesday when compared to competitors,69554736,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. shed 1.32% to $40.52 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=78023b4cdb6bfbd6406c6772b1ba5fd4a70d52faf5e612e866c4195ce6d2661d
company,1627398697,Corning Incorporated 2021 Q2 - Results - Earnings Call Presentation,69341680,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,GLW,SeekingAlpha,The following slide deck was published by Corning Incorporated in conjunction with their 2021 Q2 earnings call.,https://finnhub.io/api/news?id=e4573aa8b72648aeb34b64f3da32dbf820e525d7c996f6c3e597d0a1359b8af2
company,1627395486,Corning Incorporated (GLW) CEO Wendell Weeks on Q2 2021 Results - Earnings Call Transcript,69340383,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,GLW,SeekingAlpha,"Corning Incorporated (NYSE:GLW) Q2 2021 Earnings Conference Call July 27, 2021 8:30 A.M.",https://finnhub.io/api/news?id=cebd922687e0391daccc01dc62e18a4146f361f0279ec293fc30270d6fcd4627
company,1627394402,"Corning (GLW) Beats on Q2 Earnings, Expects Growth to Continue",69334427,https://s.yimg.com/uu/api/res/1.2/64xdIOK_EeJIDCc2iX7R2Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/ab5d1a5fdb8391cec32b7ecdc768d2fc,GLW,Yahoo,Corning's (GLW) second-quarter 2021 results reflect strong sales growth at all five business segments.,https://finnhub.io/api/news?id=f0f85282d99caa7035fba70a7deb4163371d1bdd8aa6a9a22c712e04703be7ed
company,1627390512,Corning (GLW) Surpasses Q2 Earnings and Revenue Estimates,69338781,https://s.yimg.com/uu/api/res/1.2/Fs_R4sd8jCoOMib958Znmg--~B/aD02MDM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/432476d296d64c50172213c0415587c9,GLW,Yahoo,"Corning (GLW) delivered earnings and revenue surprises of 3.92% and 2.95%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=9fb84c92984cf921303a94a41254f289f4f72ae6d89eb634ee1f57c84ca600d9
company,1627389019,Corning delivers revenue and earnings beats,69329939,https://s.yimg.com/uu/api/res/1.2/S8SCotpO9m2XQyQUIGU5dw--~B/aD02MzA7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/marketwatch.com/96d076434b2a015a3010bd2787b8c856,GLW,Yahoo,"Shares of Corning Inc. are up 0.6% in premarket trading Tuesday after the maker of optical technologies posted better-than-expected revenue and earnings for its second quarter. The company posted GAAP net income of $449 million, down from $599 million a year earlier. The company posted a GAAP loss per share of 42 cents and core earnings per share of 53 cents, with the difference between GAAP and core EPS reflecting a one-time accounting treatment stemming from a preferred-share transaction with",https://finnhub.io/api/news?id=1443fdb58da56ae3c86c4215a2c3a947ec7af7d8166dd20f149997c47d93424e
company,1627385400,"Corning Reports Outstanding Second-Quarter 2021 Results, Expects Continued Growth in Third Quarter",69329940,https://s.yimg.com/uu/api/res/1.2/E8kpvytzpNUrigpurNnbkw--~B/aD0zOTI4O3c9MTUwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/8561db6b24a579f54996c3cbd75a8444,GLW,Yahoo,"Second-quarter core sales of $3.5 billion grew 35% from Q2 2020 and 17% from Q2 2019; Core EPS grew 112% year over year to $0.53 on higher sales and expanded margins; Free cash flow of $471 million grew $186 million, or 65%, year over year Q2 2021 Earnings Infographic Corning Reports Outstanding Second-Quarter 2021 Results CORNING, N.Y., July 27, 2021 (GLOBE NEWSWIRE) -- Corning Incorporated (NYSE: GLW) today announced results for the second quarter ended June 30, 2021, and provided an outlook f",https://finnhub.io/api/news?id=f2cf4d209d6a599b2140da3fd7c977363e72232321fd5905b23f7bc3e0855d46
company,1627384020,Corning Stock Slips Despite Better-Than-Expected Earnings,69554737,https://images.barrons.com/im-375784/social,GLW,MarketWatch,Both sales and profits at the specialty-glass company were at the high end of the range management had told investors to expect.,https://finnhub.io/api/news?id=6ccc38191dd1f184860897b331ff8af5c138758c8829d91dbae1b7484ed96771
company,1627375080,"Corning Beats On Q2 Earnings, Posts Strong Segmental Growth And Margin Expansion, Issues Q3 Guidance",69339160,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/abtech_1211.png,GLW,Benzinga,"Corning Inc (NYSE: GLW) reported second-quarter FY21 core sales growth of 35% year-on-year to $3.5 billion, surpassing the analyst consensus of $3.4 billion....",https://finnhub.io/api/news?id=b2929575e976b8dc0affa08b0d70e88dd4833ce554ba6d1da88c7f07bc509985
company,1627374619,Corning delivers revenue and earnings beats,69554738,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,GLW,MarketWatch,Shares of Corning Inc. undefined are up 0.6% in premarket trading Tuesday after the maker of optical technologies posted better-than-expected revenue and...,https://finnhub.io/api/news?id=f7c134adb39326a7f2daea5c33abfe115d7da5d5c3dc589965cbf6fc46f15224
company,1627372680,Corning 3Q Guidance Accords With Analyst Views,69554739,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,GLW,MarketWatch,By Matt Grossman Corning Inc. on Tuesday issued guidance ranges for its third-quarter results that span analysts' consensus estimates. The company said it...,https://finnhub.io/api/news?id=4969c155f8390ecbc74e64350a1ce10014eaa8b3d568c1ee4a9fdc189ca8175a
company,1627372500,Fly Intel: Pre-market Movers,69331976,https://image.thefly.com/catalog/202004/img_793.jpg,GLW,Thefly.com,"Relmada Therapeutics skyrockets following REL-1017 HAP study results GE, FISV, BSX, SIRI, TSLA, UPS, ROKU, GLW, FLGC, RLMD, SWK, PBTS, RTX",https://finnhub.io/api/news?id=20f397428e68b3a00aa5076367f41cb2b2859421a6eefe7b603edcdc6a5e5dfb
company,1627372080,"Corning 2Q Sales Grow on Strength in Display, Communications Segments",69554740,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,GLW,MarketWatch,"By Matt Grossman Corning Inc. on Tuesday posted higher sales in its second quarter amid a recovery across its business segments. The Corning, N.Y.-based...",https://finnhub.io/api/news?id=d69dff2e2557b1ee556a3aa28f49e397f522b1bcf5e5fed9eb1f35c1a2ed65c0
company,1627371840,Corning: Q2 Earnings Insights,69339161,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,GLW,Benzinga," 
Shares of Corning (NYSE:GLW) remained unaffected after the company reported Q2 results.
Quarterly Results
Earnings per share increased 112.00% over the past year to $0.53,...",https://finnhub.io/api/news?id=c1782cfc9f0ec848940713c427f194aea861cf53a9366ae8f87385a3cd1c3f15
company,1627371780,Corning: Q2 Earnings Snapshot,69332971,,GLW,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b24e76a6474ee5024da4276461e37e1a7bf7585c7f323a31794f9bbf5e7c49a4
company,1627371000,"Corning Reports Outstanding Second-Quarter 2021 Results, Expects Continued Growth in Third Quarter",69332972,,GLW,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e991a75e6bad518fd44e33f5eb103c1d97a76bd26960987a275099a5d65caa95
company,1627367580,"Corning reports Q2 core EPS 53c, consensus 51c",69332974,,GLW,Thefly.com,"Reports Q2 revenue $3.5B,... GLW",https://finnhub.io/api/news?id=dd7cca93c0392a36e9f2120f795f5f4772679b9e6e50d108dd5652feea21b511
company,1627367580,"Corning sees Q3 EPS 54c-59c, consensus 57c",69332973,,GLW,Thefly.com,Sees Q3 revenue $3.5B-$3.... GLW,https://finnhub.io/api/news?id=8cb5ef20a5c8648628581c53455c4f8de1457e16766a874cd538be47474a994e
company,1627358580,"Earnings Scheduled For July 27, 2021",69333627,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1909.png,GLW,Benzinga," 
Companies Reporting Before The Bell
• Navios Maritime Partners (NYSE:NMM) is projected to report quarterly earnings at $2.93 per share on revenue of $146.03 million....",https://finnhub.io/api/news?id=608a5b3eba1b33f262b7ca8aebc0825dd99de2dc5b43ac2da16f1cd1b9193449
company,1627327800,Corning Partners with Hyundai Mobis to Enable Augmented Reality Head-Up Display Systems,69329941,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,GLW,Yahoo,"New product category creates today’s most immersive and connected driving experiencesCORNING, N.Y. , July 26, 2021 (GLOBE NEWSWIRE) -- Corning Incorporated (NYSE: GLW) today announced a new product category for its Automotive Glass Solutions. Corning® Curved Mirror Solutions are now key components in a new Augmented Reality (AR) Head-Up Display (HUD) system by Hyundai Mobis. Hyundai Motor Company debuted the technology in the 2021 IONIQ 5 electric crossover utility vehicle earlier this year. In",https://finnhub.io/api/news?id=9e02f9d1a1c34ce3c148f4fa9e8e4bd60d9e09b2ee455c276524ebf62c8a013c
company,1627318560,Corning Inc. stock outperforms competitors despite losses on the day,69554741,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. sank 0.39% to $41.06 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=891698a1565711225abb6c1ff883f7b88aa59a2d855b9d083e36fbf86d19109e
company,1627315804,Will Corning (GLW) Beat Estimates Again in Its Next Earnings Report?,69329942,,GLW,Yahoo,Corning (GLW) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://finnhub.io/api/news?id=9ea19a4f4bd145f9dfd4105d0807d64f39efa74630667678434bb7e8d227fa20
company,1627315324,Should You Buy Corning (GLW) Ahead of Earnings?,69329943,,GLW,Yahoo,Corning (GLW) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,https://finnhub.io/api/news?id=df4e0bbbd6090631db81dc65e318dc5a1e8d1f27a1fc7052972cd0105d9f05d4
company,1627313400,Corning Partners with Hyundai Mobis to Enable Augmented Reality Head-Up Display Systems,69332975,,GLW,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6f343b42f277b5958f6d8c4c5abbfc9124194a96d57275f78d113b90e5804198
company,1627303500,Notable companies reporting before tomorrow's open,69332185,,GLW,Thefly.com,"Notable companies reporti... UPS, RTX, MMM, GE, SHW, FISV, BSX, CNC, ROK, GLW, SWK, SIRI, TRU, PII, JBLU, GPK",https://finnhub.io/api/news?id=879dbed3aaeae4b36cb1c3d3006f0c7c953d09396d88f28eb8d672ca6ca30b83
company,1627061146,Earnings and the Federal Reserve are next big catalysts as stocks enter week ahead on an upswing,69298661,https://image.cnbcfm.com/api/v1/image/106913638-16267950530351-STVN-OB-Photo-210720-PRESS-15-jpg?v=1626795213,GLW,CNBC,Here comes one of the biggest market weeks of the summer.,https://finnhub.io/api/news?id=7874e03466528d1e4ac0285c1a2d32185bb465a602b18f8b42c8f6e5e2843b05
company,1627059360,Corning Inc. stock outperforms competitors on strong trading day,69554742,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. rose 1.95% to $41.22 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4c3dfa138cc125803fa7a368181024283a9d92bec7a24face6f299903385a1d0
company,1626972960,Corning Inc. stock underperforms Thursday when compared to competitors,69554743,https://images.mktw.net/im-220105/social,GLW,MarketWatch,"Shares of Corning Inc. slid 1.05% to $40.43 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=051a61514ee01bedb614bb3531df9861a595212cd7a0302ed72bc7a3d70ed782
