category,datetime,headline,id,image,related,source,summary,url
company,1629224799,A Genuine Parts Company (NYSE:GPC) insider increased their holdings by 13% last year,69704219,,GPC,Yahoo,"Insiders were net buyers of Genuine Parts Company's ( NYSE:GPC ) stock during the past year. That is, insiders bought...",https://finnhub.io/api/news?id=f02bf5527bb2106244994f8a9ee20f339f3baab72e2c5bc648991c2cde8b4984
company,1629207513,3 Stocks Insiders Are Buying,69702954,https://s.yimg.com/uu/api/res/1.2/adCCSedzxY2vffyxLzXn3Q--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/fea126936dbea21d3cb65d1529c075b1,GPC,Yahoo,"When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock. Insider purchases should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a buying decision. Below is a look at a few recent notable insider purchases. For more, check out Benzinga's insider transactions platform. Genuine Parts The Trade:",https://finnhub.io/api/news?id=77863a234fa375715f4e0ecbcf53a840924f214834ba74bdbbfae4841927e31d
company,1629193080,3 Stocks Insiders Are Buying,69701561,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/insider-buying_9.jpg,GPC,Benzinga,"When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go...",https://finnhub.io/api/news?id=830d03ec729c0fcc6c3faa666d6c25477769b6b2d8415e9b469caaa306332ac0
company,1629145800,Genuine Parts Company Announces Officer Change and Declares Regular Quarterly Dividend,69687126,https://s.yimg.com/uu/api/res/1.2/b29.lgT3olaqy.uPUccA_w--~B/aD0zMjg7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/8d360e8647ba8d965911e7604051d84e,GPC,Yahoo,"Genuine Parts Company (NYSE: GPC) announced today that Kristy G. Whitehurst was appointed Vice President of Employee Benefits. Ms. Whitehurst has served the Company for 14 years, most recently serving as Senior Director for Retirement, Disability and Rewards for the last four years. In her expanded role, Ms. Whitehurst will lead GPC's comprehensive employee benefits programs and drive our long-term benefits strategy.",https://finnhub.io/api/news?id=472ef5492f1048860354155b2e7c874436d5e1e48a87e096b448a040d2472adc
company,1629131400,Genuine Parts Company Announces Officer Change and Declares Regular Quarterly Dividend,69695048,,GPC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0dd0f7ef421c4f6884fa8142f1b28f5ee93b7ab13cf0cc333023e6e614e4e8f7
company,1628979420,Dividend Income Summary: Bert's July 2021 Summary,69672703,,GPC,SeekingAlpha,,https://finnhub.io/api/news?id=8edbca8d4e82449616ae5bced5397ff42ed4f86397bf68e44e1f90a70bc37e3e
company,1628873760,"Genuine Parts Co. stock falls Friday, underperforms market",69670193,https://images.mktw.net/im-220105/social,GPC,MarketWatch,"Shares of Genuine Parts Co. shed 0.50% to $124.64 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=41b6bd31fc568c4d5c25724a6c52db90213e26cbcd49043a76d45859a5f275d5
company,1628787360,"Genuine Parts Co. stock falls Thursday, underperforms market",69644716,https://images.mktw.net/im-220105/social,GPC,MarketWatch,"Shares of Genuine Parts Co. shed 0.37% to $125.27 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=eaad2dc2172135a4b0b5bf825f0439bf677bcc16bb8c9b9652b341f9a4d7872c
company,1628700960,Genuine Parts Co. stock outperforms competitors on strong trading day,69623993,https://images.mktw.net/im-220105/social,GPC,MarketWatch,"Shares of Genuine Parts Co. inched 0.78% higher to $125.74 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=ab541abe0e33e4abcdcfa30a4c4292f74969cd0a2c1ed226af4172654338c3db
company,1628700304,Genuine Parts (GPC) is an Incredible Growth Stock: 3 Reasons Why,69624601,https://s.yimg.com/uu/api/res/1.2/UPInF06X6fJkTqeimnpZuQ--~B/aD03NDU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/078b2d95159d12a337f09f2519ff10ba,GPC,Yahoo,Genuine Parts (GPC) could produce exceptional returns because of its solid growth attributes.,https://finnhub.io/api/news?id=ef312ad08527dda9eae2a76a9e73c2754a2455a48b6987c6450b617c424d11c8
company,1628614560,Genuine Parts Co. stock outperforms market on strong trading day,69623994,https://images.mktw.net/im-220105/social,GPC,MarketWatch,"Shares of Genuine Parts Co. inched 0.65% higher to $124.77 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=64d0b6e34243f306a689982d43199ba43b9cd5fc323e715920e4f6fe445ac306
company,1628528160,Genuine Parts Co. stock outperforms competitors despite losses on the day,69623995,https://images.mktw.net/im-220105/social,GPC,MarketWatch,"Shares of Genuine Parts Co. slipped 0.25% to $123.97 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0d5d06a72dea24e19f8f29f2f51ebc0c907eeb8fe02a666124cc7caca3f1120f
company,1628502479,Dividend Champions On Sale - The August 2021 Heat Map,69578510,,GPC,SeekingAlpha,,https://finnhub.io/api/news?id=893fa366d503d0208a91cb8c53b005109078aaab3227720b6d402b4a25b8d62c
company,1628268960,"Genuine Parts Co. stock rises Friday, still underperforms market",69557072,https://images.mktw.net/im-220105/social,GPC,MarketWatch,"Shares of Genuine Parts Co. inched 0.07% higher to $124.28 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=86d57c666dbbfd3d27f675e8a14f0d414c2f287b448cec1b50d1eed57b39d0f6
company,1628182560,Genuine Parts Co. stock underperforms Thursday when compared to competitors,69537875,https://images.mktw.net/im-220105/social,GPC,MarketWatch,"Shares of Genuine Parts Co. dropped 0.56% to $124.19 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=780b39d9bc056456199fbf410936efe31bd01c302138f806818e9bfc98f65179
company,1628096160,Genuine Parts Co. stock underperforms Wednesday when compared to competitors,69507206,https://images.mktw.net/im-220105/social,GPC,MarketWatch,"Shares of Genuine Parts Co. slipped 2.55% to $124.89 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7391835e4ac8d53533400804b0cc9c61d85f822b0c71281d198a5d10a2c09d4c
company,1628057580,Fly Intel: After-Hours Movers,69514507,https://image.thefly.com/catalog/202004/img_793.jpg,GPC,Thefly.com,"Etsy tumbles 13% despite Q2 earnings and revenue beat as growth in new buyers decelerates and outlook misses expectations CUTR, MVIS, PING, XNCR, SMSI, GPC, WU, ELF, BKNG, EA, TWNK, FOXA, NVRO, FSLY, ETSY, PETQ, MAXR, ROKU, ACAD, DXC, JACK, RVLV, UBER, PSNL, MGM, IAC, WDC",https://finnhub.io/api/news?id=83a8cba5375127790364b79bb277f0f17a8064649f193fa14a9d08f45619d1f2
company,1628052300,Inflation Is a Hot Topic This Earning Season. What CEOs Are Saying.,69505202,https://images.barrons.com/im-379838/social,GPC,MarketWatch,"Price increases, margin pressure, wage gains, and more have come up on more than half of calls.",https://finnhub.io/api/news?id=441064d6964492e08c44b450f645d3d7bc77ef7091a742c7eeafd5e96eee8a5b
