category,datetime,headline,id,image,related,source,summary,url
company,1629133020,"Garmin Ltd. stock rises Monday, outperforms market",69688175,https://images.mktw.net/im-220105/social,GRMN,MarketWatch,"Shares of Garmin Ltd. inched 0.79% higher to $168.85 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7002e7c31161f15807dcbec8697ff2491d1c6307880a61c8a2e1701a238fc0ea
company,1629085140,"Horizon Investment Services, LLC Buys SPDR Portfolio High Yield Bond ETF, FedEx Corp, Ally Financial Inc, Sells Zebra Technologies Corp, Canadian Pacific Railway, Trimble Inc",69694910,,GRMN,GuruFocus,,https://finnhub.io/api/news?id=9038f0e6d9a853774edfe9ccfb94019f7d53a439606dfcc3bd8bc73d5f4ec45c
company,1628873820,"Garmin Ltd. stock rises Friday, outperforms market",69663638,https://images.mktw.net/im-220105/social,GRMN,MarketWatch,"Shares of Garmin Ltd. inched 0.95% higher to $167.52 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=0957d8bc92dfd2a0b27855a50e45f5b3bdd478212b335bf29d207b7040ae8f88
company,1628787420,"Garmin Ltd. stock falls Thursday, underperforms market",69663640,https://images.mktw.net/im-220105/social,GRMN,MarketWatch,"Shares of Garmin Ltd. shed 0.77% to $165.95 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=aef57712dc5f72101a207082aeb7cb9ec302d8704771bf95bee15497a47804c7
company,1628701020,"Garmin Ltd. stock rises Wednesday, outperforms market",69623936,https://images.mktw.net/im-220105/social,GRMN,MarketWatch,"Shares of Garmin Ltd. inched 0.95% higher to $167.23 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=f08c28805a7ba1edb3cde809e807d7867e75475200da1ec7c417651f8182b996
company,1628689321,Garmin (GRMN) Strengthens Outdoor Segment With Approach R10,69619588,https://s.yimg.com/uu/api/res/1.2/C7HLKs3KOkjI56la46fHTg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/e911989021f1f9d014e8a62a3f602284,GRMN,Yahoo,"Garmin (GRMN) launches a portable golf launch monitor, namely Approach R10, in a bid to expand its reach to golfers.",https://finnhub.io/api/news?id=ee9317fca1049c1d0b72b10eb1d470631f3a7a54bde14c154e410fa76d611af7
company,1628614620,"Garmin Ltd. stock rises Tuesday, outperforms market",69623937,https://images.mktw.net/im-220105/social,GRMN,MarketWatch,"Shares of Garmin Ltd. inched 0.12% higher to $165.66 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=297278c96d3aad8a34d76de848715ba37876f4fb56158d7c628a045e43054399
company,1628593200,Tee up from home or the driving range with Garmin’s Approach® R10 portable golf launch monitor,69593642,https://s.yimg.com/uu/api/res/1.2/ymhoAV2ct0kGiDGw0rKi3w--~B/aD0zMjA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/da5fb8dffb55a011053ba0af9796e74b,GRMN,Yahoo,"OLATHE, Kan., August 10, 2021--Garmin® International, Inc., a unit of Garmin Ltd. (NASDAQ: GRMN), today announced the Approach R10, a lightweight portable golf launch monitor designed to help golfers improve their game at home, indoors or the driving range. With more than a dozen key metrics1 shown in real time, including club head speed, ball speed, swing tempo, ball spin, launch angle and more, golfers of all skill levels can rely on the Approach R10 to fine-tune their game. When paired with t",https://finnhub.io/api/news?id=53b5fcbcb8f77dab8df215fc8b1ffdfcf4fcb312d3b3037a541450914775a8ae
company,1628578800,Tee up from home or the driving range with Garmin’s Approach® R10 portable golf launch monitor,69596921,,GRMN,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9f41fbc201b81f20a03d5ec55168b243a3377134328d16bea9fa0511977b8522
company,1628528220,"Garmin Ltd. stock falls Monday, underperforms market",69623938,https://images.mktw.net/im-220105/social,GRMN,MarketWatch,"Shares of Garmin Ltd. slipped 0.16% to $165.46 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=6897edb2f3dad7e87898160937668f0cce105d74e4e2d2e6a500bcd32103757a
