category,datetime,headline,id,image,related,source,summary,url
company,1628787420,W.W. Grainger Inc. stock underperforms Thursday when compared to competitors,69643533,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. shed 1.64% to $438.07 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=28c55fc266b986f75086dc0510dee35e85a5a349cb2075a6ed06f82007763068
company,1628771940,"Transamerica Financial Advisors, Inc. Buys Invesco DWA Consumer Cyclicals Momentum ETF, Invesco DWA Energy Momentum ETF, Invesco DWA Industrials Momentum ETF, Sells iShares 20+ Year Treasury Bond ETF, FIRST TR EXCH ALPH, Duke Energy Corp",69651878,,GWW,GuruFocus,,https://finnhub.io/api/news?id=83d15db3d81f436b8b27a3a3abbc70f190d47d51cf39058b6da19915bd83e770
company,1628701020,W.W. Grainger Inc. stock outperforms market on strong trading day,69636532,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. inched 0.60% higher to $445.39 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=7c6888172c84243291b2be0bc338da02a1db4cf7f008af1f26acb19f025befd0
company,1628614620,W.W. Grainger Inc. stock outperforms market on strong trading day,69605371,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. rallied 1.14% to $442.74 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=62c86ee753f4da84b0af782e53741fd9b2b2ffb30da2885b9bc738aa072a161a
company,1628528220,"W.W. Grainger Inc. stock falls Monday, underperforms market",69605372,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. slumped 0.22% to $437.73 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=751177a88b51e686cdf3d0f297e0588813cc140b2a33adaf229854b2fc615dba
company,1628269020,W.W. Grainger Inc. stock outperforms market on strong trading day,69568749,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. inched 0.24% higher to $438.69 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=a312a9c7698d0a3c7c5d03279f1566ac171dab56049b1e8df7d2ead40ea643f8
company,1628182620,"W.W. Grainger Inc. stock falls Thursday, underperforms market",69568750,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. slipped 0.02% to $439.26 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=135dfcf46369338819b76a9ebb06782298ab496d897b20eab71a9aabb8adae9f
company,1628096220,"W.W. Grainger Inc. stock falls Wednesday, underperforms market",69568751,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. shed 1.48% to $439.35 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=eb4b715fdcf4bc302f813fd466bee91a0d6384534beb39823167607acf5dc352
company,1628009820,W.W. Grainger Inc. stock underperforms Tuesday when compared to competitors despite daily gains,69568752,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. advanced 1.32% to $445.95 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=921f255fa13f07e55a5af8061622033705453b715b7a5709ad88e0061299e5a0
company,1627980840,Fly Intel: Top five analyst initiations,69467055,,GWW,Thefly.com,"Catch up on today's ... ZI, TSCO, AIT, GWW, MSM",https://finnhub.io/api/news?id=8f95cf887d9a2201113f4d9a8541a0cc900ea4be334f1b8787722aa71c5f1d0c
company,1627970880,Grainger initiated with a Buy at Loop Capital,69469661,,GWW,Thefly.com,Loop Capital analyst Chri... GWW,https://finnhub.io/api/news?id=24fcf1d21ef2ef306d523ba45dd863bb21104d0d75d690652a851bdfafc9c373
company,1627923420,"W.W. Grainger Inc. stock falls Monday, underperforms market",69568753,https://images.mktw.net/im-220105/social,GWW,MarketWatch,"Shares of W.W. Grainger Inc. slid 0.99% to $440.16 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=f329dc8b4970e01b536f52e1da92746121f9120622eec155feab66866517d40e
company,1627882620,Grainger price target raised to $378 from $369 at RBC Capital,69447995,,GWW,Thefly.com,RBC Capital analyst Deane... GWW,https://finnhub.io/api/news?id=bff4d8fbd77138732c2d4e4cdf7a3d3585b7ba2276b144dddf3177343c9fc27e
company,1627881780,Grainger downgraded to Market Perform from Outperform at Raymond James,69447996,,GWW,Thefly.com,Raymond James analyst Sam... GWW,https://finnhub.io/api/news?id=cb62916aa0ce069bab53e76ecccae92d0cfd8923b79faa4d233e7d43bc045954
company,1627881365,Here's What We Like About W.W. Grainger's (NYSE:GWW) Upcoming Dividend,69445988,https://s.yimg.com/uu/api/res/1.2/ZGEeCFy6R_x33CuSSs1QVg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/67199089f87ca6ea8b33765175d6b1ff,GWW,Yahoo,"Some investors rely on dividends for growing their wealth, and if you're one of those dividend sleuths, you might be...",https://finnhub.io/api/news?id=7999dc0b005f21abe2283e6f24de914e5149a37233f898531b5d78fe66f73e33
company,1627875960,Grainger downgraded to Market Perform from Outperform at Raymond James,69447997,,GWW,Thefly.com,Raymond James analyst Sam... GWW,https://finnhub.io/api/news?id=750a5540ea1cf246a3bd4518b384096d64070b333519ce2e0b9ed5ee6fa64303
company,1627816925,Dividend Champion And Contender Highlights: Week Of August 1,69432628,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,GWW,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=742f0a4c9ec02cdbcf2ce3b029094c290a8cc405fb77ec0a8a75ef044bdb0cd8
company,1627716655,W.W. Grainger (NYSE:GWW) Is Paying Out A Larger Dividend Than Last Year,69422029,https://s.yimg.com/uu/api/res/1.2/ZGEeCFy6R_x33CuSSs1QVg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/67199089f87ca6ea8b33765175d6b1ff,GWW,Yahoo,"The board of W.W. Grainger, Inc. ( NYSE:GWW ) has announced that it will be increasing its dividend on the 1st of...",https://finnhub.io/api/news?id=7723931c24cb3e39fad3ca8d4df7f778c554ec1f64c64a20ba240b22bf1c1a8b
company,1627680667,"WW Grainger, inc (GWW) Q2 2021 Earnings Call Transcript",69422030,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,GWW,Yahoo,"GWW earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=5362b853085efb876956804a39f429578abbc349461e34b1c49ee5a055c5464d
