category,datetime,headline,id,image,related,source,summary,url
company,1629141968,Earnings-Palooza: 4 FAANG Stocks and More,69684352,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,HAS,Yahoo,"Amazon (NASDAQ: AMZN) has its worst day in over a year after missing expectations.  Alphabet (NASDAQ: GOOG) (NASDAQ: GOOGL) hits a new high and announces a $50 billion buyback plan.  In this episode of Motley Fool Money, Motley Fool analysts Emily Flippen and Jason Moser discuss those stories and weigh in on the latest earnings from Facebook (NASDAQ: FB), PayPal (NASDAQ: PYPL), Shopify (NYSE: SHOP), Starbucks (NASDAQ: SBUX), Qualcomm (NASDAQ: QCOM), Twilio (NYSE: TWLO), Teladoc Health (NYSE: TDOC), Pinterest (NYSE: PINS), and Hasbro (NASDAQ: HAS).",https://finnhub.io/api/news?id=337f51fa80db0c915a089c7ac50e8d819d2e78c12a6c4460fdd89aa5170355e8
company,1629110340,"Deprince Race & Zollo Inc Buys Herman Miller Inc, Abbott Laboratories, Huntington Bancshares Inc, Sells TCF Financial Corp, Olin Corp, W R Grace",69695516,,HAS,GuruFocus,,https://finnhub.io/api/news?id=a1e1add2ee2d19a338d0229d603104aedb2ec601428de96ae3ca2e4834da3a46
company,1629088740,"Majedie Asset Management Ltd Buys Etsy Inc, Hasbro Inc, Interactive Brokers Group Inc, Sells Medtronic PLC, American Eagle Outfitters Inc, Wyndham Hotels & Resorts Inc",69695517,,HAS,GuruFocus,,https://finnhub.io/api/news?id=db369367206bfdf67fb8358cde64cd1fa6b6be01beeda158f3d0fefcba8f60d7
company,1628881620,U.S. Consumer Spending Preview: Q2 2021,69660534,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1246323239/medium_image_1246323239.jpg,HAS,SeekingAlpha,"As U.S. retailers and restaurants report Q2 2021 earnings, bulk of them will be facing easiest comparisons from a year ago, when government required brick and mortar stores to close.",https://finnhub.io/api/news?id=342439cb83de2afcd1ef25bb0819fe5b13fe8b49fcea5104112e1d54d23676e7
company,1628866758,What You Should Know About Slowing Population Growth,69655054,,HAS,Yahoo,"Hasbro (NASDAQ: HAS) shares hit a 52-week high after strong second-quarter results.  America's population growth is slowing down, so what does it mean for different industries?  In this episode of MarketFoolery, Jason Moser analyzes those stories and shares what he's going to be watching when Teladoc Health (NYSE: TDOC) and Qualcomm (NASDAQ: QCOM) report earnings.",https://finnhub.io/api/news?id=44ae1fb7e77044d9ce323cdecbb1c92cdb77b8dc8baaa353c0f62d038ec4e184
company,1628701020,"Hasbro Inc. stock rises Wednesday, still underperforms market",69636560,https://images.mktw.net/im-220105/social,HAS,MarketWatch,"Shares of Hasbro Inc. inched 0.03% higher to $98.71 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=cd7b915c8b8f0c936c0d947a01fe67799bf04c7572d224f48f23f3a946e10044
company,1628614620,Hasbro Inc. stock outperforms market on strong trading day,69636562,https://images.mktw.net/im-220105/social,HAS,MarketWatch,"Shares of Hasbro Inc. inched 0.49% higher to $98.68 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e0446e3c44124937c24a167d7400e8930193a0603b88ae6b00ac4e868e1f090d
company,1628604660,PJ Masks Season Five Powers Up with More Feature Episodes Than Ever Before,69595085,https://s.yimg.com/uu/api/res/1.2/p5y4TtlC7pkAYGvp69zGgg--~B/aD04OTt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/7e1142886198383657c347e40b47390b,HAS,Yahoo,"Entertainment One (eOne)'s hit preschool series PJ Masks returns for season five with the iconic trio, Catboy, Owlette, and Gekko, and epic new adventures. The new season premieres August 13 at 1:00 p.m. ET/PT on Disney Junior and DisneyNOW, followed by six consecutive weeks of premieres, and introduces new characters, superpowers, vehicles and more. With more feature episodes than ever before, this is a season PJ Masks fans won't want to miss.",https://finnhub.io/api/news?id=f0417be410376d55424514622c19d1988aebb138a83f81db8dd8deecdeb78052
company,1628590260,PJ Masks Season Five Powers Up with More Feature Episodes Than Ever Before,69595194,,HAS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=78d6f264593bd9d621d7610c1e833bbeef25e799a0b55883427d2e82400fac81
company,1628528220,"Hasbro Inc. stock rises Monday, outperforms market",69586441,https://images.mktw.net/im-220105/social,HAS,MarketWatch,"Shares of Hasbro Inc. inched 0.21% higher to $98.20 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=5ff2cd8af109411c26ea053f46a4369d9b146c570c6a2ac6478b812838447719
