category,datetime,headline,id,image,related,source,summary,url
company,1629023700,These 3 Bellwether CEOs Are Signaling Inflation Ahead,69675104,https://s.yimg.com/uu/api/res/1.2/gynTpjl1AAcpwPPHS4rl7A--~B/aD0xMTE0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/643ccb23e8c555c0694c9f70651fdf8c,HCA,Yahoo,"For HCA Healthcare (NYSE: HCA), Walmart (NYSE: WMT), and JPMorgan Chase (NYSE: JPM), the message seems clear.  HCA is the largest operator of hospitals in the U.S. and employs about 275,000 people -- roughly 80,000 of them part-time.",https://finnhub.io/api/news?id=c5dad589587a21da03f5cb52415fd185bfb77cf17eb195a6132e20ab4dfc23a2
company,1628873880,HCA Healthcare Inc. stock outperforms market on strong trading day,69667428,https://images.mktw.net/im-220105/social,HCA,MarketWatch,"Shares of HCA Healthcare Inc. inched 0.18% higher to $242.98 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=4148e9fa38d8f900d0c9b27ed71b1673608d4b8e1a8e1650c438c62580f3bdf5
company,1628787420,HCA Healthcare Inc. stock outperforms competitors on strong trading day,69667429,https://images.mktw.net/im-220105/social,HCA,MarketWatch,"Shares of HCA Healthcare Inc. inched 0.57% higher to $242.54 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=3c8a8c5635d985c4cdc612c79a3b0735e653c8c46faf44ecf330e7b946fc5965
company,1628766360,HCA October 1st Options Begin Trading,69655475,,HCA,Stock Options Channel,"Staff article entitled HCA October 1st Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=843605128188a8f4a5ba3a4d9cec8bf8353022c46e2032ad1b82c39abf02bff3
company,1628755860,"Thursday’s Top Analyst Upgrades and Downgrades: Canopy Growth, Carrier, Lyft, Mastercard, Micron, Pinterest, Virgin Galactic, Wendy’s and More",69634970,https://247wallst.com/wp-content/uploads/2021/03/imageForEntry1-nmL.jpg,HCA,247WallSt,"Thursday's top analyst upgrades and downgrades included Canopy Growth, Carrier Global, Fastly, HCA Healthcare, Lyft, Mastercard, Micron Technology, Pinterest, Seagate Technology, Virgin Galactic and Wendy's.",https://finnhub.io/api/news?id=0984be53c997dc3925e5bc92dda3f1eaad27d009e42721125973d1deb82a3c58
company,1628744640,HCA Healthcare assumed at Equal Weight from Overweight at Barclays,69635611,,HCA,Thefly.com,Barclays analyst Sarah Ja... HCA,https://finnhub.io/api/news?id=1da463b37a84acc38a085de60debae5c3699d259937f26099b08d9c87ae7d7c0
company,1628743140,Home - The Fly,69635612,,HCA,Thefly.com,The Fly is a leading digital publisher of real-time financial news. The Fly team scours all sources of company news and delivers short-form stories consisting of only market moving content.,https://finnhub.io/api/news?id=2ac440ba558b9ae9450ae17c462ea2455586c9a5c6f34338f5d7fb6f2f660fe3
company,1628701020,"HCA Healthcare Inc. stock rises Wednesday, still underperforms market",69667430,https://images.mktw.net/im-220105/social,HCA,MarketWatch,"Shares of HCA Healthcare Inc. inched 0.21% higher to $241.16 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=4e169330a25929de375155a35ca15a2731036ede700b3c2bbd3039a1ffdf5358
company,1628688601,Why This 1 Medical Stock Could Be a Great Addition to Your Portfolio,69617611,https://s.yimg.com/uu/api/res/1.2/26ddEdIk.0DefsBmi91u3Q--~B/aD01OTg7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/21b1f011539d3e31c28282071d344177,HCA,Yahoo,The Zacks Focus List offers investors a way to easily find top-rated stocks and build a winning investment portfolio. Here's why you should take advantage.,https://finnhub.io/api/news?id=0fe44f32501d7a53d2e7fce81653ce1ffec253acf39aaae8df8e63e942bb811a
company,1628685012,Here's How Much a $1000 Investment in HCA Healthcare Made 10 Years Ago Would Be Worth Today,69617612,https://s.yimg.com/uu/api/res/1.2/nxwFIPS2ImeTQYZMYlnAgg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1a018a29aef5adbf5b4319f32058e209,HCA,Yahoo,"Why investing for the long run, especially if you buy certain popular stocks, could reap huge rewards.",https://finnhub.io/api/news?id=a4a8f8f17e10f72a9c4887a6a828b3cdccb750cb1f568e37f08fdb0c10d91faa
