category,datetime,headline,id,image,related,source,summary,url
company,1629221700,Walmart and Home Depot beat earnings expectations but a number of factors are putting a squeeze on the consumer shopping spree,69703389,,HD,Yahoo,"Home Depot exceeded $40 billion in quarterly sales for the first time but missed on same-store sales, sending shares down 4.5%",https://finnhub.io/api/news?id=810af45f2db3e93ee9c6342dadc39401cefcd3344d10e41efb6f24d01d66a7d2
company,1629221644,"Dow Jones Slumps 400 Points; Home Depot Hit On Earnings, But 3 Recent IPOs Soar To New Highs",69703390,,HD,Yahoo,"The Dow Jones, S&P 500 and Nasdaq composite were down more than 1% in afternoon trading Tuesday. Growth stocks were hit hard again.",https://finnhub.io/api/news?id=0f4fe34768511d526a6826fa8ad367832704c0f9bf38d3231c6490d406304845
company,1629220604,Why Home Depot stock just got hammered,69703391,,HD,Yahoo,Home Depot's stock gets nailed after its second quarter earnings report. Here's why.,https://finnhub.io/api/news?id=04cf4754e5446e5b06959f1b3c504edc6b5ff83e144c4929bc0ade61b05f2786
company,1629218031,"US STOCKS-Tech stocks, Home Depot pull S&P 500, Dow from record highs",69702697,,HD,Yahoo,"Wall Street's main indexes slid on Tuesday, weighed down by a decline in mega-cap technology-related stocks and a weak earnings report from Home Depot, while a mixed batch of data suggested an uneven U.S. economic recovery.  Home Depot dropped 4.7% after it missed Wall Street estimates for U.S. same-store sales for the first time in two years, as do-it-yourself projects during the height of the pandemic tapered off.",https://finnhub.io/api/news?id=6910dfbbbfd3e6cd07c932dda21103cd104b92a7f7a49c120982c7444fe71101
company,1629217767,"Dow Jones Dives 330 Points As Weak Retail Sales Hit Stocks, Home Depot Drops",69702688,,HD,Yahoo,Key market indexes were sharply lower midday with the Dow Jones Industrial Average down more than 300 points amid weak retail sales.,https://finnhub.io/api/news?id=54196bcc1462c7f3e7af1f588595d7f8f351364407a4c49f89fd6d79038edfa1
company,1629210816,"Dow Jones Sells Off As Retail Sales Miss; Home Depot, Walmart Report Earnings",69696945,https://s.yimg.com/uu/api/res/1.2/CRy0tjr2zqoQpOODo_tfJA--~B/aD02MDA7dz0xMDY1O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/72af72ab3154f62716df3be530b0601d,HD,Yahoo,"The Dow Jones Industrial Average slid 300 points Tuesday, as retail sales missed. Home Depot and Walmart reported earnings ahead of the open.",https://finnhub.io/api/news?id=7c95f23a069a168f21bbde7b28672e5739a201638e119fe1869d3e2b28445a51
company,1629215076,Walmart is 'a good combination of offensive and defensive' amid recovery: Analyst,69703397,https://s.yimg.com/ny/api/res/1.2/P1Ais4QsXbb.rGbLFiJLxQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTIz/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/17/611bd9658346ba45ba7529aa/611bd9658346ba45ba7529ab_o_U_v2.jpg,HD,Yahoo,"Walmart earnings beat expectations, driven by strong back-to-school sales. D.A. Davidson Managing Director Michael Baker joins Yahoo Finance Live to discuss.",https://finnhub.io/api/news?id=07be026f3c540c4f22e0fe2e57940f4ca43ecd50db264646d9eba7f77a80eb27
company,1629213540,Home Depot Earnings Beat Expectations. Why Its Stock Is Tumbling.,69703398,https://s.yimg.com/uu/api/res/1.2/ZvhmBMxzv3aSDJeDCIeKoQ--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/afddf126dbc69fcbbc6573022e839d07,HD,Yahoo,"Home Depot  stock is falling after the home-improvement retailer reported earnings that topped expectations.  Home Depot reported an adjusted profit of $4.53 a share, beating forecasts for $4.43 a share, on sales of $41.12 billion, topping expectations for $40.73 billion.  “I am very proud of our associates, who continue to demonstrate a relentless focus on serving our customers,” Home Depot CEO Craig Menear said in the earnings release.",https://finnhub.io/api/news?id=29bf0b20c3c412f31d92bff2161249d484c38621bf62630969f0f2eb9010ee74
company,1629211633,"The Home Depot, Inc. (HD) CEO Craig Menear on Q2 2021 Results - Earnings Call Transcript",69704255,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,HD,SeekingAlpha,"The Home Depot, Inc. (NYSE:HD) Q2 2021 Earnings Conference Call August 17, 2021, 9:00 AM ET Company Participants Isabel Janci - Vice President, Investor Relations &amp; Treasurer Craig...",https://finnhub.io/api/news?id=d171187a73fa488f930cc7b28ea3ae9b569dd42d9d06488729d13d5684022daa
company,1629211091,"Lowe's stock falls the most in 9 months ahead of earnings, in wake of Home Depot's disappointment",69698611,,HD,Yahoo,"Shares of Lowe's Companies sank 4.9% in morning trading Tuesday, a day before fiscal second-quarter results are scheduled to be reported, as they suffered collateral damage from yet another disappointing earnings report from larger rival Home Depot Inc",https://finnhub.io/api/news?id=f4cf4f85bdde9b805dff67dc19d0fe7ef0e2f28af4fa860f6445886e5bed6a28
