category,datetime,headline,id,image,related,source,summary,url
company,1629209882,Eni (E) Begins Production From Cuica Field Offshore Angola,69699434,https://s.yimg.com/uu/api/res/1.2/FeBzxvdN3nnzGvCiRcTGrg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3cb58e6710a522d11f0dc1344b8bcb7c,HES,Yahoo,Eni (E) is using the Armada Olombendo FPSO vessel for producing hydrocarbons from the Cuica field.,https://finnhub.io/api/news?id=4eaca7d4c804b96a6baa1ad5587a4e7af10abbf5124df4a69c336aa1c75b1ae3
company,1629208802,"After Plunging 8.4% in 4 Weeks, Here's Why the Trend Might Reverse for Hess (HES)",69702535,https://s.yimg.com/uu/api/res/1.2/aMCT_Lh5K9xNn9.QUdX03w--~B/aD01ODc7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/17a4db66bb13bdabcbf848550a6ea15a,HES,Yahoo,"Hess (HES) has become technically an oversold stock now, which implies exhaustion of the heavy selling pressure on it. This, combined with strong agreement among Wall Street analysts in revising earnings estimates higher, indicates a potential trend reversal for the stock in the near term.",https://finnhub.io/api/news?id=232ef6d34446f6cd895d86d2aef8a7198f61724ef79cd5cd9aa242fcc63ab885
company,1629133080,Hess Corp. stock underperforms Monday when compared to competitors,69690982,https://images.mktw.net/im-220105/social,HES,MarketWatch,"Shares of Hess Corp. shed 3.55% to $67.46 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c970f6ff6f226d2c6795babb45052e28335dfcbbe1573efe6643c1ed03891dab
company,1629114180,Forget $100 Oil. Here’s What to Watch in Energy Now.,69690984,https://images.barrons.com/im-386052/social,HES,MarketWatch,One focus will be which companies return more cash to shareholders.,https://finnhub.io/api/news?id=99fe80e6dcc5e7894e9e26fc729f5c768ded68166dfa44f037a4e18334803e19
company,1629110040,Hess Stock Getting Very Oversold,69701103,,HES,Energy Stock Channel,"energy stock channel,HES,",https://finnhub.io/api/news?id=b6d9a68a4180da27a311f9ddf85c61c318c31ff43d8d594a2022748aa014b727
company,1629107820,Hess Breaks Below 200-Day Moving Average - Notable for HES,69701104,,HES,Energy Stock Channel,"energy stock channel,HES,",https://finnhub.io/api/news?id=cef9aca607ad15ed681703ddb8c8b11fc8a26557d787b4aa292ae6e0fbf6b1b6
company,1629088740,"Nli International Inc Buys Accenture PLC, PepsiCo Inc, Intel Corp, Sells American Electric Power Co Inc, Cerner Corp, Goldman Sachs Group Inc",69696655,,HES,GuruFocus,,https://finnhub.io/api/news?id=06cf245090f56000a2a41a2d57a93ef558c7442c26b03f3f2de0895d34d9987a
company,1628880279,"Two unlucky stocks over the past month could be due for a rebound, traders say",69662953,https://image.cnbcfm.com/api/v1/image/102833619-RTX1K9RQ.jpg?v=1609883960,HES,CNBC,"It's Friday the 13th, and CNBC's ""Trading Nation"" went looking for some of the unluckiest stocks on Wall Street. But these two could be due for a rebound. ",https://finnhub.io/api/news?id=47fa6e14095eefabce5bfe9d40ad0ae395236d8efe6e3119d77c3c2bd8e67a16
company,1628873880,"Hess Corp. stock falls Friday, underperforms market",69690986,https://images.mktw.net/im-220105/social,HES,MarketWatch,"Shares of Hess Corp. shed 2.85% to $69.94 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d04e7f4434c7a38b957386a98b494f2371e3aeceea5dfffb2b05b9ba6cef69f3
company,1628864642,Continental (CLR) Jumps 12.4% Since Reporting Q2 Earnings Beat,69655870,,HES,Yahoo,Higher commodity price realizations and increased production volumes aid Continental's (CLR) Q2 earnings.,https://finnhub.io/api/news?id=6bdcc39e362fb1a32c386ca644377dc665c0f00dc1f0e840e79af925f0238e42
company,1628787480,"Hess Corp. stock falls Thursday, underperforms market",69644636,https://images.mktw.net/im-220105/social,HES,MarketWatch,"Shares of Hess Corp. shed 1.09% to $71.99 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4c90961b0403b5e4dca3f201aaeee22bac76d6265f3fd0e5df0d687c6263f68f
company,1628767080,3 Strong Reasons to Invest in ChargePoint Right Now,69652337,https://investorplace.com/wp-content/uploads/2021/04/chpt-stock-2.jpg,HES,InvestorPlace,CHPT stock has a trio of catalysts investors shouldn't ignore,https://finnhub.io/api/news?id=b65923c5c238088cdb1bd3d3e3dea6c237d686c9482205f2c094a54cfe0449c8
