category,datetime,headline,id,image,related,source,summary,url
company,1629133080,Hartford Financial Services Group Inc. stock outperforms competitors despite losses on the day,69691040,https://images.mktw.net/im-220105/social,HIG,MarketWatch,"Shares of Hartford Financial Services Group Inc. slid 0.38% to $67.78 Monday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=87742fab9c90c412a6b896a5a74992c7381f1b86be536dd8068591ca168ef246
company,1629131855,Employers Holdings Leveraged To Improving Employment And Rates,69684648,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1276731907/medium_image_1276731907.jpg,HIG,SeekingAlpha,"Employers Holdings is still seeing the financial impact of weaker workers comp demand during the pandemic, with underwriting income missing expectations and coming in at a small loss.",https://finnhub.io/api/news?id=8db3b7d6419dac353abdb9bda212ba9ade6b56d5e9c690a21ca59e92a93f12ed
company,1629085260,Hartford Financial initiated with a Peer Perform at Wolfe Research,69694249,,HIG,Thefly.com,Wolfe Research analyst Mi... HIG,https://finnhub.io/api/news?id=2bd73ebb01373dea3bd089695b81f9418f165e4a68d4e25978db3c52ae63685c
company,1628873880,"Hartford Financial Services Group Inc. stock rises Friday, still underperforms market",69661838,https://images.mktw.net/im-220105/social,HIG,MarketWatch,"Shares of Hartford Financial Services Group Inc. inched 0.07% higher to $68.04 Friday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=cd83d80622534176fbf79515cc4eccf205fe606509d5df0ca2d0659242581af5
company,1628787480,Hartford Financial Services Group Inc. stock outperforms market on strong trading day,69661839,https://images.mktw.net/im-220105/social,HIG,MarketWatch,"Shares of Hartford Financial Services Group Inc. inched 0.68% higher to $67.99 Thursday, on what proved to be an all-around favorable trading session for the...",https://finnhub.io/api/news?id=a1b9cdb174d9a57a702580b65ef442f5568616a430633970f5fe0c67169a04ad
company,1628755200,HIG Named A Top Socially Responsible Dividend Stock,69637558,,HIG,ETF Channel,"Staff article entitled HIG Named A Top Socially Responsible Dividend Stock, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=2e4bd339b25861ab689dd7b8335f904036b7f1e4f0098bd6955c465370419114
company,1628701080,"Hartford Financial Services Group Inc. stock rises Wednesday, outperforms market",69661840,https://images.mktw.net/im-220105/social,HIG,MarketWatch,"Shares of Hartford Financial Services Group Inc. advanced 1.03% to $67.53 Wednesday, on what proved to be an all-around favorable trading session for the...",https://finnhub.io/api/news?id=22c71dabc5b417560b94cc53e09cd3691fc68d56d77291828b89d7436e3a68f0
company,1628686921,3 Insurance Stocks Worth Betting on Now for Solid Gains,69615514,,HIG,Yahoo,These insurance stocks are set to gain from a strengthening economy and higher insurance premium rates.,https://finnhub.io/api/news?id=959d65e9ee94566a5759c2c36b9fa9f1bc51767efc02b8c1be9fbe332698862e
company,1628614680,Hartford Financial Services Group Inc. stock outperforms market on strong trading day,69661842,https://images.mktw.net/im-220105/social,HIG,MarketWatch,"Shares of Hartford Financial Services Group Inc. inched 0.16% higher to $66.84 Tuesday, on what proved to be an all-around great trading session for the...",https://finnhub.io/api/news?id=5661f2d5378e8c411189e3208b8a9fa2aef26970a529dd33113e70216a95b6ce
company,1628545980,"Rand Araskog, CEO Who Dismantled ITT, Has Died at Age 89 ",69612430,https://images.wsj.net/im-382931/social,HIG,DowJones,The Minnesota native led a conglomerate whose products once ranged from Wonder bread to Sheraton hotels and Avis rental cars.,https://finnhub.io/api/news?id=bceeeb18d38cadbad0a94f202bb21bce095fad89c415fcfed354f2ff9cbed0bc
company,1628528280,"Hartford Financial Services Group Inc. stock rises Monday, outperforms market",69590650,https://images.mktw.net/im-220105/social,HIG,MarketWatch,"Shares of Hartford Financial Services Group Inc. inched 0.50% higher to $66.73 Monday, on what proved to be an all-around rough trading session for the stock...",https://finnhub.io/api/news?id=94ca2930655b12d140193060175ee8edca496463d796f1c4b66b6b3249c3b276
company,1628269080,Hartford Financial Services Group Inc. stock outperforms market on strong trading day,69590651,https://images.mktw.net/im-220105/social,HIG,MarketWatch,"Shares of Hartford Financial Services Group Inc. advanced 1.51% to $66.40 Friday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=dba93fd6bfebab69d985924118ec2be71739ce56f825c3ec5cd531bfea43651c
company,1628182680,Hartford Financial Services Group Inc. stock outperforms competitors on strong trading day,69590652,https://images.mktw.net/im-220105/social,HIG,MarketWatch,"Shares of Hartford Financial Services Group Inc. rallied 1.43% to $65.41 Thursday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=dfa57c29655ab80f16955d890c7039c578984738e68e7e1c64922ba7b357400e
