category,datetime,headline,id,image,related,source,summary,url
company,1629152160,"Bankrupt San Jose Hotel, Accor Reach Agreement on Reorganization",69687731,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,HLT,MarketWatch,"By Becky Yerak The bankrupt Fairmont San Jose hotel, which this week is scheduled to seek approval of its chapter 11 plan, has reached an agreement on terms...",https://finnhub.io/api/news?id=f2e58eda88a33a10cac3a1107661fde5d51a9f8d8f564670f221524629419835
company,1629133080,"Hilton Worldwide Holdings Inc. stock falls Monday, underperforms market",69687732,https://images.mktw.net/im-220105/social,HLT,MarketWatch,"Shares of Hilton Worldwide Holdings Inc. slumped 0.59% to $121.49 Monday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=d7f9967b3f59dd82cceaa8498f4ce7e38368aa29b46392d513f52a2e7c05eed9
company,1629117540,"HHR Asset Management, LLC Buys Twitter Inc, Wynn Resorts, Hilton Worldwide Holdings Inc, Sells RH, Intuit Inc, ContextLogic Inc",69695468,,HLT,GuruFocus,,https://finnhub.io/api/news?id=61485d898d8f8e15e45766d9cb4c3257116a4b6162214db31e35a427bccae067
company,1629110871,Hyatt's Deal For Apple Leisure Should Unlock Value,69680095,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171316850/medium_image_171316850.jpg,HLT,SeekingAlpha,Hyatt's purchase of Apple Leisure and planned sale of assets should lead to a higher valuation. Family control of Hyatt means shares will trade at a discount.,https://finnhub.io/api/news?id=3dc91f30fe1ffa370284f7390957449f47cda9a20cda17ec7c64a95ac08d22c3
company,1629095940,"Crestwood Advisors LLC Buys Morgan Stanley, Information Services Group Inc, Hilton Worldwide Holdings Inc, Sells BTC iShares MSCI USA Momentum Factor ETF, Capital One Financial Corp, JPMorgan Diversified Return International Equity E",69695469,,HLT,GuruFocus,,https://finnhub.io/api/news?id=f9f5bb10da0381801a6253acc7fb669b45d2b31a354cd8a258d6c22e0fe42014
company,1629085380,"Pershing Square boosts Domino's, cuts Lowe's in Q2",69695470,,HLT,Thefly.com,"Bill Ackman's Pershi... DPZ, LOW, QSR, HLT, A, CMG",https://finnhub.io/api/news?id=bc4118b25d04dd3b2945f0e16d0049cf94f9e313190ba44ddaf1dfc194a177c9
company,1629075900,Hilton call volume above normal and directionally bullish,69695471,,HLT,Thefly.com,Bullish option flow detec... HLT,https://finnhub.io/api/news?id=b24026ac3faba2c7b51263c89c6871250cea86854b469cde0a1542dbc1ce7318
company,1628873880,Hilton Worldwide Holdings Inc. stock underperforms Friday when compared to competitors,69661770,https://images.mktw.net/im-220105/social,HLT,MarketWatch,"Shares of Hilton Worldwide Holdings Inc. shed 0.99% to $122.21 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=f331c05c7b946089f81827519cfbeb850dc1f71493b66355123c19cb6a1b1734
company,1628859000,"Soros Capital buys Amazon, exits Netflix in Q2",69667089,,HLT,Thefly.com,"George Soros' Soros ... AMZN, MSFT, GOOG, GOOGL, TWTR, GDDY, FCX, MAR, NFLX, HLT, TME, PACK, FISV, SE, AMAT, TGT, MU, TMUS, BKNG, LRCX, FNF",https://finnhub.io/api/news?id=75cb69ae884b22b18a911ddab14b0e33ba1811990b7eca7b4d8d036e54e8a3c1
company,1628787480,Hilton Worldwide Holdings Inc. stock outperforms competitors despite losses on the day,69661771,https://images.mktw.net/im-220105/social,HLT,MarketWatch,"Shares of Hilton Worldwide Holdings Inc. slipped 1.28% to $123.43 Thursday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=b4560d9682226c62e4dd3bdeddbe8dfb14df671eb4d4e791d23850e166a6dc83
company,1628764080,Delta Is Hitting These Travel Stocks More Than Others,69636510,https://images.barrons.com/im-384439/social,HLT,MarketWatch,"Cruise line stocks are up this month, but hotel stocks are falling. What investors need to know.",https://finnhub.io/api/news?id=0dac6490cc20187f8565337b5454dc35272226ce1cff76ffa5ee9e1aa6179e7c
company,1628701080,"Hilton Worldwide Holdings Inc. stock falls Wednesday, underperforms market",69641677,https://images.mktw.net/im-220105/social,HLT,MarketWatch,"Shares of Hilton Worldwide Holdings Inc. shed 1.04% to $125.03 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=712ee2e5cf4075b257d9963c339b7ee6bf124cd209e83d32f250b18e49327ce3
company,1628683020,Bill Ackman's Pershing Square Subscribes to Universal Music Group,69634160,https://static.gurufocus.com/photos/others/bill_ackman_2014.JPG,HLT,GuruFocus,Activist firm takes a toned-down stake following SPAC fallout,https://finnhub.io/api/news?id=c008eaa67c2311f890c30596baa88cc9720b8d4e9e0d595c8f9a8f9cbe125902
company,1628614680,"Hilton Worldwide Holdings Inc. stock rises Tuesday, outperforms market",69622363,https://images.mktw.net/im-220105/social,HLT,MarketWatch,"Shares of Hilton Worldwide Holdings Inc. advanced 1.40% to $126.35 Tuesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=abd468995b8efe94668a346c3fc5398488e251e81ab9042df1c3455b7a21ff2e
company,1628586349,"How Marriott became the biggest hotel in the world, and what's next for the hotel giant",69644558,https://image.cnbcfm.com/api/v1/image/106920681-GettyImages-801081276-jpg?v=1627932818,HLT,CNBC,"Marriott International has been a stalwart in the hotel industry for decades. However, the hotel giant — along with its competitors — was hit hard by the Covid-19 pandemic in 2020. Last year was the worst on record for U.S. hotels, and Marriott was particularly hard hit. The company posted in 2020 its first full-year loss in more than a decade. Despite those challenges, the rollout of vaccines and signs of pent-up travel demand has led to a renewed sense of optimism for the hotel operator.",https://finnhub.io/api/news?id=9631805a0a1df9793d2a54fab4ab4b8b67931dd5476977110d1e1c1c14fc3bd2
company,1628582400,"Luxury Hotel-Branded Condos Entice Buyers, Even With No Hotel",69599271,https://images.wsj.net/im-380924/social,HLT,DowJones,"Developers are selling luxury hotel-branded residence units at above-market rates, even if there’s no accompanying hotel.",https://finnhub.io/api/news?id=5b99d2d35ae2d4283a7a54fd8f946c3bf4297b0213e25acf090bed2ff11fedce
company,1628562300,"HotelPlanner, Reservations.com To Merge And Go Public In SPAC Deal: WSJ",69596379,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/yang-wewe-ube-m4bbxjw-unsplash.jpg,HLT,Benzinga,"Hotel-deal booking specialists HotelPlanner and Reservations.com are close to signing a merger deal and go public via Astrea Acquisition Corp (NASDAQ: ASAX), a special purpose...",https://finnhub.io/api/news?id=718dba4ae493d589b3e3c3a6c0c42af1383dc53f34660db1e6ee7295843a21f3
company,1628528280,"Hilton Worldwide Holdings Inc. stock falls Monday, underperforms market",69591881,https://images.mktw.net/im-220105/social,HLT,MarketWatch,"Shares of Hilton Worldwide Holdings Inc. slipped 1.62% to $124.61 Monday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=d2b56e01b3fb29bb184bc5c4387a5c57c5065cccb746c48b714468a3780103c2
company,1628494680,HLT Crosses Above Average Analyst Target,69579146,,HLT,ETF Channel,"Staff article entitled HLT Crosses Above Average Analyst Target, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=7fad03385865913b7d94f5a1ca42fda6180973f13e3e57f300dbb6ad755b843f
company,1628308800,"Business Travel Dead? Not So Fast, Here`s 3 REITs To Benefit From A Rebound",69561731,,HLT,The Online Investor,,https://finnhub.io/api/news?id=9225bfb09bc313ddda99cbae46f5e906b8700a84d4e52a536ed40cba4b7556b3
company,1628269080,Hilton Worldwide Holdings Inc. stock outperforms market on strong trading day,69565401,https://images.mktw.net/im-220105/social,HLT,MarketWatch,"Shares of Hilton Worldwide Holdings Inc. inched 0.21% higher to $126.66 Friday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=e7563350dd5454efb5d17b8820b9756202cdc90dc0eb5a12cf1f15d0096c5ea8
