category,datetime,headline,id,image,related,source,summary,url
company,1629210902,Home Automation & Security in Demand: 5 Stocks to Watch,69704185,https://s.yimg.com/uu/api/res/1.2/hH9xHUR9SJZrWIC2RMpbeg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7ca0e3d3a550fef9618440dcf6d829d7,HON,Yahoo,"Usability and security continue to boost the smart home space, putting the spotlight on Resideo Tech (REZI), Vivint Smart Home (VVNT), Honeywell (HON), Johnson Controls (JCI) & Alarm.com (ALRM).",https://finnhub.io/api/news?id=e67133c516e27ea46c2404143e17cd620ddcccb23b6cda08b40e3a71b9ab981c
company,1629185266,XLI: Industrials Dashboard For August,69692689,,HON,SeekingAlpha,,https://finnhub.io/api/news?id=525c507fc375be237b769e39d04f531f8dfe850f2c84617547754c9bc6fc2a64
company,1629145426,"How Siemens Aims To Grab Market Share From ABB, Schneider Electric, Honeywell, Johnson Controls?",69687095,https://s.yimg.com/uu/api/res/1.2/v6taIsYZQPws9P4RQ49ZdQ--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/7033d23596b2781d40163d5d9ad339c4,HON,Yahoo,"Siemens AG (OTC: SIEGY) is exploring acquisitions and investments in building management software, electric vehicle charging as office blocks and apartments become more connected, and drivers switch to e-vehicles, Reuters reported. Siemens aims to drive its Smart Infrastructure (SI) division by tapping its vast software base and software developers. It is also targeting the e-mobility business. It has recently moved beyond its traditional customers to expand its base by €120 billion annually. Si",https://finnhub.io/api/news?id=3d809b10325323e00c670eab520676984b577916e90b1498ba1d188ec514a424
company,1629130980,"How Siemens Aims To Grab Market Share From ABB, Schneider Electric, Honeywell, Johnson Controls?",69688817,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/abtech_1456.png,HON,Benzinga,"Siemens AG (OTC: SIEGY) is exploring acquisitions and investments in building management software, electric vehicle charging as office blocks and apartments become more...",https://finnhub.io/api/news?id=c5f5f735d170c39e1323e9440d6cc781470307f5099352ee4a1548725cacdbbc
company,1629115200,Pipistrel Selects Honeywell's Revolutionary Small UAV SATCOM System For All Unmanned Aircraft Platforms,69679043,https://s.yimg.com/uu/api/res/1.2/Xx2UdcTYBpXJjzlOMK2jLQ--~B/aD0xMjY7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/311b66ad278f4fa3a6a6c6361112f0ef,HON,Yahoo,"A Honeywell (NYSE: HON) breakthrough in compact satellite communications technology will bring the safety, connectivity and efficiency trusted for decades by airplane manufacturers and airlines to three of Pipistrel's exciting new aircraft, including the fixed-wing Surveyor and both unmanned Nuuva platforms, the V300 and smaller V20.",https://finnhub.io/api/news?id=e2d15f633512c56ec5b2f41bb1363d20574dba05e01328aa8958b36c16c74595
company,1629106740,"Quest Investment Management Inc Buys Honeywell International Inc, Johnson & Johnson, Facebook Inc, Sells NVIDIA Corp, DocuSign Inc, Shopify Inc",69697553,,HON,GuruFocus,,https://finnhub.io/api/news?id=85d7cafeb8793cf3b4f12cbe72f79252d4c2595086f300a5dc216ac53d0dc06b
company,1629100800,Pipistrel Selects Honeywell's Revolutionary Small UAV SATCOM System For All Unmanned Aircraft Platforms,69679622,,HON,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d059268a108b06cacd24002d25a10e25672e80e3c2fb1be6aff6d15297bb8784
company,1629098160,Honeywell's Small UAV SATCOM system selected by Pipistrel,69679623,,HON,Thefly.com,A Honeywell compact satel... HON,https://finnhub.io/api/news?id=ed53b0898d725bdd6fc830f4dcc4d32b1d4bb4b4615fd3abb2fd234a62b52f6d
company,1629085927,Week 33 MDA Breakout Stocks - August 2021: Short-Term Picks To Give You An Edge,69677563,,HON,SeekingAlpha,,https://finnhub.io/api/news?id=20d37a80a71dc0e4aacef4d3fae1a7b8861d848975a095b6969bebd119edd8a3
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,HON,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
