category,datetime,headline,id,image,related,source,summary,url
company,1629133140,"Henry Schein Inc. stock rises Monday, outperforms market",69690999,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. rose 1.37% to $76.72 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=1accfe484789b39000e13707d4c209996618a20a2d78dc2ecf5d422775bd4a4b
company,1628873940,"Henry Schein Inc. stock rises Friday, still underperforms market",69691000,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. inched 0.11% higher to $75.68 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=0b327f01801cfeb15d2f406d5a6a517ead1d21a0fc61032a8d471b6039ef2d6b
company,1628847309,"National Vision (EYE) Q2 Earnings Top Estimates, 2021 View Up",69651185,,HSIC,Yahoo,Strength in Americas Best and Eyeglass World brands drove National Vision's (EYE) revenues in the second quarter of 2021.,https://finnhub.io/api/news?id=ba63b3cbbe25f3c386bcdf4140276be0bbab609d917ced73b52ddba73561228a
company,1628787540,"Henry Schein Inc. stock falls Thursday, underperforms market",69691001,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. slid 0.40% to $75.60 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=a40c3a49bd7228fb59e563bd2388172af38efb3656e45414f525eec4f9e00812
company,1628701140,Henry Schein Inc. stock outperforms market on strong trading day,69691003,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. inched 0.49% higher to $75.90 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=13699d5d239bda6547cee3bc2cbb3ed8ac2265523e61d0597c87696c8d9e0e44
company,1628614740,Henry Schein Inc. stock outperforms competitors despite losses on the day,69605274,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. shed 0.89% to $75.53 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=933474f9c248076a19ab757607583e94be2aa72409ca4f004b94eb7a48ebabaa
company,1628604360,Henry Schein Opens Customer Assistance Hotline in Response to the Dixie Fire in Northern California,69597752,https://s.yimg.com/uu/api/res/1.2/cZ9VYUiv9EzqqDxfb4gAhA--~B/aD05MDt3PTQ4MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/2c2da99442a610dcac03402ecd9de0ea,HSIC,Yahoo,"MELVILLE, N.Y., August 10, 2021--Henry Schein Opens Customer Assistance Hotline in Response to the Dixie Fire in Northern California",https://finnhub.io/api/news?id=a97694e832e326b44b1ddbfba19bc0ce5f973731b4acc38b246227d83414bc26
company,1628589960,Henry Schein Opens Customer Assistance Hotline in Response to the Dixie Fire in Northern California,69599409,,HSIC,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5af54501a540556fd9b293b8f00e31d88210a37124321415b2253b0cbac61fe8
company,1628528340,Henry Schein Inc. stock underperforms Monday when compared to competitors,69603897,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. shed 1.06% to $76.21 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=239b0b4b27a002da69f1f662d259c48f38b87cd0e7d6dfdff2a2a08705a6125b
company,1628523603,HSIC vs. CNMD: Which Stock Is the Better Value Option?,69583966,https://s.yimg.com/uu/api/res/1.2/F3nzpi36wi9juoO_v9PrEA--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2a50596f066181e48e4ae0ad6be00462,HSIC,Yahoo,HSIC vs. CNMD: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=c47f85bbcb778f94df369ad6aebcf3cc7ef51850ee3873ac97803182df56ca9e
company,1628269140,Henry Schein Inc. stock outperforms market on strong trading day,69576164,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. inched 0.39% higher to $77.03 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=f182fd116f897f6ad20d3bd4edcd4308c4121f41b344a5be87c4ec9752840c24
company,1628254452,Here's Why You Should Add Henry Schein (HSIC) to Your Portfolio,69550624,https://s.yimg.com/uu/api/res/1.2/7SByf.RUQFqBNGiUlhRxUQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/8b1af3ad732e2465fff459276b3ebba8,HSIC,Yahoo,"Strong performance by the Dental, Medical & Technology and Value-Added Services segments is driving Henry Schein's (HSIC) top line.",https://finnhub.io/api/news?id=dc08b569b012a1932e064a734eb59e434a4de2ee7232303e71c331103c4e95ca
company,1628253612,"ResMed (RMD) Q2 Earnings Surpass Estimates, Margins Down",69543645,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,HSIC,Yahoo,"Increased demand for sleep devices and masks, including recovery of core sleep patient flow, drove ResMed's (RMD) fiscal fourth-quarter growth.",https://finnhub.io/api/news?id=fc2059c64a8c6e15237f2d522360dd39cf716a4338dc5b38dafd52a1267e3aad
company,1628182740,"Henry Schein Inc. stock falls Thursday, underperforms market",69576165,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. slipped 0.74% to $76.73 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=a81055231dc2a17ab97ef02b90a68fe0db881f20be87b285bb998a9283887810
company,1628144100,Henry Schein assumed with a Neutral at Credit Suisse,69519272,,HSIC,Thefly.com,Credit Suisse analyst Vik... HSIC,https://finnhub.io/api/news?id=d40b5d25cbdc6a7cd101547a24572e31851fc4d9df03f51a8fda719387b16421
company,1628096340,"Henry Schein Inc. stock falls Wednesday, underperforms market",69576166,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. slid 3.82% to $77.30 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ae342ccf923f7e04958c9ce204a43e1001fe55ba154cb1599a29cc25208c7d6f
company,1628080740,"Sector Gamma As Buys Organon, Henry Schein Inc, Bristol-Myers Squibb Company, Sells LivaNova PLC, Ionis Pharmaceuticals Inc, Alexion Pharmaceuticals Inc",69517072,,HSIC,GuruFocus,,https://finnhub.io/api/news?id=e07e9712186de22cfa480a79b8fb897ab3d229f1418cbdf713af261b146a322f
company,1628078100,Henry Schein price target raised to $95 from $91 at Barrington,69519274,,HSIC,Thefly.com,Barrington analyst Michae... HSIC,https://finnhub.io/api/news?id=746138adcfc4db7ba5146a780143abe8a72931e130fa33eef66f50dd37b12700
company,1628078040,Henry Schein management to meet virtually with Oppenheimer,69519275,,HSIC,Thefly.com,Virtual Meeting to be hel... HSIC,https://finnhub.io/api/news?id=162d03443a3dc1fabb2a66734763d4bdff50d69e5aafbf6b27b29adc67680f26
company,1628060880,Henry Schein price target raised to $95 from $91 at Barrington,69489648,,HSIC,Thefly.com,Barrington analyst Michae... HSIC,https://finnhub.io/api/news?id=afa243d95b906d01bca01a3ff3f2e4b1707931f758bfe06453dd8dd4770b9ddd
company,1628060478,Henry Schein (HSIC) Q2 2021 Earnings Call Transcript,69496059,,HSIC,Yahoo,"HSIC earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=2949a41ac338b6c2d8ebaa33bb3dee749a94063f684d5050e2680474b32bf309
company,1628009940,Henry Schein Inc. stock underperforms Tuesday when compared to competitors,69576167,https://images.mktw.net/im-220105/social,HSIC,MarketWatch,"Shares of Henry Schein Inc. shed 1.06% to $80.37 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=525abbed783a463e5c00c8065bdc5a71d24388c1ce53c0737528598f131fb3e5
company,1628009776,"Henry Schein, Inc. (HSIC) CEO Stanley Bergman on Q2 2021 Results - Earnings Call Transcript",69476880,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,HSIC,SeekingAlpha,"Henry Schein, Inc. (NASDAQ:HSIC) Q2 2021 Earnings Conference Call August 03, 2021, 10:00 ET Company Participants Carolynne Borders - VP, IR Stanley Bergman - Executive Chairman &amp; CEO...",https://finnhub.io/api/news?id=ec6aa224bfce40806ad35e491c8395fd45c43e7b475cf8b94a1260a41ba1c0ec
company,1627997821,"Henry Schein (HSIC) Q2 Earnings Top Estimates, 2021 EPS View Up",69475780,https://s.yimg.com/uu/api/res/1.2/u7c6EMB_mNJjfaMIKbJ9fQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c2c7b027836b7bbff8464afe87407f50,HSIC,Yahoo,Strengthening demand in the global dental and medical markets drove Henry Schein's (HSIC) revenues in the second quarter.,https://finnhub.io/api/news?id=7266443a70491aa24387a9569283fdaf38f7dd0b25d7b1ff82f7288db0cf897e
company,1627991711,Henry Schein (HSIC) Q2 Earnings and Revenues Beat Estimates,69464804,https://s.yimg.com/uu/api/res/1.2/hYDVEF34jJNULlluFRTwjg--~B/aD05MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/39dfb058875b6e691de9136bc97a47b4,HSIC,Yahoo,"Henry Schein (HSIC) delivered earnings and revenue surprises of 16.84% and 2.74%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=eefd68b63dfa4dd1c04bffa6702b63f6fcbbd07df98049fac616defaf4dca59e
company,1627986600,Henry Schein Reports Record Second-Quarter 2021 Financial Results From Continuing Operations,69462469,https://s.yimg.com/uu/api/res/1.2/r8dWyLQqTjajoC0F7tPVZQ--~B/aD05MDt3PTQ4MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/d8a5a4bc76be4cc7593d4f2e52cbbbcc,HSIC,Yahoo,"MELVILLE, N.Y., August 03, 2021--Henry Schein, Inc. reports record second-quarter 2021 financial results from continuing operations.",https://finnhub.io/api/news?id=1af8a95c9402b4acbad2b95863cfc8b0853ded6b01e70e9ee456babcbc68edfd
company,1627976580,"Henry Schein Sees FY21 EPS Below Consensus, But Q2 Earnings Beat Expectations",69476785,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/aapharma_1308.png,HSIC,Benzinga,"Henry Schein Inc (NASDAQ: HSIC) posts Q2 net sales of $2.97 billion, beating the consensus of $2.89 billion, up 76.2% Y/Y when a significant number of dental and...",https://finnhub.io/api/news?id=b1a71fb1de66903e1f1f36a7263ffda5b4c12d16ff42bf81f689fd6758d267d1
company,1627975260,Henry Schein: Q2 Earnings Insights,69476786,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,HSIC,Benzinga," 
Shares of Henry Schein (NASDAQ:HSIC) were unchanged after the company reported Q2 results.
Quarterly Results
Earnings per share were up 0.00% year over year to $1.11, which...",https://finnhub.io/api/news?id=f709d6bd4fe15bd6df4117c93983074c884d83c178ab8cdad8b2acc5557e8648
company,1627973040,Henry Schein: Q2 Earnings Snapshot,69470307,,HSIC,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=19163010fd392b52af0621aa970fd7da4be982591669ae0e4009a07081328b3b
company,1627972200,Henry Schein Reports Record Second-Quarter 2021 Financial Results From Continuing Operations,69470308,,HSIC,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a7cc3f56456f851fda734317625c418f9fe0d071953e4c12918677dd45cb8a4a
company,1627968780,"Henry Schein sees FY21 adjusted continuing ops EPS above $3.85, consensus $4.14",69470309,,HSIC,Thefly.com,2021 non-GAAP diluted EPS... HSIC,https://finnhub.io/api/news?id=13684b4c27a8c4dd0b02c7e47bb0da380535fc9d11c6b6076407d620c362aa01
company,1627968720,"Henry Schein reports Q2 adjusted continuing ops EPS $1.11, consensus 97c",69470310,,HSIC,Thefly.com,"Reports Q2 revenue $3B, c... HSIC",https://finnhub.io/api/news?id=b30adf6c4d440063e326971de9848678dd5cd6e7334f2b9c295d97aa010fa239
company,1627953060,Henry Schein price target raised to $95 from $89 at Piper Sandler,69489649,,HSIC,Thefly.com,Piper Sandler analyst Jas... HSIC,https://finnhub.io/api/news?id=6dc79d37fbc1c40c02bf09f4d56cfbf09d2f896111c5a7b0231aa4af7d900715
