category,datetime,headline,id,image,related,source,summary,url
company,1629191220,"Robinhood initiation, Allstate downgrade among today's top calls on Wall Street",69698145,https://image.thefly.com/catalog/201811/img_112.jpg,HST,Thefly.com,"Hyatt upgrade and ADP downgrade also among notable calls HOOD, ALL, H, HST, PK, SHO, ADP, CMG, SBUX, JACK, DPZ, WING",https://finnhub.io/api/news?id=e743e788bec641e9de9f87787da1f4e422eb9c4f1a380877c3f6c3098016fe5b
company,1629183480,Host Hotels upgraded to Hold from Sell at Truist,69698187,,HST,Thefly.com,Truist analyst Patrick Sc... HST,https://finnhub.io/api/news?id=6466ca31ae739d86f606662cfc42c2a14e717b99c7e5346c930a1ad1e58d65b5
company,1629177180,Host Hotels upgraded to Hold from Sell at Truist,69698188,,HST,Thefly.com,Truist analyst Patrick Sc... HST,https://finnhub.io/api/news?id=50bbf51b013a7a0e83e11cf362a932fb16699b32014e0fac58f6651ab690c8e9
company,1628787540,"Host Hotels & Resorts Inc. stock falls Thursday, underperforms market",69644610,https://images.mktw.net/im-220105/social,HST,MarketWatch,"Shares of Host Hotels & Resorts Inc. slipped 1.76% to $16.17 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=7db8ca31e8555706f731ae34d04fdab6f7de4ba12b16118685828dd087dc1a00
company,1628701140,Host Hotels & Resorts Inc. stock outperforms market on strong trading day,69644611,https://images.mktw.net/im-220105/social,HST,MarketWatch,"Shares of Host Hotels & Resorts Inc. rallied 1.60% to $16.46 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=31eb1b8ed846fc159cde512aa60da39af852e5357426ce025643336dcec36113
company,1628614740,"Host Hotels & Resorts Inc. stock rises Tuesday, outperforms market",69644612,https://images.mktw.net/im-220105/social,HST,MarketWatch,"Shares of Host Hotels & Resorts Inc. advanced 2.08% to $16.20 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=7215677351688121174b1a0c30ec1b6e68d809e056bfd002e183e7b1a13b2aab
company,1628528340,"Host Hotels & Resorts Inc. stock falls Monday, underperforms market",69644613,https://images.mktw.net/im-220105/social,HST,MarketWatch,"Shares of Host Hotels & Resorts Inc. shed 1.67% to $15.87 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=120fff3922aa184d539995c47c1e7985eec87e6d32fcd1cd6cea7a4267becbea
company,1628420400,"Rents Paid, Dividends Raised",69570916,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/614972576/medium_image_614972576.jpg,HST,SeekingAlpha,Real estate equities continued their strong performance; 9 more REITs announced dividend increases this week. Click here to read our Real Estate Weekly Outlook.,https://finnhub.io/api/news?id=5bd64a26e8db948088bb32df2ee90e211c4b4d89428b89f1b319d43a190d733a
company,1628308800,"Business Travel Dead? Not So Fast, Here`s 3 REITs To Benefit From A Rebound",69561731,,HST,The Online Investor,,https://finnhub.io/api/news?id=9225bfb09bc313ddda99cbae46f5e906b8700a84d4e52a536ed40cba4b7556b3
company,1628269140,Host Hotels & Resorts Inc. stock outperforms competitors on strong trading day,69556330,https://images.mktw.net/im-220105/social,HST,MarketWatch,"Shares of Host Hotels & Resorts Inc. rose 2.28% to $16.14 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=570be348ccbdb3b9b07460a10b4793925add86fe439f2ee63dcce41b326242d8
company,1628244671,The Host Hotels & Resorts (NASDAQ:HST) Share Price Has Gained 47% And Shareholders Are Hoping For More,69550164,https://s.yimg.com/uu/api/res/1.2/hqFsBUry2BHReYg.Qy9CPA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/abbec7f56f876ab466e22ebb3246c01f,HST,Yahoo,"Host Hotels & Resorts, Inc. ( NASDAQ:HST ) shareholders might be concerned after seeing the share price drop 10% in the...",https://finnhub.io/api/news?id=64c225bc821785dd8d56eb9b447e015cceda2bd1bc53159d862f1e8ef7f89196
company,1628244000,REIT Earnings Recap: Mega-Mergers And Roaring Rents,69542053,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1149958306/medium_image_1149958306.jpg,HST,SeekingAlpha,REIT earnings season has provided critical information on the state of the real estate industry. Read more to see how the REITs have performed in 2Q.,https://finnhub.io/api/news?id=2e6f53833aad9ecff9c36fe5a765d5cdfc8f68121a17c4456734c143bc7edacc
