category,datetime,headline,id,image,related,source,summary,url
company,1629106560,Humana: A Strong Buy The Dip,69679007,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/187798765/medium_image_187798765.jpg,HUM,SeekingAlpha,"Humana share price has taken a downward spiral of late. Long-term prospects appear good, and there remains room for significant share price growth in the medium to longer term.",https://finnhub.io/api/news?id=84d94299476bd03d84da4522286e874da411b1c69f3c4987c17723b6b5325c01
company,1629099540,"Mirabella Financial Services Llp Buys Costco Wholesale Corp, Norfolk Southern Corp, Financial Select Sector SPDR, Sells Fidelity National Information Services Inc, Charles River Laboratories International Inc, VANECK VECTORS ETF",69694343,,HUM,GuruFocus,,https://finnhub.io/api/news?id=4e5aab2412bad1e8ba0f9556a4b6a972ae8f41892b1458f9820d69086775dcd7
company,1629095940,"Tekla Capital Management LLC Buys UnitedHealth Group Inc, Health Care Select Sector SPDR, United Therapeutics Corp, Sells Anthem Inc, Steris PLC, Waters Corp",69694344,,HUM,GuruFocus,,https://finnhub.io/api/news?id=42b4bf3c362ad75792d1f8b5688ee65dcd4318cf283a4d03cdee31ca759fd48d
company,1628873940,"Humana Inc. stock rises Friday, outperforms market",69664415,https://images.mktw.net/im-220105/social,HUM,MarketWatch,"Shares of Humana Inc. advanced 1.24% to $410.77 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=1eeb6aa9610eef3797eddf702e18bc201ce7b10e36b73fc37467b66e28f13f8a
company,1628787540,Humana Inc. stock underperforms Thursday when compared to competitors,69643543,https://images.mktw.net/im-220105/social,HUM,MarketWatch,"Shares of Humana Inc. slumped 0.75% to $405.74 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=c417e458a4482544e73bbd61fc1d1e4cc53f7adf99b2ea1e33b7fd373d2ccf1e
company,1628762640,October 1st Options Now Available For Humana (HUM),69651986,,HUM,Stock Options Channel,"Staff article entitled October 1st Options Now Available For Humana (HUM), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=cb0a828a4e749b8ff81eed721e933c8e77674102de044d9d934fe717f4cd45df
company,1628701140,Humana Inc. stock underperforms Wednesday when compared to competitors,69643544,https://images.mktw.net/im-220105/social,HUM,MarketWatch,"Shares of Humana Inc. shed 1.45% to $408.80 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=2757dab05859f69add2abe22cdbe4b5173cabb3c696b00203d5affdd19bba277
company,1628614740,"Humana Inc. stock falls Tuesday, underperforms market",69643546,https://images.mktw.net/im-220105/social,HUM,MarketWatch,"Shares of Humana Inc. slid 0.44% to $414.80 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ba2eb785a8befb45379777c325ad48121631d7b7b93461b97a15dbdd2be5f157
company,1628528340,Humana Inc. stock outperforms competitors despite losses on the day,69603845,https://images.mktw.net/im-220105/social,HUM,MarketWatch,"Shares of Humana Inc. dropped 0.61% to $416.65 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=88f14a835d6f63715e2a91110807691208b25d629141491724b9e76f871d71af
company,1628502780,December 17th Options Now Available For Humana,69580962,,HUM,Stock Options Channel,"Staff article entitled December 17th Options Now Available For Humana, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=1dcd8668357bda084ca462b4ba429eda47ee038d07afc1bf6c952371cbfbc19f
company,1628269140,"Humana Inc. stock rises Friday, outperforms market",69603846,https://images.mktw.net/im-220105/social,HUM,MarketWatch,"Shares of Humana Inc. inched 0.80% higher to $419.21 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=389fa9461754cb027690ab644d1274bd64d43e9433c45d8d56f15eed608c4101
company,1628185085,Cigna (CI) Q2 Earnings Beat on Revenue Growth But Shares Fall,69529013,https://s.yimg.com/uu/api/res/1.2/qichmyru_SqyjtxZ0PY0Xw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5298e8fb1dbd1ae52f8b9876f685ed31,HUM,Yahoo,"Cigna's (CI) better-than-expected Q2 earnings benefit from better revenues, partly offset by higher medical cost.",https://finnhub.io/api/news?id=ce4dd4478e80a30bcf33b2bff89c614cc99276ae8d237033964d2b8b215c6c4f
company,1628182740,Humana Inc. stock outperforms competitors despite losses on the day,69538978,https://images.mktw.net/im-220105/social,HUM,MarketWatch,"Shares of Humana Inc. slipped 2.42% to $415.90 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0eaadc0dfa02b3110ea9c8c7eac9b37cf73f4f19a82665af5e4de52ad0ff5eac
company,1628170898,High Growth Dividend Stocks For August 2021,69525037,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1257149042/medium_image_1257149042.jpg,HUM,SeekingAlpha,"I present 30 High Growth Dividend Stocks for consideration in August 2021. There are 4 new stocks on this month's watchlist, 3 with dividend yields above 2%.",https://finnhub.io/api/news?id=707c7745c50f9a6c045917873a1afc369958de41776cd7a66c298bba7c9ebed4
