category,datetime,headline,id,image,related,source,summary,url
company,1629205200,ICE Mortgage Technology Enhances Encompass® Platform Enabling Lenders to Stay Ahead of New Industry Rule,69698990,https://s.yimg.com/uu/api/res/1.2/BsXvw3RMZh7D5jsD4zIwWw--~B/aD0xMzQ7dz0zNzY7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/a389e55ba0f849cda31c78df97f93fe8,ICE,Yahoo,"PLEASANTON, Calif., August 17, 2021--ICE Mortgage TechnologyTM, part of Intercontinental Exchange, Inc. (NYSE: ICE), a leading global provider of data, technology and market infrastructure, today announced that the industry’s leading solution for mortgage lenders and correspondent investors released additional enhancements to the Encompass® platform. The Encompass 21.2 release supports the recently updated General Qualified Mortgage (QM) final rule enabling lenders to seamlessly calculate eligib",https://finnhub.io/api/news?id=d7c13836c3b5e90a4731305db370502e3854940609c85a2e28536b0624bc3a45
company,1629201011,Intercontinental Exchange: An Overlooked Stock With Solid Long-Term Potential,69699913,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1213764552/medium_image_1213764552.jpg,ICE,SeekingAlpha,"Intercontinental Exchange has attractive revenue streams, which benefit in both good and bad market environments. See why ICE stock has long-term potential.",https://finnhub.io/api/news?id=13b63af80b072a9d26ea838b0e69dc8df735c108fbc20dddadb1f82aa6326c11
company,1629190800,ICE Mortgage Technology Enhances Encompass® Platform Enabling Lenders to Stay Ahead of New Industry Rule,69698807,,ICE,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4f1125cd867272352ed3c1f7b467d0f0953202c32a7d3a5d5f75bd8fdcafbb0b
company,1629133200,Intercontinental Exchange Inc. stock outperforms competitors on strong trading day,69687765,https://images.mktw.net/im-220105/social,ICE,MarketWatch,"Shares of Intercontinental Exchange Inc. inched 0.99% higher to $118.04 Monday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=e53551a27f93bbfd2a6a19557fa968221a9269cfe987cc6f5443d92ff3062f43
company,1629127377,Oil Prices Struggle to Scale of Wall of Demand Worry Amid Global Growth Scare,69686651,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,ICE,Yahoo,By Yasin Ebrahim,https://finnhub.io/api/news?id=164fe8e46e8f3b18db8f94da3ae1d0ba55f4819b6a1e3cb2b5c7775503a34432
company,1629113940,"Alexandria Capital, LLC Buys iShares MSCI Emerging Markets ex China ETF, Marvell Technology Inc, Regeneron Pharmaceuticals Inc, Sells , iShares Gold Trust, BTC iShares MSCI India Small-Cap ETF",69694468,,ICE,GuruFocus,,https://finnhub.io/api/news?id=0142f4d71d77afbd4f11248aa6d2b398ba65b8044387a54c2947b0af6319513f
company,1629113940,"Evermay Wealth Management Llc Buys WisdomTree Emerging Markets ex-State-Owned Enterpr, WisdomTree China Dividend Ex-Financials Fund, JPMorgan Equity Premium Income ETF, Sells General Electric Co, Hartford Multifactor Developed Markets (ex-US) ETF, Clorox ",69696694,,ICE,GuruFocus,,https://finnhub.io/api/news?id=3cd10a9921e2835e939cafd31e287571ee20a9a9488cfb6ac4662c30a0b1e226
company,1629099540,"Kesler, Norman & Wride, LLC Buys iShares iBonds Dec 2024 Term Corporate ETF, iShares North American Tech-Multimedia Networking , iShares iBonds Dec 2025 Term Corporate ETF, Sells iShares U.S. Healthcare ETF, First Trust Enhanced Short Maturity ETF, Invesc",69695257,,ICE,GuruFocus,,https://finnhub.io/api/news?id=38e2db545969760c963922ffa6339ec46e4551408464e759f285f2ead053aae4
company,1629085140,"Howe & Rusling Inc Buys U.S. Bancorp, Texas Instruments Inc, Philip Morris International Inc, Sells Corteva Inc, Allstate Corp, MetLife Inc",69694418,,ICE,GuruFocus,,https://finnhub.io/api/news?id=b79bbd7677290c577dba60327569721bb44be0cfd920361e419677919ea78a9a
company,1629082440,Oil Prices Struggle to Scale of Wall of Demand Worry Amid Global Growth Scare By Investing.com,69695265,https://i-invdn-com.investing.com/news/LYNXMPEC060ED_L.jpg,ICE,Investing.com,Oil Prices Struggle to Scale of Wall of Demand Worry Amid Global Growth Scare,https://finnhub.io/api/news?id=2b960ece26bf26db4c31b49f523d6e501ad26c1f530a6ca4edc79a36ea584ee5
