category,datetime,headline,id,image,related,source,summary,url
company,1629119701,Reasons Why it is Worth Investing in IDEX (IEX) Stock Now,69684178,https://s.yimg.com/uu/api/res/1.2/tVkRCJDW3mkOZbo9ef_RxQ--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/54880e1e0945bec507649ee967162b69,IEX,Yahoo,"IDEX (IEX) is poised to benefit from strengthening end markets and orders, synergistic gains from acquired assets, and diversified operations. Shareholder-friendly policies add to its appeal.",https://finnhub.io/api/news?id=2ae23977a74f1f74a5eb673d6547f4d52f5e8fdc59a19d6842687a31fc20ff8b
company,1628787600,IDEX Corp. stock underperforms Thursday when compared to competitors,69644764,https://images.mktw.net/im-220105/social,IEX,MarketWatch,"Shares of IDEX Corp. shed 0.65% to $226.50 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=55fa36599729d1bcad0b8429bf9caa7d4574bea210c421ccf7b3b09df7946c83
company,1628771367,Fortive Setting Out To Show It Has Crafted A Durable And Superior Compounder Business Model,69637119,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1299489265/medium_image_1299489265.jpg,IEX,SeekingAlpha,"Fortive surpassed sell-side expectations in the second quarter, with strong short-cycle momentum, but also double-digit growth in the software businesses.",https://finnhub.io/api/news?id=f0aed63baa9f3435e0c78d8564496b161901c6c5199a621ac676c51ec4ffd624
company,1628701200,"IDEX Corp. stock rises Wednesday, outperforms market",69644766,https://images.mktw.net/im-220105/social,IEX,MarketWatch,"Shares of IDEX Corp. inched 0.43% higher to $227.98 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=a2bb855fff324a080d11a984ff586d1c85aa3f16280b45bb089ee6f2869c8a20
company,1628614800,IDEX Corp. stock outperforms competitors on strong trading day,69644767,https://images.mktw.net/im-220105/social,IEX,MarketWatch,"Shares of IDEX Corp. inched 0.31% higher to $227.00 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=66d8168173c8d97b64bede50769e71977d848f37fb60528f1ce8314a7c562e45
company,1628528400,"IDEX Corp. stock falls Monday, underperforms market",69590634,https://images.mktw.net/im-220105/social,IEX,MarketWatch,"Shares of IDEX Corp. slid 0.60% to $226.30 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c3e8576082c36480893961c298cbb7f372f82e1f2a54b6a97745793ddabe22bd
company,1628269200,IDEX Corp. stock outperforms market on strong trading day,69590635,https://images.mktw.net/im-220105/social,IEX,MarketWatch,"Shares of IDEX Corp. inched 0.25% higher to $227.67 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=a3bbc6e11144e39b4578a60d837f7c44d0c290d07e760d3813cc7a018c4a94e3
company,1628229300,ReNeuron taps Oxford Biomedica executive Catherine Isted as CFO,69543012,,IEX,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=dbed0df34eb12a92d96845bb77f8917dc977412b34abd8c4a3081e2420e38ef1
company,1628182800,"IDEX Corp. stock rises Thursday, still underperforms market",69534914,https://images.mktw.net/im-220105/social,IEX,MarketWatch,"Shares of IDEX Corp. inched 0.15% higher to $227.11 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=6ae28da8e338df82e2e86461e59df6d45c8ac540a41380eb36f9232096a32749
company,1628168220,IDEX Fire & Safety Launches SAM™ Smart Nozzle Offering Wireless Communication to Attack Crew,69514477,https://s.yimg.com/uu/api/res/1.2/TIP.aOyL1Xxtje_wKL1_fQ--~B/aD0yMzE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/e7532b044efc31eb0b0c6427e71f69a4,IEX,Yahoo,"IDEX Fire & Safety is building upon its revolutionary SAM™ automated flow control system with the launch of the SAM Smart Nozzle with N2P Technology. The SAM™ Smart Nozzle pairs with SAM, on a proprietary network, giving the attack crew control of the water flow and providing key decision-making information where it is needed most.",https://finnhub.io/api/news?id=6b15030df24296ca3fbcc52e4fb546555518179c88c6b56b12dd7727d22314e9
