category,datetime,headline,id,image,related,source,summary,url
company,1629133200,IHS Markit Ltd. stock outperforms market on strong trading day,69687896,https://images.mktw.net/im-220105/social,INFO,MarketWatch,"Shares of IHS Markit Ltd. inched 0.65% higher to $120.32 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=a60e95fb8ced6ead1153cc47562f7bec7a1620df0b89d9cb329a1a6e10234a22
company,1629117540,"Berry Street Capital Management LLP Buys IHS Markit, Nuance Communications Inc, Proofpoint Inc, Sells RealPage Inc, , ",69694325,,INFO,GuruFocus,,https://finnhub.io/api/news?id=d884f5bb5534555bfc0dd5eae19e75976a3954eb2351409fc0e2001f00e7534e
company,1629117540,"Yakira Capital Management, Inc. Buys IHS Markit, , Cornerstone Strategic Value Fund Inc, Sells RealPage Inc, , ",69695856,,INFO,GuruFocus,,https://finnhub.io/api/news?id=7d80ec6a5b2ce755eca1ffadd796957d58cf13d8244dbf7ad8a7bbc563180b15
company,1629095940,"Westchester Capital Management, LLC Buys Nuance Communications Inc, PPD Inc, Proofpoint Inc, Sells , , ",69696935,,INFO,GuruFocus,,https://finnhub.io/api/news?id=1faf4ae2cdd43594333af9ee3787ee3f4db78c80afcea1dc87a74f10022e8dec
company,1629086160,George Soros' Top 4 Trades in the 2nd Quarter,69695456,https://static.gurufocus.com/photos/companies/George_Soros2.jpg,INFO,GuruFocus,"Firm closes ViacomCBS stake, buys FIGS and IHS Markit",https://finnhub.io/api/news?id=31b38de2fd358405a982f62f941dbb86080dee65f3e54c9ddb5be0dc20953858
company,1628874000,IHS Markit Ltd. stock outperforms market on strong trading day,69687897,https://images.mktw.net/im-220105/social,INFO,MarketWatch,"Shares of IHS Markit Ltd. inched 0.72% higher to $119.54 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=2235f5dd209655d4a41cb906865e2d9677c3cc631efe345bd0ef7f131adbab1b
company,1628869871,These Are The Real Winners In Covid's Topsy-Turvy Car Market,69656767,,INFO,Yahoo,"In a Covid-plagued auto world, some humble stocks are trouncing the S&P. Consider some retail names like AutoZone stock, O'Reilly and Advance Auto.",https://finnhub.io/api/news?id=3463250524df77b18d3fc8791740ee6f868c2fa5f205668016ad5662f2b53c94
company,1628825280,"Soros Fund buys Figs, exits Denbury in Q2",69667092,,INFO,Thefly.com,"George Soros' Soros ... FIGS, INFO, PTRA, MQ, PPD, BIDU, DEN, VIPS, TME, IQ, AMZN, MXIM, ELAN, GOOGL, CLVT, LQD, VICI, UPST, TXN, QS, LBRDK, QQQ, DHI",https://finnhub.io/api/news?id=bd3aaacd13d287b4791f297e6ca8acfeea729b216893306937cb0c1c2f052ac7
company,1628824260,Stocks open mixed on Wall Street; Disney sends Dow higher,69652868,,INFO,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=044eed1d20240e0a38b9f4b3aa899856691883eee029baf8efa0e39c01a84816
company,1628787600,IHS Markit Ltd. stock outperforms market on strong trading day,69687898,https://images.mktw.net/im-220105/social,INFO,MarketWatch,"Shares of IHS Markit Ltd. inched 0.69% higher to $118.68 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=e5e8de91b721db313a18dd8db93c15f42c27381c52df2ba0ee224e161d36d102
