category,datetime,headline,id,image,related,source,summary,url
company,1629144082,10 Russell 2000 Basic Materials Dividend Stocks to Buy,69684616,https://s.yimg.com/uu/api/res/1.2/zPLf0NWMISttFfhs5IO9Og--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/7bcf25b1d8b2e9395cd9c6067f61e66d,IP,Yahoo,"In this article, we will be looking at 10 Russell 2000 basic materials dividend stocks to buy. To skip our detailed analysis of the basic materials sector, you can go directly to see the 5 Russell 2000 Basic Materials Dividend Stocks to Buy. The basic materials sector is one that is typically considered to be […]",https://finnhub.io/api/news?id=0ca4aa0214ed181cc5e08e8178d6f6538948e40267c737135e520bae31dcb6af
company,1629095940,"Wbi Investments Buys WBI Power Factor High Dividend Shares, WBI BullBear Value 3000 ETF, WBI BullBear Global Income ETF, Sells VANECK VECTORS ETF, Microsoft Corp, Raymond James Financial Inc",69694844,,IP,GuruFocus,,https://finnhub.io/api/news?id=16f2b7238705fab5ebe11f973002e6974b7c1cd198755f5f85d91441dbbc3f56
company,1628874060,"International Paper Co. stock falls Friday, underperforms market",69679300,https://images.mktw.net/im-220105/social,IP,MarketWatch,"Shares of International Paper Co. slid 0.32% to $59.22 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=771cf4c1e1492d265c1696696f8cc6a3c1b1196510e7c4a87629eb38c38c80a0
company,1628841814,XLB: Materials Dashboard For August,69651115,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/627021250/medium_image_627021250.jpg,IP,SeekingAlpha,"Here is a dashboard with metrics in materials industries, covering value and quality scores, and their evolution since last month, with a focus on the ETF XLB.",https://finnhub.io/api/news?id=f6d0ee45e567e4b17053fb96c4c583d50709de87d5ca687b5d88431aa71f4980
company,1628787660,International Paper Co. stock outperforms competitors despite losses on the day,69679301,https://images.mktw.net/im-220105/social,IP,MarketWatch,"Shares of International Paper Co. slipped 0.23% to $59.92 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=4dc6dee280a33282c417dd390d273baaf396fad7eb170b2a694c40aba113587f
company,1628762700,IP October 1st Options Begin Trading,69652497,,IP,Stock Options Channel,"Staff article entitled IP October 1st Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=f75d539932883ca39ee9587a34ca1034795cdeae54f4050fdcf5f35c8b9f82f9
company,1628701260,International Paper Co. stock outperforms market on strong trading day,69627017,https://images.mktw.net/im-220105/social,IP,MarketWatch,"Shares of International Paper Co. inched 0.74% higher to $60.06 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=68505af0b12572c4a98565418fe4cb6bc435434de8dbc662a6de3793c1a35c7a
company,1628672700,"Ex-Dividend Reminder: International Paper, CF Industries Holdings and Chemours",69633321,,IP,Dividend Channel,"dividend channel,IP,CF,CC,",https://finnhub.io/api/news?id=8080f2a4242af6c9e0f0e7fe1965dba0a049b0b3d21f8a1888d759c40ffa04fe
company,1628665200,"ImagineAR (IPNFF) Joins Forces With iSportConnect Targeting European Sports Clubs, Leagues and Broadcasters",69614418,,IP,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=fae6543c2b1fca590689cfe896e4ad3f0a5e5d1b9f26ce52eff21d34465e984a
company,1628614860,"International Paper Co. stock rises Tuesday, outperforms market",69627018,https://images.mktw.net/im-220105/social,IP,MarketWatch,"Shares of International Paper Co. rallied 1.69% to $59.62 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=54b635fc782c0a5fe3f1da48cf829ca9c776b2cd2e4742d5bb64e6a8d6c96893
