category,datetime,headline,id,image,related,source,summary,url
company,1629195180,Stocks That Hit 52-Week Highs On Tuesday,69696539,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,IQV,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 55 companies set new 52-week highs.
Points of Interest:

Apple (NASDAQ:AAPL) was the largest company by market cap to set a new 52-week...",https://finnhub.io/api/news?id=89bff3b255cda39ced7d3d82f57abf75db82808a9d92ace05c0fdecc8b10cf14
company,1629092340,"Covington Capital Management Buys JPMorgan Ultra-Short Municipal Income ETF, SPDR MSCI USA StrategicFactors SM ETF, Principal Spectrum Preferred Securities Active ETF, Sells iShares Gold Trust, General Electric Co, Zoom Video Communications Inc",69694242,,IQV,GuruFocus,,https://finnhub.io/api/news?id=c4d30c2b86a45a2323050ca9be2696bba59a3bc151fb17818c0eda80aa48845c
company,1629089520,"Third Point adds SoFi, exits Equitrans in Q2",69695177,,IQV,Thefly.com,"Third Point disclosed in ... S, SOFI, EDR, ZBH, PTON, ETRN, IAA, AMZN, DELL, CANO, EL, CHTR, PCG, JD, IQV, DIS",https://finnhub.io/api/news?id=1f8d0f785a6738ea1e21a6f398982ac07fb3854b3b8723492d6abdde006f3763
company,1629086220,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.31% By Investing.com,69694228,https://i-invdn-com.investing.com/news/WallStreet_800x533_L_1598280460.jpg,IQV,Investing.com,U.S. stocks mixed at close of trade; Dow Jones Industrial Average up 0.31%,https://finnhub.io/api/news?id=adeafec75c4549e309bcda5bdd8b4187f29d4a9c2e60bb6e3c2aba08de762308
company,1628874060,IQVIA Holdings Inc. stock outperforms competitors on strong trading day,69671297,https://images.mktw.net/im-220105/social,IQV,MarketWatch,"Shares of IQVIA Holdings Inc. inched 0.77% higher to $248.14 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=bba0dc967c6a6c3979163d6fb3398c1797eacec821e3e12c2e114638da997d21
company,1628859000,L1 Capital International Fund June 2021 Quarterly Report,69656604,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,IQV,SeekingAlpha,The fund is a long-only investment manager. We do not use leverage and we do not short.,https://finnhub.io/api/news?id=fa78bddb18e3d762f4953775ee47e115d7627e6b2f99ae6df27e242065249e5c
company,1628787660,IQVIA Holdings Inc. stock outperforms market on strong trading day,69671299,https://images.mktw.net/im-220105/social,IQV,MarketWatch,"Shares of IQVIA Holdings Inc. inched 0.70% higher to $246.25 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=9e8c8dd7fc151d79e602c88e6cdf6458fbeb1f696d350d2bf833c50a01faca4d
company,1628701260,"IQVIA Holdings Inc. stock falls Wednesday, underperforms market",69671301,https://images.mktw.net/im-220105/social,IQV,MarketWatch,"Shares of IQVIA Holdings Inc. slid 1.15% to $244.55 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=7b53c1545880c7170d8e64d01efae5422a0da4d635ff30c6c84ad7e683c46d7a
company,1628614860,"IQVIA Holdings Inc. stock falls Tuesday, underperforms market",69610447,https://images.mktw.net/im-220105/social,IQV,MarketWatch,"Shares of IQVIA Holdings Inc. slipped 0.11% to $247.39 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=c6c64178c6224d9944a4fe7206ab7d23f9dc726c5b0f3e9b299552ebe037ad0d
company,1628595900,Third Point Q2 2021 Investor Letter,69598281,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,IQV,SeekingAlpha,"Third Point is an SEC-registered investment adviser based in New York. The firm was founded in 1995 by Daniel S. Loeb, who serves as Chief Executive Officer.",https://finnhub.io/api/news?id=ccdc7a3ee53cf0d90381bd5b3a74492fbdf7f931a1e20c4821924e88c9267e24
