category,datetime,headline,id,image,related,source,summary,url
company,1629200700,Jacobs Wins Contract for the US Army Intelligence and Security Command,69704668,https://s.yimg.com/uu/api/res/1.2/mURGy8Xfm50vPxDWkrHg8g--~B/aD00NTt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/01f1dd89ffa4b6941530bcbb8c6888f5,J,Yahoo,"Jacobs (NYSE:J) was awarded a task order contract by the U.S. Army Intelligence and Security Command (INSCOM) to provide counterintelligence, counterterrorism and human intelligence support to the 902nd Military Intelligence Group at Fort Meade, Maryland. The contract has a value of $235 million over a five-year period.",https://finnhub.io/api/news?id=97b6ec74701a8f9f212a3839f90b60440b6be70f3506b0f7e188d08e066b6687
company,1629186300,Jacobs Wins Contract for the US Army Intelligence and Security Command,69700100,,J,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2f8774319659f18fb8ec2f5d2415ce84249dba58852b9bac032673ec99f9967d
company,1629182760,Jacobs awarded $235M order by U.S. Army INSCOM,69700101,,J,Thefly.com,Jacobs was awarded a task... J,https://finnhub.io/api/news?id=30294dc354cd992c5ef190c167ddec25867defdda230d26de934aad758d0e305
company,1629117000,Sequoia Fund Q2 2021 Investor Letter,69681944,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,J,SeekingAlpha,The fund's investment objective is long-term growth of capital.,https://finnhub.io/api/news?id=97216dc8a96bfdaa7bfb15f2e584b65c9e1eb9825491fcc26aeac8d345bb49fd
company,1629110340,"AMJ Financial Wealth Management Buys BTC iShares Floating Rate Bond ETF, Aptiv PLC, Jacobs Engineering Group Inc, Sells iShares iBoxx USD Investment Grade Corporate Bond , Nike Inc, ServiceNow Inc",69695873,,J,GuruFocus,,https://finnhub.io/api/news?id=125c602f4139c7ab514674d9291a2b835c89f6832dcf3c9dd1b707b9b298d280
company,1629082320,Ruane Cunniff's Top 5 Trades of the 2nd Quarter,69695713,https://static.gurufocus.com/photos/others/portfolio_brief_case.jpg,J,GuruFocus,Firm ramps up portfolio newcomers,https://finnhub.io/api/news?id=473e31cb4303f9a3c87775121384d7b30ff05037c3e6ae5b316aff248742c24a
company,1628874120,Jacobs Engineering Group Inc. stock underperforms Friday when compared to competitors,69679278,https://images.mktw.net/im-220105/social,J,MarketWatch,"Shares of Jacobs Engineering Group Inc. slid 1.07% to $138.07 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=bb138cbf9246675523d1ea8a8cc0f0b7b5d0ba6d577636ff29b5727ca892fff3
company,1628870007,Stocks Continue Ascent Despite Dour Consumer Survey: What Moved Markets This Week,69658941,https://static.seekingalpha.com/uploads/2021/8/13/2021_08_13.jpeg,J,SeekingAlpha,Watch Seeking Alpha editors discuss the week in markets in the roundtable video.,https://finnhub.io/api/news?id=63c57a8bd7ad57625613fad06934657e0980af52c49d6bf1ea83509bcba2fad1
company,1628787720,"Jacobs Engineering Group Inc. stock rises Thursday, outperforms market",69644699,https://images.mktw.net/im-220105/social,J,MarketWatch,"Shares of Jacobs Engineering Group Inc. rose 2.50% to $139.56 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=9b8d4fe25c622bf28a110536764c1860c993a7710771f3f31b0c7903042efd41
company,1628785080,"Utz Brands, Carnival fall; Sonos, Lordstown Motors rise",69651891,,J,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b56da65485231ab9455c96ccf122e0de3da17e2a67c0dbaefab2cc21499ed4f6
