category,datetime,headline,id,image,related,source,summary,url
company,1629188760,J.B. Hunt Transport Services Reaches Analyst Target Price,69701804,,JBHT,ETF Channel,"Staff article entitled J.B. Hunt Transport Services Reaches Analyst Target Price, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=c1708d77b0c3d91e5f44c779cc0fa8298a2009e9ee289fabaf1f88f26c73335f
company,1629092340,"Barrow, Hanley, Mewhinney & Strauss Buys Merck Inc, Pioneer Natural Resources Co, Ralph Lauren Corp, Sells Westinghouse Air Brake Technologies Corp, Chevron Corp, Citigroup Inc",69694948,,JBHT,GuruFocus,,https://finnhub.io/api/news?id=0a1532eef18608492dca94b5732d5e659b388b560d40aab3db8523a9f9fc9379
company,1629011220,Fly Intel: Top five weekend stock stories,69679259,,JBHT,Thefly.com,"Catch up on the weekend&#... H, KKR, TMUS, BA, DIS, CVNA, AMED, AMRS, BAH, JBHT, VAC, SITE, STAA, SFIX, TREX, UPWK, WEN",https://finnhub.io/api/news?id=c9191b0bcccd3a17f89b373bf020a7798f9e15bd67835a7488c61e728a6662aa
company,1629010304,Wall Street Breakfast: The Week Ahead (Podcast),69675105,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,JBHT,SeekingAlpha,Investors will get some hard reads on the U.S. consumer next week.,https://finnhub.io/api/news?id=5ba515c79b6d84a68892be2c3e23ee10bc8829bad19ea83f44c9e7d4eca3edb7
company,1629009351,Wall Street Breakfast: The Week Ahead,69675061,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,JBHT,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=c89e6c9b31c73b20d9a080bdb29020f4cb6872b1f2b384dfee77eea283567aec
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,JBHT,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628955420,These 10 Standout Stocks Could Be the Next Amazon,69668648,,JBHT,Yahoo,"Companies like Amazon or Visa that can generate double-digit compound growth in revenue and earnings, year after year, are rarities. But here are 10 smaller candidates that could do just that.",https://finnhub.io/api/news?id=ba10f2c8aa48c1876214deac956d6f445094dd5bf5c023d025edc052299a050b
company,1628925960,"Stitch Fix, Trex among standout stocks for reliable growth, Barron's says",69667559,,JBHT,Thefly.com,"One of the most popular b... AMED, AMRS, BAH, JBHT, VAC, SITE, STAA, SFIX, TREX, UPWK",https://finnhub.io/api/news?id=9b920b6be104ab1db748046701fc806c9866ccc427aed0df2c858ae37fd2c634
company,1628888940,Looking for Stocks That Really Add Up? Meet These 10 Potential Compounders.,69660254,https://s.yimg.com/uu/api/res/1.2/.xGA56rjxuAVTHhCI8kDmQ--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/93a5d00e2454ef543f96524f0130ef29,JBHT,Yahoo,"Companies like Amazon or Visa that can generate double-digit compound growth in revenue and earnings, year after year, are rarities. But here are 10 smaller candidates that could do just that.",https://finnhub.io/api/news?id=352204376239f43bf102af7af73538a8e9a12e669ef33fe10f2ed3a3b1cd1bd0
company,1628862540,"J.B. Hunt Transport Services, Inc. Announces Participation in the 2021 Deutsche Bank Virtual Transportation Conference",69655952,https://s.yimg.com/uu/api/res/1.2/0UJhnralg9CQY8R78fdQVQ--~B/aD0xMjM7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/23f0329f60b5be214fa4df7dd00756b9,JBHT,Yahoo,"LOWELL, Ark., August 13, 2021--J.B. Hunt Transport Services, Inc. (NASDAQ: JBHT) Chief Operating Officer, EVP and President of Dedicated Contract Services Nick Hobbs and Chief Financial Officer and EVP of Finance John Kuhlow will address the 2021 Deutsche Bank Virtual Transportation Conference at 9:00 a.m. eastern time on Wednesday, August 18, 2021. Investors may access the live presentation by visiting the Newsroom section of our website at www.jbhunt.com/our-company/newsroom. A presentation re",https://finnhub.io/api/news?id=ef7ab498ee35dbcb4eeb9dc6b0b4d40466fd0f4eaa0883b28930b4bc546dc76b
company,1628848140,"J.B. Hunt Transport Services, Inc. Announces Participation in the 2021 Deutsche Bank Virtual Transportation Conference",69653861,,JBHT,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a8e69d4cfa543bdfe54c1c1990fa6aaab21fcb5ec45998cb6a1a40c04ce05930
company,1628699400,J.B. Hunt Transport Services Inc. stock outperforms competitors on strong trading day,69628111,https://images.mktw.net/im-220105/social,JBHT,MarketWatch,"Shares of J.B. Hunt Transport Services Inc. rose 3.37% to $172.76 Wednesday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=656ab90261064b7e089e9a2c1b4214048e1af1ebcbc85912686f33ce0fdc182a
company,1628665200,ArcBest's Valuation Suggests A Much Bleaker Freight Market Than The Companies Are Seeing,69612674,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1182783632/medium_image_1182783632.jpg,JBHT,SeekingAlpha,ArcBest (ARCB) shares seem to be discounting a pretty significant upcoming deceleration in the business - out of whack with the realities of the sector. Is freight demand peaking?,https://finnhub.io/api/news?id=b50d8916738860548b65281b07485347427cf93253e629639a5a89424d851ad7
company,1628627192,Truck driver shortage ‘is about as bad as I’ve ever seen’: US Xpress CEO,69603535,,JBHT,Yahoo,"The need for workers is weighing on the trucking industry, where freight operators are struggling to raise wages fast enough to find drivers.",https://finnhub.io/api/news?id=025afdac87914acda4e546d6785061ff4501561259926484c3be0075a3913861
