category,datetime,headline,id,image,related,source,summary,url
company,1629195180,Stocks That Hit 52-Week Highs On Tuesday,69696539,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,JNJ,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 55 companies set new 52-week highs.
Points of Interest:

Apple (NASDAQ:AAPL) was the largest company by market cap to set a new 52-week...",https://finnhub.io/api/news?id=89bff3b255cda39ced7d3d82f57abf75db82808a9d92ace05c0fdecc8b10cf14
company,1629188880,"The Daily Biotech Pulse: Lilly Reorganizes Business Units In Neuroscience Focus, Helius Medical Spikes On Breakthrough Designation, Ra Medical Sells Dermatology Business",69696484,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/cells-1872666_1920_86.jpg,JNJ,Benzinga,"Here's a roundup of top developments in the biotech space over the last 24 hours:
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 16)

Bio-Rad Laboratories, Inc...",https://finnhub.io/api/news?id=05dbaa731e5879ae8257a9deade3e4709469b9c725264c7c31c6ff745ecbd891
company,1629187020,Wall Street Breakfast: Boosters Are Coming (Podcast),69693189,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,JNJ,SeekingAlpha,"Our top stories today are: Boosters Are Coming, a Big Day for Retail and another crackdown by China’s market regulator.",https://finnhub.io/api/news?id=24790d5ef7e63416d5fea36eb0d42d62a02783d7a1e022b13681df11893980eb
company,1629185400,"WSJ News Exclusive | As Delta Surges, Covid-19 Breakthrough Cases Remain Uncommon",69707281,https://images.wsj.net/im-385206/social,JNJ,DowJones,"A WSJ analysis found a higher risk of infection from the Delta strain, but research shows that vaccines still protect against most serious illness.",https://finnhub.io/api/news?id=aeca2dd16549553dc7e132df8dda80bff953997114b138253105346175ea5cf4
company,1629182387,Wall Street Breakfast: Boosters Are Coming,69691997,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,JNJ,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=79b48b0521329c76764ffb540a391a7fcc739f3b68794d2b7d6a502528641eb8
company,1629173040,"Biden to announce boosters needed eight months post vaccine, WaPo reports",69694983,,JNJ,Thefly.com,"The Biden administration ... PFE, BNTX, MRNA, JNJ",https://finnhub.io/api/news?id=e74a0cd17ad49b6b4dbafa6352947d4754cff80f0e9f312d58cbfc6405fba89e
company,1629155816,U.S. Lowers India Advisory; Pfizer’s Booster Shots: Virus Update,69686249,https://s.yimg.com/uu/api/res/1.2/h274V5xUKZc4.PWzh2tPdg--~B/aD0xMzMzO3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_markets_842/07b615ef7167ed5cf47e4f5787edb91d,JNJ,Yahoo,"(Bloomberg) -- The U.S. State Department lowered its India travel advisory to its second-lowest level of “exercise increased caution” after the Centers for Disease Control and Prevention said the South Asian nation now has “moderate level of Covid-19.”In the U.S., the number of people dying with Covid-19 in hospitals is hitting previous highs in some hot-spot states with low-to-average vaccination rates, upending hopes the virus has become less lethal. New York City’s museums and cultural instit",https://finnhub.io/api/news?id=33fbc79414440403f68a8186bd10f2875fe268870bb697b79dd305b234d61afa
company,1629146728,Doctor explains why COVID-19 cases are rising among children,69686370,https://s.yimg.com/ny/api/res/1.2/sstQadL12t6CrpN46a7SnQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTI1/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/16/611ace698346ba45ba75255d/611ace698346ba45ba75255e_o_U_v2.jpg,JNJ,Yahoo,Lake Erie College of Osteopathic Medicine Adjunct Professor Dr. Marcos Sanchez-Gonzalez joins Yahoo Finance to discuss the latest in COVID-19.,https://finnhub.io/api/news?id=4fefd557810fdb69e60393574e84a3a638258afd3923b04182aca60511d50df0
company,1629136218,U.S. children covid hospitalizations hit ‘highest levels we’ve ever seen’: Doctor,69683032,https://s.yimg.com/ny/api/res/1.2/ZH2r17abQAIAt7vg5eJ67A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTI0/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/16/611aa55b8346ba45ba7524ca/611aa55b8346ba45ba7524cb_o_U_v2.jpg,JNJ,Yahoo,"Dr. Cedric Dark, Assistant Professor at Baylor College of Medicine & Board Member with Doctors for America, joins Yahoo Finance to discuss the latest on the coronavirus pandemic.",https://finnhub.io/api/news?id=8714527206aab0a75e9bcaa0923edfe4dae4779a0ba8f4a860536dda76401c15
company,1629128893,Pfizer Submits Third-Dose Data to FDA; J&J Mandate: Virus Update,69682507,https://s.yimg.com/uu/api/res/1.2/qxcUEzmg1kMWEdlA_4nR0Q--~B/aD0xMzMzO3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bloomberg_markets_842/4e45cb52af7f4a11f229225044338f4f,JNJ,Yahoo,"(Bloomberg) -- New York City’s museums and cultural institutions will require visitors and staff to be vaccinated, Mayor Bill de Blasio said. New York state mandated that all health-care workers must have at least their first dose of a Covid vaccine by Sept. 27.Hopes that the world will ever to reach herd immunity against Covid-19 are fading. Pfizer Inc. and BioNTech SE said they have submitted Phase 1 trial data to the U.S. Food and Drug Administration for a third dose of their Covid-19 vaccine",https://finnhub.io/api/news?id=0e9fc85adf628425f22994c465d919a6419eb254ab13e491c1d7748a48b15786
company,1629129120,Doctor on delta variant: 'We have much more uncertainty than we would like',69681646,https://s.yimg.com/ny/api/res/1.2/NShQm4xIb6qrBKiYq5r5ZA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTI1/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/16/611a89a105530c31008e4c2a/611a89a105530c31008e4c2b_o_U_v2.jpg,JNJ,Yahoo,More mask and vaccine mandates are put in place as the delta variant raises concerns around COVID-19. Yale School of Public Health Professor Dr. Howard Forman joins Yahoo Finance Live to discuss.,https://finnhub.io/api/news?id=49261029744fd8d989211f3e63c8afee1103559b1823bc4016056af1f3599633
company,1629117480,"Noteworthy Monday Option Activity: JNJ, DXCM, PVH",69694984,,JNJ,Stock Options Channel,"Staff article entitled Noteworthy Monday Option Activity: JNJ, DXCM, PVH, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=b617a58e4d7486c5b4fff608a3e33679e8e0a86fef79bba660eb97c4102eaf12
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,JNJ,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1629107520,3 Popular Robinhood Dividend Stocks You Can Buy Right Now,69680086,https://s.yimg.com/uu/api/res/1.2/k7stCEuw0Z_PNujBU_Fp.Q--~B/aD03ODc7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/f92b18d7e00b463af7706997c982dcd3,JNJ,Yahoo,Popular Robinhood stocks and dividends might seem to go together like orange juice and toothpaste.  Robinhood investors tend to like growth stocks that don't pay dividends and might never do so.  Here are three popular Robinhood dividend stocks you can buy right now.,https://finnhub.io/api/news?id=bc195d93f5aa268c3a613b927369016da9170340feb7bb33e95f07b1ede1b715
company,1629099540,"Marietta Investment Partners Llc Buys Ternium SA, Tractor Supply Co, MasTec Inc, Sells TAL Education Group, The Walt Disney Co, Airbnb Inc",69694985,,JNJ,GuruFocus,,https://finnhub.io/api/news?id=662dc8f949bfb5c727239accc6b928e30a5d5d94894a64587d0190791ad95692
company,1629094080,The Latest:  Over 1 million in Israel get booster vaccine,69694986,,JNJ,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a9142600b7adea08cf07897ca779bbce936e344ec669dc9b6cc5217d3fa0b573
company,1629094080,The Latest: England eases self-isolation guidelines,69679611,,JNJ,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a7d568dfc14df24cdb6ed5832e201fba3edecd8eaed0115ecc417c07bdf192cd
company,1629088740,"Sageworth Trust Co Buys Innovator S&P 500 Power Buffer ETF - September, Vanguard Value ETF, Innovator S&P 500 Power Buffer ETF - October, Sells Vanguard FTSE All-World Ex-US Small Capital Index , JPMorgan Chase. FR SP ETN REDEEM 24/05/2024 U, iShares Gold",69694987,,JNJ,GuruFocus,,https://finnhub.io/api/news?id=ce6bffdd2ba3c95fb24dd31703159a134d273f6366db010cf54fd559305e16f2
company,1629087600,Ireland set to halt further orders of AstraZeneca and J&J vaccines,69679612,,JNJ,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e130c90bf2e5cde1a9ce13d3b492026c006d4016bf87fbd5d38d48f00339ea4d
company,1629085927,Week 33 MDA Breakout Stocks - August 2021: Short-Term Picks To Give You An Edge,69677563,,JNJ,SeekingAlpha,,https://finnhub.io/api/news?id=20d37a80a71dc0e4aacef4d3fae1a7b8861d848975a095b6969bebd119edd8a3
company,1629085140,"HS Management Partners, LLC Buys Best Buy Co Inc, Constellation Brands Inc, Apple Inc, Sells Campbell Soup Co, Johnson & Johnson, Domino's Pizza Inc",69694244,,JNJ,GuruFocus,,https://finnhub.io/api/news?id=deb78952380632d9de06a1e11221e282047c6df03fe8e226c39f5585b725a954
company,1629082800,5 Top Dividend Kings to Buy and Hold Forever,69678523,https://s.yimg.com/uu/api/res/1.2/yvihXfcfjLGJ8WoD17STzA--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/bf20a043bb37ce0ba7dcff90ac86c8b6,JNJ,Yahoo,"Dividend investing is a proven strategy to build wealth, but not if you chase yields.  The trick is to buy dividend growth stocks that pay regular, stable, and growing dividends, and hold them for as long as you possibly can.  Among these, I believe the below 5 are the best Dividend Kings to buy now and hold for the long term.",https://finnhub.io/api/news?id=aa232f5bf48bddac01ef8f72e4a23ecac7197fa82c7765fad57490e17debccf7
company,1629081540,"Quantitative Value Technologies, Llc Buys Coca-Cola Co, Microsoft Corp, S&P 500 ETF TRUST ETF, Sells Northrop Grumman Corp, Willis Towers Watson PLC, Tyson Foods Inc",69694748,,JNJ,GuruFocus,,https://finnhub.io/api/news?id=08d0f9eb8d291f1bdf14cdb39e40f9a8c86d0538f95facb57560c7cfb1328930
company,1629077940,"Lombard Odier Asset Management (Europe) Ltd Buys PayPal Holdings Inc, Autodesk Inc, AGCO Corp, Sells Fastenal Co, Analog Devices Inc, Fidelity National Information Services Inc",69694990,,JNJ,GuruFocus,,https://finnhub.io/api/news?id=c43d62a121943e2d90db1f901895726a939b9a06bd41338164ff62b2d94e0f5a
company,1629031020,4 Reasons to (Still) Be Optimistic About Coronavirus Vaccine Stocks,69675754,,JNJ,Yahoo,"Rumors of the coronavirus's demise have, unfortunately, been very much exaggerated.  There's still plenty of upside for companies like Moderna (NASDAQ: MRNA), Pfizer, (NYSE: PFE), and Johnson & Johnson (NYSE: JNJ), and a handful of new developments should make investors optimistic about their continued strong performance.  The biggest reason to be optimistic about coronavirus vaccine stocks is that they're eventually going to start registering new revenue from sales of booster shots -- once the companies can prove that additional doses will be safe and beneficial, that is.",https://finnhub.io/api/news?id=cddc808fd153fe3042f49a12545015ada7f6363ee88828a98d4e2cc3ecc59e47
company,1629027000,"Upcoming Ex-Dividend Dates: August 17-30, 2021",69676325,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1164904198/medium_image_1164904198.jpg,JNJ,SeekingAlpha,We provide a summary of upcoming ex-dividend dates. Check out these dividend stocks from our list which includes relevant data and key statistics.,https://finnhub.io/api/news?id=bfbb2937babefb37876fbc2957e086e25382fb7c913a73dd6fc70fdc2c775325
company,1629025380,4 Pharma Stocks You Can Buy and Hold for 20 Years,69675228,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,JNJ,Yahoo,"A buy-and-hold strategy can work really well -- if you pick the right stocks.  In this Motley Fool Live video recorded on Aug. 4, 2021, Motley Fool contributors Keith Speights and Brian Orelli discuss their top pharma stocks to buy and hold for 20 years.  Keith Speights: We had another question on Monday.",https://finnhub.io/api/news?id=0f6effb53da855b0f32079a256ddc3ecca3138a06f317d5cd35112d993b79614
company,1629016380,The Latest: Australian state sees 478 new virus infections,69679614,,JNJ,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=01ba1e67d79dc13a07d6d3e8e5a00c5e24b33362c2e8c4e24d3aec801649ab21
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,JNJ,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
