category,datetime,headline,id,image,related,source,summary,url
company,1629208450,15 Best Momentum Stocks To Invest In,69694494,,JPM,Yahoo,"In this article, we discuss the 15 best momentum stocks to invest in. If you want to skip our detailed analysis of these stocks, go directly to the 5 Best Momentum Stocks To Invest In. The influx of retail investors on the market in the past few months has led to an increase in stock […]",https://finnhub.io/api/news?id=c71550c3aca28cd4b99b5cbef6d6bccd1f5f40ee8ea751ea1f1154d0328e98f5
company,1629192420,JPMorgan SA launches ZAR340 million fund to raise empowerment status,69700795,,JPM,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3873332d121e34e56bc4bafa3062e83d17a4643f9139c2dfdf5d5ed47411e485
company,1629177948,Tracking Gardner Russo & Quinn Portfolio - Q2 2021 Update,69691435,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1019729218/medium_image_1019729218.jpg,JPM,SeekingAlpha,Gardner Russo & Quinn’s 13F portfolio value increased from $10.96B to $11.84B. Russo increased Alibaba Group Holding and Cable One while decreasing JPMorgan Chase during the quarter.,https://finnhub.io/api/news?id=d22b3297eeaa40bee82b45b0c09cfc8f66a15d4efac0fa82d242b6d6731d0040
company,1629176700,7 Most Popular Hedge Fund Stocks To Put on Your Watch List,69695385,https://investorplace.com/wp-content/uploads/2017/08/hedgefundmsn.jpg,JPM,InvestorPlace,Knowing which hedge fund stocks are in demand and which are not is a fun focus for investors. Here are the top names we researched for you.,https://finnhub.io/api/news?id=61c1d93692c5394b4a38b7e74a2f23fad9c297adf4c3363258a431fd31cee1ce
company,1629133260,S&P 500 doubles from pandemic low; Dow Jones hits record high,69696723,,JPM,United Press International,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c15b6366584defb7dc8f7468e44b3631cc27c29fbb51327fbad80119f4082041
company news,1590057081,SLV: iShares Silver Trust ETF,845881,,JPM,Yahoo,"Learn about the iShares Silver Trust, an exchange traded fund that invests primarily in silver and is affected by risks unique to commodities.",https://finnhub.io/api/news?id=4c575f2dc7bf2aff5c908106e4a0b16913721111c897919d5359b489f894e646
company,1629128960,Financials Appear To Be Unattractive,69684219,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1215119911/medium_image_1215119911.jpg,JPM,SeekingAlpha,The business cycle is turning down. Commodities and interest rates are declining.,https://finnhub.io/api/news?id=00ce1df0cc1a7d376b30c39c0868b84d52faa3bdcdac64eeaa510624301804a6
company,1629120840,Companies Are Hoarding Record Cash Amid Delta Fears,69687187,https://images.wsj.net/im-383371/social,JPM,DowJones,"Cash and short-term investments on corporate balance sheets rose in the second quarter amid lingering uncertainty about disruptions from Covid-19, defying expectations of a spending spree.",https://finnhub.io/api/news?id=ec9822eb0c4f10a7e44f1b5b608671462a64ba280419797dba80e6dea9e3a2af
company,1629117736,Citigroup Still Offers Significant Execution-Driven Upside,69682147,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/945363136/medium_image_945363136.jpg,JPM,SeekingAlpha,Citigroup is starting to focus on ROTCE improvement and building businesses where it can leverage global scale and drive profitability. Read more about C here.,https://finnhub.io/api/news?id=09e440b15ac72510f3f887536eaabde07695014fdd30346cfc991ffed57d50c5
company,1629117540,"Axa Buys Berkshire Hathaway Inc, Stellantis NV, Cincinnati Financial Corp, Sells Apple Inc, Proofpoint Inc, EPAM Systems Inc",69694409,,JPM,GuruFocus,,https://finnhub.io/api/news?id=8dafd8f75b75f1eeaf9d2d95fc7b73f1f2b0c9ce1f5ca4d593ba083b6d6bc0c2
company,1629114540,Hyatt to buy resort manager Apple Leisure for $2.7 billion,69682301,,JPM,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=95e5c0f4985f9220e2c22318803b2565307a4f62c79b98cd707393ade14621ff
company,1629113940,"Profund Advisors Llc Buys JPMorgan Chase, Bank of America Corp, Wells Fargo, Sells Smartsheet Inc, , General Electric Co",69695205,,JPM,GuruFocus,,https://finnhub.io/api/news?id=d594e344781da8fc39e5e465abe993b8832e3a45d62a350ce5d90c3026dab930
company,1629108060,WISH Stock Could Pop as It Moves Into the Fintech Arena,69681703,https://investorplace.com/wp-content/uploads/2020/12/wish-stock-1.jpg,JPM,InvestorPlace,WISH stock should rise on the big plans of a new management team to become a fintech and platform for cheap Chinese goods.,https://finnhub.io/api/news?id=5f198dda4b65dde02b66de6f766015a96d082dfa74a17be7d63ec1bb718918d9
company,1629103020,JPMorgan reports July net credit losses 1.14% vs. 1.30% last month,69682303,,JPM,Thefly.com,Reports July 30-plus day ... JPM,https://finnhub.io/api/news?id=26c0041140efc382d047b2e88ca078d516cba0519d7b991feb46e26bef89f3a3
company,1629100800,China Finance Online Announces Private Placement of Ordinary Shares and Warrants,69682304,,JPM,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=084b82ea546dfb23e880c3aec588137d839b610af4dad687fe37bb721a0acc64
company,1629099540,"Capula Management Ltd Buys PowerShares QQQ Trust Ser 1, Bausch Health Inc, CVS Health Corp, Sells S&P 500 ETF TRUST ETF, Apple Inc, Amazon.com Inc",69695325,,JPM,GuruFocus,,https://finnhub.io/api/news?id=69bf172259db61d2ed81e85968d96eaadd5b99cf7070cb0a8415e41ab63890c3
company,1629099540,"Axiom Financial Strategies, LLC Buys Vanguard Industrials ETF, Vanguard Financials ETF, Vanguard Energy ETF, Sells Vanguard Consumer Staples ETF, Vanguard Utilities ETF, Cisco Systems Inc",69694525,,JPM,GuruFocus,,https://finnhub.io/api/news?id=51ac1a9b253b02ac7d0e5cd9fe84fb85e6139b22e94fe7aac1e7da678d88cbaa
company,1629095940,"Wambolt & Associates, LLC Buys Apple Inc, iShares 0-5 Year High Yield Corporate Bond ETF, SPDR S&P 400 Mid Cap Value ETF, Sells ISHARES TRUST, Taiwan Semiconductor Manufacturing Co, Sherwin-Williams Co",69696415,,JPM,GuruFocus,,https://finnhub.io/api/news?id=dc76f43bf7d5cd14764d4e06f7e77a50609af9a1731924180420e1663fbbeae2
company,1629088740,"Lavaca Capital LLC Buys United Rentals Inc, S&P 500 ETF TRUST ETF, Eli Lilly and Co, Sells PayPal Holdings Inc, iShares Russell 2000 ETF, Fastenal Co",69694747,,JPM,GuruFocus,,https://finnhub.io/api/news?id=64391ca5d0aab143081f5ad220511d643dfe037c61f256d49ac38dd9ebd89db7
company,1629088740,"Origin Asset Management LLP Buys Landstar System Inc, Expeditors International of Washington Inc, Brunswick Corp, Sells Autohome Inc, JD.com Inc, Qiagen NV",69694622,,JPM,GuruFocus,,https://finnhub.io/api/news?id=89e68f3c97a6fc014b566601c3dd6b5138412a212c3d0624ed22a5a827047bb6
company,1629086460,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell By Investing.com",69694765,https://i-invdn-com.investing.com/news/LYNXNPEB7N0OT_L.jpg,JPM,Investing.com,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell",https://finnhub.io/api/news?id=26118968885c5f27f32b520b2f2e090a56e1e0c80b0dc87befd10096a695be97
company,1629085927,Week 33 MDA Breakout Stocks - August 2021: Short-Term Picks To Give You An Edge,69677563,,JPM,SeekingAlpha,,https://finnhub.io/api/news?id=20d37a80a71dc0e4aacef4d3fae1a7b8861d848975a095b6969bebd119edd8a3
company,1629082620,S&P 500 Cuts Losses to Clinch Record Highs By Investing.com,69694770,https://i-invdn-com.investing.com/news/LYNXNPEC2D15L_L.jpg,JPM,Investing.com,S&P 500 Cuts Losses to Clinch Record Highs,https://finnhub.io/api/news?id=40ce9a0f216a860b01a00871f1cae3f0f578892d6c07c4c22cae0de6ef8ef582
company,1629081540,"Cornerstone Advisors, LLC Buys Facebook Inc, Berkshire Hathaway Inc, UnitedHealth Group Inc, Sells Apple Inc, Procter & Gamble Co, AbbVie Inc",69696427,,JPM,GuruFocus,,https://finnhub.io/api/news?id=db2c65dfdce8cfdf89e466b93a4624ce1143d8cd5b04df62f7f3fda393e374e4
company,1629081540,"ING Groep NV Buys Enterprise Products Partners LP, Switch Inc, Microsoft Corp, Sells ViacomCBS Inc, International Business Machines Corp, Scientific Games Corp",69695891,,JPM,GuruFocus,,https://finnhub.io/api/news?id=a1fd77f192eb4f13fff8d43e9e4780f8e1f24549d2b43b9e75ceda2f8a3e0ddb
company,1629077940,"Financial Strategies Group, Inc. Buys SPDR MSCI USA StrategicFactors SM ETF, SPDR MSCI EAFE StrategicFactors SM ETF, GraniteShares Gold Shares, Sells TCF Financial Corp, iShares TIPS Bond ETF, PNC Financial Services Group Inc",69694938,,JPM,GuruFocus,,https://finnhub.io/api/news?id=08487a3806ba47c985817c54d25a59c53cdf0046be8e8c658694a4b4cbf7124b
company,1629077940,"Lombard Odier Asset Management (Europe) Ltd Buys PayPal Holdings Inc, Autodesk Inc, AGCO Corp, Sells Fastenal Co, Analog Devices Inc, Fidelity National Information Services Inc",69694990,,JPM,GuruFocus,,https://finnhub.io/api/news?id=c43d62a121943e2d90db1f901895726a939b9a06bd41338164ff62b2d94e0f5a
