category,datetime,headline,id,image,related,source,summary,url
company,1629133380,"KeyCorp stock falls Monday, underperforms market",69685748,https://images.mktw.net/im-220105/social,KEY,MarketWatch,"Shares of KeyCorp sank 0.77% to $20.52 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=2a34ae34862a8b4dbf30fc29ce84b8b0aeab265cedd3ba4d741c0cd4867a19bb
company,1629117540,"Seven Eight Capital, Llc Buys Taiwan Semiconductor Manufacturing Co, Micron Technology Inc, Proofpoint Inc, Sells RealPage Inc, Hyliion Holdings Corp, FireEye Inc",69696065,,KEY,GuruFocus,,https://finnhub.io/api/news?id=18268604ffe28c140cf6168505babf6632ba2136e88cdece8f878c6e42e6e299
company,1629028980,"After a Long History of Underperformance, KeyCorp Has Some Real Momentum",69677358,,KEY,Yahoo,"KeyCorp looks to be heading in a good direction with its national digital bank, and it also has strong fundamentals behind its business.",https://finnhub.io/api/news?id=42106f9f484def94686db4f8e3493c0194d8e531fa641dd72d1a4df7f2a87be7
company,1628874180,"KeyCorp stock falls Friday, underperforms market",69685749,https://images.mktw.net/im-220105/social,KEY,MarketWatch,"Shares of KeyCorp dropped 0.72% to $20.68 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=291d51bd2f2c33a6290df759d6bdf7a5c66637e09a81d5f7650a363c419bffef
company,1628850600,Keycorp Approaching A Key Level On The Daily Chart,69667573,,KEY,TalkMarkets,,https://finnhub.io/api/news?id=7a0cea8c8820d05b7e6db5c766977ce0172f10b23a8ca558dc9e410e79442244
company,1628787780,"KeyCorp stock falls Thursday, underperforms market",69685750,https://images.mktw.net/im-220105/social,KEY,MarketWatch,"Shares of KeyCorp dropped 0.24% to $20.83 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=48f0f4e40609fbc086300a9e7e255f209eb0b554e3c76e2ac33b555ddc488295
company,1628771940,"Stieven Capital Advisors, L.P. Buys KeyCorp, Charles Schwab Corp, Comerica Inc, Sells Fiserv Inc, U.S. Bancorp, Paysafe",69652048,,KEY,GuruFocus,,https://finnhub.io/api/news?id=59a0e537b5e5e5137bdb311dfb8e5b85e722183724ead94d5082c021a2d9a207
company,1628763960,October 1st Options Now Available For KeyCorp,69652646,,KEY,Stock Options Channel,"Staff article entitled October 1st Options Now Available For KeyCorp , about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=d9a777d4f7a8dc9826ed8237834e4218c797488ae6078fff213f355ebf8764a6
company,1628701380,"KeyCorp stock rises Wednesday, outperforms market",69685751,https://images.mktw.net/im-220105/social,KEY,MarketWatch,"Shares of KeyCorp rose 1.46% to $20.88 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=7bd8026da8647a02c8f5278a24cbacc8e5b1ffe551c389494bfa84aca0a86f16
company,1628614980,KeyCorp stock outperforms market on strong trading day,69685752,https://images.mktw.net/im-220105/social,KEY,MarketWatch,"Shares of KeyCorp rallied 1.88% to $20.58 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=00236546f6e898cc921d3f38f0955e7fd636c36ecebca21b42b5960a76230f32
company,1628607966,KeyBank Community Development Lending and Investment Continues Expansion in the Northeast and MidAtlantic With the Appointment of Anna Belanger,69606480,https://s.yimg.com/uu/api/res/1.2/cAD_bdzqlTNySyZDY50CnQ--~B/aD03MDc7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/5d3ff2615be7d6fdf97b1b61d7463340,KEY,Yahoo,"CLEVELAND, August 9, 2021 /3BL Media/ — KeyBank Community Development Lending and Investment (CDLI) has appointed Anna Belanger as a senior relationship manager to expand community development lend...",https://finnhub.io/api/news?id=ab4bcd391d2db85603106aa3c8fea3d1b268e542a6758c80cfca655c935deed5
company,1628568000,2 ���Fed-Fueled��� Dividends Yielding up to 6.1% (with 517% Payout Growth),69599549,,KEY,The Online Investor,,https://finnhub.io/api/news?id=87a5ff203605f52077df57c4c9db28aba5c922a429f73e55a6e815c321dfb328
company,1628528580,"KeyCorp stock falls Monday, underperforms market",69685753,https://images.mktw.net/im-220105/social,KEY,MarketWatch,"Shares of KeyCorp slumped 0.64% to $20.20 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=f10fe5cec7e701fdea717211fb842a1850cdedc939870a5d12236d90008a138d
