category,datetime,headline,id,image,related,source,summary,url
company,1629212400,Keysight Technologies Ranks 32nd on Fast Company’s Third Annual List of the 100 Best Workplaces for Innovators,69699606,,KEYS,Yahoo,"SANTA ROSA, Calif., August 17, 2021--Keysight Technologies Ranks 32nd on Fast Company’s Third Annual List of the 100 Best Workplaces for Innovators",https://finnhub.io/api/news?id=fb73cfbf5661b5c31979d6ea4a5296f8249bc82a9ebbfcff66a7e372b681e3d1
company,1629198000,Keysight Technologies Ranks 32nd on Fast Company’s Third Annual List of the 100 Best Workplaces for Innovators,69699781,,KEYS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c3d19dd088bbc9bafb799dff194f56d74183ef19adfc17a3ada9b9cd13374925
company,1629126068,Keysight Named One of the 2021 Bosch Global Supplier Award Winners,69685135,https://s.yimg.com/uu/api/res/1.2/dnIxTzI0YQPHFbkoPklg7g--~B/aD05NzU7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/7daf387eb6f47cd1e07ab8bccf67df21,KEYS,Yahoo,"Keysight Technologies, Inc. awarded for purchasing of indirect materials",https://finnhub.io/api/news?id=54d5667c0a9feece573fb6195aeef7d73caa430e740fb0cbc40c787607ddb92c
company,1629126000,Keysight Launches Cloud-based 5G Radio Access Network Performance Analytics Solution,69685137,https://s.yimg.com/uu/api/res/1.2/Tcb_eseHk5MIiIqqRpAPsg--~B/aD0yNzA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/4f0b65150c844f74ad0cbc1b9a28528a,KEYS,Yahoo,"SANTA ROSA, Calif., August 16, 2021--Keysight Launches Cloud-based 5G Radio Access Network Performance Analytics Solution",https://finnhub.io/api/news?id=3ec3999b01a86b90fb2ec96d3b90a2a6b5e9958f42ded675c8f15c223605d081
company,1629125522,Factors to Note Ahead of Keysight's (KEYS) Q3 Earnings Release,69685139,https://s.yimg.com/uu/api/res/1.2/xO8TFJMeqtG5lE09xfpLAw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cd9ed8cf63fa5a7bc41c5e977c67cccb,KEYS,Yahoo,"Keysight's (KEYS) Q3 performance is likely to gain from higher demand for its solutions in semiconductor, automotive and aerospace & defense verticals.",https://finnhub.io/api/news?id=8450871434856313ae4858d473fb286b3a6d3dd760c9cc271fe1cd9e114e2719
company,1629117540,"Bell Asset Management Ltd Buys Amazon.com Inc, Keysight Technologies Inc, Nike Inc, Sells UnitedHealth Group Inc, Avery Dennison Corp, Facebook Inc",69697303,,KEYS,GuruFocus,,https://finnhub.io/api/news?id=ef3b121400fe181e7779a8403a82619b9dc62f3daf8cfaaed227fc6ad37dcd7b
company,1629111600,Keysight Launches Cloud-based 5G Radio Access Network Performance Analytics Solution,69699783,,KEYS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3142248a85e522cbf36ca32d293a4844ede4fe9f9c9b7f6904dfda4b2bac1bb1
company,1628874180,"Keysight Technologies Inc. stock rises Friday, outperforms market",69672163,https://images.mktw.net/im-220105/social,KEYS,MarketWatch,"Shares of Keysight Technologies Inc. inched 0.65% higher to $166.10 Friday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=6b801e1fa389f13a5ccd0d3c62238670714c8c2018f86d435aafd861ec170463
company,1628787780,"Keysight Technologies Inc. stock falls Thursday, underperforms market",69672164,https://images.mktw.net/im-220105/social,KEYS,MarketWatch,"Shares of Keysight Technologies Inc. dropped 0.01% to $165.03 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=bf752c1cd32a5dfdc0ff131f886c9e45ed750b199cec83ae1c05b03f9f832ec2
company,1628708407,Keysight (KEYS) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,69623167,https://s.yimg.com/uu/api/res/1.2/auhFPLcthJM50UYepXcODg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2f0d6efdd8740952a371c97ddea6e926,KEYS,Yahoo,Keysight (KEYS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=bb16ef7c7527f71d05841a213f95f0df7c2437aa5ba6d91d0bd5f958f09c09da
