category,datetime,headline,id,image,related,source,summary,url
company,1629207000,It’s Kraft vs. Kraft in Venezuela’s Strange Take on Capitalism,69696704,https://s.yimg.com/uu/api/res/1.2/.vbhjVdg9leharMM8cm3Yw--~B/aD03NjA7dz0xMjk2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/f9e70558bacdc5c811aea30cd52c6715,KHC,Yahoo,"(Bloomberg) -- What’s left of Venezuela’s manufacturing sector has survived government expropriations, frequent blackouts, a currency collapse and equipment shortages. But now there’s another threat: competition from imported versions of the companies’ own products.Shops across Venezuela stock Mexican-made Oreo cookies right next to the locally produced version. Kraft Heinz Co.’s mayonnaise is being imported from Brazil and the U.S., even though the company also makes the sandwich spread in the",https://finnhub.io/api/news?id=0758e83175ea834af9bad05fc5f73d2a3f669d29aee9fefda3cb82825ef2b747
company,1629200220,5 High-Yield Dividend Stocks to Watch,69693336,,KHC,Yahoo,"Three of them cut their dividends recently, one will cut its soon, and one is largely overlooked by the market. But all five have real growth potential and could prove to be great long-term buys.",https://finnhub.io/api/news?id=40ce54aae4f89029221695b9e47721499127593a59dc7811ad0a4406b3d34a2a
company,1629186842,Michael Burry Of 'The Big Short' Takes A Short Position In ARKK,69693087,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/498541178/medium_image_498541178.jpg,KHC,SeekingAlpha,"Michael Burry buys puts on ARKK ETF, possibly as a hedge to Alphabet and Facebook positions. Read more to see my evaluation of his positions.",https://finnhub.io/api/news?id=eef59b540c8528b4c3a9c7e6e3316ee69be61970db4ac12624de16f89c8dab9c
company,1629115200,OverActive Media Reports Second Quarter 2021 Financial Results,69679730,https://s.yimg.com/uu/api/res/1.2/PSyieNvHbN3_cO4.xbfzBw--~B/aD05NDE7dz05NjI7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/e68b473622980d394b56c75ab042352e,KHC,Yahoo,"Strong Growth in Sponsorship Revenues as New Partners Come On BoardTORONTO, Aug. 16, 2021 (GLOBE NEWSWIRE) -- OverActive Media (“OverActive” or the “Company”) (TSXV:OAM), a global sports, media and entertainment company for today’s generation of fans, is pleased to announce its financial results for the three and six-month period ended June 30, 2021. The condensed consolidated interim financial statements, notes to financial statements, and Management’s Discussion and Analysis for the three and",https://finnhub.io/api/news?id=e467175c344f0a04b4e077c6a23a927b45788a705882e0cefc8db6daa403ec18
company,1629104081,Kraft Heinz: This Buffet Play Is A Long-Term Buy,69678696,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/51213833/medium_image_51213833.jpg,KHC,SeekingAlpha,Kraft is in the low growth phase of the business lifecycle. The stock is currently trading at historic lows.,https://finnhub.io/api/news?id=58a3e55540f5d4c0c634389b43c2b64de1aa34da1635a94cbbb1e15a7a9a70fa
company,1629100800,OverActive Media Reports Second Quarter 2021 Financial Results,69679144,,KHC,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=420886ea803501a2ac7b3eccb28ecd5a2b08a02cd386089aa55c8bcfecad7ef7
company,1629088740,"Majedie Asset Management Ltd Buys Etsy Inc, Hasbro Inc, Interactive Brokers Group Inc, Sells Medtronic PLC, American Eagle Outfitters Inc, Wyndham Hotels & Resorts Inc",69695517,,KHC,GuruFocus,,https://finnhub.io/api/news?id=db369367206bfdf67fb8358cde64cd1fa6b6be01beeda158f3d0fefcba8f60d7
company,1629083520,"Berkshire Hathaway exits Biogen, boosts Kroger in Q2",69694229,,KHC,Thefly.com,"Warren Buffett's Ber... BRK.A, BRK.B, AXTA, BIIB, LBTYA, KR, RH, AON, GM, BMY, ABBV, LBTYK, CVX, AAPL, BAC, AXP, KO, KHC",https://finnhub.io/api/news?id=037a6f2673c6a7942b8503c317fad1f055795df50eb92a55758183391fddd237
company,1628983614,Buffett August Holdings Include 3 Ideal Dogs Of 28 Dividend Payers,69673009,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1329264503/medium_image_1329264503.jpg,KHC,SeekingAlpha,This Buffett holdings list from Kiplinger appeared online. Click here to read the Buffett august holdings including 3 ideal dogs of 28 dividend payers.,https://finnhub.io/api/news?id=859ed302183229078796abe75696fc4d317b3008f8c6085f0081eaa52c7a4af6
company,1628874180,Kraft Heinz Co. stock outperforms market on strong trading day,69672796,https://images.mktw.net/im-220105/social,KHC,MarketWatch,"Shares of Kraft Heinz Co. rallied 1.37% to $37.87 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=3fbe17ebe21f894ac487d06f80c674e1296072f077290b8f2cf80eacb84c8da0
