category,datetime,headline,id,image,related,source,summary,url
company,1629133380,"KLA Corp. stock rises Monday, outperforms market",69687869,https://images.mktw.net/im-220105/social,KLAC,MarketWatch,"Shares of KLA Corp. inched 0.40% higher to $329.19 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7835245ef0dce2a04136ea7f9615192ab115d216d532bcba288bfa396abcaed8
company,1628874240,"KLA Corp. stock rises Friday, still underperforms market",69687870,https://images.mktw.net/im-220105/social,KLAC,MarketWatch,"Shares of KLA Corp. inched 0.13% higher to $327.88 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=0626f95bb67cc6a573682bd060d57c7147f065c22c78e456aece7b3c3097bf55
company,1628787840,KLA Corp. stock underperforms Thursday when compared to competitors,69687871,https://images.mktw.net/im-220105/social,KLAC,MarketWatch,"Shares of KLA Corp. slipped 4.13% to $328.51 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=876c83cc1afcc47a6a7d51c87f86c55de6950ea93d86520dd80805544e22a7e5
company,1628770920,KLAC October 1st Options Begin Trading,69655284,,KLAC,Stock Options Channel,"Staff article entitled KLAC October 1st Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=3c13d789a3b40e3c066fd56c3d147c9e82be83b4ec2bf8fec478bdf9ab664b53
company,1628766960,Kla Corp (KLAC) President and CEO Richard P Wallace Sold $14.4 million of Shares,69655285,,KLAC,GuruFocus,,https://finnhub.io/api/news?id=a07097e1093d8423d849c58f58f8497be7c246eefecc3f162605f7791d2992c1
company,1628701440,"KLA Corp. stock rises Wednesday, still underperforms market",69626964,https://images.mktw.net/im-220105/social,KLAC,MarketWatch,"Shares of KLA Corp. inched 0.19% higher to $342.66 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=a6ab710bda17f5a751c1cab2ac484a77dd1d433ff6ee43ff61e5591defc30d2a
company,1628672400,"Dividend Increases: July 31-August 6, 2021",69613583,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1132660268/medium_image_1132660268.jpg,KLAC,SeekingAlpha,This weekly article series provides a summary of dividend changes. A summary table presents relevant data and key statistics of dividend increases.,https://finnhub.io/api/news?id=c6e6fce74fb8a0fc5b42f3e8acd4869bcf45c50334528eb0f2d9707a6fadb64c
company,1628615040,"KLA Corp. stock falls Tuesday, underperforms market",69626965,https://images.mktw.net/im-220105/social,KLAC,MarketWatch,"Shares of KLA Corp. slipped 2.71% to $342.00 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=938328aecd0421c4b5ae989cffc364264aa672c5b6faef732d4384af34e0e791
company,1628573940,KLA (NASDAQ:KLAC) Is Increasing Its Dividend To US$1.05,69592894,https://s.yimg.com/uu/api/res/1.2/zaka0IkqQV2sJCcfbX6qiA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/c5201eeaa7905447e59995740351e3e5,KLAC,Yahoo,KLA Corporation's ( NASDAQ:KLAC ) dividend will be increasing to US$1.05 on 1st of September. This makes the dividend...,https://finnhub.io/api/news?id=4a4f553ce58448e5efae87ee7fe5680b6a20676f63e075bcc4e5f709e72b93d2
company,1628528640,KLA Corp. stock underperforms Monday when compared to competitors,69626967,https://images.mktw.net/im-220105/social,KLAC,MarketWatch,"Shares of KLA Corp. shed 0.52% to $351.52 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4f8b5f749ef3ebb7db86af58a1c7308a634647f8136c4f2a43fc03150bb78960
