category,datetime,headline,id,image,related,source,summary,url
company,1629195130,S&P 500 Jumps More Than Double Since Pandemic Low: 5 Picks,69693153,https://s.yimg.com/uu/api/res/1.2/qjC8V6LH6MeW0U14REYSUA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d56e16112c2a6358db153db625979aa8,KMX,Yahoo,"We have narrowed down our search to five large-cap (market capital > $20 billion) stocks of the S&P 500 Index. These are: NUE, ORLY, IT, KMX and PXD.",https://finnhub.io/api/news?id=e5b098465e064cff5675d0f7f830851ff2b2d6390a5b8e39cea856e7b35178fd
company,1629117000,Sequoia Fund Q2 2021 Investor Letter,69681944,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,KMX,SeekingAlpha,The fund's investment objective is long-term growth of capital.,https://finnhub.io/api/news?id=97216dc8a96bfdaa7bfb15f2e584b65c9e1eb9825491fcc26aeac8d345bb49fd
company,1629082320,Ruane Cunniff's Top 5 Trades of the 2nd Quarter,69695713,https://static.gurufocus.com/photos/others/portfolio_brief_case.jpg,KMX,GuruFocus,Firm ramps up portfolio newcomers,https://finnhub.io/api/news?id=473e31cb4303f9a3c87775121384d7b30ff05037c3e6ae5b316aff248742c24a
company,1628925660,"Carvana has room to run, Barron's says",69668030,,KMX,Thefly.com,"Carvana (CVNA) went publi... CVNA, KMX",https://finnhub.io/api/news?id=5ad427bd70368a5a5ee6ed99e26a8f099605c4a8d19ae0e70d8f21f0124f928b
company,1628876880,Why Carvana’s Stock Has Room to Run,69671282,https://images.barrons.com/im-384867/social,KMX,MarketWatch,"Beyond this year’s wild ride, Wall Street expects the online dealership to continue to grow revenues at rates north of 30%.",https://finnhub.io/api/news?id=7a443bd63fd485925838af0334defc8ebd581dcd2365c27827c237ddf3a81adb
company,1628874240,CarMax Inc. stock underperforms Friday when compared to competitors,69672786,https://images.mktw.net/im-220105/social,KMX,MarketWatch,"Shares of CarMax Inc. sank 0.97% to $128.09 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=eb87ccb57dd1b1b897b1c242da1195b80040e2ff830c0ff3e6a4545dc42c1224
company,1628805009,CarMax (KMX) Stock Sinks As Market Gains: What You Should Know,69646095,https://s.yimg.com/uu/api/res/1.2/Fs_R4sd8jCoOMib958Znmg--~B/aD02MDM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/432476d296d64c50172213c0415587c9,KMX,Yahoo,"CarMax (KMX) closed at $129.34 in the latest trading session, marking a -1.94% move from the prior day.",https://finnhub.io/api/news?id=ba8efb67b72311205951de5419522a4e0f565da599df9ce597cf02076aaaaf29
company,1628787840,"CarMax Inc. stock falls Thursday, underperforms market",69644621,https://images.mktw.net/im-220105/social,KMX,MarketWatch,"Shares of CarMax Inc. slipped 1.94% to $129.34 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=bad1d0c75bef387ccac8d415e82f7154abd819bc675aa348bff0570412d277d1
company,1628701440,CarMax Inc. stock underperforms Wednesday when compared to competitors,69628052,https://images.mktw.net/im-220105/social,KMX,MarketWatch,"Shares of CarMax Inc. slid 2.52% to $131.90 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8588829e239f0be2d9c8faaf549524492ecd71d019a89ea56d9908bbd548043b
company,1628695860,CarMax Stock's Relative Strength Rating Hits 74; New Car Shortage Leads To Market Shift,69617447,,KMX,Yahoo,Used car superstore operator CarMax is among those benefiting from this shift.  The 74 RS Rating means CarMax stock has outperformed 74% of all stocks over the past year.  The market's biggest winners often have an RS Rating north of 80 as they launch their largest climbs.,https://finnhub.io/api/news?id=b5f0df1079171a174f2e9a6538ca62a589ab95fd28eff9ddd1f9c735c5d4d33b
company,1628615040,"CarMax Inc. stock rises Tuesday, outperforms market",69610454,https://images.mktw.net/im-220105/social,KMX,MarketWatch,"Shares of CarMax Inc. rallied 1.85% to $135.31 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=97fb8d26df338c84836b63f35ba2f5b694fe07c2b3cbdd2aca2c67ac3c71ed40
company,1628528640,"CarMax Inc. stock falls Monday, underperforms market",69610455,https://images.mktw.net/im-220105/social,KMX,MarketWatch,"Shares of CarMax Inc. slipped 0.87% to $132.85 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=01c9c1540be68d14a88a3ef7d036fae937201d0cfa2cf931d9361a4ca332cc43
company,1628392855,Outperforming S&P 500 By Trading Top 10 Stocks From 40 Large Hedge Funds: Update 8/8/2021,69568966,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/902847210/medium_image_902847210.jpg,KMX,SeekingAlpha,"Using the quarterly 13F filings we extract 50 consensus stocks from 40 large hedge funds, each fund with more than $3.5 billion Assets Under Management. Click to find the list.",https://finnhub.io/api/news?id=be305654c9480908ebd0d5e7e9ff6df480992b9d4b996886620f663c98804d9e
company,1628329501,Used car prices to stay high until automakers can fix production issues: Carvana CEO,69567585,https://image.cnbcfm.com/api/v1/image/106569816-1591649974326gettyimages-1216138214.jpeg?v=1620037454,KMX,CNBC,"There will be a 'lasting impact' on used car prices until automakers can solve production issues caused by chip shortages, says the CEO of Carvana.",https://finnhub.io/api/news?id=1a697b5e3723b8c3d0b12f8a5e8c7da1c30f5ceace43641d823e5a94462282e8
company,1628269440,CarMax Inc. stock outperforms competitors despite losses on the day,69567149,https://images.mktw.net/im-220105/social,KMX,MarketWatch,"Shares of CarMax Inc. slid 1.46% to $134.02 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=5e1d4d55c71b288744ccc7ace3503e870f5d2611bc0466a08986d5ee21083d52
