category,datetime,headline,id,image,related,source,summary,url
company,1629206101,Kroger (KR) Hits Fresh High: Is There Still Room to Run?,69699371,,KR,Yahoo,"Kroger (KR) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",https://finnhub.io/api/news?id=a52ed0bf077fedfd898733b21f6da7a2e80ac93e8e95721b2a4076e22af6e30f
company,1629204732,"Home Depot (HD) Q2 Earnings Beat, Stock Dips on Moderate Comps",69697137,https://s.yimg.com/uu/api/res/1.2/_UgMnnk9fUxk3KldpOA4Zw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/348157b888af08e5f0c74ce7272456b3,KR,Yahoo,"Home Depot (HD) Q2 results benefit from strong demand for home-improvement projects, investments in its business and the dedication of its associates to serve customers.",https://finnhub.io/api/news?id=423c760b33d16db3811781ff4e76dc1bff5237bcc2db9c9c217134e8d8eea6ec
company,1629190560,Early notable gainers among liquid option names on August 17th,69697091,,KR,Thefly.com,"Notable gainers among liq... KR, MRNA, REGN, CVS, PFE",https://finnhub.io/api/news?id=1e025993517f6096b40d1cb50566c3d8aba3fee9aa14c4dd4895334fee71c5d1
company,1629180759,"Apple, GM, Kroger, AbbVie, Merck, Bristol Myers Squibb, Biogen — How Warren Buffett's Berkshire Adjusted Its Portfolio In Q2",69694889,https://s.yimg.com/uu/api/res/1.2/g7Dy51aEr0qUJyrqh2Xmog--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/278cb940d05d470e0fa95b7c185db9e8,KR,Yahoo,"Warren Buffett-led Berkshire Hathaway Inc (NYSE: BRK-A) (NYSE: BRK-B) sharply lowered its exposure in General Motors Co (NYSE: GM), Merck & Co Inc (NYSE: MRK), AbbVie Inc (NYSE: ABBV), Bristol-Myers Squibb Co (NYSE: BMY) and added positions in Kroger Inc (NYSE: KR) and Aon Plc (NYSE: AON), in the second quarter, regulatory filings revealed on Monday. What Happened: The Omaha, Nebraska-based conglomerate disclosed it has trimmed its position in the legacy automaker GM by 10.44%, as it shed 60 mil",https://finnhub.io/api/news?id=6b3e04fe31be2d459b8627aafefa7b12137f49a60696f4f80668bc3778132110
company,1629166320,"Apple, GM, Kroger, AbbVie, Merck, Bristol Myers Squibb, Biogen — How Warren Buffett's Berkshire Adjusted Its Portfolio In Q2",69696488,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/6212236504_9ebe2db744_o.jpg,KR,Benzinga,"Warren Buffett-led Berkshire Hathaway Inc (NYSE: BRK-A) (NYSE: BRK-B) sharply lowered its exposure in General Motors Co (NYSE: GM), Merck & Co Inc (NYSE: MRK), AbbVie Inc (...",https://finnhub.io/api/news?id=a40ccc0d4d73dbdc054160bdfe2626af95516c1da55b5a2650f7f1de6a359782
company,1629150609,Kroger (KR) Outpaces Stock Market Gains: What You Should Know,69689369,https://s.yimg.com/uu/api/res/1.2/wbCMwMtKIoXj_iQA0ego4g--~B/aD01MDY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1154d43aaeb65735a640003549116295,KR,Yahoo,"Kroger (KR) closed the most recent trading day at $43.45, moving +1.49% from the previous trading session.",https://finnhub.io/api/news?id=96b0658123d9ef9f6a437440e72ba32ca954e2729d8787cfab522b179dea6f20
company,1629148718,"Berkshire Trims General Motors Bet, Ramps Up Kroger Stake",69686480,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,KR,Yahoo,"(Bloomberg) -- Warren Buffett’s Berkshire Hathaway Inc. trimmed its investment in General Motors Co. for the third quarter in a row and pulled back on its pharmaceutical bets, while boosting a stake in Kroger Co.The conglomerate’s GM investment was valued at $3.55 billion at the end of June, according to a regulatory filing Monday. Berkshire’s Kroger stake was up 21% during the second quarter, while the firm trimmed its bets on pharmaceutical companies including AbbVie Inc. and Bristol-Myers Squ",https://finnhub.io/api/news?id=cca72f3886192512c3100459521a62f977b63d149a2cc96e7592218fc40874b1
company,1629141240,"Warren Buffett’s Berkshire Hathaway buys Kroger, cuts stakes in drug makers",69687853,https://images.mktw.net/im-382169/social,KR,MarketWatch,"Billionaire Warren Buffett's company has again increased the size of its bet on grocery giant Kroger, while scaling back several of its health care industry...",https://finnhub.io/api/news?id=67b26e8f814e0a85993a80780140eff65f6e1254f19fb1fbf2b9f776aedfd099
company,1629138780,Buffett's firm ups Kroger stake while trimming drug holdings,69694224,,KR,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=25ba87269b8cfd62b4d5e2010ed98a82b102fbaa15c91cbe39701368064c81a9
company,1629135643,Oat milk shortage about to end? Oatly CEO weighs in,69682997,https://s.yimg.com/ny/api/res/1.2/Q9UV_Jtr_uadaKp2yp54HQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/os/creatr-uploaded-images/2021-06/9c372290-cd32-11eb-9af7-7fe62bd98c5a,KR,Yahoo,Oatly CEO Toni Petersson chats with Yahoo Finance fresh off second quarter earnings. Is the oat milk shortage ending?,https://finnhub.io/api/news?id=1b73e3fbc412e729a39d059fe1bdfe64bdd60bd75a2dfb55ed841f24cc7a3055
