category,datetime,headline,id,image,related,source,summary,url
company,1629212893,Leidos Holdings: 6% Dividend Bump Shows Stability Of Cash Flows,69704568,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1270630035/medium_image_1270630035.jpg,LDOS,SeekingAlpha,Leidos Holdings had another big drop after Q2-2021 results. We dissect the results and tell you why we are on the lookout for an entry later in the year.,https://finnhub.io/api/news?id=cf0de1881c8598f95d6053977b18885a95a43ede96a111baec3bb0e2450db36b
company,1629121200,Elon Musk’s SpaceX Shoots for the Moon—by 2024 or Sooner,69688727,https://s.yimg.com/uu/api/res/1.2/EGNm9NTSOhmC_zCUnWdZBw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/dd4ed948df98ed1cecfbc6ccde91d458,LDOS,Yahoo,"The founder of SpaceX said in a Saturday Twitter post responding to a question about the timeline that the company's lunar lander would be ready for its moon mission ""probably sooner"" than 2024.",https://finnhub.io/api/news?id=e59791e37e1d660477e54510b70f697bb058019dc4291773b1d4cc9f23598f95
company,1629086460,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell By Investing.com",69694765,https://i-invdn-com.investing.com/news/LYNXNPEB7N0OT_L.jpg,LDOS,Investing.com,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell",https://finnhub.io/api/news?id=26118968885c5f27f32b520b2f2e090a56e1e0c80b0dc87befd10096a695be97
company,1629082620,S&P 500 Cuts Losses to Clinch Record Highs By Investing.com,69694770,https://i-invdn-com.investing.com/news/LYNXNPEC2D15L_L.jpg,LDOS,Investing.com,S&P 500 Cuts Losses to Clinch Record Highs,https://finnhub.io/api/news?id=40ce9a0f216a860b01a00871f1cae3f0f578892d6c07c4c22cae0de6ef8ef582
company,1628874300,"Leidos Holdings Inc. stock falls Friday, underperforms market",69667409,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. sank 0.26% to $95.64 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=561bfcde27cb913594ac3bb781b8e8c3e4273f62cd34da88d7315f7709203574
company,1628787900,"Leidos Holdings Inc. stock falls Thursday, underperforms market",69667410,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. slumped 0.50% to $95.89 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=6bda29fb4acc959cc5c4e73c23a36d0ca10b78508893baef97181ec833412dcf
company,1628755200,Liberty Announces Key Hires to Advance Company Beta Program and Product Development Plans,69633982,,LDOS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=77a5a2d062ef0cbbf1f8be3d1775fafd38e58f81fdb34bb03bffc167669f5a73
company,1628701500,Leidos Holdings Inc. stock outperforms market on strong trading day,69667411,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. rallied 1.90% to $96.37 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=dc0503ef668dafe11944953393646343c2fac8d31a649a7cbea8ddee4ca04976
company,1628615100,Leidos Holdings Inc. stock outperforms market on strong trading day,69622398,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. inched 0.92% higher to $94.57 Tuesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=50518effb6d9c5f294b55965a5380940341b2994458c744238359c3bcacadbb7
company,1628528700,Leidos Holdings Inc. stock underperforms Monday when compared to competitors,69622399,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. dropped 0.71% to $93.71 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7accf26339228b98a4e10a26d383c76a30802d1a841a227ed5c809d6b0f6574e
company,1628525284,"Defense Stock Roundup: LHX, SPR, HII Beat on Q2 Earnings, LDOS Misses",69583407,https://s.yimg.com/uu/api/res/1.2/lTKLXYQM6BSsTIO9RlRToA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/90db0195c8560e6c65ce3eea4abe767e,LDOS,Yahoo,"The S&P 500 Aerospace & Defense (Industry) index and the Dow Jones U.S. Aerospace & Defense index up 1.6% and 1.3%, respectively in the trailing five trading sessions.",https://finnhub.io/api/news?id=8ec26ea26f8103cf893e1dfeffdc9a54b0ef2ea39154e444f26ac45346c07617
company,1628269500,"Leidos Holdings Inc. stock rises Friday, still underperforms market",69554768,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. inched 0.14% higher to $94.38 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=9064106b3ec0286a8997c607aef327ba601bdb5c5378c4ba16c8b6ed6ce23f57
company,1628217540,"Noesis Capital Mangement Corp Buys Sea, Nutrien, Vanguard Growth ETF, Sells Alphabet Inc, Philip Morris International Inc, Altria Group Inc",69561843,,LDOS,GuruFocus,,https://finnhub.io/api/news?id=e04b5fc5e9a9ad1297abc1181febe705fb93b48f55ce9911ddd8a66b3db28d23
company,1628183100,Leidos Holdings Inc. stock underperforms Thursday when compared to competitors,69554769,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. sank 0.24% to $94.25 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=b175d4b07e0b9b2abf369c5fe357809a529e781850e1bddda973ec061092c848
company,1628158253,Leidos Holdings (NYSE:LDOS) Is Increasing Its Dividend To US$0.36,69525820,https://s.yimg.com/uu/api/res/1.2/._HFmWFPcwt6muyT_tZE7g--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/b394072c431426666ba19d9f9857f297,LDOS,Yahoo,"Leidos Holdings, Inc. ( NYSE:LDOS ) has announced that it will be increasing its dividend on the 30th of September to...",https://finnhub.io/api/news?id=f33e8d64cd4460739d500be5cf27efc5a47e37978c72ad621cbce970961947e0
company,1628096700,Leidos Holdings Inc. stock outperforms competitors despite losses on the day,69504136,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. slumped 0.95% to $94.48 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=66489218faa844a487f98a8b611c21abd93c95d03eb0cc9e3e3529d31ef4f11c
company,1628078100,Leidos price target lowered to $110 from $120 at Baird,69515180,,LDOS,Thefly.com,Baird analyst Peter Armen... LDOS,https://finnhub.io/api/news?id=a224fa506f21ca3dca5ad777a504663d6fb4ffbd08f64e2e697babcb1c90eef5
company,1628057100,Leidos price target lowered to $110 from $120 at Baird,69496339,,LDOS,Thefly.com,Baird analyst Peter Armen... LDOS,https://finnhub.io/api/news?id=f035ccd1589aa3fd69379c21a3e513a263cdebc26d7d99c6ea5a410371e0d727
company,1628024449,"Leidos Holdings, inc (LDOS) Q2 2021 Earnings Call Transcript",69479396,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,LDOS,Yahoo,"LDOS earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=693deac11be7a52b1e0f9a8da3b731dffcd5c7a09d9af51286017572b61895ff
company,1628023035,Why Shares of Leidos Holdings Are Tanking Today,69479397,https://s.yimg.com/uu/api/res/1.2/XJkRl4XKK2d2fpe6ep9azQ--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/89445a0ff1121db8f8de9e3486f29f4b,LDOS,Yahoo,"After a disappointing earnings report, investors were dropping the information technology company's shares.",https://finnhub.io/api/news?id=2e06006704a733249771686b57beed9811211a2e87d60677f4924a212835c579
company,1628010300,Leidos Holdings Inc. stock underperforms Tuesday when compared to competitors,69504137,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. took a -11% dive 10.94% to $95.39 Tuesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=ff902e6bdae30fc95ea55a9e4fbc2a3ed401110952a531f0b8a8fa9aa3a5270e
company,1628007664,"Leidos Holdings (LDOS) Q2 Earnings Miss, Revenues Rise Y/Y",69475293,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,LDOS,Yahoo,"Leidos Holdings' (LDOS) second-quarter revenues increase 18.3% year over year, primarily attributable to growth across all its reportable segments.",https://finnhub.io/api/news?id=8d16730c4f0e783af90c3cbf16643d681d8a1ea80fdd7aff807f4ecf178df9f8
company,1627997641,Why This 1 Momentum Stock Could Be a Great Addition to Your Portfolio,69475295,https://s.yimg.com/uu/api/res/1.2/AZffzAwwN27zvAq.cVdXxw--~B/aD01OTE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1e03737e3ed7f2a3b034095a585abecb,LDOS,Yahoo,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",https://finnhub.io/api/news?id=943b1d875fa2165854e1cccdd04ce21a563f2108f68990fc9ba51519c3ea4b04
company,1627994240,"Leidos Holdings, Inc. (LDOS) CEO Roger Krone on Q2 2021 Results - Earnings Call Transcript",69471288,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,LDOS,SeekingAlpha,"Leidos Holdings, Inc. (NYSE:LDOS) Q2 2021 Results Conference Call August 03, 2021 08:00 AM ET Company Participants Stuart Davis - Senior Vice President of Investor Relations Roger Krone -...",https://finnhub.io/api/news?id=17a2ecefce23b926da6c0e8cb14da58b596110001cdb3fa3e35d17bfc07de81f
company,1627989822,"Leidos Stock Falls On Missing Q2 EPS Estimates, Reiterates FY21 Guidance",69475297,https://s.yimg.com/uu/api/res/1.2/g0AVtN_uEiRtzCphu4_f9A--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/156662b0ac683a5ae695a82e6b060032,LDOS,Yahoo,View more earnings on LDOSSee more from BenzingaClick here for options trades from BenzingaAnalysts Raise Price Target On ON Semiconductor Following Q2 Earnings BeatECMOHO Raises M Via Secondary Equity Offering At 32% Discount© 2021 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.,https://finnhub.io/api/news?id=c7bb1e1ea8abd088e1eb7c877040db68ccc6cf1fe904b50c7d8975e8c8ea8554
company,1627989311,Leidos (LDOS) Q2 Earnings Miss Estimates,69465344,https://s.yimg.com/uu/api/res/1.2/6Ex_CnpNXcMseRWMhPXBow--~B/aD01ODg7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3496571a811465d910e99bd171c71a94,LDOS,Yahoo,"Leidos (LDOS) delivered earnings and revenue surprises of -3.18% and 3.28%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=3e02f80fe7adf334689ed03a70d3e0febab73e1766961fc2267f58242ebd3dc2
company,1627986529,"Leidos Holdings, Inc. 2021 Q2 - Results - Earnings Call Presentation",69466188,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,LDOS,SeekingAlpha,"The following slide deck was published by Leidos Holdings, Inc.",https://finnhub.io/api/news?id=ef72622fbb170b4a6cc999d5d35482c617792ae9e085474090aa32a20ddb2906
company,1627986000,Leidos Holdings  Breaks Below 200-Day Moving Average - Notable for LDOS,69496340,,LDOS,Dividend Channel,"dividend channel,LDOS,",https://finnhub.io/api/news?id=7d24fdac85fee530224343fc25081bd567e48f6f5f60c1364afc4cc5eac7beb0
company,1627984800,"Leidos Holdings, Inc. Reports Second Quarter Fiscal Year 2021 Results",69465345,https://s.yimg.com/uu/api/res/1.2/2xlt3W8vGxge.FpNzm.rSw--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/eb0c2b0fd2b9f555e2296b56c77da1c2,LDOS,Yahoo,"Leidos Holdings, Inc. (NYSE: LDOS), a FORTUNE 500® science and technology leader, today reported financial results for the second quarter of fiscal year 2021.",https://finnhub.io/api/news?id=1479208ba88d9b2e107f0999633bc9db0af7366a0b04c454e6ee7775cc7ca408
company,1627975380,"Leidos Stock Falls On Missing Q2 EPS Estimates, Reiterates FY21 Guidance",69478661,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/abtech_1302.png,LDOS,Benzinga,"Leidos Holdings Inc (NYSE: LDOS) reported second-quarter FY21 revenue growth of 18.3% year-on-year to $3.45 billion, beating the analyst consensus of $3.38 billion....",https://finnhub.io/api/news?id=4a8442b91511bceb6f13992f4e29f14562a7e4df5ab11796afc1cfa76726a13e
company,1627975200,Recap: Leidos Holdings Q2 Earnings,69478662,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,LDOS,Benzinga," 
Shares of Leidos Holdings (NYSE:LDOS) were unchanged after the company reported Q2 results.
Quarterly Results
Earnings per share decreased 1.94% year over year to $1.52,...",https://finnhub.io/api/news?id=36d030cd8d79c11a181274e92dfcd9f1eb0b9dbbf6587b8792d87c810f60564a
company,1627971060,Leidos: Q2 Earnings Snapshot,69468731,,LDOS,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=97e60250a56388261ab86d429b1b6f252bf0fe736e6e799b105875640e226fbd
company,1627970400,"Leidos Holdings, Inc. Reports Second Quarter Fiscal Year 2021 Results",69468732,,LDOS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1fa68bbf57070376e38be8b855be80e8c249c9344c01829f3b3045c21e53c48b
company,1627967640,"Leidos back FY21 EPS view $6.35-$6.65, consensus $6.61",69468733,,LDOS,Thefly.com,Backs FY21 revenue view $... LDOS,https://finnhub.io/api/news?id=20b5f2f3552a359a12c81bee492b9e2da5c59d0a179b2793d1edf3db1c46357e
company,1627967520,"Leidos reports Q2 EPS $1.52, consensus $1.58",69468734,,LDOS,Thefly.com,Reports Q2 revenue $3.45B... LDOS,https://finnhub.io/api/news?id=704084e774c0d2acdd646dd21301a64c2873f10f736afd1f674bedca4b891f73
company,1627936200,U.S. Army Awards Leidos $600 Million Contract to Support Army Geospatial Center,69457188,https://s.yimg.com/uu/api/res/1.2/EwGMXuInLm2b0wcBlUYhvQ--~B/aD0xODA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/255773c874b6fe5312cf856ebea65fcf,LDOS,Yahoo,"Leidos (NYSE: LDOS), a FORTUNE® 500 science and technology leader, today announced it has been awarded a prime contract by the U.S. Army to support the Army Geospatial Center's (AGC) High-Resolution Three Dimensional, (HR3D) Geospatial Information Operation and Technology Integration program. This single-award contract has a total estimated value of $600 million if all options are exercised. The period of performance for the contract includes a one-year base as well as three one-year options. Wo",https://finnhub.io/api/news?id=7389a30c77bd93061e115ea27ba9abc2d07e50e6d86c363bd0d9b44a1d74e011
company,1627923900,Leidos Holdings Inc. stock outperforms market on strong trading day,69504138,https://images.mktw.net/im-220105/social,LDOS,MarketWatch,"Shares of Leidos Holdings Inc. inched 0.65% higher to $107.11 Monday, on what proved to be an all-around poor trading session for the stock market, with the...",https://finnhub.io/api/news?id=aa480bc120399707a07d301118341a74e56a4d967f2e073d0d99326afc1da3c3
company,1627921800,U.S. Army Awards Leidos $600 Million Contract to Support Army Geospatial Center,69468735,,LDOS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=270272df41442a13158ca5eb18db9aeb998ba0a585eb5409df59df71d9afcefb
