category,datetime,headline,id,image,related,source,summary,url
company,1629172500,Leggett & Platt management to meet virtually with Piper Sandler,69700955,,LEG,Thefly.com,Virtual Meetings to be he... LEG,https://finnhub.io/api/news?id=24147319393da3e70075d4cf94e29f9487785aa459de860e4c41ab38318b93c0
company,1629102315,"Dividend Increases: August 7-13, 2021",69678586,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1250152599/medium_image_1250152599.jpg,LEG,SeekingAlpha,This article series covers dividend changes every week. A table with relevant data and key statistics of dividend increases is provided.,https://finnhub.io/api/news?id=afb77c7800e7bca9848b4bc40f1e1b920c5615b4383ad174ece806ffcd1fbb45
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,LEG,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
company,1628979420,Dividend Income Summary: Bert's July 2021 Summary,69672703,,LEG,SeekingAlpha,,https://finnhub.io/api/news?id=8edbca8d4e82449616ae5bced5397ff42ed4f86397bf68e44e1f90a70bc37e3e
company,1628874300,Leggett & Platt Inc. stock outperforms market on strong trading day,69664416,https://images.mktw.net/im-220105/social,LEG,MarketWatch,"Shares of Leggett & Platt Inc. inched 0.28% higher to $49.75 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=3328aa48f9f55438f8b9b0ee1e8c966df3b6dff7db77e572dbdda910e9eafc31
company,1628787900,Leggett & Platt Inc. stock outperforms competitors despite losses on the day,69649803,https://images.mktw.net/im-220105/social,LEG,MarketWatch,"Shares of Leggett & Platt Inc. dropped 0.20% to $49.61 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=48e858ae1337ddf22f44868a2b0151be582ad92620c1cdeae1f30dc8907338a5
company,1628775035,Furnishing Stocks Deck Out Gains Amid Home Spending,69634097,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,LEG,Yahoo,Buying interest in home furnishing stocks doesn't look like it will ease anytime soon. Trade two better-known names with these tactical ideas.,https://finnhub.io/api/news?id=6cee6a7b43a54dc7bc4b2bfc4b3d47a19cf703b85896d9ae6a6f188dfc20f55e
company,1628707620,Leggett & Platt Announces Quarterly Dividend of $.42,69626376,https://s.yimg.com/uu/api/res/1.2/c8.nCYpr.9Cr71PEjezBWw--~B/aD0xMDE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/08905fdf249277fb32be6f4e0236bed3,LEG,Yahoo,"Third quarter dividend is $.42 per share, an increase of 5% versus 3Q 2020",https://finnhub.io/api/news?id=3684d9da0ef41c6f4ead94f13ae804296e3f6e6a3207c1fe112774622734e460
company,1628701500,"Leggett & Platt Inc. stock rises Wednesday, outperforms market",69624681,https://images.mktw.net/im-220105/social,LEG,MarketWatch,"Shares of Leggett & Platt Inc. rallied 2.71% to $49.71 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=eb5233dacdb71176117f23084b3a3d7b20badd735e6cdfae8e4659b05f41b770
company,1628693220,Leggett & Platt Announces Quarterly Dividend of $.42,69637536,,LEG,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7db1cfb9d7a9ee9028728470a0fae77c4cf1bf30698d37ad47900068a6930e38
