category,datetime,headline,id,image,related,source,summary,url
company,1629214578,4 Defense Stocks Likely To Move Higher From Here,69705079,,LHX,SeekingAlpha,,https://finnhub.io/api/news?id=8eac92264cad2bc397b60402784764165d6a923b2846aba282f32a719cf9d6eb
company,1629210660,What the Afghanistan Withdrawal Means for Defense Stocks,69696181,,LHX,Yahoo,"Demand for intelligence, surveillance, and reconnaissance missions could increase, writes Truist analyst Michael Ciarmoli.",https://finnhub.io/api/news?id=ac3917aca483f87cd7d6a3ca300a5b66b19307e92c2c8500f1d7a287f0b3a960
company,1629133500,"L3Harris Technologies Inc. stock rises Monday, outperforms market",69693554,https://images.mktw.net/im-220105/social,LHX,MarketWatch,"Shares of L3Harris Technologies Inc. rose 1.88% to $234.15 Monday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=ab082e1e50b02361d07624e352fb812137ff76f59ea5c9f8f9cbfa7515bca0ff
company,1629095940,"TrueNorth, Inc. Buys Invesco BulletShares 2022 High Yield Corporate Bon, Invesco BulletShares 2023 Corporate Bond ETF, Invesco BulletShares 2024 Corporate Bond ETF, Sells General Electric Co, Target Corp, TJX Inc",69694226,,LHX,GuruFocus,,https://finnhub.io/api/news?id=818a543b9d2cbfdad8183d3285f0907fd6f1bbeadf9f090ac11b8caa871808b8
company,1629086460,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell By Investing.com",69694765,https://i-invdn-com.investing.com/news/LYNXNPEB7N0OT_L.jpg,LHX,Investing.com,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell",https://finnhub.io/api/news?id=26118968885c5f27f32b520b2f2e090a56e1e0c80b0dc87befd10096a695be97
company,1629082620,S&P 500 Cuts Losses to Clinch Record Highs By Investing.com,69694770,https://i-invdn-com.investing.com/news/LYNXNPEC2D15L_L.jpg,LHX,Investing.com,S&P 500 Cuts Losses to Clinch Record Highs,https://finnhub.io/api/news?id=40ce9a0f216a860b01a00871f1cae3f0f578892d6c07c4c22cae0de6ef8ef582
company,1629021600,10 Dividend Growth Stocks For August 2021,69675849,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254359872/medium_image_1254359872.jpg,LHX,SeekingAlpha,This monthly series ranks a selection of dividend growth stocks in Dividend Radar and presents the ten top-ranked stocks for consideration. Click to see the list.,https://finnhub.io/api/news?id=97212b49d0dbcfc8ce936703b7951150b7d21b50aca93762f7f25020a70dd5ef
company,1628874300,"L3Harris Technologies Inc. stock falls Friday, underperforms market",69693555,https://images.mktw.net/im-220105/social,LHX,MarketWatch,"Shares of L3Harris Technologies Inc. dropped 0.41% to $229.83 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=4a55226e6a51bff413cf7d3998d1941919d271e45269a8808b4c1d4ea5496fff
company,1628787900,"L3Harris Technologies Inc. stock falls Thursday, underperforms market",69693556,https://images.mktw.net/im-220105/social,LHX,MarketWatch,"Shares of L3Harris Technologies Inc. dropped 0.91% to $230.77 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=83afd3dffe49471146fa5958d366ca28816570a82c540f8e12bd2d5c34683d8d
company,1628755200,Liberty Announces Key Hires to Advance Company Beta Program and Product Development Plans,69633982,,LHX,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=77a5a2d062ef0cbbf1f8be3d1775fafd38e58f81fdb34bb03bffc167669f5a73
company,1628724622,CAE INC (CAE) Q1 2022 Earnings Call Transcript,69625074,,LHX,Yahoo,"On the call with me this afternoon are Marc Parent, CAE's President and Chief Executive Officer; and Sonya Branco, our Chief Financial Officer.  Thank you, Andrew, and good afternoon to everyone joining us on the call.",https://finnhub.io/api/news?id=b4b6dc394e752593db5c6819ffec99092047be3f8248d4d94f1cd91fd0e1bb74
company,1628701500,"L3Harris Technologies Inc. stock rises Wednesday, still underperforms market",69626908,https://images.mktw.net/im-220105/social,LHX,MarketWatch,"Shares of L3Harris Technologies Inc. inched 0.12% higher to $232.89 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=67973e1c8890a09260c6feed0dcc8c99cc1c0efe02d6618387e16d958eba7c90
company,1628672280,Home - The Fly,69616243,,LHX,Thefly.com,The Fly is a leading digital publisher of real-time financial news. The Fly team scours all sources of company news and delivers short-form stories consisting of only market moving content.,https://finnhub.io/api/news?id=9857571f5f922099c3e8741c038abc5fe55676cac67f0b92bc305442fed88b2a
company,1628672280,Fly Intel: Top five analyst downgrades,69616242,,LHX,Thefly.com,"Catch up on today's ... LHX, WW, HYRE, ACI, GO",https://finnhub.io/api/news?id=a42f31a13cb2f15bcf51e0d706851b752acccead9b7bfe09084721f5055aace5
