category,datetime,headline,id,image,related,source,summary,url
company,1629186960,"Tuesday’s Top Analyst Upgrades and Downgrades: Allstate, ADP, Baker Hughes, Hyatt, Lemonade, Robinhood, Suncor Energy and More",69694708,https://247wallst.com/wp-content/uploads/2019/02/imageforentry1-enb.jpg,LNT,247WallSt,"Tuesday's top analyst upgrades and downgrades included Allstate, ADP, Baker Hughes, Coupa Software, Hyatt Hotels, Lemonade, Robinhood Markets and Suncor Energy.",https://finnhub.io/api/news?id=2e31cd6fcd5e339c07e7ac3abd3bdf1130882c79a807600ee7b1489c9823381a
company,1629177480,Alliant Energy downgraded to Equal Weight from Overweight at Wells Fargo,69696722,,LNT,Thefly.com,Wells Fargo analyst Neil ... LNT,https://finnhub.io/api/news?id=53896a160cbf3e46ef696583d0e0a64dd6db02ff5e1c985992cbc6a67a15d662
company,1629133560,Alliant Energy Corp. stock underperforms Monday when compared to competitors despite daily gains,69687848,https://images.mktw.net/im-220105/social,LNT,MarketWatch,"Shares of Alliant Energy Corp. inched 0.93% higher to $61.64 Monday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=509d6a8d8b9d1b38bbb50c34d829101d4a8f2f02ebda6689a86fd48bdf5ed338
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,LNT,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1628888340,Interstate Power and Light Company declares preferred stock dividend,69662302,https://s.yimg.com/uu/api/res/1.2/B9AYb50NSGgCG16K85o5hw--~B/aD0xNzY7dz00ODQ7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/735f2a785c99be2823cc12f5ee7a8814,LNT,Yahoo,"CEDAR RAPIDS, Iowa, Aug. 13, 2021 (GLOBE NEWSWIRE) -- The Board of Directors of Alliant Energy‘s Iowa utility, Interstate Power and Light Company (IPL), has declared dividends for its preferred stock (NASDAQ: IPLDP) shareowners of record on August 31, 2021. The dividends, which are payable on September 15, 2021, are as follows: $0.31875 per share on the 5.1% Series D Cumulative Preferred Stock Alliant Energy Corporation (NASDAQ: LNT) provides regulated energy service to 975,000 electric and 420,",https://finnhub.io/api/news?id=3e76f6e03bb2cfc4f2956eaa6a090a4af610d852df24a68efa8f3a1d52939859
company,1628874360,Alliant Energy Corp. stock outperforms market on strong trading day,69687849,https://images.mktw.net/im-220105/social,LNT,MarketWatch,"Shares of Alliant Energy Corp. inched 0.68% higher to $61.07 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=c0c14ad73d293c145517c6ce2590ec175c3818955e7d31d4436ec41f008346fe
company,1628873940,Interstate Power and Light Company declares preferred stock dividend,69670080,,LNT,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=04a4a2197e1fbfea954c721ba1e7773c13dfda035d1223901a417a617b5bfb96
company,1628787960,"Alliant Energy Corp. stock falls Thursday, underperforms market",69687850,https://images.mktw.net/im-220105/social,LNT,MarketWatch,"Shares of Alliant Energy Corp. shed 0.28% to $60.66 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c5aaf1c1682a56217e4112b7ef54a41f9f1eaa83c63e5e8e180a5fba8d452c90
company,1628701560,Alliant Energy Corp. stock outperforms competitors on strong trading day,69636590,https://images.mktw.net/im-220105/social,LNT,MarketWatch,"Shares of Alliant Energy Corp. inched 0.53% higher to $60.83 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=a125df96316a14f40f0d8fe11d17e10eab3afb2c809c574e3982f26eaf300ac7
company,1628615160,"Alliant Energy Corp. stock falls Tuesday, underperforms market",69608255,https://images.mktw.net/im-220105/social,LNT,MarketWatch,"Shares of Alliant Energy Corp. slipped 0.30% to $60.51 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=7a224ae5c17ced44f63e6a0d94ebec613b1c782a91fcd59d8bebb4d92fd8234b
