category,datetime,headline,id,image,related,source,summary,url
company,1629183360,5 Buy-Rated Red-Hot Tech Stocks With Huge Share Buybacks,69695269,https://247wallst.com/wp-content/uploads/2018/11/imageforentry4107.jpg,LRCX,247WallSt,"These five tech stocks have had an awesome 2021 and look poised to trade much higher. Each has been a big purchaser of its own shares as well, and Goldman Sachs sees more of the same for the rest of this year.",https://finnhub.io/api/news?id=30cc1dbb171b386789c604a43f1681e74bba2e4f7e9596befcd8076156033956
company,1629133560,"Lam Research Corp. stock rises Monday, outperforms market",69693548,https://images.mktw.net/im-220105/social,LRCX,MarketWatch,"Shares of Lam Research Corp. advanced 1.46% to $588.87 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=3d9b43fbc43eed16d05ae159d349244991ce4e85ca8356e78498666f66e69db4
company,1629104100,Early notable gainers among liquid option names on August 16th,69680210,,LRCX,Thefly.com,"Notable gainers among liq... EBAY, STX, LRCX, AMAT, CPB",https://finnhub.io/api/news?id=82b9435729e1b1d4bddab7a9d7441b58792534b575c9bfaa806105ef9814ccaf
company,1628874360,Lam Research Corp. stock underperforms Friday when compared to competitors,69661095,https://images.mktw.net/im-220105/social,LRCX,MarketWatch,"Shares of Lam Research Corp. slumped 0.53% to $580.41 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e666aad05fcbe55a5fd0de176c60ea7153f28ccc7c23724e670ad36d6a427016
company,1628870007,Stocks Continue Ascent Despite Dour Consumer Survey: What Moved Markets This Week,69658941,https://static.seekingalpha.com/uploads/2021/8/13/2021_08_13.jpeg,LRCX,SeekingAlpha,Watch Seeking Alpha editors discuss the week in markets in the roundtable video.,https://finnhub.io/api/news?id=63c57a8bd7ad57625613fad06934657e0980af52c49d6bf1ea83509bcba2fad1
company,1628864603,"We're getting closer to peak and semis are anticipatory, says Bernstein's Rasgon",69661659,https://image.cnbcfm.com/api/v1/image/106926920-16288783981628878395-18030646212-1080pnbcnews.jpg?v=1628878398,LRCX,CNBC,"Stacy Rasgon, Bernstein semiconductor analyst, joins Power Lunch to discuss the struggling semiconductor stocks.",https://finnhub.io/api/news?id=7fb049cbb82bea950c00f058273f63e29357dade151c736a1a1c793cb1a90520
company,1628859000,"Soros Capital buys Amazon, exits Netflix in Q2",69667089,,LRCX,Thefly.com,"George Soros' Soros ... AMZN, MSFT, GOOG, GOOGL, TWTR, GDDY, FCX, MAR, NFLX, HLT, TME, PACK, FISV, SE, AMAT, TGT, MU, TMUS, BKNG, LRCX, FNF",https://finnhub.io/api/news?id=75cb69ae884b22b18a911ddab14b0e33ba1811990b7eca7b4d8d036e54e8a3c1
company,1628856937,How To Buy Stocks: Lam Research's Cup With Handle Launched A 75% Advance,69651831,,LRCX,Yahoo,"Lam Research was one of the top stocks of 2020, having advanced 75% from a proper buy point. And it all started with a cup with handle,",https://finnhub.io/api/news?id=18b85d89a42e53fbe3cdab61a7e096d624a81a58072edf7a60a64b920178342c
company,1628829900,"Notable Friday Option Activity: LRCX, HNST, RGR",69667090,,LRCX,Stock Options Channel,"Staff article entitled Notable Friday Option Activity: LRCX, HNST, RGR, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=0114d79df8309d50c47cdf51c80fb3c5f9e608e18e7fcbd59d2e796a429a4b22
company,1628787960,"Lam Research Corp. stock falls Thursday, underperforms market",69659324,https://images.mktw.net/im-220105/social,LRCX,MarketWatch,"Shares of Lam Research Corp. slid 4.11% to $583.51 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=3e5c7b94d7dd91d002869c5a5b039b79fa982b14711b4dadacc08b4d17efc4aa
company,1628781120,Memory Stocks Fall After Morgan Stanley Warns That ‘Winter Is Coming’,69659325,https://images.barrons.com/im-384488/social,LRCX,MarketWatch,Shares of Micron and Western Digital fell Thursday after the Wall Street bank published a cautious outlook for the memory industry.,https://finnhub.io/api/news?id=e326a86e57ae07f0712f04f4009a9ad83ed8582a5ce9aeeed7445919aa52af49
company,1628770380,Interesting LRCX Put And Call Options For October 1st,69654895,,LRCX,Stock Options Channel,"Staff article entitled Interesting LRCX Put And Call Options For October 1st, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=6bb9aef927acf4ac43120453269128ead8b448e89573b4c1a25096e82ba06d0c
company,1628701560,Lam Research Corp. stock outperforms competitors despite losses on the day,69659326,https://images.mktw.net/im-220105/social,LRCX,MarketWatch,"Shares of Lam Research Corp. slid 1.40% to $608.52 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=6e97f0184eee88cef2e57dd4a67884588dc0bc408d7e0222c42eb4689113cdaa
company,1628615160,Lam Research Corp. stock underperforms Tuesday when compared to competitors,69659327,https://images.mktw.net/im-220105/social,LRCX,MarketWatch,"Shares of Lam Research Corp. slipped 3.64% to $617.17 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=192a4fbd17c3d83d325cb074f711b302ea063c2510dc655b2d0058146cf9f53b
company,1628528760,Lam Research Corp. stock underperforms Monday when compared to competitors,69659328,https://images.mktw.net/im-220105/social,LRCX,MarketWatch,"Shares of Lam Research Corp. slid 1.15% to $640.50 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=6a69c43419922f92dc63bb080f6b70440775b0bd69063932e8fc86192a560700
company,1628522703,Spate of Solid Q2 Earnings Fuel Semiconductor ETFs,69582617,https://s.yimg.com/uu/api/res/1.2/zJj_XlEeJlc8mNWcXMo3jA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/e1b1ba2aabc29bcae321c041d8df54e2,LRCX,Yahoo,Semiconductors have taken a lead in the technology segment lately on solid earnings.,https://finnhub.io/api/news?id=1747f0a1ecb6bb5ea3c80e82a383086c5f4e86c8d9a56fe9460006fa5e8adffe
