category,datetime,headline,id,image,related,source,summary,url
company,1629095940,"Altrinsic Global Advisors Llc Buys Everest Re Group, Tencent Music Entertainment Group, Alibaba Group Holding, Sells Cognizant Technology Solutions Corp, Trip.com Group, Comcast Corp",69697048,,LVS,GuruFocus,,https://finnhub.io/api/news?id=53255592cf6d11e2d0aadd4fbcb3b26ce7661d5c1d8b9c90bfc3f6baa043dc34
company,1629092340,"Bayesian Capital Management, LP Buys General Mills Inc, Alphabet Inc, Amazon.com Inc, Sells Microsoft Corp, Apple Inc, Moderna Inc",69694934,,LVS,GuruFocus,,https://finnhub.io/api/news?id=72d7170f2b8f4d2f4c284960b67afde6b2393db9966042827b71a6654a5e1f2c
company,1628880279,"Two unlucky stocks over the past month could be due for a rebound, traders say",69662953,https://image.cnbcfm.com/api/v1/image/102833619-RTX1K9RQ.jpg?v=1609883960,LVS,CNBC,"It's Friday the 13th, and CNBC's ""Trading Nation"" went looking for some of the unluckiest stocks on Wall Street. But these two could be due for a rebound. ",https://finnhub.io/api/news?id=47fa6e14095eefabce5bfe9d40ad0ae395236d8efe6e3119d77c3c2bd8e67a16
company,1628872020,"Walt Disney, Pilgrim's Pride rise; Best Buy, JPMorgan fall",69668465,,LVS,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3071052a6a5c6faa59affe20ddc0e5e74b789c9db96c60fa8089fe06574d8667
company,1628871667,"Sustainability Commitment a Key Component to Environmental, Social and Governance Report",69656553,,LVS,Yahoo,"The release of the 2020 Environmental, Social and Governance Report (ESG) continues fulfilling our long-standing commitment to being a good corporate citizen, and to transparency and accountability...",https://finnhub.io/api/news?id=a0455015cabcc68a6fe51a7983416411f9b6d32dd0be19908c9cafff0fb76295
company,1628823300,Bet On It: Canada single sports wagering set to begin at end of month,69667301,https://image.thefly.com/catalog/202005/img_819.jpg,LVS,Thefly.com,"More tribe applications than licenses in Arizona, DraftKings acquires Golden Nugget Online and other notable stories in the sports betting and iGaming space. DKNG, GNOG, PENN, MGM, CHDN, WYNN, CZR, RSI, ACEL, BALY, BYD, PDYPY, GAN, GENI, LVS, SGMS, SCR, PBTHF",https://finnhub.io/api/news?id=ac741e64749cbefeaee4906e8a1f8dadb29a73017f78803937f411b67a9d9a41
company,1628772780,"Canadians can bet single-sport wagers starting August 27, Yahoo reports",69652065,,LVS,Thefly.com,"Canadian Justice Minister... BYD, MGM, CZR, CHDN, PENN, WYNN, LVS, GAN, PDYPY, WIMHY, DKNG",https://finnhub.io/api/news?id=b76bd86c1ba9ec30be560565ada957447d56c820eb5a328c8930d5d7c2254a61
company,1628765700,LVS October 1st Options Begin Trading,69654232,,LVS,Stock Options Channel,"Staff article entitled LVS October 1st Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=d637f1a33009d9d28ab367366c4f2bd5fe8ca3a5290e952b9c7bd1a8948585c5
company,1628686933,Nevada Partnership for Homeless Youth Commemorates 20 Years of Impact in Addressing Youth Homelessness,69616295,https://s.yimg.com/uu/api/res/1.2/XjEU.A6xQ3sSXheWq1C8DQ--~B/aD00NDM7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/d85d29dff0f0b493fd830be1e1893558,LVS,Yahoo,Sands’ longtime partner Nevada Partnership for Homeless Youth (NPHY) is commemorating 20 years of working to address and end youth homelessness in Southern Nevada. With a repertoire of services enc...,https://finnhub.io/api/news?id=5619991812b9b64e56f96a08a72cc64231deb1c81b6028fa26c923e31199707a
company,1628590140,March 2023 Options Now Available For Las Vegas Sands (LVS),69599762,,LVS,Stock Options Channel,"Staff article entitled March 2023 Options Now Available For Las Vegas Sands (LVS), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=b5eb26c9e3cf408d1f2acba4cb45b85d346f5091e0e064f9b2ff0b97fd9139ac
