category,datetime,headline,id,image,related,source,summary,url
company,1629133560,"Lamb Weston Holdings Inc. stock falls Monday, underperforms market",69692860,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. sank 0.06% to $66.45 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=44fd6e589790a7fd548025ad33a04f81a01bcfa7db42d8d905936a3da47a26e9
company,1629092340,"Natixis Asset Management Buys Moderna Inc, Jack Henry & Associates Inc, Apple Inc, Sells ON Semiconductor Corp, Cummins Inc, Morgan Stanley",69695259,,LW,GuruFocus,,https://finnhub.io/api/news?id=ce7277da80ba195e17c99affb325a96359e3d2ad2c80087399226c74b672e46e
company,1629081540,"Amtrust Financial Services, Inc. Buys PayPal Holdings Inc, 890 5th Avenue Partners Inc, Five Below Inc, Sells Lowe's Inc, SPDR Portfolio Aggregate Bond ETF, New York Times Co",69697756,,LW,GuruFocus,,https://finnhub.io/api/news?id=22038d6a31839c895e5b2b4a29936cfe8f3ee889a9459c48e8f36129236b0619
company,1628874360,Lamb Weston Holdings Inc. stock underperforms Friday when compared to competitors despite daily gains,69667380,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. rose 1.34% to $66.49 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=e423bd135eadd4670d47083a9002de29fe3685c52d1e79881831e38351bf77af
company,1628787960,"Lamb Weston Holdings Inc. stock falls Thursday, underperforms market",69667381,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. dropped 0.74% to $65.61 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=1ad2009dac1016071bbe37bb7935b5da7d7cbd3e86c95941224eddddc27a8297
company,1628701560,Lamb Weston Holdings Inc. stock outperforms market on strong trading day,69667383,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. inched 0.92% higher to $66.10 Wednesday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=b3fcaea504684d730efbd8dfc026e7ae78968cc401718b1ef12eea933cbb9dcb
company,1628615160,Lamb Weston Holdings Inc. stock outperforms competitors on strong trading day,69667385,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. rallied 1.71% to $65.50 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=b694edef2d1dee50977774b7aca3e6cd29943e9878436e72dbeedc8ae5ee461a
company,1628528760,Lamb Weston Holdings Inc. stock underperforms Monday when compared to competitors,69667386,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. slid 1.04% to $64.40 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c1b2395f08d9c403b901582910edf03d6bdd34cb8b0d27ae4e607fa0f61fc8bf
company,1628269560,"Lamb Weston Holdings Inc. stock rises Friday, outperforms market",69572674,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. rose 1.40% to $65.08 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=22c52e715aa6968f4ad2bcc1b0dd6d0d4a8f0a13036264e625d231b55928933b
company,1628183160,Lamb Weston Holdings Inc. stock underperforms Thursday when compared to competitors,69572675,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. shed 1.50% to $64.18 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=3d5106ae5973b6d4e618ca2fe31800f03d6344f30b851b4769cbc9855dcb4020
company,1628096760,Lamb Weston Holdings Inc. stock outperforms competitors despite losses on the day,69572677,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. shed 1.91% to $65.39 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the...",https://finnhub.io/api/news?id=2ad6bc0a830b62149606b8a9e0ac3bcecffc39138adde9c019e9d72bc49677df
company,1628039760,Lamb Weston Holdings Inc (LW) President and CEO Thomas P. Werner Sold $4.7 million of Shares,69517257,,LW,GuruFocus,,https://finnhub.io/api/news?id=0284e4e5e82ec6e39e4e4c55cf8836eaf697089bf698e4b399743e5d25adf3aa
company,1628010360,"Lamb Weston Holdings Inc. stock falls Tuesday, underperforms market",69477739,https://images.mktw.net/im-220105/social,LW,MarketWatch,"Shares of Lamb Weston Holdings Inc. slid 1.02% to $66.66 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=18c3690c31299d15ec1920c4eb3adb2e459e666da2b85bb5c36b624a10e1d923
company,1627993229,"Independent Non-Executive Chairman William Jurgensen Just Bought 1.4% More Shares In Lamb Weston Holdings, Inc. (NYSE:LW)",69477736,https://s.yimg.com/uu/api/res/1.2/PfwIuCLz.FyUs9V2w7J.FQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/e15b0d88b0885067ee46b65c5e0ec0bd,LW,Yahoo,"Potential Lamb Weston Holdings, Inc. ( NYSE:LW ) shareholders may wish to note that the Independent Non-Executive...",https://finnhub.io/api/news?id=0732127326678a2e6f0e36e6879b747c1e419ab6299d4fc999f11ead3e600578
company,1627981080,"Ex-Dividend Reminder: Lamb Weston Holdings, Unilever and CMS Energy",69466344,,LW,Dividend Channel,"dividend channel,LW,UL,CMS,",https://finnhub.io/api/news?id=508fbda93ec50c78a0e75185ac2eb34558838ccde823406c98a98ebad15dd041
