category,datetime,headline,id,image,related,source,summary,url
company,1629180900,3 Undervalued Dividend Stocks to Buy For High Total Returns,69695923,https://investorplace.com/wp-content/uploads/2019/07/dividends-tech.jpg,LYB,InvestorPlace,"Deep value dividend stocks aren't just cheap; they have high yields and higher growth potential, a potent mix for any investor's portfolio.",https://finnhub.io/api/news?id=771e6077f2497c0b8be30f23e20253dbf24b1b68daa7ca1838debe809aaf06b4
company,1629144082,10 Russell 2000 Basic Materials Dividend Stocks to Buy,69684616,https://s.yimg.com/uu/api/res/1.2/zPLf0NWMISttFfhs5IO9Og--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/7bcf25b1d8b2e9395cd9c6067f61e66d,LYB,Yahoo,"In this article, we will be looking at 10 Russell 2000 basic materials dividend stocks to buy. To skip our detailed analysis of the basic materials sector, you can go directly to see the 5 Russell 2000 Basic Materials Dividend Stocks to Buy. The basic materials sector is one that is typically considered to be […]",https://finnhub.io/api/news?id=0ca4aa0214ed181cc5e08e8178d6f6538948e40267c737135e520bae31dcb6af
company,1629116112,PPG Industries (PPG) Starts Sealants Production in Morocco,69688270,https://s.yimg.com/uu/api/res/1.2/FpqILaIXrd6wb.ZsH0zqxQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3f10397eae45c0ca8ef001ba41f76c6a,LYB,Yahoo,PPG Industries (PPG) begins automotive OEM sealant production in Morocco and aims to boost local supply and regional expansion.,https://finnhub.io/api/news?id=63a2b510b6a8ec4533f55d15165e746a9715244989801bb543919a3a464b3b30
company,1629095940,"TrueNorth, Inc. Buys Invesco BulletShares 2022 High Yield Corporate Bon, Invesco BulletShares 2023 Corporate Bond ETF, Invesco BulletShares 2024 Corporate Bond ETF, Sells General Electric Co, Target Corp, TJX Inc",69694226,,LYB,GuruFocus,,https://finnhub.io/api/news?id=818a543b9d2cbfdad8183d3285f0907fd6f1bbeadf9f090ac11b8caa871808b8
company,1628859601,The Zacks Rank Explained: How to Find Strong Buy Basic Materials Stocks,69658783,,LYB,Yahoo,The Zacks Rank offers investors a way to easily find top-rated stocks and build a winning investment portfolio. Here's why you should take advantage.,https://finnhub.io/api/news?id=20d02d7ec7c086596c44b1ff5ccc81e31c180f2740b472530be7331f67033fcd
company,1628857872,PPG Industries (PPG) Introduces Powder Coatings Product,69654256,https://s.yimg.com/uu/api/res/1.2/FpqILaIXrd6wb.ZsH0zqxQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3f10397eae45c0ca8ef001ba41f76c6a,LYB,Yahoo,"PPG Industries (PPG) brings a new powder coatings, Envirocron PCS P4, to the architectural market, to offer premium coatings aligned with latest design trends.",https://finnhub.io/api/news?id=746e3be7f1bd9d28fc3d32d4a57849cfb67ae8ebe3daa1c97bfc8f269ba349e7
company,1628853971,American Vanguard (AVD) Q2 Earnings and Sales Surpass Estimates,69651805,https://s.yimg.com/uu/api/res/1.2/7Ss_ahxI1JL8QmgBDBvOrg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b722e658bf812e4a58e158c041871ac6,LYB,Yahoo,American Vanguard (AVD) sees higher sales across its domestic and international businesses in the second quarter.,https://finnhub.io/api/news?id=5a525ae812f7200148dde8ce351ca3e7757fecd9b845debfaf9c65c6988cf2c2
company,1628845200,Flight To Quality Options Among Preferreds,69651544,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/814447584/medium_image_814447584.jpg,LYB,SeekingAlpha,The decline in rates has made investment grade preferreds and baby bonds more attractive. Recent issuances provide a benchmark for identifying relative value among preferreds.,https://finnhub.io/api/news?id=335f7d715f42bcfc623ea723dbf0fe0fb9598247fa9a258ef1883a4b1f1bac81
company,1628776959,Chemtrade: The Risk Of A Distribution Cut Went Up By A Lot,69639578,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1196314337/medium_image_1196314337.jpg,LYB,SeekingAlpha,Chemtrade reported a rather weak Q2-2021 and adjusted EBITDA guidance for 2021 came in below our estimates. The risk of a distribution cut is rising to alarming levels. Read more.,https://finnhub.io/api/news?id=650e25ca468d90645a8630712a3bc694d80bdb506d73ec2a1c9d07bca9d36d7c
company,1628771052,CF Industries (CF) & Mitsui Partner for Blue Ammonia Exploration,69634496,https://s.yimg.com/uu/api/res/1.2/Tw_MxVTNvuP2TPSKYgIvDA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/539d33719e8b2b5c7fa17d6af2b8cbdf,LYB,Yahoo,CF Industries (CF) and Mitsui will jointly explore blue ammonia capacity in the Unites States as a source of clean energy.,https://finnhub.io/api/news?id=7e9fd067d1002c6e97c7956b89d42151ed043c1da9fc13e7b307cd93cae8d32a
company,1628769672,Koppers' (KOP) Stock Rises 4% Since Earnings Beat in Q2,69639908,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,LYB,Yahoo,Koppers (KOP) sees record sales in its Performance Chemicals unit on strong demand in international markets in Q2.,https://finnhub.io/api/news?id=e65b5b91fb76c47e122d10a8a59d4c219b14cbc518d666c22b2a811e20f01537
company,1628761704,The 59% return delivered to LyondellBasell Industries' (NYSE:LYB) shareholders actually lagged YoY earnings growth,69639909,https://s.yimg.com/uu/api/res/1.2/ybIN6UADg6lzqX3PqNw.KQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/b6651b02293f0a57ba2ad962c63e215d,LYB,Yahoo,Passive investing in index funds can generate returns that roughly match the overall market. But investors can boost...,https://finnhub.io/api/news?id=41451d54b330d0118178681b0925144a71f2761f5126e50087be905d3f77975b
company,1628730900,7 High-Yield Dividend Stocks to Get You Through Market Volatility,69652323,https://investorplace.com/wp-content/uploads/2019/07/dividends-jar.jpg,LYB,InvestorPlace,"With the pandemic causing much uncertainty in the economy, these high-yielding dividend stocks to buy could offer some reassurances.",https://finnhub.io/api/news?id=bbbbda216b6ad0e110cebd25b76fb85925189a2bb61178d2eef06bab3329ffde
company,1628688841,"Stock Market News for Aug 11, 2021",69618069,https://s.yimg.com/uu/api/res/1.2/rj9rvD0uUgpZgYYbvMEcMw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/dfbf477ce67e2ca9b1c9e4b00f36cf66,LYB,Yahoo,U.S. stock markets closed mostly higher on Tuesday as economically sensitive stocks moved higher after the U.S. Senate passed the $1 trillion bipartisan infrastructure bill.,https://finnhub.io/api/news?id=205258a31516224674941fc860521aa6cf99d230f82abe73b818ebf4f963851c
company,1628684532,Eastman (EMN) Inks Deal to Boost P&G's Plastic Packaging,69614545,https://s.yimg.com/uu/api/res/1.2/rkRlfJUbFheDXif9qCKV2A--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/236d157ebb08cbf8ff3dbacf7ce7623b,LYB,Yahoo,Eastman (EMN) forms partnership with P&G to enhance the latter's plastic packaging and jointly contribute to a circular economy.,https://finnhub.io/api/news?id=f65ee8de31f0e5e48c174cdf12a57b0ff6f21a76f5386612f8a3887bf35f2bb6
company,1628684232,Air Products' (APD) LNG Process to be Used for Nigeria Project,69618318,https://s.yimg.com/uu/api/res/1.2/rkRlfJUbFheDXif9qCKV2A--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/236d157ebb08cbf8ff3dbacf7ce7623b,LYB,Yahoo,Air Products (APD) inks agreement with SCD JV for providing its LNG technology to the Nigeria LNG Train 7 project.,https://finnhub.io/api/news?id=567bfe28790d9e19691a454c1493ddbf405f993c6fb288ac4ced3e2dac06d440
company,1628681471,TimkenSteel (TMST) Earnings and Sales Surpass Estimates in Q2,69613529,https://s.yimg.com/uu/api/res/1.2/7Ss_ahxI1JL8QmgBDBvOrg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b722e658bf812e4a58e158c041871ac6,LYB,Yahoo,TimkenSteel (TMST) benefits from improved industrial and automotive demand in the second quarter.,https://finnhub.io/api/news?id=788a87d6e114585a5fbe3df2e9c185fcf8bc2e89ca0400d99df31908e7c0474a
company,1628680631,Nutrien's (NTR) Earnings and Sales Miss Estimates in Q2,69613837,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,LYB,Yahoo,Nutrien (NTR) benefits from higher net realized selling prices and higher potash sales volumes in Q2.,https://finnhub.io/api/news?id=6be7f3fcccbb01641a2542970f3c77dd4d3f6b1c2338d55e510827f39e321063
company,1628599212,Cabot (CBT) Earnings and Revenues Surpass Estimates in Q3,69595958,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,LYB,Yahoo,Cabot (CBT) reports impressive fiscal third-quarter results led by robust demand and volume strength across segments and favorable impacts of pricing.,https://finnhub.io/api/news?id=54ece68f0963b0f61354e63d811f0bcd16e713ce23b85f112d3ae5930d818ea9
company,1628515860,I Want to See a Bit More Bottoming Price Action on LyondellBasell,69583505,,LYB,Yahoo,"During Thursday's ""Lightning Round"" segment of Mad Money, one caller asked Jim Cramer about LyondellBasell : ""It trades for just five times earnings, yet yields 4.7%,"" and Cramer called that stock ""an incredible bargain.",https://finnhub.io/api/news?id=2025db483c64afc1f2f9e8941983f1345eba7889a3134af31796d5bfd447e52c
company,1628515621,"Westlake (WLK) to Acquire Dimex, Aims for More Circularity",69580094,,LYB,Yahoo,Westlake (WLK) announces plans of buyout of Dimex by its subsidiary. The acquisition is in sync with its dedicated efforts toward sustainability and circularity.,https://finnhub.io/api/news?id=951e25f03e50506e6eef4f13d9d43ae1468127d35861307c0872a19c3a107ec6
