category,datetime,headline,id,image,related,source,summary,url
company,1629133560,"Live Nation Entertainment Inc. stock falls Monday, underperforms market",69687824,https://images.mktw.net/im-220105/social,LYV,MarketWatch,"Shares of Live Nation Entertainment Inc. sank 0.54% to $81.14 Monday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=8afc430a34cd15c76c66d3dc585c962c1b24081e36cb96812591f484b8f60da9
company,1629126000,KISS Announces 'Final Residency' For New Year's Eve Weekend In Las Vegas,69696472,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/kiss_1.jpg,LYV,Benzinga,The sounds of “Detroit Rock City” will be wafting across the Planet Hollywood Resort & Casino in Las Vegas as the rock legends KISS ring out the old year and ring...,https://finnhub.io/api/news?id=0f660575064025fdbf3c6366da9ba6e2755e4c519120cb9585a06063aa20f604
company,1629118800,"Rock & Roll Hall of Fame Band KISS Announces Exclusive Las Vegas Engagement at Zappos Theater at Planet Hollywood Resort & Casino Beginning Wednesday, December 29, 2021",69678877,https://s.yimg.com/uu/api/res/1.2/f2NjxMuouMwRHwP.dGXaNw--~B/aD00MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/985010b3d5ba808150015b3a5331ad83,LYV,Yahoo,"One of rock's most influential bands, KISS, announces their exclusive Las Vegas engagement at Zappos Theater at Planet Hollywood Resort & Casino, kicking off New Year's Eve week with performances Wednesday, Dec. 29, Friday, Dec. 31 and Saturday, Jan. 1. Additional shows are scheduled for January 19 – February 5, 2022.",https://finnhub.io/api/news?id=506535c7c0ac97e2875fca5d5c51ca5ff2a57ec0e1ef99ba0b8486fd253e9ff3
company,1629105900,Live Nation participates in a conference call with Jefferies,69700430,,LYV,Thefly.com,Conference call with Pres... LYV,https://finnhub.io/api/news?id=e788e58a698271023270d267b79977ef3f59d43c1361679a4b1b53cb00fd55ee
company,1629104400,"Rock & Roll Hall of Fame Band KISS Announces Exclusive Las Vegas Engagement at Zappos Theater at Planet Hollywood Resort & Casino Beginning Wednesday, December 29, 2021",69679615,,LYV,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1c42cb46adcf6639af2841d444a3cedb458d76c019e5697cc6d70ba84201bf01
company,1629086100,Live Nation participates in a conference call with Jefferies,69679616,,LYV,Thefly.com,Conference call with Pres... LYV,https://finnhub.io/api/news?id=37ff5b574767eaa033ea2e42f9dd51757d1d15de7169203eb7fd77e10392bed1
company,1628874420,Live Nation Entertainment Inc. stock underperforms Friday when compared to competitors,69663662,https://images.mktw.net/im-220105/social,LYV,MarketWatch,"Shares of Live Nation Entertainment Inc. slid 2.90% to $81.58 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=bd6d49a47ab68e9ad682e99b4318194eef076923554637e29385d239998c70c1
company,1628826900,Cowen to hold a virtual bus tour,69652500,,LYV,Thefly.com,"9th Annual Internet &... ATVI, CRSR, EA, IAC, LYV, MMYT, TBLA, TWTR, UBER, ZNGA",https://finnhub.io/api/news?id=07407132ef71b3f6c7ac11d4a123a5734e1a9b404722b557f157d58380feba7a
company,1628788020,Live Nation Entertainment Inc. stock underperforms Thursday when compared to competitors despite daily gains,69646008,https://images.mktw.net/im-220105/social,LYV,MarketWatch,"Shares of Live Nation Entertainment Inc. inched 0.30% higher to $84.02 Thursday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=e3c894a9d378683fe94a8232badda9e6bc3d2357868c076fb19b08f6ce0eaff9
company,1628742660,Live Nation participates in a conference call with Jefferies,69656426,,LYV,Thefly.com,Conference call with Pres... LYV,https://finnhub.io/api/news?id=5c572f43d6b91f1986ecfef047240fb01f45a710226d30bbcbd3d886eadd92c3
company,1628740500,Cowen to hold a virtual bus tour,69634530,,LYV,Thefly.com,"9th Annual Internet &... ATVI, CRSR, EA, IAC, LYV, MMYT, TBLA, TWTR, UBER, ZNGA",https://finnhub.io/api/news?id=3b7ace893a61fe7eadfd56d2e99fb8978615e6151fbefb2e6fda12cd7c9a081c
company,1628701560,"Live Nation Entertainment Inc. stock rises Wednesday, still underperforms market",69625550,https://images.mktw.net/im-220105/social,LYV,MarketWatch,"Shares of Live Nation Entertainment Inc. inched 0.02% higher to $83.77 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=578d8bec4b9b19974d0e2c489d076025fdfb59a544796498af1d78a01ec156df
company,1628654100,Cowen to hold a virtual bus tour,69614144,,LYV,Thefly.com,"9th Annual Internet &... ATVI, CRSR, EA, IAC, LYV, MMYT, TBLA, TWTR, UBER, ZNGA",https://finnhub.io/api/news?id=5a1ce7f0a8d06fcb06c54a92343037332a31fb724827209fbb713386a5d4ef2b
