category,datetime,headline,id,image,related,source,summary,url
company,1629110871,Hyatt's Deal For Apple Leisure Should Unlock Value,69680095,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171316850/medium_image_171316850.jpg,MAR,SeekingAlpha,Hyatt's purchase of Apple Leisure and planned sale of assets should lead to a higher valuation. Family control of Hyatt means shares will trade at a discount.,https://finnhub.io/api/news?id=3dc91f30fe1ffa370284f7390957449f47cda9a20cda17ec7c64a95ac08d22c3
company,1628874420,"Marriott International Inc. stock falls Friday, underperforms market",69661117,https://images.mktw.net/im-220105/social,MAR,MarketWatch,"Shares of Marriott International Inc. slid 0.29% to $134.38 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=0ac680b13527945ff20c6dbc713cb577893a49bf7e765b9943f6f918aa3aa720
company,1628859000,"Soros Capital buys Amazon, exits Netflix in Q2",69667089,,MAR,Thefly.com,"George Soros' Soros ... AMZN, MSFT, GOOG, GOOGL, TWTR, GDDY, FCX, MAR, NFLX, HLT, TME, PACK, FISV, SE, AMAT, TGT, MU, TMUS, BKNG, LRCX, FNF",https://finnhub.io/api/news?id=75cb69ae884b22b18a911ddab14b0e33ba1811990b7eca7b4d8d036e54e8a3c1
company,1628788020,"Marriott International Inc. stock falls Thursday, underperforms market",69661119,https://images.mktw.net/im-220105/social,MAR,MarketWatch,"Shares of Marriott International Inc. slipped 2.43% to $134.77 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=d1abba51805e7b595e9865189c681f245604d255ba2ba60af5f9940f4409bde3
company,1628764860,MAR Crosses Below Key Moving Average Level,69655201,,MAR,Market News Video,"In trading on Thursday, shares of Marriott International, Inc - (MAR) crossed below their 200 day moving average of $135.63, changing hands as low as $134.72 per share. - MAR.",https://finnhub.io/api/news?id=0bfa4b715f2a1020e413254e7c209c7fc7ea6aa2683d92daa7583ce58614c7a4
company,1628764080,Delta Is Hitting These Travel Stocks More Than Others,69636510,https://images.barrons.com/im-384439/social,MAR,MarketWatch,"Cruise line stocks are up this month, but hotel stocks are falling. What investors need to know.",https://finnhub.io/api/news?id=0dac6490cc20187f8565337b5454dc35272226ce1cff76ffa5ee9e1aa6179e7c
company,1628704500,Gaucho Holdings Invests in Provincial Luxury Experiences in Bid to Lead Argentina's Post-COVID Tourism Boom,69638553,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/gaucho_hotel.png,MAR,Benzinga,"Image Provided by Algodon Hotels
As Argentina loosened travel restrictions this July, the top tourist destination in South America is preparing for an influx of pandemic-weary...",https://finnhub.io/api/news?id=282e388da5f8688dd6cfdfc2d1d7ae1f76205d4988438e1e60bf5b7dd3cb0c1f
company,1628701620,"Marriott International Inc. stock rises Wednesday, still underperforms market",69623862,https://images.mktw.net/im-220105/social,MAR,MarketWatch,"Shares of Marriott International Inc. inched 0.09% higher to $138.12 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=3ec1f34d925a7797cf054bfc031fbca9c1dd8b51d823ae84f57dca18f5c9b3cb
company,1628672400,An Overnight Success! MCR Wins Marriott’s Top Honor,69614005,,MAR,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e6f1d6cc84c2f223f5297dbc402a9311f35df07682823f967e5de1c670da090e
company,1628665620,Easterly Government Properties names Allison Marino chief accounting officer,69614006,,MAR,Thefly.com,"Easterly Government Prope... DEA, MAR",https://finnhub.io/api/news?id=51761fb2c0a89c04c95325a3496ebe2e4fdb3b90106b42082283ac28ee583d34
company,1628615220,Marriott International Inc. stock underperforms Tuesday when compared to competitors despite daily gains,69614314,https://images.mktw.net/im-220105/social,MAR,MarketWatch,"Shares of Marriott International Inc. inched 0.64% higher to $137.99 Tuesday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=31fb1e12f6958cf55601c21f418a2d9b68da97a06855cacb37145fde3bb1010a
company,1628615176,Is Marriott International (MAR) A Great Investment Choice?,69600750,https://s.yimg.com/uu/api/res/1.2/QrXa7TQJYhoyZMjJFubgHw--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/4a32525e78e0e353b135faab03e79e75,MAR,Yahoo,"LRT Capital Management, an investment management firm, published its second-quarter 2021 investor letter – a copy of which can be downloaded here. A return of +29.68% was recorded by the LRT Economic Moat strategy for the Q2 of 2021, extending its 12-month returns to +42.18%. You can take a look at the fund’s top 5 holdings […]",https://finnhub.io/api/news?id=ba75d5541ed85f2182abec7b53cd85c02ffe6ef584412298f616208a558f5f50
company,1628599200,"Notable Tuesday Option Activity: MAR, AIG, MOS",69614007,,MAR,Stock Options Channel,"Staff article entitled Notable Tuesday Option Activity: MAR, AIG, MOS, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=fe08255502a2d2a9d2a031bbe6775bdf0cdfc40c2f818516d6c4532197438279
company,1628586349,"How Marriott became the biggest hotel in the world, and what's next for the hotel giant",69644558,https://image.cnbcfm.com/api/v1/image/106920681-GettyImages-801081276-jpg?v=1627932818,MAR,CNBC,"Marriott International has been a stalwart in the hotel industry for decades. However, the hotel giant — along with its competitors — was hit hard by the Covid-19 pandemic in 2020. Last year was the worst on record for U.S. hotels, and Marriott was particularly hard hit. The company posted in 2020 its first full-year loss in more than a decade. Despite those challenges, the rollout of vaccines and signs of pent-up travel demand has led to a renewed sense of optimism for the hotel operator.",https://finnhub.io/api/news?id=9631805a0a1df9793d2a54fab4ab4b8b67931dd5476977110d1e1c1c14fc3bd2
company,1628584202,The rise of Marriott and what's next for the hotel giant post-pandemic,69677488,https://image.cnbcfm.com/api/v1/image/105602997-1543611673812gettyimages-1066848494.jpeg?v=1603916327,MAR,CNBC,The rollout of Covid-19 vaccines and signs of pent-up travel demand among consumers has given Marriott International a renewed sense of optimism.  ,https://finnhub.io/api/news?id=682b42b17dd7ece4e38b6b0d6904da05e86cd401865e8107b306891ab4baca12
company,1628582400,"Luxury Hotel-Branded Condos Entice Buyers, Even With No Hotel",69599271,https://images.wsj.net/im-380924/social,MAR,DowJones,"Developers are selling luxury hotel-branded residence units at above-market rates, even if there’s no accompanying hotel.",https://finnhub.io/api/news?id=5b99d2d35ae2d4283a7a54fd8f946c3bf4297b0213e25acf090bed2ff11fedce
