category,datetime,headline,id,image,related,source,summary,url
company,1628701620,Masco Corp. stock outperforms market on strong trading day,69626915,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. rallied 3.27% to $61.95 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=eeb1757135ff31907db26b280e59ba99f040813201bf16930b69848e2bebb1cd
company,1628615220,Masco Corp. stock outperforms market on strong trading day,69606618,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. advanced 1.37% to $59.99 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=1f73da188d747df9cdb9a3bc16509cc766c4600e449dafa1efe96b2171145310
company,1628528820,"Masco Corp. stock falls Monday, underperforms market",69587638,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. slipped 2.07% to $59.18 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c1c9231d90f367f13ccf863a4b16851a925a7cff1c55e5b67f6ef6a6dbc0268f
company,1628388557,Dividend Challenger Highlights: Week Of August 8,69568614,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,MAS,SeekingAlpha,A weekly summary of dividend activity for Dividend Challengers. Companies which changed their dividends. Companies with upcoming ex-dividend dates. Companies with upcoming pay dates.,https://finnhub.io/api/news?id=18297d579af3d5a64139148a54074a79b419a4d2ee3372272b0b90f1c58d4c91
company,1628322544,"Masco Corporation (NYSE:MAS) Looks Interesting, And It's About To Pay A Dividend",69564098,https://s.yimg.com/uu/api/res/1.2/8EbW.sYPESR2DPafdsss2w--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/51f3305c1122cc0aece72cb5d1045e9b,MAS,Yahoo,"Masco Corporation ( NYSE:MAS ) stock is about to trade ex-dividend in four days. Typically, the ex-dividend date is one...",https://finnhub.io/api/news?id=37ba3a3c3e831946f7040ef826dd0ccf3ad2e9aeeb12b587c464bb3622896fa5
company,1628269620,"Masco Corp. stock falls Friday, underperforms market",69566357,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. slipped 0.10% to $60.43 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=3fd10fd936eabe2cb477807deb637ecef3e1e6477bcfecfc91724db3e70eeec8
company,1628183220,Masco Corp. stock outperforms market on strong trading day,69530925,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. inched 0.90% higher to $60.49 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=f2f04747f53135a9bbde6b07826c7bcdb06215bcb52ceed0f1f95b9ccb09123e
company,1628096820,"Masco Corp. stock falls Wednesday, underperforms market",69530928,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. slid 0.63% to $59.95 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d2577c0d3375081952d4a03f6bd08499d791609b9832596e5e910c67396e7b3e
company,1628086764,11 Best Housing Stocks of 2021,69490462,https://s.yimg.com/uu/api/res/1.2/eIUnts1BNE8Jly8eUgggvA--~B/aD01NDY7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/2d8b81764bee04c2d7735f11a042acf4,MAS,Yahoo,"In this article, we discuss the 11 best housing stocks of 2021. If you want to skip our detailed analysis of the housing industry, go directly to the 5 Best Housing Stocks of 2021. The housing market is on fire. This statement seems ubiquitous nowadays. Indeed, on July 27, S&P CoreLogic reported a 16.6% increase […]",https://finnhub.io/api/news?id=94bff8c9ec21827d51246ac46ea6f89f1c7205855e977627c9c6fe7488158027
company,1628010420,Masco Corp. stock underperforms Tuesday when compared to competitors despite daily gains,69477646,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. advanced 1.67% to $60.33 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=ccbf0240ba6007545656a2bc8b515719895ee2e7f668fe78ca7aaa38869a6905
company,1627994324,The Retiree's Dividend Portfolio - John's June Update: EPR Resumes The Dividend,69471226,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/519910139/medium_image_519910139.jpg,MAS,SeekingAlpha,"John's retirement accounts generated a total of $2,007.31 of dividend income for June 2021 vs. $2,020.63 of dividend income for June 2020.",https://finnhub.io/api/news?id=770e5528f30b22684114a3e06e9abd1d5c7fe751b8180ce27421b69f9706b53e
company,1627987500,June 2022 Options Now Available For Masco,69469624,,MAS,Stock Options Channel,"Staff article entitled June 2022 Options Now Available For Masco , about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=64c8d743353e4ce883685f51b51d01f8ca4d961474cb93708b1478d67c5b9ded
company,1627924020,"Masco Corp. stock falls Monday, underperforms market",69477649,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. sank 0.62% to $59.34 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c157b67063c34a7d0d5e4c1b4f47694ea4a8d3583ce32c1b2aaca3cd455c8961
company,1627914600,BEHR Paint X Zillow Release Color Palette That May Help Homeowners See More Dollar Signs,69450299,https://s.yimg.com/uu/api/res/1.2/yhJwyaLBErMhV4kp.vhJhw--~B/aD0zMDE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/5f8badb03d32a960b988e0a4015c3ae0,MAS,Yahoo,Painting is a cost-effective way to increase the market value of your home and the color you choose could play a significant role. BEHR® Paint and Zillow have partnered to curate a palette of inviting interior paint colors that enhance a buyer's first impression and could ultimately increase the return on investment (ROI) of the home.,https://finnhub.io/api/news?id=316b420c281235ff82ab959dbdeb07336001120204a2c511b863202ef3969891
company,1627900200,BEHR Paint X Zillow Release Color Palette That May Help Homeowners See More Dollar Signs,69448740,,MAS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5dadd514301adc796645dc7ec37c97c404b591203b73813d9eccc1135eb05113
company,1627664820,"Masco Corp. stock rises Friday, outperforms market",69430419,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. rose 1.79% to $59.71 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d5a1fa09e735241ba1ed088f9e87ec67e49f92369a509c812c00abbb18d3ee28
company,1627627140,"DUPONT CAPITAL MANAGEMENT Corp Buys IAC/InterActiveCorp, NextEra Energy Inc, Danaher Corp, Sells SPDR Portfolio S&P 500 Value ETF, iShares MSCI EAFE ETF, iShares MSCI Emerging Markets ETF",69404702,,MAS,GuruFocus,,https://finnhub.io/api/news?id=84b0876056312bdc045d772a4b99481473dc249e2ed5ed16f713791b689806a2
company,1627596046,Masco Corp (MAS) Q2 2021 Earnings Call Transcript,69394272,,MAS,Yahoo,"MAS earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=55eb2a7d7dbe036bce34e730acdfb41dccf2381edee17bc7e8396c562f9c5335
company,1627578420,"Masco Corp. stock falls Thursday, underperforms market",69413308,https://images.mktw.net/im-220105/social,MAS,MarketWatch,"Shares of Masco Corp. slid 1.66% to $58.66 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d207cc69f857f9fc45e1ff4f5a0075d7dba8caefed63b9cfcb169d471d7f2da5
company,1627574223,"Masco (MAS) Q2 Earnings & Sales Top, Up Y/Y, Margins Rise",69394273,https://s.yimg.com/uu/api/res/1.2/iyd.LzKQe5.PkynBVXBvPA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7cefd0b1af19e6edfc6737a37a1ad138,MAS,Yahoo,Masco's (MAS) second-quarter 2021 results are supported by strong segmental performance.,https://finnhub.io/api/news?id=a35c4b6f4b83343e00f11d283038ddde53528c16fd115c76f158513ea3f04a8c
company,1627572432,Masco Corporation (MAS) CEO Keith Allman on Q2 2021 Results - Earnings Call Transcript,69388698,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MAS,SeekingAlpha,"Start Time: 08:00 End Time: 09:05 Masco Corporation (NYSE:MAS) Q2 2021 Earnings Conference Call July 29, 2021, 08:00 AM ET Company Participants Keith Allman - President and CEO John...",https://finnhub.io/api/news?id=9f5df26b4138773cb6c72fc39563bbb798047d4aaa4f75ac9bd7ee85f630e6c4
