category,datetime,headline,id,image,related,source,summary,url
company,1629204132,Is Microchip Technology (MCHP) a Great Growth Stock?,69696713,https://s.yimg.com/uu/api/res/1.2/AOe5OpCiGk0NR_qifstycw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3f9385ce727fd358d3f4a77b83b94d75,MCHP,Yahoo,"If you are looking for a fast-growing stock that is still seeing plenty of opportunities on the horizon, make sure to consider Microchip Technology (MCHP).",https://finnhub.io/api/news?id=56a95d0d5753987aaed12e7f317f46754cc68299a9191d1eeae788339320d29e
company,1629141967,3 Highly-Ranked Growth Stocks on the Move,69684996,https://s.yimg.com/uu/api/res/1.2/7Ss_ahxI1JL8QmgBDBvOrg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b722e658bf812e4a58e158c041871ac6,MCHP,Yahoo,3 Highly-Ranked Growth Stocks on the Move,https://finnhub.io/api/news?id=24a23ac9a975b1fea4ac75dc7608d5cea355228449d15f38973db1c8f5b358fb
company,1629133620,Microchip Technology Inc. stock underperforms Monday when compared to competitors,69687868,https://images.mktw.net/im-220105/social,MCHP,MarketWatch,"Shares of Microchip Technology Inc. slumped 0.77% to $150.41 Monday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=17ac0d4edd9dd3abb68f0b5665fe65b2366832cfeb6053b167ee4b62ceabe9a4
company,1629110021,Is It Worth Considering Microchip Technology Incorporated (NASDAQ:MCHP) For Its Upcoming Dividend?,69681574,https://s.yimg.com/uu/api/res/1.2/5Tyy8Oun7d69.ebTzNgpXA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/ce85212c51bd88fd1fdcd0febb642a4a,MCHP,Yahoo,"Regular readers will know that we love our dividends at Simply Wall St, which is why it's exciting to see Microchip...",https://finnhub.io/api/news?id=20be5e5b054f906b5c80b5b2a46c5f37f650966433b0eeaa4fa6831e8ddd0e0d
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,MCHP,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628874420,Microchip Technology Inc. stock outperforms market on strong trading day,69679313,https://images.mktw.net/im-220105/social,MCHP,MarketWatch,"Shares of Microchip Technology Inc. inched 0.28% higher to $151.57 Friday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=be9ecc742fef7fac3a24853ad8a3bceada075ac43fa03a0290b9bf85b55d14ea
company,1628835646,Microchip Technology: FCF Generation And Undervalued,69650378,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/826741218/medium_image_826741218.jpg,MCHP,SeekingAlpha,"Microchip Technology offers a long list of products, solution and is involved in the new 5G revolution. Here’s why I believe MCHP stock price could trade north in coming months.",https://finnhub.io/api/news?id=de3de2c3e4347393bd4cca20b61934ab9c271bb536f663e146fac0aa72e1ec44
company,1628811307,13 Upcoming Dividend Increases Including 1 Dividend King,69646756,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273237907/medium_image_1273237907.jpg,MCHP,SeekingAlpha,All stocks have at least five fiscal years of dividend growth history and come from the U.S. Dividend Champions List. They have an average increase of 8.6% and a median increase of 5.8%.,https://finnhub.io/api/news?id=e06544e92d1e632f7dc9cacfe13189b5d8aaea353b80f01067f087a5e6d13c43
company,1628788020,"Microchip Technology Inc. stock rises Thursday, outperforms market",69679314,https://images.mktw.net/im-220105/social,MCHP,MarketWatch,"Shares of Microchip Technology Inc. inched 0.45% higher to $151.15 Thursday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=0b2083670ea567b57e209033d73fa00711bf38a70b8f8972a12bbb4a43f2fa60
company,1628775780,Microchip Technology Announces Exchange of Convertible Notes,69633579,https://s.yimg.com/uu/api/res/1.2/qG7oLoDWd2uirseAPC1LmA--~B/aD02MDA7dz0xMTI2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/e48b0ed5b81579831415fc492414749c,MCHP,Yahoo,"CHANDLER, Ariz., Aug. 12, 2021 (GLOBE NEWSWIRE) -- (NASDAQ: MCHP) – Microchip Technology Incorporated, a leading provider of smart, connected and secure embedded control solutions, today announced that that it has entered into separate privately negotiated exchange agreements (the “Exchange Agreements”) with certain holders of its outstanding 1.625% Convertible Senior Subordinated Notes due 2025 (the “2025 Notes”), 1.625% Convertible Senior Subordinated Notes due 2027 (the “2027 Notes”) and 2.25",https://finnhub.io/api/news?id=dfa2100854ef0eda12347c333bacfd237b25d44ec1ac6d1ef15caa42cfee4230
