category,datetime,headline,id,image,related,source,summary,url
company,1629186842,Michael Burry Of 'The Big Short' Takes A Short Position In ARKK,69693087,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/498541178/medium_image_498541178.jpg,MCK,SeekingAlpha,"Michael Burry buys puts on ARKK ETF, possibly as a hedge to Alphabet and Facebook positions. Read more to see my evaluation of his positions.",https://finnhub.io/api/news?id=eef59b540c8528b4c3a9c7e6e3316ee69be61970db4ac12624de16f89c8dab9c
company,1629144600,"McKesson to Host Investor Day on December 8, 2021",69684875,https://s.yimg.com/uu/api/res/1.2/100nVTybTEBn8Jwzp_.k.g--~B/aD03MTt3PTQ2NDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/72a751bc92613a7564e3db4fe98d071a,MCK,Yahoo,"IRVING, Texas, August 16, 2021--McKesson Corporation (NYSE:MCK) today announced that the Company will host an Investor Day on December 8, 2021 in New York City.",https://finnhub.io/api/news?id=85e24fef8ca784aa231a3ca583f830ae8121c5027108faec87ce55f6775d1f9b
company,1629133620,McKesson Corp. stock outperforms competitors on strong trading day,69692886,https://images.mktw.net/im-220105/social,MCK,MarketWatch,"Shares of McKesson Corp. inched 0.77% higher to $199.95 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=c2c9d56613b435fd0f099b31017b388b7765f0ae03cd6460452a04e5693d7ace
company,1629130200,"McKesson to Host Investor Day on December 8, 2021",69698347,,MCK,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e0cec8363559afbdff5b552d7ee2005012b29c421717c1b0cfe9cb9ff9858d68
company,1629088740,"Blueshift Asset Management, LLC Buys Apple Inc, Square Inc, Starbucks Corp, Sells SPDR Bloomberg Barclays High Yield Bond ETF, Intel Corp, Charter Communications Inc",69695440,,MCK,GuruFocus,,https://finnhub.io/api/news?id=c6b90e1ba3ec22a9831129a1710f3716e1a9e53fccb996d4d4eec63189219ece
company,1628874420,McKesson Corp. stock outperforms competitors on strong trading day,69661074,https://images.mktw.net/im-220105/social,MCK,MarketWatch,"Shares of McKesson Corp. inched 0.22% higher to $198.43 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=57779075f0d96b6e656d0ae5ca7e99695ad1545a59d7f5ed77d691372bf27046
company,1628864642,Are You a Momentum Investor? This 1 Stock Could Be the Perfect Pick,69657054,https://s.yimg.com/uu/api/res/1.2/6Y0xp7Uf0ONDnIW.exP8kw--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d18d41b56fccb1caf4b1a14727339111,MCK,Yahoo,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://finnhub.io/api/news?id=11251a13040a9882a4230b4fd2c6d51de2ae83e8846337bd10a1f29403a91ec2
company,1628836764,McKesson Is Up 73% But Set To Soar Even More,69650500,,MCK,SeekingAlpha,,https://finnhub.io/api/news?id=500d04b99fc0eb8a7e782dea2691b2aad1680ddba30b58f1cc632cfd751704f6
company,1628788020,"McKesson Corp. stock rises Thursday, outperforms market",69661075,https://images.mktw.net/im-220105/social,MCK,MarketWatch,"Shares of McKesson Corp. inched 0.34% higher to $197.99 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=bc9bd46e53a0b31ab7bb30411a7e8283fd064443ce841b15b1086cafa44b3305
company,1628762040,October 1st Options Now Available For McKesson (MCK),69638130,,MCK,Stock Options Channel,"Staff article entitled October 1st Options Now Available For McKesson (MCK), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=ae05ac4a6eec56ec79524f65fd55a50a2ea77b358ce628bcc8f6c8ac7955f48d
company,1628737200,Purdue Pharma director grilled on proposed opioid settlement,69652580,,MCK,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=31ca98df300da6be6a4edc1934c28d10d161a2784d6bd07035d61543e27e1d6a
company,1628737200,OxyContin maker's settlement goes to judge for confirmation,69634254,,MCK,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d0bd38ede4cfbd846b30f2d9925ee9c20c4529d32504074c5d4f9fd202c50880
company,1628701620,McKesson Corp. stock outperforms market on strong trading day,69661076,https://images.mktw.net/im-220105/social,MCK,MarketWatch,"Shares of McKesson Corp. rallied 1.15% to $197.31 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7568d90aef9b50747ae9c16565454d517bc189228a49fa78142842bba2adf8bc
company,1628615220,McKesson Corp. stock outperforms competitors despite losses on the day,69661077,https://images.mktw.net/im-220105/social,MCK,MarketWatch,"Shares of McKesson Corp. slid 0.89% to $195.07 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=54a6fd321d9659b334dae5da8ade2a007f0dc92b5dfda90dcef19090bccb0dc2
company,1628528820,"McKesson Corp. stock falls Monday, underperforms market",69603910,https://images.mktw.net/im-220105/social,MCK,MarketWatch,"Shares of McKesson Corp. slipped 1.55% to $196.83 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0450e52bfd1f3305f7a9cbed2c89fe648a1097349a9867522c9d7dcc8c650efd
company,1628496660,CoverMyMeds' Prescription Decision Support Technology Now Available to Clinical Staff,69579287,,MCK,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=651b49a9c4f67315b5c8806ba58d3418e38149280acadce4f349e4fd2a283602
company,1628478459,"Dividend Increases: July 24-30, 2021",69575488,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1061700868/medium_image_1061700868.jpg,MCK,SeekingAlpha,This weekly article series covers dividend changes. A table with relevant data and key statistics of dividend increases is provided.,https://finnhub.io/api/news?id=2c8185d931e6e881282771d534c57f78e73b3aba693fcfb83fc16b1344635499
company,1628269620,"McKesson Corp. stock rises Friday, still underperforms market",69556286,https://images.mktw.net/im-220105/social,MCK,MarketWatch,"Shares of McKesson Corp. inched 0.13% higher to $199.93 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=139f3e2e097736ef2c8f8ff4a8001f904ebb4b19960c8f775cfb17478659815d
company,1628183220,"McKesson Corp. stock falls Thursday, underperforms market",69538991,https://images.mktw.net/im-220105/social,MCK,MarketWatch,"Shares of McKesson Corp. slid 2.78% to $199.67 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7d12fb56f59570080c305e42c9617c1542b83f4dcd2566a1a189326a192555b2
company,1628165760,"Mckesson Corp (MCK) EVP, Chief Legal Officer & GC Lori A. Schechter Sold $2.9 million of Shares",69541567,,MCK,GuruFocus,,https://finnhub.io/api/news?id=cba90f125508fa2a730180c44b5377bffe689889913614b976910651e4199ee3
company,1628162411,McKesson (MCK) Earnings and Revenues Beat Estimates in Q1,69521805,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,MCK,Yahoo,McKesson's (MCK) fiscal first-quarter 2022 results benefit from strong performance across all segments.,https://finnhub.io/api/news?id=e3f8466e06a84e22f6459b87ed18c09b897acebd171d6c17fa5c650ea613737c
company,1628158427,McKesson (NYSE:MCK) Is Paying Out A Larger Dividend Than Last Year,69521807,https://s.yimg.com/uu/api/res/1.2/cP_9IS9Y.iGyuhbNWGbmOA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/3dcac57ef5d9ab9e4cf0d2dc9ba3ef0b,MCK,Yahoo,"McKesson Corporation ( NYSE:MCK ) will increase its dividend on the 1st of October to US$0.47, which is 12% higher than...",https://finnhub.io/api/news?id=b5568559991ce906fb1110e2d403040b8f4530e4ff2213cc4ac8619cbca05ace
