category,datetime,headline,id,image,related,source,summary,url
company,1629202380,Moody's assigns Baa1 issuer rating to RELX; outlook stable,69701737,,MCO,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=280e40cf308038d78bde9dfc9c260a4fa3b777e24e65bdb8122fddba8cc43edf
company,1629190740,"Ex-Dividend Reminder: Moody`s Corp., Snap-On and Pitney Bowes",69701738,,MCO,Dividend Channel,"dividend channel,MCO,SNA,PBI,",https://finnhub.io/api/news?id=ac9d4a6a4cafad371307633a27c0342209c8d07c84cc88d3091ced4b856bab9f
company,1629133620,Moody's Corp. stock outperforms market on strong trading day,69685755,https://images.mktw.net/im-220105/social,MCO,MarketWatch,"Shares of Moody's Corp. inched 1.00% higher to $384.44 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c6cf4cca2855a544fde599a7424c28bbd05c85c7afef204db2814b337ad9489c
company,1629133620,Masco Corp. stock outperforms market on strong trading day,69685754,https://images.mktw.net/im-220105/social,MCO,MarketWatch,"Shares of Masco Corp. inched 0.53% higher to $62.93 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=bd27b6612f16bf4367b67e4025c94a153ee096c8d541ccb873cf3c57585dfa03
company,1629117540,"TRB Advisors LP Buys Microsoft Corp, Amazon.com Inc, Facebook Inc, Sells Union Pacific Corp, Apple Inc, Netflix Inc",69694484,,MCO,GuruFocus,,https://finnhub.io/api/news?id=9f69fdb135abe5f3d89fccee230ce5416ff32d79494a19d877ef6b2527dd25c3
company,1629116340,Moody's assigns A2 to Pfizer's notes and stable outlook,69698109,,MCO,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=326991ca8d612a1229238f5e7d7134e54fecf572af094fde79729aa7abb719a8
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,MCO,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628874420,"Moody's Corp. stock rises Friday, outperforms market",69685757,https://images.mktw.net/im-220105/social,MCO,MarketWatch,"Shares of Moody's Corp. inched 0.45% higher to $380.65 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=0ff10ae290b068e291edcf0c870872534902a1d28b54a1e66c29b23e99f17daf
company,1628874420,"Masco Corp. stock rises Friday, outperforms market",69685756,https://images.mktw.net/im-220105/social,MCO,MarketWatch,"Shares of Masco Corp. inched 0.64% higher to $62.60 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=df41ddfe12ca0bfcacfc94645d1a86a8621378cc87156be46e484f8b64289589
company,1628874000,"Moody's affirms Ireland's A2 ratings, ups outlook to positive",69670270,,MCO,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=52a7389a1598afb359be30db724a44717691c59be9cba97f95bc3b9325f6fb1a
