category,datetime,headline,id,image,related,source,summary,url
company,1629207955,Billionaire George Soros Pulls the Trigger on These 3 Stocks,69699442,https://s.yimg.com/uu/api/res/1.2/4td_2hhXbskSbswTqoT2Vw--~B/aD01MTk7dz0xMDI0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/tipranks_452/cddcf45c3f297276ae841c9b5494ccec,MGM,Yahoo,"Few investors have realized better sustained profits than George Soros. His hedge fund’s annualized returns exceeded 30% for over 30 years, and made him one of the world’s richest men. He gained fame in 1992 when he made a famous bet against the Pound Sterling and generated over $1 billion in profits in just 24 hours. While his political activities have generated controversy and criticism, no one can doubt his financial acumen. He bases that acumen on a simple aphorism: “If investing is entertai",https://finnhub.io/api/news?id=29867fdb0b73524f31b2bafde429c511adc567c7fe1edd9a5fdfaced3f45ceaf
company,1629139500,Big 3 Sports Betting Companies Continue To Dominate Michigan Market,69686144,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/detroit-4401493_1920_1.jpg,MGM,Benzinga,"Six months after launching online sports betting, the Michigan market had wagers of $1.69 billion in July, making it one of the top states in the country. Here is a look at the...",https://finnhub.io/api/news?id=bf07d211d67fdb13f54d24b189172197f7f359da75dd4c50eefeb18a12cd29a8
company,1629133680,"MGM Resorts International stock falls Monday, underperforms market",69690998,https://images.mktw.net/im-220105/social,MGM,MarketWatch,"Shares of MGM Resorts International slipped 2.45% to $39.42 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=b75b0a51149ce1cc74edeb947651d7853064c9d1406bbbe04ff50a01af6cac3b
company,1629125151,Investors in MGM Resorts International (NYSE:MGM) have made a favorable return of 85% over the past year,69684796,https://s.yimg.com/uu/api/res/1.2/0yWFmUwzv29g9S_H7Pjruw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/5b1d2ff7e1125ee2296b665d2ce31a1c,MGM,Yahoo,Passive investing in index funds can generate returns that roughly match the overall market. But investors can boost...,https://finnhub.io/api/news?id=93b4362be0c5fd9090c3fdea0e3e03ec77ad3d3f773c41d4898e8ed4fffe23e1
company,1629113940,"MBM Wealth Consultants, LLC Buys SPDR Bloomberg Barclays Short Term High Yield Bond, Vanguard Short-Term Corporate Bond ETF, iShares Interest Rate Hedged Corporate Bond ETF, Sells iShares 0-5 Year High Yield Corporate Bond ETF, Vanguard Mortgage-Backed Se",69694842,,MGM,GuruFocus,,https://finnhub.io/api/news?id=e275530822109eb01c5ddb2764e6ed57a9a9000924401c5a183d3a2f7330e964
company,1629008805,"Bally's: Bargain Bin Cast-Offs Could Make A Growth Story, But Also An Exit Strategy For Its Hedge Fund Owners",69675005,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1249219777/medium_image_1249219777.jpg,MGM,SeekingAlpha,Bally's Corporation is a pure buy-low sell-high company building strategy. Click here to see our recommendation of when to buy the stock.,https://finnhub.io/api/news?id=b94d2bd8007d38f5b4f99640cb359072ec9c0ed5d0f8fe5bb8d4066e17743a92
company,1628874480,"MGM Resorts International stock falls Friday, underperforms market",69671326,https://images.mktw.net/im-220105/social,MGM,MarketWatch,"Shares of MGM Resorts International slumped 0.74% to $40.41 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=ded6bc941c9bf8b8bbdd57f724014692b9b614b773e8ef0d6c8376650e0eeb73
company,1628860741,MGM Resorts (MGM) Benefits From Pent-Up Consumer Demand,69654764,,MGM,Yahoo,"MGM Resorts (MGM) is gaining from pent-up consumer demand, high domestic casino spend and robust demand for sports betting.",https://finnhub.io/api/news?id=320523d38143ae8a155322683a73f253f6b81bfdb7a5a7e37918242e28f45255
company,1628823300,Bet On It: Canada single sports wagering set to begin at end of month,69667301,https://image.thefly.com/catalog/202005/img_819.jpg,MGM,Thefly.com,"More tribe applications than licenses in Arizona, DraftKings acquires Golden Nugget Online and other notable stories in the sports betting and iGaming space. DKNG, GNOG, PENN, MGM, CHDN, WYNN, CZR, RSI, ACEL, BALY, BYD, PDYPY, GAN, GENI, LVS, SGMS, SCR, PBTHF",https://finnhub.io/api/news?id=ac741e64749cbefeaee4906e8a1f8dadb29a73017f78803937f411b67a9d9a41
company,1628798810,Online gambling company Entain buys esports betting startup Unikrn as it looks to triple its business,69661668,https://image.cnbcfm.com/api/v1/image/106926427-1628804254193-jean.jpg?v=1628804276,MGM,CNBC,"Entain, a U.K.-based gaming company, is investing in Unikrn, an esports betting start-up.",https://finnhub.io/api/news?id=daad03b5916754f6941c4643bd146f31e825584d1e1389f3b645f81ac682467e
company,1628788080,MGM Resorts International stock outperforms competitors on strong trading day,69671328,https://images.mktw.net/im-220105/social,MGM,MarketWatch,"Shares of MGM Resorts International inched 0.37% higher to $40.71 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=3a3404c5d71ba7949158c6b2f67bfcfde1d4fb5778b41bb1282484a52653e06d
company,1628782967,Penn National: The Undervalued Stock Poised To Win The Sports Betting Industry,69640961,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1195917580/medium_image_1195917580.jpg,MGM,SeekingAlpha,Penn National has a strong track record of free cash flow from their existing physical footprint. Read why PENN is poised to win the sports betting industry.,https://finnhub.io/api/news?id=e6cf77ad7124ed7faab07787b3ddf0e1c2534a1b2c355d24006d9938aad684fc
company,1628772780,"Canadians can bet single-sport wagers starting August 27, Yahoo reports",69652065,,MGM,Thefly.com,"Canadian Justice Minister... BYD, MGM, CZR, CHDN, PENN, WYNN, LVS, GAN, PDYPY, WIMHY, DKNG",https://finnhub.io/api/news?id=b76bd86c1ba9ec30be560565ada957447d56c820eb5a328c8930d5d7c2254a61
company,1628770500,"NFL adds PointsBet/BetMGM/WynnBet in sports betting deals, Sportico says",69652142,,MGM,Thefly.com,"The NFL will have at leas... MGM, PBTHF, WYNN",https://finnhub.io/api/news?id=41b1d0e773e5dfad9b4439a65826b689b9497d165bd75d30d50ca9b5862e67f4
company,1628765340,Home - The Fly,69652143,,MGM,Thefly.com,The Fly is a leading digital publisher of real-time financial news. The Fly team scours all sources of company news and delivers short-form stories consisting of only market moving content.,https://finnhub.io/api/news?id=54aa7467169e8d45df8045006d2e68a31b97b38935f4d74779e69fa7dc5b1fe7
company,1628764740,Markets Remain Unfazed After Biden’s Push for More Oil,69632977,,MGM,Yahoo,"Biden says $3.5 trillion budget plan will help families, China to tighten control on the private sector, Covid fight intensifies as employers are urged to require vaccines, and other news to start your day.",https://finnhub.io/api/news?id=d3fea811d86c651ce16ff7234b8990466432a3b38e7dd588f74fc0330f837f49
company,1628701680,MGM Resorts International stock outperforms competitors on strong trading day,69639411,https://images.mktw.net/im-220105/social,MGM,MarketWatch,"Shares of MGM Resorts International advanced 2.11% to $40.56 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=40133a02ac86785071388d48e84d6f0c03643361043ac796753801ca54299318
company,1628686800,Picasso's leaving Las Vegas for auction block,69615744,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,MGM,Yahoo,"Some 11 Picasso paintings and works by the Spanish artist are going up for auction in October as casino and hotel group MGM Resorts seeks to further diversify its vast art collection.  The auction will take place on Oct. 23 in the Bellagio hotel in Las Vegas, where the works were on display, MGM Resorts and Sotheby's said on Wednesday.  The sale could fetch some $100 million and is thought to be the most valuable auction dedicated to Picasso that has ever been held.",https://finnhub.io/api/news?id=92fee744482e45911d9a0ecf6869e9f476a1764c213fa7f8056da398417e6c9a
company,1628672400,WSJ News Exclusive | Sotheby’s to Auction 11 Picasso Paintings With Links to Steve Wynn at the Bellagio ,69620366,https://images.wsj.net/im-382722/social,MGM,DowJones,The Oct. 23 sale—part of MGM’s effort to become known as an art powerhouse—features paintings amassed by the former casino magnate before he stepped down amid sexual-assault allegations.,https://finnhub.io/api/news?id=9e5ca2d1f1a0ad8e38b2a43c99edb921e26add954132b9fe56b0576ea5ac9777
company,1628672400,Sotheby’s to Stage Las Vegas Auction of MGM’s Famed Picassos,69639412,https://images.barrons.com/im-383734/social,MGM,MarketWatch,"The sale at the Bellagio hotel could realize $100 million for 11 works, allowing the resort to deepen the diversity of its fine art collection",https://finnhub.io/api/news?id=673572070421fcf75d531f40d191c85f4859b5252a49f5d05b939e92464e2ec9
company,1628615280,MGM Resorts International stock outperforms competitors on strong trading day,69639413,https://images.mktw.net/im-220105/social,MGM,MarketWatch,"Shares of MGM Resorts International rallied 1.30% to $39.72 Tuesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=ca7aba18d77af656a80ff82a2b3b013926b2640cc667de62ecb7f0f23689f52c
company,1628612220,NEW YORK MARKET CLOSE: Record close for Dow on infrastructure boost,69614444,,MGM,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=16cc4de6a9e41ff3ed1463435306645119b2b83f106f00f5f75be7da8349b843
company,1628599752,MGM Resorts' (MGM) BetMGM Forays Into Arizona With New Partnerships,69598123,https://s.yimg.com/uu/api/res/1.2/fti7d1VBozGbnP2yiWtyyQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a8a6d52240dae94912359ae79c9a7e1e,MGM,Yahoo,MGM Resorts' (MGM) BetMGM announces partnerships with Gila River Hotels & Casinos and the Arizona Cardinals.,https://finnhub.io/api/news?id=cf60346933abf7bd787d20381ad73fb37a6c9eb0dc94be6241b15af9078a4f7c
company,1628596440,LONDON MARKET CLOSE: FTSE 250 in record as stocks shrug off virus woe,69598549,,MGM,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9d5ed0c2e02858554e90267d55e3c595b974151a49d9f56cd6121bf9156198bc
company,1628593200,The Las Vegas Strip Is Changing Before Our Eyes,69593755,https://s.yimg.com/uu/api/res/1.2/rFeOXBKRx99lfdBuo.9g5A--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/0e162984519acefe128642ea00eabd38,MGM,Yahoo,A major REIT acquisition will put most of the Las Vegas Strip's real estate under the control of one company.,https://finnhub.io/api/news?id=bcb05b3f3b7d2edc9fa61e657db97eb352e835e81acdf93fd3951cd19f122cf3
company,1628572920,IN THE KNOW: Shore eyes Flutter upgrade as interim earnings surge,69594566,,MGM,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=abbdfd8c15ba09964b3837b73b63ba91ea65eb7d1d363e9f2822b3da0ab05532
company,1628558700,Take Carnival Stock for a Reopening Cruise to Profit Town,69615611,https://investorplace.com/wp-content/uploads/2020/03/ccl1600.jpg,MGM,InvestorPlace,Reopening stocks like Carnival just bottomed and are ready to rise. Here's a smart options trade for CCL stock to bank some easy profits.,https://finnhub.io/api/news?id=ecc92f32aa553cf3a65b163d11e07336dc3524f47cc2f72e19e6d14d64d3891d
