category,datetime,headline,id,image,related,source,summary,url
company,1629187020,Wall Street Breakfast: Boosters Are Coming (Podcast),69693189,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,MMM,SeekingAlpha,"Our top stories today are: Boosters Are Coming, a Big Day for Retail and another crackdown by China’s market regulator.",https://finnhub.io/api/news?id=24790d5ef7e63416d5fea36eb0d42d62a02783d7a1e022b13681df11893980eb
company,1629185580,6 Great Ways To Hedge Your Portfolio From The Pending Market Crash,69717147,,MMM,TalkMarkets,,https://finnhub.io/api/news?id=0b5e84094e6c34fdd4180b66ddc97d2092b23dd7f31c38165de9c252b0931116
company,1629185266,XLI: Industrials Dashboard For August,69692689,,MMM,SeekingAlpha,,https://finnhub.io/api/news?id=525c507fc375be237b769e39d04f531f8dfe850f2c84617547754c9bc6fc2a64
company,1629182387,Wall Street Breakfast: Boosters Are Coming,69691997,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MMM,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=79b48b0521329c76764ffb540a391a7fcc739f3b68794d2b7d6a502528641eb8
company,1629133829,"U.S. court revives nearly 6,000 lawsuits over 3M surgical warming device",69682564,https://s.yimg.com/uu/api/res/1.2/kwwY4SkUV3nyCnFyKb8P3Q--~B/aD01MzQ7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/9d96f1e0702d5f7b83f4fc81f4ba8272,MMM,Yahoo,"A federal appeals court on Monday revived nearly 6,000 lawsuits alleging that a widely used device produced by 3M Co to keep surgical patients warm caused them to develop infections.  The 8th U.S. Circuit Court of Appeals said the Minnesota judge overseeing the litigation over 3M's Bair Hugger device had wrongly excluded testimony from medical experts supporting the plaintiffs' claims.  ""Thousands of individuals who were injured by this defective and dangerous device will now have their day in court,"" said Michael Sacchet, a lawyer for the plaintiffs.",https://finnhub.io/api/news?id=c11427467dee0cfea81f313fb9b3f091859c4fef56a57d6a813b1d1e8f3b0d69
company,1629116167,"3M Joins Water Resilience Coalition, CEO Water Mandate",69682565,https://s.yimg.com/uu/api/res/1.2/nvXISHHQjn1iDiCN.R7oAg--~B/aD00ODc7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/a51125b5f45ed62a826901f739a16abf,MMM,Yahoo,"Collective action will build on company’s work to improve the environment, reduce water use, and improve water quality",https://finnhub.io/api/news?id=de30e9d40625128a4934be448580c22808f51b20428d0ae1bab62f6d65b5301f
company,1629100260,"3M joins Water Resilience Coalition, CEO Water Mandate",69679521,,MMM,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4ad791eab1bc8409c2cabf7126b6ee7ceb4a8765e005746fb817ec998ccd1e3f
company,1629098580,MMM Named Top 25 SAFE Dividend Stock Increasing Payments For Decades,69679522,,MMM,ETF Channel,"Staff article entitled MMM Named Top 25 SAFE Dividend Stock Increasing Payments For Decades, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=5fda891dafe6374cf6a7c4980171491c75a17baa5457fb8681a3d0b6054a71eb
company,1629085140,"Horizon Investment Services, LLC Buys SPDR Portfolio High Yield Bond ETF, FedEx Corp, Ally Financial Inc, Sells Zebra Technologies Corp, Canadian Pacific Railway, Trimble Inc",69694910,,MMM,GuruFocus,,https://finnhub.io/api/news?id=9038f0e6d9a853774edfe9ccfb94019f7d53a439606dfcc3bd8bc73d5f4ec45c
company,1629025200,3 High-Yield Dividend Stocks That Just Went on Sale,69675550,,MMM,Yahoo,"Stocks that pay dividends can be a great way to combine reliable returns with long-term upside.  With that, we asked some of our contributors which dividend stocks they think are on sale now.  Caterpillar (NYSE: CAT), 3M (NYSE: MMM), and American Electric Power (NASDAQ: AEP) caught their attention.",https://finnhub.io/api/news?id=fec1f9963204294fc2f0cb4bddf2a6b3de4aca5aa4d918ee1fbddee3db61cbee
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,MMM,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628885760,3M Board Declares Quarterly Dividend,69660995,https://s.yimg.com/uu/api/res/1.2/Ke963IdCj_PZA_vxQBPdgw--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/14ca42081f65474fe938a6d6a8a9c10a,MMM,Yahoo,"The 3M Board of Directors (NYSE:MMM) today declared a dividend on the company's common stock of $1.48 per share for the third quarter of 2021. The dividend is payable Sept. 12, 2021 to shareholders of record at the close of business on Aug. 23, 2021.",https://finnhub.io/api/news?id=c8371cbc46eb9c7f4726050e5a276c4a67657b45261279719a1d23894e7b1b88
company,1628872260,3M Co. stock underperforms Friday when compared to competitors,69672771,https://images.mktw.net/im-215082/social,MMM,MarketWatch,"Shares of 3M Co. sank 0.42% to $200.58 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=0536dcaac022b36f216c5f4d5ff60f40e3763d64cb31ffa44329879091b4db0a
