category,datetime,headline,id,image,related,source,summary,url
company,1629227958,’Outside the hospital & inside the emergency department are struggling for staff members’: GMR Chief Medical Officer,69706205,https://s.yimg.com/ny/api/res/1.2/_3BslAHTUCt_IVNp8U9iSg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTI1/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/17/611c0bb72f6b901586a34149/611c0bb72f6b901586a3414a_o_U_v2.jpg,MRK,Yahoo,"Dr. Ed Racht, Chief Medical Officer at Global Medical Response, joins Yahoo Finance to discuss the impacts of the pandemic on the EMS sector.",https://finnhub.io/api/news?id=fc67461e76b5442acf4d98d3994a8411417a84e05d4e5740c405b2d43b20e2d4
company,1629226320,Merck & Co. Inc. stock outperforms competitors on strong trading day,69711531,https://images.mktw.net/im-220105/social,MRK,MarketWatch,"Shares of Merck & Co. Inc. advanced 1.15% to $78.83 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=533a449ded991fd10778e51e26242f764bfa6ae68e747c384ad12fc21b6e26fb
company,1629217680,NEW YORK MARKET CLOSE: Stocks ease from highs on weak US retail sales,69716459,,MRK,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=96f36ef9e2e1f51c3d5c50fbd6278ebb1e2c62f515ffc04eb17b0050a3d6a08e
company,1629204600,"Q2 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",69703689,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/wall-street-4847634_1920_0_2_45.jpg,MRK,Benzinga,"The latest round of 13F filings from institutional investors is out, revealing to the world the stocks that some of the richest and most successful investors have been buying and...",https://finnhub.io/api/news?id=91ffba0e3281eab3338f8a49b056d02bbe4273eafdd27b97ddd08607bece7466
company,1629203940,"Elgethun Capital Management Buys Discovery Inc, Boston Omaha Corp, The Kroger Co, Sells Charles Schwab Corp, Jefferies Financial Group Inc, Citigroup Inc",69716686,,MRK,GuruFocus,,https://finnhub.io/api/news?id=c2d6df2c3628416d04b455102794a633f73c6f18cee7de285ea8a3700f352e10
company,1629198660,Warren Buffett Sells Biotech Holdings After a Year,69717448,https://static.gurufocus.com/1425468950082342912.jpg,MRK,GuruFocus,Berkshire has been selling off some of its smaller biotech holdings,https://finnhub.io/api/news?id=22e7b991652f336d985b1b5b109dcc34f6f6f0192aca1c30a03cb4f6c91bb332
company,1629198600,What Will It Take to Get Warren Buffett to Buy Stocks?,69711528,https://images.barrons.com/im-386733/social,MRK,MarketWatch,"His inactivity hasn't hurt shares of Berkshire Hathaway, which are outperforming the S&P 500 so far this year.",https://finnhub.io/api/news?id=8b2b8661223d1015e25eb7b63d91c7f5a68767a9233da79109dc159b483376f6
company,1629197100,Merck call volume above normal and directionally bullish,69700708,,MRK,Thefly.com,Bullish option flow detec... MRK,https://finnhub.io/api/news?id=cb0fa8879ce3df4d127de70b4cadbd51a63f9638c7ba9e08c26b786ccef65131
company,1629191100,Pfizer: The Rally Is Far From Finished,69698092,https://static.gurufocus.com/photos/others/Pfizer_Drug_Health_Care_Industry_Pharmaceuticals.jpg,MRK,GuruFocus,"The stock is up 16% since the earnings release, but could see double-digit returns on a modest multiple expansion.",https://finnhub.io/api/news?id=8c2258e1d45c1ae8c070a10c29b9609c963d91610f600e23636c74e90fc8e446
company,1629186082,"Stocks making the biggest moves in the premarket: Home Depot, Walmart, Roblox and more",69709484,https://image.cnbcfm.com/api/v1/image/106870932-16189314752021-04-20t125942z_201998879_rc2ozm9smwdt_rtrmadp_0_usa-georgia-election-companies.jpeg?v=1618931549,MRK,CNBC,"The stocks making the biggest moves in premarket trading include Home Depot, Walmart, Roblox, and more.",https://finnhub.io/api/news?id=399fc2b84efac8c89cc9c9f9a0c31fb3ed10469b9342541254e9e40f8503f89c
company,1629183846,"Berkshire Hathaway decreases stake in Merck, AbbVie, Bristol-Myers",69692543,https://image.cnbcfm.com/api/v1/image/106928871-16291962811629196278-18103536708-1080pnbcnews.jpg?v=1629196281,MRK,CNBC,CNBC's Leslie Picker reports on where Berkshire Hathaway is selling and buying.,https://finnhub.io/api/news?id=6208076a679c015fe6e49eb7137b69ca8c0cb6f9db8fb0a6419aa1bb92ed5df4
