category,datetime,headline,id,image,related,source,summary,url
company,1629230700,MSCI Completes Private Offering of $700 Million 3.250% Senior Notes Due 2033,69709764,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,MSCI,Yahoo,"NEW YORK, August 17, 2021--MSCI Inc. (NYSE: MSCI), a leading provider of critical decision support tools and services for the global investment community, announced today that it has successfully completed its private offering of $700.0 million aggregate amount of its 3.250% senior unsecured notes (the ""notes"") due 2033 (the ""offering""). The notes will mature on August 15, 2033.",https://finnhub.io/api/news?id=2a1385904cf8e0c40e7656868f3e467345eda42ad5d1eb2a9286d7fa5f04de2a
company,1629226380,MSCI Inc. stock outperforms competitors despite losses on the day,69707962,https://images.mktw.net/im-220105/social,MSCI,MarketWatch,"Shares of MSCI Inc. shed 0.12% to $629.48 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=f351e0117abbdcccae76355809da33a22fd5bece4bcf184c2079da6d4f15b682
company,1629216300,MSCI Completes Private Offering of $700 Million 3.250% Senior Notes Due 2033,69720546,,MSCI,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f46aeabb2112b344fd822f4b39e9f8013f0d3aea565dcd3533f4ecd7ec608440
company,1629133740,"MSCI Inc. stock rises Monday, still underperforms market",69707963,https://images.mktw.net/im-220105/social,MSCI,MarketWatch,"Shares of MSCI Inc. inched 0.03% higher to $630.21 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=041cb63d7d719604b160fa1fcc2251ed4e49f089886ebb060ee9b8bf46a33861
company,1629120601,MSCI (MSCI) Boasts Earnings & Price Momentum: Should You Buy?,69688039,https://s.yimg.com/uu/api/res/1.2/HIalcDlt7JZPKSITVlxPuw--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c2fdcaac033e049c74f38d188afcc9f9,MSCI,Yahoo,"Finding strong, market-beating stocks with a positive earnings outlook becomes easier with the Focus List, a top feature of the Zacks Premium portfolio service.",https://finnhub.io/api/news?id=d4d2d0f269ed64df229f333ec0a6c9c788e2a469f7766344a3b8b98cccfdedc9
company,1629013524,The Vanguard Mid Cap ETF Is Ideal For Portfolio Diversification,69675272,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1160051571/medium_image_1160051571.jpg,MSCI,SeekingAlpha,VO is an excellent fund to consider for diversification away from the giant companies that dominate the S&P 500 and Nasdaq 100. Read more about this ETF and its holdings.,https://finnhub.io/api/news?id=d849b68b223a7342c9552dcd5ff86dc38a595dd21d761651ec6484aff8761923
company,1628874540,MSCI Inc. stock underperforms Friday when compared to competitors despite daily gains,69662788,https://images.mktw.net/im-220105/social,MSCI,MarketWatch,"Shares of MSCI Inc. inched 0.78% higher to $630.02 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=acb90f85833df5a02b3e3836c0d018d69d5b1a0cfc01930a61a350b0f014e066
company,1628788140,"MSCI Inc. stock rises Thursday, still underperforms market",69648267,https://images.mktw.net/im-220105/social,MSCI,MarketWatch,"Shares of MSCI Inc. inched 0.20% higher to $625.16 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=6cb5845894361c0d0c451255cbe9e9aa76dd5fe81d51ee7adc5c9f8831a06697
company,1628718600,MSCI Equity Indexes August 2021 Index Review,69623462,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,MSCI,Yahoo,"LONDON, August 11, 2021--MSCI Inc. (NYSE:MSCI), a leading provider of research-based indexes and analytics, announced the results of the August 2021 Quarterly Index Review for the MSCI Equity Indexes - including the MSCI Global Standard, MSCI Global Small Cap and MSCI Micro Cap Indexes, the MSCI Global Value and Growth Indexes, the MSCI Frontier Markets and MSCI Frontier Markets Small Cap Indexes, the MSCI Global Islamic Indexes, the MSCI US Equity Indexes, the MSCI US REIT Index, the MSCI China",https://finnhub.io/api/news?id=03f46101e2e88aa7ece754ec42caf80692e50ab3e304ef59399ebd8290c4452d
company,1628704200,MSCI Equity Indexes August 2021 Index Review,69634381,,MSCI,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b415809ea6be4ceb00b920f4d9ce2479be3f01363ca7367d35066dbed20cec15
company,1628701740,MSCI Inc. stock outperforms competitors despite losses on the day,69639990,https://images.mktw.net/im-220105/social,MSCI,MarketWatch,"Shares of MSCI Inc. slid 0.02% to $624.94 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=35d098a05240aa8a190ab8d61a5cb82e85845f15271512baa67968a05e353bbb
company,1628615400,MSCI Inc. stock underperforms Tuesday when compared to competitors,69639992,https://images.mktw.net/im-220105/social,MSCI,MarketWatch,"Shares of MSCI Inc. shed 0.41% to $625.08 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=2132fe007aec0a6211f746258ce09f01f8ec7f9173c65b46ca8fafe585996cdd
company,1628588040,"Ex-Dividend Reminder: MSCI, Jabil and Eaton",69614914,,MSCI,Dividend Channel,"dividend channel,MSCI,JBL,ETN,",https://finnhub.io/api/news?id=ee06efab4d670055bf8870588293cd5f13bc1d96df7ae8bb0c895b1c860a6fc9
