category,datetime,headline,id,image,related,source,summary,url
company,1629231300,M&T Bank Corporation Announces Third Quarter Common Stock Dividend,69710651,https://s.yimg.com/uu/api/res/1.2/KTmW.WE3sJxFDYJtJVfI3w--~B/aD00Mzt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/3466198db17ce9f10cded3258fa74cab,MTB,Yahoo,"M&T Bank Corporation (""M&T"") (NYSE:MTB) announced that it has declared a quarterly cash dividend of $1.10 per share on its common stock.",https://finnhub.io/api/news?id=fc3b29c09ab7225dc8716169cbbb3daf646d320985537b5f07225254cba198b0
company,1629216900,M&T Bank Corporation Announces Third Quarter Common Stock Dividend,69721576,,MTB,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6f0ef11f5ac9bacf2e7ac9e667ab121535d0f92ee957773f68b0764383416cf3
company,1629133740,"M&T Bank Corp. stock falls Monday, underperforms market",69687875,https://images.mktw.net/im-220105/social,MTB,MarketWatch,"Shares of M&T Bank Corp. sank 0.61% to $139.08 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=8b41ff4458a1c490092f4e6b1a7b8f5554cada52596be692976af89de0db17de
company,1629120600,M&T Bank Features Business Clients in Virtual Spotlight Shop,69682761,https://s.yimg.com/uu/api/res/1.2/KTmW.WE3sJxFDYJtJVfI3w--~B/aD00Mzt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/3466198db17ce9f10cded3258fa74cab,MTB,Yahoo,"M&T Bank (NYSE: MTB) is featuring more than 70 of its business clients throughout seven states and Washington, D.C., on an online marketplace designed to connect the businesses to new customers and communities.",https://finnhub.io/api/news?id=94068d61543fef0a9fc91951250d75b9bf3850efa0c8d73ecd9681b5c618b11e
company,1629113400,3 Top Buy-Rated Stocks With Dividends Expected to Rise This Week,69699487,https://247wallst.com/wp-content/uploads/2020/11/imageForEntry3-3Cs.jpg,MTB,247WallSt,"Returning capital to investors shows that a company is doing well and has the earnings and cash flow strength to increase the payouts. Three top companies are expected to hike their dividends this week, and top Wall Street firms rate all their stocks at Buy.",https://finnhub.io/api/news?id=b7913482f45c768fa1bf381fb807c622becc8eba4bd8af2b312a895a4c3922e3
company,1629106200,M&T Bank Features Business Clients in Virtual Spotlight Shop,69679607,,MTB,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5070b23e5ce809b18273f968f3590bb605c8986cd564c370e69c8cb643b69cb2
company,1629010304,Wall Street Breakfast: The Week Ahead (Podcast),69675105,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,MTB,SeekingAlpha,Investors will get some hard reads on the U.S. consumer next week.,https://finnhub.io/api/news?id=5ba515c79b6d84a68892be2c3e23ee10bc8829bad19ea83f44c9e7d4eca3edb7
company,1629009351,Wall Street Breakfast: The Week Ahead,69675061,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MTB,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=c89e6c9b31c73b20d9a080bdb29020f4cb6872b1f2b384dfee77eea283567aec
company,1628874600,M&T Bank Corp. stock outperforms competitors despite losses on the day,69674603,https://images.mktw.net/im-220105/social,MTB,MarketWatch,"Shares of M&T Bank Corp. shed 1.19% to $139.94 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e80e799db78b12b52a44937326b263b78834508317974e5182af0fa864b33317
company,1628788200,"M&T Bank Corp. stock falls Thursday, underperforms market",69674604,https://images.mktw.net/im-220105/social,MTB,MarketWatch,"Shares of M&T Bank Corp. shed 0.72% to $141.63 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8ce7b9692e69227934e6d4c597c3bc5eb1035746c340ecc5ff4304a67b238a9e
company,1628701740,M&T Bank Corp. stock outperforms competitors on strong trading day,69639223,https://images.mktw.net/im-220105/social,MTB,MarketWatch,"Shares of M&T Bank Corp. rallied 1.89% to $142.65 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=97f7b937c07e6e4748312ec95c688ba5a9df8f3d4391adac7380f5539a62fe9a
company,1628694000,"M&T Bank, Aspen Institute Announce Recipients of Baltimore City's First Weaver Awards",69625490,https://s.yimg.com/uu/api/res/1.2/KTmW.WE3sJxFDYJtJVfI3w--~B/aD00Mzt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/prnewswire.com/3466198db17ce9f10cded3258fa74cab,MTB,Yahoo,"M&T Bank (NYSE: MTB) and Weave: The Social Fabric Project, a program of the Aspen Institute, have announced winners of the first-ever Weaver Awards celebrating and supporting Baltimore City residents who are helping to build trust and strengthen relationships throughout the city.",https://finnhub.io/api/news?id=4acebc24f3c9c42e97d14517719a837195be6f58ecc581744480724e22003012
company,1628679600,"M&T Bank, Aspen Institute Announce Recipients of Baltimore City's First Weaver Awards",69618278,,MTB,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=32ca44676c6ad700d29a2eb60a566971117cee59f24a241d8cd488444d4a0d7a
